,HIGH,CLOSE,OPEN,LOW
2013-05-31,77.39,75.75,76.07,75.73
2013-06-03,76.67,76.48,75.89,75.63
2013-06-04,77.24,76.02,76.5,75.96
2013-06-05,76.28,74.79,76.04,74.64
2013-06-06,76.25,76.24,74.75,74.64
2013-06-07,78.12,78.03,76.68,76.45
2013-06-10,78.61,78.27,77.98,77.69
2013-06-11,77.85,76.52,77.61,76.5
2013-06-12,77.0,74.72,76.91,74.68
2013-06-13,75.26,75.21,74.46,73.79
2013-06-14,74.98,72.96,74.78,72.72
2013-06-17,74.21,73.86,73.69,73.39
2013-06-18,75.47,74.99,74.1,74.03
2013-06-19,75.1,74.24,74.87,74.19
2013-06-20,74.0,72.95,73.76,72.81
2013-06-21,73.79,73.33,73.38,72.37
2013-06-24,72.84,72.03,72.57,71.68
2013-06-25,73.65,73.23,72.63,72.56
2013-06-26,74.25,73.91,73.64,73.33
2013-06-27,75.43,75.14,74.46,74.38
2013-06-28,75.33,74.69,75.0,74.33
2013-07-01,76.46,75.64,75.53,75.43
2013-07-02,76.29,74.62,75.43,74.3
2013-07-03,74.78,74.37,74.02,73.91
2013-07-04,,,,
2013-07-05,76.37,76.34,75.31,75.12
2013-07-08,77.81,77.05,76.83,76.83
2013-07-09,77.95,77.62,77.85,77.08
2013-07-10,77.57,76.33,77.35,75.94
2013-07-11,77.62,77.01,77.54,76.56
2013-07-12,78.45,78.32,77.33,77.29
2013-07-15,78.63,77.86,78.61,77.5
2013-07-16,78.34,78.28,78.09,77.75
2013-07-17,77.45,76.76,75.35,74.62
2013-07-18,75.61,74.01,75.25,73.86
2013-07-19,74.74,74.09,73.68,73.48
2013-07-22,75.2,74.71,74.25,74.21
2013-07-23,75.18,74.43,75.05,74.36
2013-07-24,76.07,75.35,74.87,74.75
2013-07-25,75.81,75.76,75.06,75.03
2013-07-26,75.55,75.35,75.46,74.41
2013-07-29,75.36,75.07,75.21,74.33
2013-07-30,75.54,75.18,75.48,74.83
2013-07-31,75.86,73.75,75.15,73.47
2013-08-01,76.1,75.62,74.62,74.51
2013-08-02,75.73,75.66,75.5,75.0
2013-08-05,76.04,75.94,75.51,75.21
2013-08-06,76.1,75.82,75.87,75.47
2013-08-07,75.71,75.13,75.46,74.85
2013-08-08,76.73,76.21,75.79,75.48
2013-08-09,76.36,75.51,76.21,75.01
2013-08-12,75.61,75.51,75.1,74.9
2013-08-13,76.44,76.22,75.59,74.89
2013-08-14,76.43,75.9,76.2,75.75
2013-08-15,75.43,74.89,75.28,74.62
2013-08-16,75.35,75.18,74.86,74.65
2013-08-19,75.21,74.36,75.16,74.3
2013-08-20,74.67,74.28,74.45,73.8
2013-08-21,74.33,73.45,74.0,73.25
2013-08-22,74.0,73.85,73.67,73.4
2013-08-23,74.0,73.67,73.87,73.13
2013-08-26,74.47,73.61,73.78,73.43
2013-08-27,72.93,71.89,72.69,71.76
2013-08-28,72.34,72.01,71.68,71.54
2013-08-29,72.62,72.21,71.89,71.58
2013-08-30,72.24,71.86,72.14,71.47
2013-09-02,,,,
2013-09-03,73.41,72.43,72.72,72.14
2013-09-04,73.5,73.15,72.52,72.23
2013-09-05,74.23,73.84,73.16,72.89
2013-09-06,74.02,73.34,73.96,72.4
2013-09-09,73.81,73.64,73.5,73.15
2013-09-10,74.66,74.6,74.22,74.0
2013-09-11,75.22,75.18,74.53,74.4
2013-09-12,75.61,75.29,75.3,74.97
2013-09-13,75.75,75.31,75.51,75.07
2013-09-16,76.43,75.56,76.38,75.44
2013-09-17,77.0,76.93,75.6,75.6
2013-09-18,77.81,77.66,76.98,76.54
2013-09-19,77.9,77.56,77.8,77.15
2013-09-20,77.89,77.33,77.59,77.15
2013-09-23,77.66,76.46,77.32,76.13
2013-09-24,76.94,76.08,76.4,75.96
2013-09-25,76.56,76.0,76.24,75.62
2013-09-26,77.0,76.33,76.0,75.78
2013-09-27,76.09,75.88,76.0,75.43
2013-09-30,75.85,75.54,74.97,74.64
2013-10-01,76.01,75.95,75.77,75.45
2013-10-02,75.29,74.51,75.13,74.17
2013-10-03,74.29,74.0,74.13,73.3
2013-10-04,74.33,74.29,73.93,73.61
2013-10-07,73.53,72.94,73.5,72.9
2013-10-08,73.1,72.23,73.09,72.13
2013-10-09,72.71,72.23,72.38,72.08
2013-10-10,74.67,74.65,73.19,73.01
2013-10-11,75.44,75.42,74.66,74.41
2013-10-14,76.11,76.07,75.29,75.1
2013-10-15,76.36,75.24,75.7,75.23
2013-10-16,76.75,76.26,75.72,75.45
2013-10-17,80.4,80.24,77.89,77.81
2013-10-18,80.66,80.5,80.1,79.31
2013-10-21,80.99,80.4,80.47,80.31
2013-10-22,81.17,80.87,80.77,80.43
2013-10-23,80.82,80.64,80.6,80.01
2013-10-24,81.0,80.9,80.77,80.45
2013-10-25,82.67,82.61,80.76,80.76
2013-10-28,83.14,82.77,82.72,82.03
2013-10-29,83.74,83.67,83.15,82.93
2013-10-30,83.83,83.12,83.7,82.8
2013-10-31,82.99,81.84,82.86,81.69
2013-11-01,82.65,82.16,82.12,81.79
2013-11-04,82.64,81.92,82.41,81.75
2013-11-05,82.13,81.9,81.61,81.09
2013-11-06,82.6,82.11,82.5,81.82
2013-11-07,82.6,80.93,82.36,80.88
2013-11-08,81.95,81.78,81.3,81.08
2013-11-11,81.68,81.38,81.59,81.19
2013-11-12,81.35,81.04,81.23,80.58
2013-11-13,81.47,81.43,80.57,80.22
2013-11-14,81.91,81.88,81.61,81.35
2013-11-15,83.25,82.79,83.13,82.37
2013-11-18,82.98,82.34,82.85,82.16
2013-11-19,82.88,82.46,82.38,82.27
2013-11-20,83.42,82.25,82.96,81.96
2013-11-21,84.0,83.94,82.63,82.57
2013-11-22,83.93,83.84,83.93,83.37
2013-11-25,84.76,84.6,84.32,84.08
2013-11-26,85.59,85.1,84.75,84.7
2013-11-27,85.65,85.6,85.26,84.98
2013-11-28,,,,
2013-11-29,86.19,85.94,85.88,85.51
2013-12-02,86.53,85.3,86.02,85.16
2013-12-03,85.33,84.59,84.89,84.2
2013-12-04,85.24,84.5,84.19,83.76
2013-12-05,84.99,84.54,84.19,84.15
2013-12-06,86.09,85.93,85.59,85.35
2013-12-09,86.41,85.76,86.17,85.35
2013-12-10,85.74,85.29,85.28,85.08
2013-12-11,85.67,83.89,85.28,83.81
2013-12-12,84.28,83.29,83.71,83.21
2013-12-13,83.92,83.68,83.26,83.23
2013-12-16,84.97,84.51,83.96,83.96
2013-12-17,84.75,84.11,84.75,84.05
2013-12-18,86.12,86.02,84.3,83.55
2013-12-19,86.53,86.43,85.94,85.91
2013-12-20,87.78,87.66,86.67,86.44
2013-12-23,88.58,88.33,87.96,87.92
2013-12-24,88.74,88.69,88.34,88.19
2013-12-25,,,,
2013-12-26,89.23,89.0,88.9,88.75
2013-12-27,89.51,89.2,89.02,88.82
2013-12-30,89.62,89.59,89.19,89.14
2013-12-31,90.79,90.73,89.85,89.52
2014-01-01,,,,
2014-01-02,91.08,89.46,90.95,89.38
2014-01-03,90.08,89.74,89.15,88.63
2014-01-06,90.25,89.69,89.7,89.36
2014-01-07,90.7,89.33,90.14,89.0
2014-01-08,89.65,89.41,88.51,88.51
2014-01-09,89.93,88.87,89.78,88.07
2014-01-10,89.56,88.55,89.26,88.1
2014-01-13,89.0,86.99,88.37,86.88
2014-01-14,87.45,87.12,87.24,86.07
2014-01-15,88.54,88.24,87.62,87.08
2014-01-16,88.24,87.76,88.09,87.26
2014-01-17,93.64,90.97,92.0,90.55
2014-01-20,,,,
2014-01-21,92.71,90.58,92.09,89.63
2014-01-22,91.42,91.14,90.64,90.62
2014-01-23,90.49,89.17,90.49,88.68
2014-01-24,89.37,86.94,88.74,86.66
2014-01-27,87.77,85.71,87.04,85.71
2014-01-28,87.18,86.63,85.85,85.6
2014-01-29,86.9,85.55,86.37,85.43
2014-01-30,86.98,86.66,86.45,86.07
2014-01-31,85.92,84.98,85.31,84.91
2014-02-03,85.42,82.89,84.99,82.77
2014-02-04,84.71,84.0,83.2,82.63
2014-02-05,84.12,83.73,83.3,82.94
2014-02-06,85.77,85.7,84.5,84.32
2014-02-07,87.18,86.98,85.96,85.78
2014-02-10,88.96,88.36,87.94,87.5
2014-02-11,88.84,88.56,88.48,88.17
2014-02-12,89.05,89.01,88.69,88.4
2014-02-13,88.98,88.87,88.44,88.01
2014-02-14,89.29,88.99,88.86,88.26
2014-02-17,,,,
2014-02-18,89.14,89.02,89.08,88.29
2014-02-19,90.32,88.85,88.89,88.67
2014-02-20,89.23,89.01,88.8,88.12
2014-02-21,89.41,88.75,89.2,88.56
2014-02-24,90.43,89.92,88.79,88.79
2014-02-25,90.38,89.93,90.0,89.15
2014-02-26,90.69,89.72,90.06,89.21
2014-02-27,90.43,90.3,89.65,89.51
2014-02-28,92.14,91.34,90.25,90.09
2014-03-03,90.64,89.96,90.52,89.16
2014-03-04,92.68,92.58,91.05,91.03
2014-03-05,92.6,92.14,92.59,91.91
2014-03-06,93.64,93.53,92.48,92.36
2014-03-07,94.35,93.85,94.11,93.36
2014-03-10,93.92,93.71,93.56,93.14
2014-03-11,93.88,93.21,93.72,93.02
2014-03-12,92.92,92.9,92.68,91.9
2014-03-13,93.48,90.71,93.19,90.41
2014-03-14,91.22,90.19,90.55,89.63
2014-03-17,91.73,91.26,90.66,90.49
2014-03-18,91.97,91.57,91.27,91.13
2014-03-19,91.96,90.73,91.67,90.28
2014-03-20,91.9,91.69,90.48,90.22
2014-03-21,93.18,91.53,92.78,91.36
2014-03-24,91.76,91.01,91.64,90.29
2014-03-25,91.9,90.85,91.37,90.63
2014-03-26,91.69,89.65,91.36,89.63
2014-03-27,90.43,89.99,89.57,89.27
2014-03-28,91.56,90.45,89.82,89.82
2014-03-31,91.94,90.03,91.08,89.88
2014-04-01,91.23,91.15,90.48,90.21
2014-04-02,91.09,90.4,90.85,90.13
2014-04-03,91.2,90.95,90.67,90.4
2014-04-04,91.4,89.17,91.17,89.07
2014-04-07,89.43,86.61,89.03,86.55
2014-04-08,86.8,86.49,86.63,85.58
2014-04-09,88.72,88.72,86.9,86.63
2014-04-10,88.75,85.37,88.47,85.3
2014-04-11,85.44,84.54,84.9,83.99
2014-04-14,86.34,85.49,85.09,84.04
2014-04-15,86.73,86.05,85.87,84.32
2014-04-16,87.48,87.41,86.84,86.47
2014-04-17,87.92,86.21,87.16,85.1
2014-04-18,,,,
2014-04-21,86.86,86.66,86.13,86.13
2014-04-22,87.44,87.1,86.86,86.43
2014-04-23,87.64,87.12,87.01,86.67
2014-04-24,87.98,87.41,87.26,86.91
2014-04-25,87.3,87.02,87.02,86.6
2014-04-28,87.58,87.06,87.44,85.85
2014-04-29,87.95,87.78,87.34,87.19
2014-04-30,87.67,87.45,87.61,86.95
2014-05-01,87.57,86.8,87.53,86.33
2014-05-02,87.31,86.92,87.05,86.41
2014-05-05,87.42,87.35,86.0,85.73
2014-05-06,87.25,86.21,87.25,86.08
2014-05-07,88.05,87.97,86.79,86.11
2014-05-08,89.28,88.63,87.88,87.66
2014-05-09,89.03,88.84,88.46,88.13
2014-05-12,89.97,89.65,89.27,89.27
2014-05-13,90.0,89.08,89.65,89.04
2014-05-14,89.43,88.46,89.03,88.31
2014-05-15,88.6,87.61,88.2,87.1
2014-05-16,87.76,87.5,87.6,86.9
2014-05-19,88.22,88.12,87.18,87.09
2014-05-20,88.05,87.09,87.82,86.86
2014-05-21,88.14,87.85,87.4,87.28
2014-05-22,88.39,88.15,87.84,87.55
2014-05-23,88.86,88.79,88.11,88.0
