,HIGH,CLOSE,OPEN,LOW
2013-05-31,100.95,99.02,100.21,99.02
2013-06-03,100.9,100.75,99.36,99.3
2013-06-04,100.92,99.63,100.48,99.08
2013-06-05,99.71,98.5,99.34,98.05
2013-06-06,99.81,99.76,98.65,98.42
2013-06-07,102.59,102.48,100.25,100.06
2013-06-10,102.95,102.23,102.51,101.51
2013-06-11,102.78,101.76,101.61,100.9
2013-06-12,102.42,100.89,102.19,100.61
2013-06-13,102.34,102.18,100.96,100.85
2013-06-14,103.22,101.83,102.16,101.5
2013-06-17,103.52,103.03,102.69,102.52
2013-06-18,104.15,104.07,103.22,102.65
2013-06-19,104.15,102.27,104.01,102.24
2013-06-20,101.78,99.65,101.46,99.38
2013-06-21,100.14,99.9,100.1,97.42
2013-06-24,99.46,97.87,99.09,96.31
2013-06-25,99.66,98.69,99.26,98.18
2013-06-26,101.39,100.73,99.65,99.57
2013-06-27,103.52,103.17,102.41,102.01
2013-06-28,103.49,102.32,102.94,102.32
2013-07-01,104.02,103.25,102.92,102.92
2013-07-02,103.25,101.46,103.22,100.82
2013-07-03,103.04,102.32,101.01,100.78
2013-07-04,,,,
2013-07-05,104.15,104.13,103.7,102.75
2013-07-08,105.1,104.37,104.06,103.44
2013-07-09,105.75,104.65,105.21,104.46
2013-07-10,105.6,105.5,104.42,104.41
2013-07-11,107.46,106.89,106.43,106.29
2013-07-12,108.15,101.78,106.87,98.99
2013-07-15,105.87,105.67,103.9,103.1
2013-07-16,105.8,104.22,105.69,103.78
2013-07-17,105.43,104.74,104.4,104.4
2013-07-18,107.98,107.63,104.82,104.8
2013-07-19,107.13,106.96,107.13,105.61
2013-07-22,107.32,106.87,107.08,106.45
2013-07-23,107.98,107.82,107.18,106.34
2013-07-24,109.49,106.94,109.15,106.26
2013-07-25,107.12,106.69,106.36,105.85
2013-07-26,106.2,105.6,106.04,105.31
2013-07-29,105.12,104.8,103.51,103.47
2013-07-30,106.01,105.73,104.9,104.8
2013-07-31,106.28,105.15,105.99,104.99
2013-08-01,107.0,106.64,105.99,105.78
2013-08-02,107.95,107.86,106.21,106.03
2013-08-05,107.8,107.49,107.17,107.14
2013-08-06,107.71,107.04,107.35,106.62
2013-08-07,106.68,106.42,106.21,105.53
2013-08-08,107.24,105.84,106.81,105.83
2013-08-09,106.15,105.29,105.37,104.84
2013-08-12,105.07,104.24,104.83,104.05
2013-08-13,106.55,106.24,104.31,104.27
2013-08-14,106.16,104.14,106.16,104.07
2013-08-15,103.29,102.73,103.19,101.77
2013-08-16,103.94,103.5,102.78,102.7
2013-08-19,105.2,104.75,103.22,102.88
2013-08-20,105.08,104.64,104.69,104.55
2013-08-21,104.76,103.91,104.37,103.6
2013-08-22,105.5,105.18,104.07,104.01
2013-08-23,105.5,105.42,105.41,104.8
2013-08-26,106.52,105.55,105.75,105.21
2013-08-27,105.14,103.21,104.44,103.06
2013-08-28,103.82,103.35,103.06,102.57
2013-08-29,105.43,104.91,103.27,103.0
2013-08-30,104.96,103.85,104.93,103.6
2013-09-02,,,,
2013-09-03,105.83,105.04,105.13,104.66
2013-09-04,107.12,106.37,105.05,104.77
2013-09-05,106.98,106.63,106.16,105.67
2013-09-06,107.38,106.08,106.95,105.11
2013-09-09,107.38,107.2,106.58,106.56
2013-09-10,108.45,108.15,107.64,107.4
2013-09-11,109.22,109.2,108.24,107.8
2013-09-12,110.22,109.79,109.19,109.14
2013-09-13,111.33,111.32,109.93,109.56
2013-09-16,115.89,115.69,113.73,113.26
2013-09-17,117.48,117.12,115.49,115.49
2013-09-18,119.52,118.4,117.28,116.55
2013-09-19,120.38,119.05,119.3,118.81
2013-09-20,119.22,117.11,118.98,117.07
2013-09-23,118.37,117.54,117.19,115.8
2013-09-24,119.89,119.03,117.14,116.8
2013-09-25,119.61,118.55,119.5,118.16
2013-09-26,119.5,119.4,118.71,118.53
2013-09-27,119.17,118.69,118.51,117.79
2013-09-30,117.89,117.49,117.35,116.37
2013-10-01,118.3,117.77,117.98,117.08
2013-10-02,117.83,117.76,117.38,116.28
2013-10-03,117.49,115.23,117.35,114.73
2013-10-04,117.26,117.25,115.27,115.25
2013-10-07,117.17,116.69,115.35,115.35
2013-10-08,117.32,115.5,116.67,115.42
2013-10-09,115.39,114.53,115.29,113.34
2013-10-10,119.0,118.94,116.1,115.91
2013-10-11,119.4,117.98,118.6,117.83
2013-10-14,119.55,119.44,117.42,116.69
2013-10-15,119.59,118.18,119.45,118.14
2013-10-16,120.66,120.35,118.78,118.75
2013-10-17,122.39,122.18,119.81,119.81
2013-10-18,122.86,122.45,122.5,121.25
2013-10-21,122.74,121.46,122.74,121.06
2013-10-22,123.8,122.39,121.97,121.88
2013-10-23,129.99,129.03,126.0,125.9
2013-10-24,129.57,128.97,129.01,127.94
2013-10-25,131.43,131.2,129.4,128.22
2013-10-28,130.46,129.89,128.67,128.64
2013-10-29,129.88,129.67,129.26,128.76
2013-10-30,131.43,129.66,129.56,129.02
2013-10-31,131.88,130.59,129.84,129.55
2013-11-01,133.5,133.05,131.0,130.93
2013-11-04,133.99,132.78,133.15,132.46
2013-11-05,133.74,133.56,132.03,130.59
2013-11-06,134.58,133.1,134.06,132.68
2013-11-07,133.93,131.59,133.44,131.35
2013-11-08,133.9,133.5,131.43,130.95
2013-11-11,133.33,132.5,133.14,132.12
2013-11-12,133.08,132.31,132.4,131.97
2013-11-13,133.45,133.17,131.92,131.1
2013-11-14,135.38,135.1,133.7,133.17
2013-11-15,136.57,136.12,135.36,134.54
2013-11-18,142.0,138.36,140.36,137.77
2013-11-19,138.79,136.98,138.5,136.7
2013-11-20,135.89,132.49,135.68,132.29
2013-11-21,133.29,132.92,132.49,131.2
2013-11-22,136.12,135.97,133.49,133.43
2013-11-25,134.74,133.08,134.03,130.58
2013-11-26,135.44,134.76,133.0,132.56
2013-11-27,136.3,134.72,135.05,134.17
2013-11-28,,,,
2013-11-29,135.23,134.26,134.82,134.18
2013-12-02,135.46,134.15,135.09,133.62
2013-12-03,133.93,131.99,133.93,131.92
2013-12-04,132.15,131.5,131.73,130.55
2013-12-05,133.1,132.71,131.26,131.25
2013-12-06,135.75,135.22,134.59,134.0
2013-12-09,135.95,134.67,135.55,134.57
2013-12-10,135.04,133.71,133.65,132.18
2013-12-11,133.81,132.55,133.61,132.43
2013-12-12,133.65,132.99,132.12,131.9
2013-12-13,134.25,133.88,133.45,133.05
2013-12-16,135.2,134.72,134.27,133.94
2013-12-17,138.15,135.88,138.15,135.36
2013-12-18,136.44,135.54,136.11,132.84
2013-12-19,136.23,135.16,135.0,133.94
2013-12-20,137.86,136.88,135.76,135.49
2013-12-23,138.09,136.42,138.0,136.32
2013-12-24,136.98,136.83,136.4,136.14
2013-12-25,,,,
2013-12-26,138.59,138.26,137.18,137.17
2013-12-27,138.88,136.89,138.69,136.79
2013-12-30,137.46,135.92,137.16,135.54
2013-12-31,137.05,136.49,136.0,135.74
2014-01-01,,,,
2014-01-02,137.26,136.68,136.0,135.5
2014-01-03,138.5,137.56,137.06,137.05
2014-01-06,139.76,138.41,139.4,137.8
2014-01-07,141.1,140.52,138.58,138.5
2014-01-08,141.4,140.79,140.67,139.36
2014-01-09,142.52,142.14,141.49,140.54
2014-01-10,142.8,141.86,142.79,140.9
2014-01-13,142.14,140.69,141.58,140.38
2014-01-14,141.7,139.98,140.85,137.8
2014-01-15,141.08,140.57,140.31,140.1
2014-01-16,141.45,140.13,140.33,140.07
2014-01-17,141.02,140.45,140.09,139.75
2014-01-20,,,,
2014-01-21,142.46,141.68,141.31,140.8
2014-01-22,144.57,144.4,142.2,141.86
2014-01-23,143.89,141.3,143.0,141.29
2014-01-24,140.49,136.67,140.4,136.32
2014-01-27,138.47,137.38,136.95,135.65
2014-01-28,138.1,137.09,137.59,136.42
