,HIGH,CLOSE,OPEN,LOW
2013-05-31,86.95,85.8,86.23,85.8
2013-06-03,86.3,86.13,85.91,85.74
2013-06-04,86.47,85.92,85.95,85.44
2013-06-05,85.73,84.42,85.47,84.23
2013-06-06,84.31,84.0,84.3,83.3
2013-06-07,85.37,84.65,84.65,83.64
2013-06-10,84.77,83.8,84.71,83.63
2013-06-11,83.97,83.52,83.03,82.63
2013-06-12,84.38,83.21,84.17,83.01
2013-06-13,85.28,85.14,83.32,83.19
2013-06-14,85.14,83.87,85.01,83.4
2013-06-17,84.43,83.92,83.55,83.42
2013-06-18,84.87,84.55,84.09,83.96
2013-06-19,85.29,84.25,84.5,84.25
2013-06-20,83.68,83.2,83.19,82.35
2013-06-21,84.02,83.12,84.02,81.93
2013-06-24,82.25,81.52,82.06,80.86
2013-06-25,82.68,82.33,82.34,81.97
2013-06-26,83.43,82.1,82.92,81.7
2013-06-27,83.17,82.96,82.55,82.55
2013-06-28,83.19,82.49,82.76,82.31
2013-07-01,83.25,82.72,83.04,82.27
2013-07-02,83.59,82.48,82.77,82.04
2013-07-03,82.5,81.85,82.15,81.56
2013-07-04,,,,
2013-07-05,82.63,82.14,82.53,81.4
2013-07-08,83.2,83.2,82.4,82.25
2013-07-09,86.25,85.33,84.07,83.72
2013-07-10,85.77,84.96,85.42,84.79
2013-07-11,86.89,86.7,86.46,86.1
2013-07-12,87.27,87.17,86.63,86.54
2013-07-15,88.03,87.4,87.24,87.19
2013-07-16,88.53,88.17,87.72,87.42
2013-07-17,89.0,86.67,88.45,85.88
2013-07-18,86.6,85.72,85.88,85.42
2013-07-19,85.89,85.65,85.45,85.15
2013-07-22,86.55,86.0,85.38,85.38
2013-07-23,86.38,85.52,85.49,85.12
2013-07-24,85.28,83.44,84.58,82.64
2013-07-25,82.58,82.14,82.05,81.35
2013-07-26,82.08,82.06,81.88,81.43
2013-07-29,83.35,83.02,82.42,82.0
2013-07-30,83.75,83.19,83.47,82.66
2013-07-31,83.9,82.91,83.58,82.84
2013-08-01,84.81,84.44,83.62,83.11
2013-08-02,84.68,84.3,84.29,83.5
2013-08-05,84.29,83.56,84.11,83.5
2013-08-06,83.32,82.53,83.31,82.15
2013-08-07,82.77,82.43,82.38,81.8
2013-08-08,84.59,83.96,82.95,82.92
2013-08-09,84.79,84.51,83.8,83.5
2013-08-12,86.45,86.32,84.19,84.06
2013-08-13,87.43,86.57,86.62,86.45
2013-08-14,87.0,85.82,86.86,85.71
2013-08-15,86.53,85.86,84.96,84.88
2013-08-16,86.4,85.16,85.85,85.14
2013-08-19,85.5,84.2,85.15,83.95
2013-08-20,84.46,83.86,83.8,83.27
2013-08-21,83.85,82.94,83.52,82.83
2013-08-22,84.49,84.17,83.31,83.06
2013-08-23,84.4,83.89,84.38,83.4
2013-08-26,84.78,83.56,83.98,83.52
2013-08-27,83.54,82.7,82.88,82.48
2013-08-28,82.66,82.45,81.81,81.46
2013-08-29,83.06,82.53,82.5,82.02
2013-08-30,82.76,82.54,82.59,82.21
2013-09-02,,,,
2013-09-03,83.54,82.51,83.15,81.72
2013-09-04,83.74,83.54,82.75,82.3
2013-09-05,83.52,82.95,83.37,82.71
2013-09-06,84.22,83.39,83.22,82.4
2013-09-09,86.03,85.59,84.04,84.02
2013-09-10,86.89,86.61,86.81,86.18
2013-09-11,87.13,87.13,86.5,86.26
2013-09-12,87.22,86.84,86.94,86.62
2013-09-13,87.2,87.01,87.1,86.38
2013-09-16,88.22,87.18,87.96,87.03
2013-09-17,87.45,87.07,87.36,86.67
2013-09-18,88.01,87.84,86.31,86.2
2013-09-19,88.25,87.75,88.04,87.31
2013-09-20,87.65,84.75,87.61,84.75
2013-09-23,85.39,85.03,85.0,84.38
2013-09-24,85.44,85.11,85.13,84.53
2013-09-25,85.55,84.5,85.14,84.43
2013-09-26,84.85,84.2,84.59,83.9
