,HIGH,CLOSE,OPEN,LOW
2013-05-31,24.53,24.09,24.2,24.09
2013-06-03,24.5,24.38,24.23,24.03
2013-06-04,24.6,24.36,24.27,24.03
2013-06-05,24.64,24.31,24.27,24.21
2013-06-06,24.69,24.56,24.52,24.24
2013-06-07,24.78,24.5,24.63,24.38
2013-06-10,24.67,24.35,24.52,24.28
2013-06-11,24.44,24.08,24.13,24.05
2013-06-12,24.31,23.99,24.22,23.98
2013-06-13,24.4,24.35,23.93,23.88
2013-06-14,24.5,24.09,24.29,24.08
2013-06-17,24.96,24.71,24.26,24.23
2013-06-18,24.98,24.83,24.71,24.7
2013-06-19,24.96,24.68,24.78,24.68
2013-06-20,24.73,24.43,24.47,24.3
2013-06-21,24.62,24.49,24.38,24.21
2013-06-24,24.47,24.04,24.32,24.04
2013-06-25,24.44,24.0,24.31,23.99
2013-06-26,24.45,24.39,24.3,24.18
2013-06-27,24.71,24.63,24.48,24.46
2013-06-28,24.61,24.3,24.43,24.3
2013-07-01,24.83,24.33,24.42,24.31
2013-07-02,24.64,24.29,24.24,24.22
2013-07-03,24.84,24.61,24.35,24.27
2013-07-04,,,,
2013-07-05,24.67,24.57,24.63,24.25
2013-07-08,24.75,24.63,24.66,24.39
2013-07-09,25.2,25.15,24.76,24.74
2013-07-10,25.56,25.41,25.07,25.06
2013-07-11,25.93,25.86,25.61,25.57
2013-07-12,25.95,25.93,25.84,25.66
2013-07-15,25.99,25.94,25.78,25.64
2013-07-16,25.99,25.72,25.86,25.63
2013-07-17,25.86,25.72,25.8,25.6
2013-07-18,26.15,25.86,25.87,25.73
2013-07-19,26.01,25.83,25.86,25.62
2013-07-22,26.05,25.72,26.0,25.48
2013-07-23,25.78,25.56,25.75,25.49
2013-07-24,25.99,25.6,25.84,25.45
2013-07-25,25.62,25.5,25.6,25.31
2013-07-26,25.5,25.5,25.25,25.22
2013-07-29,25.47,25.34,25.36,25.23
2013-07-30,26.04,25.67,25.5,25.42
2013-07-31,25.89,25.56,25.8,25.55
2013-08-01,25.92,25.9,25.77,25.65
2013-08-02,26.19,26.18,25.8,25.73
2013-08-05,26.42,26.31,26.12,26.11
2013-08-06,26.42,26.21,26.41,26.06
2013-08-07,26.49,26.13,26.31,26.12
2013-08-08,26.32,26.26,26.27,26.18
2013-08-09,26.35,26.05,26.3,25.86
2013-08-12,26.45,26.34,25.86,25.85
2013-08-13,26.48,26.32,26.43,26.07
2013-08-14,26.45,26.37,26.45,25.97
2013-08-15,24.83,24.5,24.4,24.28
2013-08-16,24.66,24.26,24.52,24.25
2013-08-19,24.66,24.27,24.32,24.25
2013-08-20,24.56,24.33,24.28,24.22
2013-08-21,24.48,24.08,24.36,24.05
2013-08-22,24.22,24.01,24.08,23.96
2013-08-23,24.17,23.85,24.07,23.84
2013-08-26,24.05,23.83,23.84,23.76
2013-08-27,23.79,23.48,23.72,23.44
2013-08-28,23.58,23.44,23.55,23.37
2013-08-29,23.75,23.45,23.48,23.45
2013-08-30,23.55,23.31,23.46,23.22
2013-09-02,,,,
2013-09-03,23.77,23.49,23.58,23.46
2013-09-04,23.92,23.77,23.52,23.5
2013-09-05,23.84,23.69,23.82,23.53
2013-09-06,23.84,23.55,23.82,23.39
2013-09-09,23.98,23.93,23.61,23.58
2013-09-10,24.25,24.15,24.02,24.0
2013-09-11,24.41,24.38,24.18,24.18
2013-09-12,24.45,24.29,24.41,24.24
2013-09-13,24.41,24.32,24.36,24.2
2013-09-16,24.47,24.38,24.43,24.13
2013-09-17,24.55,24.38,24.34,24.3
2013-09-18,24.8,24.79,24.35,24.3
2013-09-19,24.75,24.61,24.5,24.41
2013-09-20,24.75,24.51,24.73,24.43
