,HIGH,CLOSE,OPEN,LOW
2013-05-31,57.25,55.79,56.06,55.79
2013-06-03,56.15,56.12,55.84,55.42
2013-06-04,56.47,55.78,56.13,55.39
2013-06-05,55.78,54.61,55.56,54.46
2013-06-06,54.84,54.79,54.66,53.88
2013-06-07,55.72,55.42,55.18,54.93
2013-06-10,55.72,55.52,55.66,54.95
2013-06-11,55.36,54.83,54.98,54.51
2013-06-12,55.64,54.24,55.43,54.18
2013-06-13,54.49,53.88,53.45,53.36
2013-06-14,53.7,52.67,53.09,52.16
2013-06-17,53.94,53.7,52.97,52.93
2013-06-18,54.07,54.02,53.97,53.7
2013-06-19,54.3,53.47,53.98,53.46
2013-06-20,53.13,52.6,52.71,52.36
2013-06-21,53.13,52.9,53.05,52.28
2013-06-24,53.01,52.65,52.52,52.02
2013-06-25,53.12,52.89,53.1,52.39
2013-06-26,53.67,53.55,53.26,52.73
2013-06-27,54.1,53.58,53.86,53.39
2013-06-28,53.54,52.5,53.47,52.49
2013-07-01,53.32,52.71,52.24,52.04
2013-07-02,53.03,52.53,52.69,52.28
2013-07-03,52.59,52.4,52.58,52.19
2013-07-04,,,,
2013-07-05,53.05,53.0,52.64,52.46
2013-07-08,53.87,53.75,53.69,53.42
2013-07-09,54.0,53.9,53.77,53.61
2013-07-10,54.18,53.92,53.97,53.63
2013-07-11,54.79,54.55,54.64,54.13
2013-07-12,54.62,54.39,54.57,54.06
2013-07-15,54.83,54.64,54.51,54.36
2013-07-16,54.74,54.39,54.63,54.1
2013-07-17,57.68,57.25,54.64,54.64
2013-07-18,57.88,57.48,56.94,56.93
2013-07-19,57.39,57.13,57.28,56.9
2013-07-22,57.45,57.17,56.98,56.91
2013-07-23,60.4,57.12,59.72,57.0
2013-07-24,57.5,57.38,56.85,56.5
2013-07-25,57.69,57.6,57.04,57.01
2013-07-26,57.68,57.63,57.32,57.11
2013-07-29,57.66,57.54,57.33,57.12
2013-07-30,57.81,57.68,57.74,57.16
2013-07-31,58.74,57.74,57.89,57.61
2013-08-01,58.61,58.44,58.2,58.1
2013-08-02,60.18,59.91,59.92,59.34
2013-08-05,59.95,59.58,59.72,59.3
2013-08-06,59.73,59.22,59.59,59.04
2013-08-07,59.78,59.61,59.39,59.05
2013-08-08,60.15,59.77,59.89,59.31
2013-08-09,59.98,59.75,59.6,59.29
2013-08-12,59.98,59.87,59.51,59.29
2013-08-13,59.97,59.71,59.85,59.06
2013-08-14,59.83,59.38,59.59,59.21
2013-08-15,58.93,58.76,58.9,58.37
2013-08-16,58.85,58.28,58.66,58.16
2013-08-19,58.3,57.53,58.09,57.47
2013-08-20,57.81,57.56,57.43,57.31
2013-08-21,57.62,57.14,57.41,57.06
2013-08-22,57.64,57.54,57.32,57.17
2013-08-23,58.0,57.89,57.66,57.34
2013-08-26,58.16,57.56,57.8,57.55
2013-08-27,57.24,56.75,56.92,56.64
2013-08-28,56.94,56.8,56.58,56.26
2013-08-29,56.92,56.63,56.64,56.5
2013-08-30,56.86,56.61,56.67,56.46
2013-09-02,,,,
2013-09-03,57.33,56.38,57.07,56.08
2013-09-04,57.55,57.24,56.23,56.23
2013-09-05,57.86,57.61,57.65,57.2
2013-09-06,57.99,57.09,57.7,56.53
2013-09-09,57.83,57.48,57.36,57.36
2013-09-10,58.44,58.04,57.96,57.65
2013-09-11,58.83,58.83,58.36,58.09
2013-09-12,58.96,58.06,58.92,57.84
2013-09-13,59.02,58.88,58.29,58.17
2013-09-16,59.84,59.67,59.74,59.24
2013-09-17,59.92,59.62,59.77,59.29
2013-09-18,60.57,60.44,59.31,59.12
2013-09-19,60.86,60.34,60.44,60.27
2013-09-20,60.74,59.64,60.44,59.5
2013-09-23,59.88,59.42,59.49,59.25
2013-09-24,59.91,59.32,59.44,59.18
2013-09-25,59.73,59.31,59.31,59.2
2013-09-26,59.79,59.5,59.32,59.22
2013-09-27,59.38,59.0,59.36,58.94
2013-09-30,58.88,58.56,58.36,58.24
2013-10-01,58.71,58.7,58.57,58.2
2013-10-02,59.04,58.97,58.34,58.29
2013-10-03,58.88,57.78,58.7,57.72
2013-10-04,58.72,58.64,57.74,57.5
2013-10-07,58.74,58.11,58.1,57.89
2013-10-08,57.94,57.08,57.93,57.04
2013-10-09,57.17,56.94,57.06,56.46
2013-10-10,58.33,58.25,57.58,57.41
2013-10-11,58.48,57.91,58.48,57.47
2013-10-14,58.43,58.35,57.48,57.48
2013-10-15,58.7,58.15,58.18,58.03
2013-10-16,59.28,59.05,58.61,58.3
2013-10-17,59.66,59.62,59.11,58.87
2013-10-18,59.87,59.61,59.82,59.33
2013-10-21,59.62,59.45,59.39,59.12
2013-10-22,60.38,60.16,59.92,59.33
2013-10-23,60.55,60.22,60.47,59.9
2013-10-24,61.58,61.39,60.29,60.0
2013-10-25,62.71,61.91,62.71,61.42
2013-10-28,61.9,61.56,61.89,61.33
2013-10-29,61.74,61.47,61.66,61.33
2013-10-30,61.72,61.01,61.46,60.66
2013-10-31,61.83,61.21,61.0,60.91
2013-11-01,61.57,61.11,61.15,60.84
2013-11-04,60.75,60.31,60.18,59.71
2013-11-05,60.4,60.3,59.82,59.76
2013-11-06,60.83,60.74,60.44,60.3
2013-11-07,61.46,60.86,61.04,60.71
2013-11-08,62.0,62.0,60.75,60.69
2013-11-11,62.09,62.08,61.94,61.74
2013-11-12,62.34,62.06,61.97,61.77
2013-11-13,61.54,60.93,61.38,60.37
2013-11-14,61.8,61.78,61.7,61.28
2013-11-15,62.12,62.09,61.77,61.57
2013-11-18,62.26,61.7,62.09,61.62
2013-11-19,61.82,61.48,61.73,61.27
2013-11-20,61.6,60.79,61.6,60.59
2013-11-21,61.61,61.6,61.03,60.97
2013-11-22,61.72,61.69,61.59,61.28
2013-11-25,62.19,61.58,62.0,61.38
2013-11-26,61.74,61.32,61.6,61.16
2013-11-27,61.81,61.55,61.5,61.3
2013-11-28,,,,
2013-11-29,61.8,61.37,61.59,61.34
2013-12-02,62.24,61.72,61.85,61.59
2013-12-03,61.5,60.49,61.45,60.32
2013-12-04,60.6,60.26,60.15,59.88
2013-12-05,60.56,60.1,60.16,59.97
2013-12-06,61.37,61.32,60.58,60.58
2013-12-09,61.6,61.39,61.48,61.09
2013-12-10,61.63,61.45,61.25,61.1
2013-12-11,61.7,60.28,61.7,60.2
2013-12-12,60.41,59.95,60.23,59.85
2013-12-13,60.4,60.24,60.19,59.96
2013-12-16,61.17,60.85,60.52,60.52
2013-12-17,61.41,61.18,60.62,60.41
2013-12-18,62.19,62.19,61.28,60.62
2013-12-19,62.74,62.71,61.69,61.69
