,HIGH,CLOSE,OPEN,LOW
2013-05-31,65.03,63.08,64.57,63.07
2013-06-03,63.82,63.79,63.05,62.53
2013-06-04,64.93,64.36,63.93,63.86
2013-06-05,64.12,63.12,64.06,62.8
2013-06-06,63.32,63.13,63.1,62.04
2013-06-07,64.87,64.84,63.63,63.25
2013-06-10,64.97,63.83,64.91,63.7
2013-06-11,64.3,63.81,63.3,62.97
2013-06-12,64.45,62.99,64.28,62.87
2013-06-13,64.4,64.25,62.9,62.52
2013-06-14,64.43,63.77,64.01,63.63
2013-06-17,65.13,64.5,64.38,64.25
2013-06-18,65.49,65.31,64.61,64.56
2013-06-19,65.55,64.34,65.17,64.34
2013-06-20,63.51,61.97,63.1,61.82
2013-06-21,63.08,62.75,62.62,61.82
2013-06-24,62.99,62.44,62.25,61.82
2013-06-25,63.1,62.58,62.88,62.5
2013-06-26,63.46,63.18,62.95,62.75
2013-06-27,63.97,63.72,63.67,63.45
2013-06-28,64.52,63.19,63.76,63.17
2013-07-01,64.92,63.93,63.91,63.63
2013-07-02,64.14,63.26,63.83,63.08
2013-07-03,63.83,63.43,62.88,62.57
2013-07-04,,,,
2013-07-05,63.95,63.83,63.88,63.11
2013-07-08,64.79,64.69,64.25,64.16
2013-07-09,65.54,64.92,65.34,64.65
2013-07-10,65.3,64.91,64.86,64.57
2013-07-11,66.83,66.61,65.78,65.75
2013-07-12,67.0,66.95,66.33,65.93
2013-07-15,67.36,65.92,67.02,65.87
2013-07-16,66.1,65.03,65.95,64.93
2013-07-17,65.46,65.35,65.33,64.76
2013-07-18,66.37,65.84,65.7,65.66
2013-07-19,66.03,65.15,65.92,64.91
2013-07-22,65.33,64.4,65.06,64.26
2013-07-23,64.77,64.47,64.51,64.32
2013-07-24,65.12,64.63,64.59,64.53
2013-07-25,64.74,64.55,64.36,64.26
2013-07-26,65.07,64.99,64.47,64.11
2013-07-29,65.03,64.61,64.8,64.47
2013-07-30,64.87,64.19,64.7,64.1
2013-07-31,65.12,64.68,64.44,64.38
2013-08-01,65.87,65.35,65.17,65.12
2013-08-02,66.59,66.54,65.55,65.33
2013-08-05,66.54,66.0,66.5,65.61
2013-08-06,67.16,67.03,66.2,65.97
2013-08-07,66.3,65.9,64.91,64.12
2013-08-08,66.46,65.74,66.42,65.21
2013-08-09,65.75,64.72,65.47,64.6
2013-08-12,64.43,63.94,64.07,63.67
2013-08-13,64.18,63.98,64.16,63.4
2013-08-14,64.17,63.96,63.95,63.47
2013-08-15,63.32,62.38,63.24,62.2
2013-08-16,62.5,62.18,61.97,61.71
2013-08-19,62.18,61.84,62.15,61.83
2013-08-20,62.39,61.89,61.8,61.79
2013-08-21,61.88,61.12,61.59,61.09
2013-08-22,61.82,61.65,61.32,61.16
2013-08-23,61.99,61.73,61.96,61.46
2013-08-26,62.11,61.35,61.79,61.33
2013-08-27,61.35,60.68,60.9,60.57
2013-08-28,61.15,60.8,60.44,60.41
2013-08-29,61.52,61.08,60.77,60.55
2013-08-30,61.27,60.79,61.16,60.55
2013-09-02,,,,
2013-09-03,61.99,60.94,61.42,60.6
2013-09-04,61.22,61.11,60.92,60.52
2013-09-05,61.6,61.29,61.07,60.96
2013-09-06,61.83,61.38,61.47,60.63
2013-09-09,61.83,61.59,61.6,61.27
2013-09-10,62.97,62.82,62.16,61.93
2013-09-11,63.93,63.93,63.23,63.13
2013-09-12,66.35,65.5,63.8,63.41
2013-09-13,67.03,66.69,65.9,65.5
2013-09-16,67.65,66.96,67.29,66.88
2013-09-17,67.2,66.99,66.83,66.72
2013-09-18,67.37,67.08,66.67,66.21
2013-09-19,66.5,65.72,66.41,65.4
2013-09-20,65.84,65.0,65.61,64.91
2013-09-23,65.48,64.75,65.04,64.68
2013-09-24,65.16,64.37,64.94,64.29
2013-09-25,64.94,64.48,64.42,64.2
2013-09-26,65.29,65.27,64.36,64.25
2013-09-27,65.43,65.18,65.04,64.69
2013-09-30,64.95,64.52,64.73,64.39
2013-10-01,65.25,64.82,64.37,64.36
2013-10-02,65.35,64.84,64.45,64.4
2013-10-03,64.93,64.02,64.72,63.83
2013-10-04,65.43,65.3,64.0,63.97
2013-10-07,65.31,64.59,64.81,64.57
2013-10-08,64.77,64.0,64.52,63.97
2013-10-09,64.18,63.6,64.02,63.1
2013-10-10,65.67,65.57,64.48,64.29
2013-10-11,66.59,66.22,65.66,65.5
2013-10-14,66.98,66.84,65.88,65.78
2013-10-15,66.94,66.45,66.73,65.93
2013-10-16,66.86,66.34,66.64,66.13
2013-10-17,66.59,66.42,66.22,65.98
2013-10-18,67.27,67.14,66.34,65.99
2013-10-21,67.63,67.6,67.27,67.16
2013-10-22,69.13,69.0,67.88,67.75
2013-10-23,69.2,68.12,68.81,68.02
2013-10-24,69.19,69.07,68.12,68.02
2013-10-25,69.87,69.26,69.27,68.97
2013-10-28,69.48,69.01,69.35,68.92
2013-10-29,69.39,68.92,69.15,68.78
2013-10-30,69.3,68.47,69.19,67.93
2013-10-31,69.3,68.61,68.47,68.35
2013-11-01,69.18,69.01,68.71,68.5
2013-11-04,69.55,68.82,69.47,68.41
2013-11-05,69.06,68.85,68.77,68.06
2013-11-06,69.62,68.98,69.18,68.62
2013-11-07,69.35,67.18,69.34,67.09
2013-11-08,69.41,68.57,66.87,66.72
2013-11-11,68.74,68.34,68.48,68.19
2013-11-12,68.45,67.79,68.33,67.42
2013-11-13,68.99,68.96,67.45,67.3
2013-11-14,70.15,70.02,69.14,69.0
2013-11-15,70.17,69.99,69.77,69.55
2013-11-18,70.09,69.51,70.06,69.33
2013-11-19,69.72,69.12,69.49,69.04
2013-11-20,69.92,69.23,69.12,69.08
2013-11-21,70.0,69.94,69.46,69.27
2013-11-22,70.33,70.18,69.95,69.8
2013-11-25,70.58,69.74,70.54,69.6
2013-11-26,71.69,71.18,69.92,69.9
2013-11-27,71.25,70.77,71.21,70.46
2013-11-28,,,,
2013-11-29,71.27,70.53,71.04,70.39
2013-12-02,71.31,70.9,70.79,70.76
2013-12-03,70.41,69.88,70.22,69.38
2013-12-04,70.48,69.95,69.42,69.32
2013-12-05,70.68,70.23,70.42,70.08
2013-12-06,71.49,71.46,70.97,70.77
2013-12-09,71.51,71.12,71.36,70.92
2013-12-10,71.64,71.58,70.91,70.9
2013-12-11,72.13,70.5,71.73,70.43
2013-12-12,70.02,69.63,69.34,68.8
2013-12-13,70.13,69.6,69.87,69.28
2013-12-16,70.85,70.51,69.91,69.91
2013-12-17,70.9,70.67,70.65,69.83
2013-12-18,72.2,72.2,70.96,70.12
2013-12-19,73.08,72.97,72.14,72.1
2013-12-20,73.56,72.5,73.11,72.34
2013-12-23,73.35,73.28,72.89,72.66
2013-12-24,73.86,73.85,73.25,73.25
2013-12-25,,,,
2013-12-26,74.69,74.62,73.95,73.91
2013-12-27,74.78,74.36,74.65,73.93
2013-12-30,76.54,76.22,74.97,74.87
2013-12-31,76.5,76.4,76.25,75.81
2014-01-01,,,,
2014-01-02,76.5,76.26,76.04,75.9
2014-01-03,76.7,76.1,76.3,76.01
2014-01-06,76.84,75.83,76.41,75.49
2014-01-07,76.71,76.33,76.12,75.9
2014-01-08,76.28,75.22,76.23,74.81
2014-01-09,75.53,74.9,75.44,74.32
2014-01-10,75.51,75.39,75.13,74.69
2014-01-13,75.13,73.25,74.85,73.04
2014-01-14,74.58,74.44,73.71,73.28
2014-01-15,75.1,74.29,74.3,74.25
2014-01-16,74.4,74.22,74.39,73.72
2014-01-17,74.63,73.92,74.44,73.68
2014-01-20,,,,
2014-01-21,74.88,74.2,73.95,73.3
2014-01-22,75.43,75.32,74.01,74.01
2014-01-23,74.95,74.81,74.6,74.15
2014-01-24,74.23,72.72,74.14,72.72
2014-01-27,72.91,72.26,72.5,71.71
2014-01-28,73.0,72.87,72.26,72.23
2014-01-29,72.24,71.34,71.97,71.12
2014-01-30,73.63,73.22,72.09,72.0
2014-01-31,73.32,72.56,72.15,71.8
2014-02-03,72.8,69.99,72.6,69.85
2014-02-04,71.25,71.03,70.94,69.88
2014-02-05,72.05,71.76,72.05,70.37
2014-02-06,76.73,75.56,75.62,74.77
2014-02-07,75.7,75.65,75.24,74.61
2014-02-10,77.31,77.07,75.51,75.51
2014-02-11,77.92,77.78,77.15,77.11
2014-02-12,78.01,77.93,77.66,77.64
2014-02-13,78.25,77.9,77.44,77.2
2014-02-14,79.48,79.21,77.88,77.76
2014-02-17,,,,
2014-02-18,80.0,79.58,79.5,79.43
2014-02-19,79.78,78.87,79.3,78.8
2014-02-20,79.65,79.19,79.21,78.84
2014-02-21,80.45,80.13,78.96,78.8
2014-02-24,81.59,80.73,80.43,80.43
2014-02-25,81.35,80.21,80.72,80.04
2014-02-26,80.95,80.1,80.63,79.59
2014-02-27,80.59,80.5,80.0,79.85
2014-02-28,81.6,80.82,80.67,80.17
2014-03-03,80.65,79.46,80.31,78.85
2014-03-04,82.17,81.69,80.55,80.54
2014-03-05,83.21,82.69,82.1,82.02
