,HIGH,CLOSE,OPEN,LOW
2012-12-05,13089.07,13034.49,12962.53,12923.75
2012-12-06,13076.8,13074.04,13026.27,13007.92
2012-12-07,13156.55,13155.13,13073.02,13073.02
2012-12-10,13195.2,13169.88,13154.66,13139.39
2012-12-11,13305.27,13248.44,13170.42,13170.42
2012-12-12,13329.44,13245.45,13249.98,13227.48
2012-12-13,13264.41,13170.72,13241.68,13147.19
2012-12-14,13190.38,13135.01,13170.88,13118.66
2012-12-17,13243.83,13235.39,13135.24,13135.24
2012-12-18,13365.78,13350.96,13236.61,13232.58
2012-12-19,13357.7,13251.97,13351.04,13251.74
2012-12-20,13312.8,13311.72,13246.67,13216.19
2012-12-21,13309.72,13190.84,13309.72,13122.53
2012-12-24,13190.31,13139.08,13190.31,13128.55
2012-12-25,,,,
2012-12-26,13174.72,13114.59,13138.85,13077.03
2012-12-27,13141.59,13096.31,13114.97,12964.15
2012-12-28,13095.08,12938.11,13095.08,12927.21
2012-12-31,13108.52,13104.14,12938.72,12884.43
2013-01-01,,,,
2013-01-02,13412.71,13412.55,13104.3,13104.3
2013-01-03,13430.54,13391.36,13413.09,13358.43
2013-01-04,13446.96,13435.21,13391.2,13376.23
2013-01-07,13436.05,13384.29,13436.05,13343.71
2013-01-08,13377.34,13328.85,13377.34,13293.2
2013-01-09,13416.55,13390.51,13329.84,13329.84
2013-01-10,13478.1,13471.22,13391.82,13382.68
2013-01-11,13496.57,13488.43,13471.38,13440.05
2013-01-14,13520.18,13507.32,13488.43,13459.84
2013-01-15,13546.37,13534.89,13507.32,13445.8
2013-01-16,13534.89,13511.23,13534.89,13468.96
2013-01-17,13633.89,13596.02,13511.23,13510.24
2013-01-18,13649.93,13649.7,13596.02,13571.86
2013-01-21,,,,
2013-01-22,13712.13,13712.13,13649.7,13622.96
2013-01-23,13794.29,13779.17,13712.21,13710.13
2013-01-24,13879.66,13825.33,13779.33,13779.33
2013-01-25,13895.98,13895.98,13825.33,13825.33
2013-01-28,13915.72,13881.93,13895.98,13862.57
2013-01-29,13969.99,13954.42,13881.93,13880.01
2013-01-30,13966.13,13910.42,13954.42,13896.95
2013-01-31,13941.06,13860.58,13910.42,13860.58
2013-02-01,14019.78,14009.79,13860.58,13860.58
2013-02-04,14009.79,13880.08,14009.79,13866.83
2013-02-05,14013.6,13979.3,13880.08,13880.08
2013-02-06,13991.61,13986.52,13979.3,13913.18
2013-02-07,13988.06,13944.05,13986.52,13852.2
2013-02-08,14022.62,13992.97,13944.05,13944.05
2013-02-11,13992.97,13971.24,13992.97,13940.41
2013-02-12,14038.97,14018.7,13971.24,13968.94
2013-02-13,14029.35,13982.91,14018.7,13945.78
2013-02-14,13990.36,13973.39,13982.91,13921.94
2013-02-15,14001.93,13981.76,13973.39,13906.73
2013-02-18,,,,
2013-02-19,14044.82,14035.67,13981.76,13977.9
2013-02-20,14058.27,13927.54,14035.67,13919.28
2013-02-21,13927.54,13880.62,13927.54,13834.4
2013-02-22,14001.19,14000.57,13880.62,13880.62
2013-02-25,14081.58,13784.17,14000.57,13784.01
2013-02-26,13918.44,13900.13,13784.17,13784.17
2013-02-27,14104.86,14075.37,13900.13,13880.19
2013-02-28,14149.15,14054.49,14075.37,14050.18
2013-03-01,14107.09,14089.66,14054.49,13937.6
2013-03-04,14128.21,14127.82,14089.66,14030.37
2013-03-05,14286.37,14253.77,14127.82,14127.82
2013-03-06,14320.65,14296.24,14253.77,14253.0
2013-03-07,14354.69,14329.49,14296.24,14296.24
2013-03-08,14413.17,14397.07,14329.49,14329.49
2013-03-11,14448.06,14447.29,14397.07,14373.32
2013-03-12,14478.8,14450.06,14447.29,14412.06
2013-03-13,14472.8,14455.28,14450.06,14411.66
2013-03-14,14539.29,14539.14,14455.28,14455.28
2013-03-15,14539.14,14514.11,14539.14,14470.5
2013-03-18,14521.59,14452.06,14514.11,14404.21
2013-03-19,14514.34,14455.82,14452.06,14382.09
2013-03-20,14546.82,14511.73,14455.82,14455.82
2013-03-21,14511.73,14421.49,14511.73,14383.02
2013-03-22,14519.95,14512.03,14421.49,14421.49
2013-03-25,14563.75,14447.75,14512.03,14395.0
2013-03-26,14561.54,14559.65,14447.75,14447.75
2013-03-27,14559.65,14526.16,14559.65,14439.55
2013-03-28,14585.1,14578.54,14526.16,14520.86
2013-03-29,,,,
2013-04-01,14605.72,14572.85,14578.54,14531.48
2013-04-02,14684.49,14662.01,14572.85,14572.85
2013-04-03,14683.13,14550.35,14662.01,14525.36
2013-04-04,14625.24,14606.11,14550.35,14538.72
2013-04-05,14606.11,14565.25,14606.11,14434.43
2013-04-08,14613.48,14613.48,14565.25,14497.8
2013-04-09,14716.46,14673.46,14613.48,14598.5
2013-04-10,14826.66,14802.24,14673.46,14673.46
2013-04-11,14887.51,14865.14,14802.24,14785.36
2013-04-12,14865.21,14865.06,14865.14,14790.57
2013-04-15,14865.06,14599.2,14865.06,14598.58
2013-04-16,14761.73,14756.78,14599.2,14599.2
2013-04-17,14756.78,14618.59,14756.78,14560.81
2013-04-18,14650.26,14537.14,14618.59,14495.29
2013-04-19,14553.73,14547.51,14458.97,14444.03
2013-04-22,14588.83,14567.17,14547.51,14457.6
2013-04-23,14721.42,14719.46,14567.17,14554.29
2013-04-24,14747.42,14676.3,14719.46,14666.54
2013-04-25,14768.05,14700.8,14676.3,14665.45
2013-04-26,14743.49,14712.55,14700.8,14684.82
2013-04-29,14844.96,14818.75,14712.55,14712.55
2013-04-30,14839.8,14839.8,14818.75,14734.47
2013-05-01,14839.8,14700.95,14839.8,14687.05
2013-05-02,14834.63,14831.58,14700.95,14700.95
2013-05-03,15009.59,14973.96,14831.58,14831.58
2013-05-06,14988.87,14968.89,14973.96,14941.09
2013-05-07,15056.67,15056.2,14968.89,14968.89
2013-05-08,15106.81,15105.12,15056.2,15021.87
2013-05-09,15144.83,15082.62,15105.12,15046.87
2013-05-10,15118.49,15118.49,15082.62,15038.18
2013-05-13,15113.42,15091.68,15113.42,15053.46
2013-05-14,15219.55,15215.25,15092.15,15089.3
2013-05-15,15301.34,15275.69,15211.87,15175.39
2013-05-16,15302.49,15233.22,15273.92,15215.82
2013-05-17,15357.4,15354.4,15234.75,15234.75
2013-05-20,15391.84,15335.28,15348.33,15314.15
2013-05-21,15434.5,15387.58,15334.97,15325.68
2013-05-22,15542.4,15307.17,15387.12,15265.96
2013-05-23,15348.41,15294.5,15300.57,15180.23
2013-05-24,15306.71,15303.1,15290.74,15199.63
2013-05-27,,,,
2013-05-28,15521.49,15409.39,15307.33,15307.33
2013-05-29,15400.25,15302.8,15399.94,15229.53
2013-05-30,15398.7,15324.53,15306.02,15280.99
2013-05-31,15392.38,15115.57,15322.22,15115.57
2013-06-03,15254.11,15254.03,15123.55,15123.55
2013-06-04,15304.98,15177.54,15255.22,15100.78
2013-06-05,15168.63,14960.59,15168.1,14945.57
2013-06-06,15040.62,15040.62,14955.45,14844.22
2013-06-07,15255.58,15248.12,15044.46,15044.46
