,HIGH,CLOSE,OPEN,LOW
2013-05-31,23.79,23.34,23.59,23.33
2013-06-03,23.78,23.64,23.37,23.32
2013-06-04,23.76,23.65,23.63,23.41
2013-06-05,23.58,23.32,23.55,23.21
2013-06-06,23.39,23.36,23.23,23.1
2013-06-07,23.95,23.86,23.54,23.47
2013-06-10,23.92,23.78,23.89,23.64
2013-06-11,23.69,23.58,23.49,23.48
2013-06-12,23.73,23.5,23.7,23.42
2013-06-13,23.78,23.67,23.45,23.34
2013-06-14,23.75,23.52,23.68,23.46
2013-06-17,23.85,23.78,23.75,23.65
2013-06-18,24.45,24.34,23.83,23.77
2013-06-19,24.35,24.0,24.21,23.99
2013-06-20,23.69,23.25,23.61,23.2
2013-06-21,23.64,23.39,23.58,23.2
2013-06-24,23.15,22.93,23.12,22.76
2013-06-25,23.25,23.12,23.19,22.93
2013-06-26,23.44,23.24,23.44,23.02
2013-06-27,23.48,23.32,23.41,23.26
2013-06-28,23.44,23.19,23.34,23.16
2013-07-01,23.64,23.34,23.22,23.19
2013-07-02,23.34,22.9,23.28,22.88
2013-07-03,22.98,22.88,22.84,22.76
2013-07-04,,,,
2013-07-05,23.24,23.23,23.17,22.95
2013-07-08,23.53,23.32,23.36,23.27
2013-07-09,23.8,23.63,23.52,23.51
2013-07-10,23.73,23.56,23.72,23.36
2013-07-11,23.96,23.93,23.89,23.63
2013-07-12,24.0,23.73,23.98,23.59
2013-07-15,23.74,23.63,23.74,23.56
2013-07-16,23.67,23.42,23.66,23.34
2013-07-17,23.61,23.54,23.54,23.43
2013-07-18,23.97,23.64,23.6,23.56
2013-07-19,24.95,24.73,24.23,24.1
2013-07-22,24.92,24.86,24.77,24.73
2013-07-23,24.88,24.71,24.88,24.63
2013-07-24,24.84,24.61,24.79,24.56
2013-07-25,24.69,24.68,24.61,24.52
2013-07-26,24.66,24.65,24.66,24.5
2013-07-29,24.6,24.5,24.53,24.46
2013-07-30,24.64,24.49,24.57,24.4
2013-07-31,24.69,24.38,24.57,24.36
2013-08-01,24.87,24.61,24.6,24.52
2013-08-02,24.7,24.69,24.52,24.4
2013-08-05,24.6,24.51,24.57,24.49
2013-08-06,24.5,24.31,24.49,24.25
2013-08-07,24.34,24.34,24.21,24.08
2013-08-08,24.54,24.33,24.47,24.22
2013-08-09,24.44,24.25,24.34,24.21
2013-08-12,24.3,24.27,24.16,24.06
2013-08-13,24.3,24.21,24.3,24.1
2013-08-14,24.29,24.07,24.2,24.05
2013-08-15,24.26,23.99,23.98,23.92
2013-08-16,24.05,23.94,23.87,23.86
2013-08-19,23.96,23.84,23.91,23.76
2013-08-20,23.85,23.74,23.79,23.63
2013-08-21,23.79,23.59,23.72,23.56
2013-08-22,23.8,23.77,23.66,23.61
2013-08-23,23.85,23.76,23.84,23.68
2013-08-26,23.81,23.61,23.74,23.56
2013-08-27,23.39,23.18,23.36,23.11
2013-08-28,23.4,23.21,23.18,23.16
2013-08-29,23.3,23.11,23.16,23.09
2013-08-30,23.5,23.1,23.45,23.04
2013-09-02,,,,
2013-09-03,23.45,23.05,23.31,22.92
2013-09-04,23.18,23.16,22.98,22.96
2013-09-05,23.35,23.14,23.35,23.09
2013-09-06,23.38,23.17,23.16,22.96
2013-09-09,23.46,23.38,23.25,23.18
2013-09-10,23.94,23.88,23.67,23.62
2013-09-11,24.09,24.08,23.96,23.72
2013-09-12,24.2,23.85,24.17,23.77
2013-09-13,23.9,23.78,23.77,23.75
2013-09-16,24.24,24.15,24.05,23.93
2013-09-17,24.47,24.46,24.13,24.11
2013-09-18,24.91,24.84,24.47,24.4
2013-09-19,24.89,24.45,24.82,24.4
2013-09-20,24.56,24.01,24.55,24.0
2013-09-23,24.38,24.28,24.2,24.15
2013-09-24,24.54,24.33,24.23,24.22
2013-09-25,24.48,24.23,24.3,24.2
2013-09-26,24.51,24.25,24.31,23.96
2013-09-27,24.1,24.03,24.1,23.94
2013-09-30,24.08,23.91,23.86,23.82
2013-10-01,24.22,24.18,23.92,23.9
2013-10-02,24.35,24.31,24.14,24.05
2013-10-03,24.25,24.09,24.23,23.84
2013-10-04,24.19,24.04,24.18,23.9
2013-10-07,24.13,23.94,23.85,23.8
2013-10-08,23.92,23.68,23.9,23.67
2013-10-09,23.84,23.57,23.84,23.5
2013-10-10,24.25,24.25,23.91,23.82
2013-10-11,24.49,24.4,24.32,24.2
2013-10-14,24.38,24.38,24.2,24.16
2013-10-15,24.44,24.19,24.28,24.15
2013-10-16,24.4,24.35,24.26,24.13
2013-10-17,24.54,24.49,24.38,24.23
2013-10-18,25.75,25.57,25.21,25.1
2013-10-21,26.35,26.14,25.87,25.79
2013-10-22,26.24,26.01,26.17,25.98
2013-10-23,26.0,25.68,25.98,25.64
2013-10-24,26.02,25.94,25.83,25.67
2013-10-25,26.08,25.89,26.07,25.8
2013-10-28,26.17,26.1,25.85,25.76
2013-10-29,26.3,26.22,26.19,26.07
2013-10-30,26.48,26.37,26.27,26.19
2013-10-31,26.44,26.15,26.35,26.12
2013-11-01,26.64,26.55,26.03,26.03
2013-11-04,26.59,26.44,26.59,26.31
2013-11-05,26.52,26.42,26.32,26.26
2013-11-06,26.98,26.9,26.47,26.45
2013-11-07,27.19,26.62,26.92,26.6
2013-11-08,27.06,27.04,26.42,26.4
2013-11-11,27.04,27.0,27.02,26.89
2013-11-12,27.14,27.06,26.85,26.81
2013-11-13,27.15,27.14,26.97,26.75
2013-11-14,27.2,26.98,27.11,26.86
2013-11-15,27.43,27.21,26.99,26.97
2013-11-18,27.5,27.21,27.27,27.11
2013-11-19,27.33,27.03,27.14,26.92
2013-11-20,27.17,26.96,26.99,26.88
2013-11-21,27.02,26.9,27.01,26.76
2013-11-22,27.09,27.07,26.87,26.85
2013-11-25,27.17,26.82,27.14,26.76
2013-11-26,26.94,26.79,26.71,26.71
2013-11-27,26.92,26.83,26.81,26.75
2013-11-28,,,,
2013-11-29,26.87,26.67,26.75,26.63
2013-12-02,26.74,26.66,26.63,26.56
2013-12-03,26.63,26.56,26.6,26.34
2013-12-04,26.66,26.64,26.34,26.2
2013-12-05,26.66,26.45,26.65,26.34
2013-12-06,26.98,26.93,26.75,26.68
2013-12-09,27.33,27.21,26.89,26.88
2013-12-10,27.39,27.15,27.09,27.07
2013-12-11,27.14,26.57,27.11,26.54
2013-12-12,26.7,26.55,26.49,26.48
2013-12-13,26.94,26.84,26.58,26.51
2013-12-16,27.09,26.98,26.94,26.87
2013-12-17,27.15,27.03,27.1,26.94
2013-12-18,27.47,27.41,27.03,26.84
2013-12-19,27.4,27.31,27.17,26.83
2013-12-20,27.47,27.45,27.23,27.02
2013-12-23,27.5,27.4,27.45,27.27
2013-12-24,27.66,27.61,27.37,27.35
2013-12-25,,,,
2013-12-26,27.96,27.83,27.68,27.6
2013-12-27,27.94,27.84,27.84,27.76
2013-12-30,28.03,27.88,27.84,27.8
2013-12-31,28.09,28.03,27.9,27.83
2014-01-01,,,,
2014-01-02,27.94,27.5,27.86,27.41
2014-01-03,27.6,27.49,27.55,27.41
2014-01-06,27.73,27.26,27.65,27.15
2014-01-07,27.49,27.28,27.47,27.21
2014-01-08,27.36,27.19,27.35,27.12
2014-01-09,27.36,27.22,27.32,26.93
2014-01-10,27.23,26.97,27.19,26.86
2014-01-13,27.1,26.71,26.98,26.68
2014-01-14,27.0,26.97,26.84,26.74
2014-01-15,27.4,27.34,27.11,27.01
2014-01-16,27.3,27.19,27.24,27.08
2014-01-17,26.94,26.56,26.88,26.28
2014-01-20,,,,
2014-01-21,26.78,26.29,26.73,26.04
2014-01-22,26.31,25.99,26.3,25.99
2014-01-23,25.99,25.84,25.98,25.53
2014-01-24,25.59,24.97,25.57,24.95
2014-01-27,25.29,25.07,25.26,24.9
2014-01-28,25.62,25.45,25.35,25.3
2014-01-29,25.52,25.3,25.34,25.16
2014-01-30,25.59,25.51,25.52,25.33
2014-01-31,25.38,25.12,25.21,25.08
2014-02-03,25.22,24.36,25.13,24.32
2014-02-04,24.78,24.56,24.56,24.4
2014-02-05,24.64,24.52,24.48,24.32
2014-02-06,25.1,24.94,24.81,24.62
2014-02-07,25.28,25.17,25.19,25.0
2014-02-10,25.39,25.04,25.39,24.93
2014-02-11,25.52,25.41,25.2,25.16
2014-02-12,25.63,25.41,25.57,25.35
2014-02-13,25.44,25.43,25.23,25.1
2014-02-14,25.85,25.72,25.47,25.38
2014-02-17,,,,
2014-02-18,26.04,25.66,26.02,25.65
2014-02-19,25.77,25.41,25.68,25.39
2014-02-20,25.32,25.13,25.31,25.02
2014-02-21,25.19,24.95,25.12,24.94
2014-02-24,25.45,25.27,25.02,24.96
2014-02-25,25.48,25.28,25.38,25.17
2014-02-26,25.36,25.32,25.33,25.1
2014-02-27,25.56,25.5,25.19,25.15
2014-02-28,25.69,25.47,25.53,25.31
2014-03-03,25.21,25.11,25.16,24.92
2014-03-04,25.73,25.63,25.52,25.46
2014-03-05,25.96,25.94,25.78,25.65
2014-03-06,26.29,26.23,26.06,26.02
2014-03-07,26.35,26.12,26.32,25.97
2014-03-10,26.15,26.04,26.12,25.83
2014-03-11,26.1,25.91,26.06,25.76
2014-03-12,25.83,25.75,25.68,25.63
2014-03-13,26.0,25.35,26.0,25.2
2014-03-14,25.38,25.12,25.23,25.09
2014-03-17,25.63,25.42,25.26,25.25
2014-03-18,25.73,25.64,25.51,25.47
2014-03-19,25.7,25.28,25.63,25.11
2014-03-20,25.37,25.29,25.37,25.13
2014-03-21,25.7,25.38,25.65,25.34
2014-03-24,25.55,25.42,25.49,25.2
2014-03-25,25.71,25.71,25.58,25.39
2014-03-26,25.92,25.63,25.8,25.6
2014-03-27,25.85,25.8,25.58,25.51
2014-03-28,26.02,25.86,25.9,25.77
2014-03-31,26.08,25.89,26.02,25.81
2014-04-01,25.99,25.86,25.83,25.75
2014-04-02,26.06,26.06,25.92,25.87
2014-04-03,26.25,26.22,26.15,26.05
2014-04-04,26.4,26.03,26.37,25.99
2014-04-07,26.04,25.86,25.95,25.74
2014-04-08,25.92,25.75,25.77,25.67
2014-04-09,25.96,25.95,25.86,25.59
2014-04-10,26.13,25.57,26.09,25.57
2014-04-11,25.75,25.44,25.51,25.43
2014-04-14,25.75,25.7,25.58,25.43
2014-04-15,25.89,25.83,25.67,25.58
2014-04-16,26.2,26.08,26.01,25.89
2014-04-17,26.76,26.56,26.47,26.45
2014-04-18,,,,
2014-04-21,26.71,26.58,26.63,26.56
2014-04-22,26.77,26.58,26.7,26.57
2014-04-23,26.66,26.43,26.59,26.39
2014-04-24,26.64,26.46,26.44,26.23
2014-04-25,26.8,26.62,26.57,26.55
2014-04-28,26.85,26.79,26.72,26.53
2014-04-29,26.88,26.75,26.83,26.59
2014-04-30,26.9,26.88,26.8,26.65
2014-05-01,26.83,26.76,26.73,26.64
2014-05-02,26.87,26.68,26.77,26.66
2014-05-05,26.69,26.59,26.69,26.5
2014-05-06,26.53,26.21,26.51,26.19
2014-05-07,26.53,26.52,26.27,26.26
2014-05-08,26.6,26.45,26.48,26.3
2014-05-09,26.57,26.42,26.56,26.31
2014-05-12,26.86,26.84,26.58,26.51
2014-05-13,26.95,26.92,26.89,26.77
2014-05-14,26.96,26.75,26.9,26.67
2014-05-15,26.8,26.62,26.72,26.32
2014-05-16,26.68,26.67,26.49,26.37
2014-05-19,26.69,26.61,26.55,26.48
2014-05-20,26.62,26.3,26.61,26.15
2014-05-21,26.52,26.48,26.37,26.35
