,HIGH,CLOSE,OPEN,LOW
2013-05-31,165.83,162.09,163.95,162.07
2013-06-03,163.74,163.56,161.51,159.79
2013-06-04,165.74,161.67,163.43,160.5
2013-06-05,162.89,158.24,161.24,157.55
2013-06-06,159.79,159.68,158.3,156.34
2013-06-07,166.17,166.1,160.85,160.59
2013-06-10,168.2,167.49,166.7,165.29
2013-06-11,166.4,163.37,165.35,163.19
2013-06-12,164.99,161.86,164.98,161.07
2013-06-13,166.39,165.85,161.32,161.07
2013-06-14,166.11,162.95,165.69,162.91
2013-06-17,165.67,164.06,164.08,162.9
2013-06-18,164.87,164.22,164.23,163.05
2013-06-19,164.93,161.55,164.16,161.51
2013-06-20,159.99,155.46,159.17,154.84
2013-06-21,157.28,154.34,157.0,152.3
2013-06-24,152.6,150.79,151.99,148.71
2013-06-25,154.31,153.04,152.45,151.55
2013-06-26,154.56,151.63,154.48,150.75
2013-06-27,154.99,153.52,153.03,152.61
2013-06-28,152.77,151.21,152.69,151.0
2013-07-01,154.1,151.76,152.78,151.7
2013-07-02,153.19,150.89,151.04,149.9
2013-07-03,151.42,150.4,149.75,149.28
2013-07-04,,,,
2013-07-05,153.29,153.2,152.31,151.5
2013-07-08,154.8,153.79,154.58,152.88
2013-07-09,157.44,156.96,154.98,153.17
2013-07-10,157.62,155.83,156.61,154.67
2013-07-11,159.74,157.68,158.4,156.11
2013-07-12,160.28,160.07,158.85,158.55
2013-07-15,163.39,163.15,162.8,161.16
2013-07-16,164.3,160.27,163.74,159.43
2013-07-17,161.99,161.46,159.55,159.5
2013-07-18,164.58,164.14,161.58,161.5
2013-07-19,164.85,164.42,163.75,162.58
2013-07-22,166.33,166.26,163.95,163.88
2013-07-23,167.41,166.22,166.0,165.48
2013-07-24,166.89,165.08,166.77,164.44
2013-07-25,166.0,165.97,164.29,163.69
2013-07-26,165.65,165.28,165.09,164.27
2013-07-29,164.83,163.2,164.63,162.02
2013-07-30,164.01,162.54,163.49,162.33
2013-07-31,165.97,164.39,162.57,162.43
2013-08-01,167.9,167.45,165.74,164.88
2013-08-02,167.9,167.52,166.83,166.46
2013-08-05,169.69,168.31,167.4,166.44
2013-08-06,168.28,164.82,168.09,164.47
2013-08-07,164.23,163.5,164.0,162.05
2013-08-08,166.43,162.88,164.65,162.83
2013-08-09,164.1,162.13,162.33,162.02
2013-08-12,162.38,161.67,161.31,160.55
2013-08-13,164.55,163.72,162.0,160.95
2013-08-14,164.8,163.4,163.85,162.93
2013-08-15,161.97,160.76,161.91,160.07
2013-08-16,162.29,160.65,160.26,160.03
2013-08-19,160.79,158.53,160.17,158.53
2013-08-20,160.03,159.54,158.95,157.78
2013-08-21,159.23,157.05,158.79,156.51
2013-08-22,159.66,159.54,157.81,157.2
2013-08-23,159.79,158.63,159.75,158.0
2013-08-26,160.7,157.89,158.48,157.75
2013-08-27,156.53,153.13,155.72,152.93
2013-08-28,154.15,153.03,152.86,151.45
2013-08-29,154.68,153.66,152.37,152.09
2013-08-30,153.98,152.12,153.91,151.33
2013-09-02,,,,
2013-09-03,156.04,154.69,154.23,153.52
2013-09-04,157.25,155.72,154.71,154.35
2013-09-05,158.05,156.22,156.0,155.57
2013-09-06,157.71,156.72,156.98,153.42
2013-09-09,159.7,159.53,157.43,157.16
2013-09-10,165.53,165.13,163.0,162.56
2013-09-11,165.79,164.99,164.93,163.78
2013-09-12,165.31,163.34,164.84,163.07
2013-09-13,164.71,164.0,164.54,162.96
2013-09-16,168.57,167.06,166.38,165.19
2013-09-17,167.58,167.46,167.14,165.66
2013-09-18,169.09,168.05,166.52,165.64
2013-09-19,170.0,167.66,169.56,166.88
2013-09-20,168.37,167.51,168.21,164.03
2013-09-23,168.46,165.26,168.18,164.72
2013-09-24,166.4,163.0,165.52,162.99
2013-09-25,163.69,162.31,163.25,161.16
2013-09-26,163.93,162.3,163.13,161.04
2013-09-27,160.95,159.73,160.65,159.43
2013-09-30,159.14,158.32,157.72,156.57
2013-10-01,160.31,159.02,158.86,157.56
2013-10-02,159.58,158.67,157.98,157.52
2013-10-03,159.16,156.83,158.63,155.46
2013-10-04,157.25,156.52,157.25,156.09
2013-10-07,156.2,154.24,155.21,154.22
2013-10-08,155.19,153.12,154.63,153.0
2013-10-09,155.32,154.44,153.56,152.83
2013-10-10,158.24,158.06,156.58,156.0
2013-10-11,160.49,160.01,158.54,157.52
2013-10-14,159.92,159.43,158.38,157.5
2013-10-15,160.04,157.57,159.84,157.51
2013-10-16,162.5,162.27,158.66,157.5
2013-10-17,159.12,158.14,156.32,155.99
2013-10-18,159.7,158.65,158.84,156.68
2013-10-21,160.65,159.8,158.67,158.25
2013-10-22,160.73,159.25,160.72,158.23
2013-10-23,158.08,157.72,157.98,156.56
2013-10-24,160.35,159.98,159.45,158.83
2013-10-25,162.24,162.07,160.0,159.91
2013-10-28,162.2,161.49,161.94,160.25
2013-10-29,163.11,162.14,162.01,161.01
2013-10-30,162.96,162.05,162.56,161.15
2013-10-31,163.35,160.95,162.09,160.89
2013-11-01,162.6,161.94,161.22,160.72
2013-11-04,163.24,163.15,162.42,161.59
2013-11-05,162.63,161.95,161.67,160.78
2013-11-06,164.3,163.41,162.55,162.29
2013-11-07,164.21,159.67,163.99,159.61
2013-11-08,163.69,163.14,160.39,159.88
2013-11-11,164.75,163.87,162.5,162.16
2013-11-12,164.38,162.85,163.1,162.13
2013-11-13,163.71,162.94,161.78,161.2
2013-11-14,163.95,163.2,163.55,162.41
2013-11-15,165.42,164.41,163.18,163.18
2013-11-18,167.65,165.68,164.74,164.2
2013-11-19,168.0,166.62,165.89,165.63
2013-11-20,167.25,164.99,166.76,164.86
2013-11-21,167.32,167.02,165.25,165.01
2013-11-22,168.24,168.05,166.77,165.53
2013-11-25,170.5,169.62,168.5,168.5
2013-11-26,170.69,168.07,169.36,168.0
2013-11-27,168.81,168.16,167.96,166.87
2013-11-28,,,,
2013-11-29,170.38,169.29,167.89,167.69
2013-12-02,171.58,169.74,169.88,168.68
2013-12-03,170.76,168.07,169.09,167.91
2013-12-04,169.93,168.77,167.31,167.31
2013-12-05,167.96,165.55,167.41,165.35
2013-12-06,167.96,167.21,167.47,164.77
2013-12-09,169.13,167.68,167.47,166.84
2013-12-10,172.2,169.79,167.87,167.52
2013-12-11,169.83,167.61,169.51,167.13
2013-12-12,168.97,168.38,166.69,166.52
2013-12-13,169.29,168.4,168.25,167.6
2013-12-16,171.49,170.97,169.31,169.08
2013-12-17,171.27,170.49,171.27,169.71
2013-12-18,174.92,174.92,171.0,169.99
