,HIGH,CLOSE,OPEN,LOW
2013-05-31,80.38,78.68,79.65,78.68
2013-06-03,79.08,79.05,78.68,78.05
2013-06-04,78.82,76.63,78.5,76.08
2013-06-05,76.85,75.11,76.1,74.9
2013-06-06,77.37,77.27,75.04,75.01
2013-06-07,78.97,78.74,77.73,77.59
2013-06-10,79.68,77.71,78.94,77.53
2013-06-11,78.53,77.62,77.23,76.96
2013-06-12,78.3,76.4,78.13,76.36
2013-06-13,76.83,76.54,76.35,76.08
2013-06-14,76.95,76.59,76.15,76.07
2013-06-17,77.48,76.13,77.24,75.69
2013-06-18,77.37,77.19,76.12,76.12
2013-06-19,77.27,75.93,77.05,75.92
2013-06-20,75.43,73.9,75.43,73.8
2013-06-21,74.69,73.82,74.52,73.02
2013-06-24,74.02,73.51,72.71,72.41
2013-06-25,74.72,74.12,74.07,73.8
2013-06-26,75.87,75.67,74.79,74.58
2013-06-27,76.82,76.27,75.99,75.8
2013-06-28,77.79,77.08,76.16,75.92
2013-07-01,77.81,76.86,77.63,76.63
2013-07-02,77.92,77.31,77.29,76.96
2013-07-03,77.99,77.66,76.99,76.92
2013-07-04,,,,
2013-07-05,78.56,78.28,77.91,77.4
2013-07-08,79.54,79.2,78.48,78.48
2013-07-09,80.15,79.71,79.54,79.33
2013-07-10,79.7,79.41,79.67,78.61
2013-07-11,80.68,79.87,80.27,79.58
2013-07-12,80.75,80.51,79.95,79.92
2013-07-15,81.15,80.4,80.63,80.17
2013-07-16,80.69,80.22,80.43,79.84
2013-07-17,81.23,80.5,80.84,80.39
2013-07-18,80.45,80.01,80.33,79.96
2013-07-19,80.12,79.89,79.95,79.42
2013-07-22,80.06,80.01,79.98,79.25
2013-07-23,80.47,80.2,80.14,79.86
2013-07-24,80.47,80.27,80.45,79.58
2013-07-25,80.1,78.97,80.09,77.89
2013-07-26,79.37,78.75,78.37,78.25
2013-07-29,78.98,78.7,78.64,78.37
2013-07-30,79.27,78.61,79.17,78.52
2013-07-31,79.73,79.08,78.78,78.69
2013-08-01,79.97,78.64,79.46,78.61
2013-08-02,80.5,80.23,78.65,78.5
2013-08-05,79.95,79.65,79.95,79.37
2013-08-06,80.33,80.06,79.62,78.74
2013-08-07,79.57,78.83,79.57,78.6
2013-08-08,80.22,80.02,79.42,79.09
2013-08-09,79.73,78.96,79.62,78.53
2013-08-12,79.54,79.21,78.58,78.58
2013-08-13,79.64,79.44,79.14,78.08
2013-08-14,79.21,77.44,79.15,77.18
2013-08-15,76.6,75.16,76.45,74.86
2013-08-16,76.35,75.37,75.19,74.93
2013-08-19,76.44,75.2,75.49,75.18
2013-08-20,77.24,74.3,77.17,74.29
2013-08-21,75.33,73.72,74.6,73.43
2013-08-22,74.2,74.0,73.91,73.35
2013-08-23,74.2,73.89,74.15,73.11
2013-08-26,76.15,75.43,73.83,73.82
2013-08-27,75.23,74.13,74.85,73.92
2013-08-28,75.32,75.06,74.11,74.01
2013-08-29,75.66,75.05,74.97,74.8
2013-08-30,75.18,74.49,75.18,74.18
2013-09-02,,,,
2013-09-03,75.25,73.94,74.83,73.68
2013-09-04,74.51,74.14,73.98,73.74
2013-09-05,74.21,72.99,74.07,72.84
2013-09-06,73.6,72.71,73.6,72.21
2013-09-09,73.79,73.54,72.98,72.9
2013-09-10,74.65,74.6,73.96,73.74
2013-09-11,75.11,75.04,74.72,74.16
2013-09-12,75.74,75.39,75.18,74.97
2013-09-13,75.41,75.12,75.22,74.84
2013-09-16,76.29,75.53,75.96,75.2
2013-09-17,76.15,75.81,75.66,75.57
2013-09-18,77.98,77.37,75.8,75.35
2013-09-19,78.72,78.51,77.89,77.64
2013-09-20,78.84,77.08,78.84,77.0
2013-09-23,76.76,75.9,76.46,75.76
2013-09-24,76.79,76.06,75.8,75.58
2013-09-25,76.31,75.53,75.88,75.26
2013-09-26,76.42,76.08,75.62,75.62
2013-09-27,76.09,75.95,75.65,75.38
2013-09-30,76.08,75.86,75.16,74.96
2013-10-01,76.42,76.28,75.88,75.74
2013-10-02,76.38,76.27,75.81,75.44
2013-10-03,76.83,75.89,76.39,75.51
2013-10-04,76.25,75.77,75.86,75.48
2013-10-07,75.85,75.12,75.39,75.09
2013-10-08,75.27,74.28,75.02,74.17
2013-10-09,74.64,74.16,74.35,73.9
2013-10-10,75.51,75.49,75.0,74.74
2013-10-11,76.63,76.31,75.56,75.42
2013-10-14,76.52,76.35,75.74,75.59
2013-10-15,76.24,75.2,76.14,75.09
2013-10-16,75.59,74.94,75.44,74.57
2013-10-17,75.81,75.74,74.5,74.5
2013-10-18,75.5,74.68,75.26,73.74
2013-10-21,74.8,74.61,74.6,74.15
2013-10-22,75.13,74.85,75.04,74.59
2013-10-23,75.41,75.08,74.54,74.51
2013-10-24,76.84,76.78,75.37,75.37
2013-10-25,76.62,76.25,76.62,76.01
2013-10-28,76.4,76.06,76.15,75.8
2013-10-29,77.55,77.52,76.45,76.39
2013-10-30,78.6,77.89,77.52,77.52
2013-10-31,78.45,77.88,78.07,77.52
2013-11-01,78.03,76.97,77.99,76.84
2013-11-04,77.42,76.99,77.22,76.61
2013-11-05,76.8,76.65,76.78,76.07
2013-11-06,76.79,76.42,76.73,75.91
2013-11-07,77.19,75.71,76.8,75.67
2013-11-08,75.71,75.48,75.24,74.78
2013-11-11,75.53,75.37,75.27,74.93
2013-11-12,76.59,76.19,75.79,75.72
2013-11-13,77.69,77.6,75.69,75.69
2013-11-14,79.34,78.95,78.14,78.06
2013-11-15,80.09,80.02,78.84,78.56
2013-11-18,80.47,79.69,80.0,79.19
2013-11-19,82.27,80.4,82.22,80.26
2013-11-20,80.73,79.75,80.73,79.38
2013-11-21,80.12,79.83,80.12,79.36
2013-11-22,79.82,79.17,79.6,78.78
2013-11-25,80.04,79.76,79.3,79.3
2013-11-26,80.9,80.37,80.21,80.09
2013-11-27,80.75,80.67,80.34,80.12
2013-11-28,,,,
2013-11-29,81.39,80.94,80.88,80.63
2013-12-02,80.75,79.77,80.41,79.52
2013-12-03,79.46,78.71,78.94,78.31
2013-12-04,78.75,78.39,78.15,77.7
2013-12-05,79.54,78.54,78.31,78.27
2013-12-06,80.05,79.84,79.08,78.81
2013-12-09,80.6,79.61,79.8,79.53
2013-12-10,79.93,78.6,79.32,78.4
2013-12-11,79.81,78.97,78.5,78.37
2013-12-12,79.2,78.54,78.99,78.28
2013-12-13,79.57,79.01,79.1,78.52
2013-12-16,79.76,79.1,79.21,78.93
2013-12-17,79.4,78.62,79.37,78.61
2013-12-18,80.06,80.05,78.82,78.31
2013-12-19,80.47,79.95,80.08,79.64
2013-12-20,80.83,80.14,80.3,80.05
2013-12-23,80.93,80.56,80.3,80.04
2013-12-24,80.96,80.64,80.74,80.56
2013-12-25,,,,
2013-12-26,81.74,81.55,80.84,80.8
2013-12-27,82.24,81.64,81.65,81.22
2013-12-30,81.98,81.94,81.67,81.46
2013-12-31,82.47,82.34,81.93,81.71
2014-01-01,,,,
2014-01-02,82.57,82.02,81.97,81.74
2014-01-03,82.48,81.88,81.93,81.83
2014-01-06,81.98,81.1,81.53,81.1
2014-01-07,81.92,81.49,81.39,81.08
2014-01-08,81.94,81.89,81.54,81.03
2014-01-09,81.94,81.57,81.9,80.97
2014-01-10,82.04,82.01,81.72,81.42
2014-01-13,82.13,80.97,81.69,80.96
2014-01-14,81.5,81.02,81.28,80.61
2014-01-15,81.43,81.08,80.76,80.74
2014-01-16,81.38,81.26,80.9,80.78
2014-01-17,81.35,80.96,81.32,80.65
2014-01-20,,,,
2014-01-21,81.5,80.46,81.3,79.81
2014-01-22,80.81,80.21,80.66,79.92
2014-01-23,80.3,80.25,79.55,79.19
2014-01-24,80.0,79.19,79.61,79.16
2014-01-27,79.17,78.93,79.04,78.52
2014-01-28,78.93,78.54,78.42,77.82
2014-01-29,78.75,76.69,78.26,76.63
2014-01-30,77.76,76.93,77.23,76.65
2014-01-31,77.47,76.81,76.2,75.85
2014-02-03,76.73,75.1,76.52,74.93
2014-02-04,75.85,74.95,75.46,74.17
2014-02-05,75.54,75.27,74.64,73.96
2014-02-06,76.21,76.16,75.19,75.17
2014-02-07,76.6,76.44,76.24,75.85
2014-02-10,76.59,76.41,76.56,75.86
2014-02-11,76.99,76.69,76.44,76.17
2014-02-12,77.33,77.27,76.91,76.67
2014-02-13,77.87,77.59,77.45,76.94
2014-02-14,78.13,77.92,77.74,77.32
2014-02-17,,,,
2014-02-18,78.08,77.57,77.92,77.07
2014-02-19,77.52,76.45,77.25,76.4
2014-02-20,77.56,77.48,76.56,76.45
2014-02-21,78.04,77.73,77.33,77.32
2014-02-24,78.25,77.87,77.84,77.46
