,HIGH,CLOSE,OPEN,LOW
2013-05-31,211.98,208.25,208.61,208.03
2013-06-03,210.05,208.86,208.4,207.33
2013-06-04,209.0,206.17,208.6,205.08
2013-06-05,206.29,202.74,205.16,202.4
2013-06-06,204.2,203.77,203.0,201.47
2013-06-07,206.33,206.27,204.85,204.11
2013-06-10,206.97,204.97,206.97,204.9
2013-06-11,205.95,203.99,203.17,202.51
2013-06-12,205.23,201.19,204.78,200.51
2013-06-13,204.4,203.84,201.01,200.34
2013-06-14,204.74,202.18,203.97,201.81
2013-06-17,205.17,203.05,203.45,202.55
2013-06-18,206.09,204.85,203.02,202.87
2013-06-19,205.03,201.99,204.5,201.93
2013-06-20,201.7,197.45,200.67,197.28
2013-06-21,198.52,195.54,198.41,193.54
2013-06-24,194.91,193.63,193.96,191.34
2013-06-25,195.59,194.99,195.31,193.15
2013-06-26,196.23,194.91,195.97,194.5
2013-06-27,196.9,195.73,196.07,195.29
2013-06-28,192.66,190.95,191.73,188.41
2013-07-01,193.8,191.16,192.17,191.12
2013-07-02,193.23,191.46,190.78,190.26
2013-07-03,194.22,193.25,190.79,190.51
2013-07-04,,,,
2013-07-05,195.16,194.94,194.49,192.35
2013-07-08,195.78,194.97,195.61,194.61
2013-07-09,192.8,191.25,191.81,190.78
2013-07-10,193.43,192.34,191.68,191.27
2013-07-11,194.11,192.74,193.78,192.61
2013-07-12,193.7,192.01,193.07,191.59
2013-07-15,194.89,193.99,192.42,191.68
2013-07-16,194.58,193.87,194.04,192.68
2013-07-17,194.9,194.54,194.9,193.06
2013-07-18,200.94,198.0,198.37,195.99
2013-07-19,197.99,193.51,197.79,193.24
2013-07-22,195.79,194.02,193.85,193.28
2013-07-23,196.43,195.03,194.35,194.1
2013-07-24,197.3,196.54,196.0,195.86
2013-07-25,197.83,197.22,196.29,195.66
2013-07-26,197.37,197.27,196.52,195.0
2013-07-29,197.19,196.28,196.82,195.53
2013-07-30,197.83,196.05,196.99,195.81
2013-07-31,196.91,195.11,194.48,194.48
2013-08-01,197.17,195.73,196.65,195.41
2013-08-02,195.5,195.15,195.4,193.22
2013-08-05,195.88,195.52,195.16,194.35
2013-08-06,192.51,190.92,192.26,190.27
2013-08-07,189.93,188.56,189.6,188.05
2013-08-08,189.87,187.9,189.45,186.79
2013-08-09,189.16,187.82,188.0,187.0
2013-08-12,189.56,189.09,187.05,186.89
2013-08-13,189.99,188.42,189.54,187.56
2013-08-14,188.93,187.52,188.61,187.3
2013-08-15,187.0,185.84,186.23,185.45
2013-08-16,186.46,185.5,185.6,185.35
2013-08-19,186.5,184.2,185.3,183.98
2013-08-20,185.63,184.6,184.09,183.17
2013-08-21,186.57,184.87,184.6,184.28
2013-08-22,186.25,185.13,185.56,184.25
2013-08-23,185.74,185.36,185.34,184.57
