,HIGH,CLOSE,OPEN,LOW
2013-05-31,24.71,24.28,24.25,24.13
2013-06-03,25.45,25.24,24.89,24.82
2013-06-04,25.98,25.37,25.56,25.35
2013-06-05,25.28,24.71,25.11,24.65
2013-06-06,24.94,24.66,24.76,24.27
2013-06-07,24.7,24.58,24.4,24.22
2013-06-10,25.09,25.0,24.71,24.64
2013-06-11,25.08,24.72,24.85,24.63
2013-06-12,25.0,24.47,24.98,24.41
2013-06-13,25.01,24.96,24.46,24.4
2013-06-14,25.14,24.92,25.02,24.84
2013-06-17,25.35,25.1,25.13,24.91
2013-06-18,25.65,25.47,25.07,25.07
2013-06-19,25.68,25.01,25.49,25.01
2013-06-20,24.75,24.18,24.73,24.1
2013-06-21,24.35,24.2,24.3,24.09
2013-06-24,24.22,23.56,24.08,23.41
2013-06-25,23.94,23.88,23.83,23.57
2013-06-26,24.24,24.0,24.2,23.89
2013-06-27,24.35,24.05,24.09,24.01
2013-06-28,24.41,24.22,23.93,23.73
2013-07-01,24.42,23.89,24.32,23.84
2013-07-02,24.04,23.7,23.87,23.54
2013-07-03,23.9,23.87,23.7,23.45
2013-07-04,,,,
2013-07-05,24.08,24.05,23.95,23.67
2013-07-08,23.91,23.19,23.85,23.03
2013-07-09,23.42,23.14,23.3,23.11
2013-07-10,23.3,23.24,23.13,22.64
2013-07-11,24.0,23.98,23.57,23.47
2013-07-12,24.0,23.9,23.94,23.65
2013-07-15,23.97,23.94,23.84,23.76
2013-07-16,24.3,24.24,24.0,23.9
2013-07-17,24.43,24.17,24.3,24.04
2013-07-18,23.61,23.25,23.46,23.13
2013-07-19,23.14,23.04,23.1,22.81
2013-07-22,23.1,22.77,23.05,22.73
2013-07-23,22.99,22.75,22.85,22.64
2013-07-24,23.0,22.93,22.92,22.63
2013-07-25,23.06,23.06,22.85,22.82
2013-07-26,23.25,23.25,22.93,22.9
2013-07-29,23.3,23.24,23.13,23.07
2013-07-30,23.5,23.38,23.3,23.28
2013-07-31,23.46,23.3,23.38,23.26
2013-08-01,23.51,23.2,23.41,23.02
2013-08-02,23.23,23.22,23.19,23.0
2013-08-05,23.02,22.93,23.0,22.85
2013-08-06,22.93,22.8,22.89,22.71
2013-08-07,22.79,22.7,22.71,22.55
2013-08-08,22.78,22.45,22.75,22.41
2013-08-09,22.55,22.51,22.41,22.31
2013-08-12,22.71,22.64,22.48,22.45
2013-08-13,22.7,22.51,22.7,22.39
2013-08-14,22.74,22.57,22.4,22.35
2013-08-15,22.41,22.03,22.28,21.97
2013-08-16,22.19,21.91,22.07,21.89
2013-08-19,22.7,22.28,22.08,22.05
2013-08-20,22.68,22.52,22.31,22.3
2013-08-21,22.58,22.17,22.53,22.06
2013-08-22,22.39,22.26,22.26,22.17
