,HIGH,CLOSE,OPEN,LOW
2013-05-31,85.99,84.24,85.63,84.2
2013-06-03,84.7,84.67,84.27,83.37
2013-06-04,85.03,84.1,84.69,83.56
2013-06-05,85.0,83.69,83.91,83.48
2013-06-06,84.46,84.45,83.59,82.65
2013-06-07,85.18,84.91,84.97,84.4
2013-06-10,85.71,85.12,85.01,84.73
2013-06-11,85.02,84.67,84.76,84.13
2013-06-12,85.5,83.75,85.18,83.7
2013-06-13,84.96,84.89,83.6,83.08
2013-06-14,85.48,84.89,84.71,84.66
2013-06-17,86.4,85.67,85.33,84.98
2013-06-18,86.44,86.4,85.75,85.63
2013-06-19,86.5,84.83,86.43,84.8
2013-06-20,84.45,82.63,84.21,82.12
2013-06-21,84.32,83.47,83.29,82.5
2013-06-24,85.31,84.61,82.92,82.81
2013-06-25,85.59,85.34,85.16,84.54
2013-06-26,87.32,87.0,85.95,85.93
2013-06-27,87.82,86.71,87.53,86.49
2013-06-28,87.38,85.86,86.72,85.85
2013-07-01,87.64,86.64,85.72,85.5
2013-07-02,87.2,86.58,86.65,86.21
2013-07-03,87.04,86.78,86.54,86.1
2013-07-04,,,,
2013-07-05,87.88,87.85,87.47,86.94
2013-07-08,88.99,88.65,88.09,87.97
2013-07-09,89.08,88.91,88.73,88.36
2013-07-10,89.48,89.24,88.88,88.81
2013-07-11,89.93,89.66,89.81,89.0
2013-07-12,89.99,89.88,89.69,89.38
2013-07-15,90.81,90.47,89.85,89.76
2013-07-16,91.66,90.41,91.04,90.13
2013-07-17,90.97,90.2,90.45,89.88
2013-07-18,90.95,90.17,90.33,90.06
2013-07-19,92.27,92.23,90.34,90.05
2013-07-22,92.56,92.28,92.05,91.61
2013-07-23,92.86,92.44,92.39,92.11
2013-07-24,92.66,92.35,92.65,91.75
2013-07-25,92.75,92.57,91.98,91.75
2013-07-26,92.93,92.86,92.32,91.65
2013-07-29,93.39,93.22,92.75,92.61
2013-07-30,93.98,93.22,93.47,93.02
2013-07-31,94.42,93.53,93.23,93.19
2013-08-01,94.4,93.77,94.16,93.71
2013-08-02,94.35,94.33,93.56,93.45
2013-08-05,94.3,93.82,94.01,93.43
2013-08-06,93.94,93.82,93.88,93.5
2013-08-07,94.03,93.67,93.6,93.47
2013-08-08,94.37,93.33,94.29,92.71
2013-08-09,93.39,92.33,93.39,91.78
2013-08-12,92.77,92.01,92.08,91.75
2013-08-13,93.35,93.05,92.02,91.76
2013-08-14,92.94,90.71,92.8,90.51
2013-08-15,90.41,89.54,90.17,89.09
2013-08-16,89.8,89.42,89.09,88.77
2013-08-19,91.25,90.42,89.56,89.35
2013-08-20,91.0,89.78,90.55,89.75
2013-08-21,89.63,88.79,89.47,88.68
2013-08-22,89.03,88.26,88.76,88.12
2013-08-23,88.44,88.37,87.93,87.21
2013-08-26,88.48,87.55,88.36,87.39
2013-08-27,87.08,86.16,87.01,85.96
2013-08-28,86.91,86.56,86.36,85.88
2013-08-29,87.14,86.57,86.41,85.99
2013-08-30,86.78,86.37,86.78,85.85
2013-09-02,,,,
2013-09-03,87.29,86.38,86.86,86.03
2013-09-04,87.25,86.93,86.46,86.25
2013-09-05,87.17,87.04,87.0,86.62
2013-09-06,87.92,87.17,87.07,86.0
2013-09-09,87.6,87.56,87.39,87.01
2013-09-10,88.58,88.55,88.14,87.85
2013-09-11,89.27,89.21,88.67,88.14
2013-09-12,89.57,89.0,89.3,88.88
2013-09-13,89.25,88.55,89.11,88.21
2013-09-16,89.57,89.03,89.43,88.83
2013-09-17,89.22,89.05,89.05,88.68
2013-09-18,89.91,89.91,88.92,88.3
2013-09-19,90.2,90.07,90.13,89.79
2013-09-20,90.72,89.78,90.32,89.76
2013-09-23,89.75,89.09,89.44,88.81
2013-09-24,89.2,88.22,88.98,88.15
2013-09-25,88.47,87.1,88.44,87.07
2013-09-26,87.7,87.08,87.15,86.72
2013-09-27,86.94,86.72,86.76,86.44
2013-09-30,86.95,86.69,86.35,86.15
2013-10-01,87.49,87.47,86.45,86.26
2013-10-02,87.26,87.24,87.11,86.44
2013-10-03,87.4,86.59,87.04,86.28
2013-10-04,87.42,87.3,86.74,86.56
2013-10-07,86.98,86.6,86.7,86.29
2013-10-08,86.74,85.62,86.62,85.57
2013-10-09,86.23,85.93,85.98,85.5
2013-10-10,87.78,87.78,86.72,86.66
2013-10-11,89.48,89.45,88.62,88.02
2013-10-14,89.89,89.78,88.89,88.63
2013-10-15,91.46,89.93,90.28,89.93
2013-10-16,91.17,91.11,90.42,90.16
2013-10-17,92.0,91.9,90.78,90.77
2013-10-18,92.05,91.57,91.75,91.14
2013-10-21,91.63,91.17,91.63,90.77
2013-10-22,92.56,92.34,91.57,91.5
2013-10-23,92.43,92.09,92.07,91.52
2013-10-24,92.99,92.35,92.65,92.14
2013-10-25,92.27,92.1,91.95,91.78
