,HIGH,CLOSE,OPEN,LOW
2013-05-31,55.83,54.61,55.67,54.6
2013-06-03,54.86,54.48,54.6,53.03
2013-06-04,55.39,54.03,54.48,53.87
2013-06-05,54.27,53.03,53.78,52.7
2013-06-06,53.52,53.5,52.84,52.27
2013-06-07,54.48,54.28,53.77,53.41
2013-06-10,54.84,54.37,54.64,54.02
2013-06-11,54.05,53.51,53.36,53.11
2013-06-12,54.1,53.18,53.9,52.96
2013-06-13,54.24,54.16,53.0,52.95
2013-06-14,54.13,53.11,54.04,52.91
2013-06-17,54.26,53.85,53.7,53.54
2013-06-18,54.27,54.1,54.02,53.72
2013-06-19,54.51,53.55,53.99,53.52
2013-06-20,53.18,52.48,53.07,52.27
2013-06-21,52.98,52.03,52.96,51.69
2013-06-24,51.45,50.93,50.88,50.11
2013-06-25,52.46,52.09,51.51,51.51
2013-06-26,52.8,52.51,52.66,51.88
2013-06-27,53.49,53.16,53.03,52.88
2013-06-28,53.13,52.77,53.12,52.58
2013-07-01,53.63,52.49,53.25,52.43
2013-07-02,53.53,52.85,52.59,52.2
2013-07-03,52.81,52.54,52.31,52.21
2013-07-04,,,,
2013-07-05,54.0,53.98,53.35,53.19
2013-07-08,54.91,54.71,54.54,54.05
2013-07-09,55.17,54.89,55.05,54.19
2013-07-10,55.15,54.84,54.77,54.44
2013-07-11,55.87,55.17,55.84,54.55
2013-07-12,55.85,54.95,55.53,54.75
2013-07-15,55.5,54.9,55.49,54.6
2013-07-16,55.41,55.01,54.9,54.78
2013-07-17,55.6,55.26,55.05,54.84
2013-07-18,56.53,56.35,55.53,55.49
2013-07-19,56.56,56.16,56.51,55.91
2013-07-22,56.67,56.55,56.16,55.95
2013-07-23,56.89,56.66,56.74,56.47
2013-07-24,56.94,56.61,56.91,56.38
2013-07-25,56.5,56.49,56.44,55.89
2013-07-26,56.22,56.04,56.06,55.6
2013-07-29,56.0,55.7,55.99,55.38
2013-07-30,55.99,55.34,55.81,55.08
2013-07-31,56.27,55.74,55.61,55.51
2013-08-01,56.78,56.53,56.36,56.2
2013-08-02,56.52,56.48,56.27,56.01
2013-08-05,56.58,56.11,56.31,56.01
2013-08-06,56.1,55.49,55.99,55.31
2013-08-07,55.47,55.31,55.01,54.78
2013-08-08,55.73,54.81,55.42,54.13
2013-08-09,55.15,54.53,54.73,54.33
2013-08-12,54.32,54.1,54.04,53.68
2013-08-13,54.7,54.29,54.22,53.6
2013-08-14,54.85,54.14,54.29,54.0
2013-08-15,53.68,53.28,53.52,52.89
2013-08-16,53.78,53.29,53.07,53.07
2013-08-19,52.95,51.83,52.87,51.8
2013-08-20,52.36,52.13,51.76,51.38
2013-08-21,52.22,51.64,51.91,51.28
