,HIGH,CLOSE,OPEN,LOW
2013-05-31,40.77,40.0,40.65,40.0
2013-06-03,40.84,40.79,39.95,39.63
2013-06-04,41.72,41.43,41.59,40.95
2013-06-05,41.4,40.65,41.4,40.6
2013-06-06,40.79,40.78,40.6,40.31
2013-06-07,41.73,41.39,41.2,40.98
2013-06-10,41.52,41.17,41.51,41.04
2013-06-11,40.98,40.79,40.88,40.4
2013-06-12,40.94,40.38,40.79,40.28
2013-06-13,40.48,40.38,40.31,39.68
2013-06-14,40.79,40.33,40.38,40.26
2013-06-17,40.91,40.68,40.54,40.4
2013-06-18,40.99,40.94,40.71,40.57
2013-06-19,41.44,40.42,41.02,40.41
2013-06-20,40.36,39.13,40.28,38.97
2013-06-21,39.97,39.77,39.65,39.3
2013-06-24,40.01,39.53,39.45,39.13
2013-06-25,39.92,39.72,39.82,39.44
2013-06-26,40.48,40.34,40.07,40.06
2013-06-27,40.88,40.27,40.68,40.24
2013-06-28,40.44,40.12,40.26,40.1
2013-07-01,40.92,40.46,40.5,40.36
2013-07-02,40.74,40.35,40.47,40.17
2013-07-03,40.56,40.4,40.26,40.03
2013-07-04,,,,
2013-07-05,40.8,40.5,40.73,40.15
2013-07-08,40.77,40.54,40.59,40.42
2013-07-09,41.07,40.83,40.86,40.72
2013-07-10,40.96,40.68,40.93,40.53
2013-07-11,41.15,41.03,41.0,40.74
2013-07-12,41.08,41.0,41.03,40.73
2013-07-15,41.25,41.01,41.06,40.93
2013-07-16,40.5,40.23,39.78,39.5
2013-07-17,40.98,40.86,40.55,40.31
2013-07-18,41.07,40.82,40.86,40.74
2013-07-19,41.1,41.09,40.88,40.79
2013-07-22,41.14,40.84,41.07,40.76
2013-07-23,41.13,40.97,40.95,40.79
2013-07-24,41.13,40.85,41.12,40.75
2013-07-25,40.88,40.85,40.81,40.48
2013-07-26,40.65,40.63,40.64,40.01
2013-07-29,40.68,40.28,40.61,40.26
2013-07-30,40.73,40.33,40.38,40.25
2013-07-31,40.58,40.11,40.41,40.06
2013-08-01,40.75,40.57,40.4,40.4
2013-08-02,40.41,40.23,40.01,39.92
2013-08-05,40.47,40.29,40.18,40.18
2013-08-06,40.43,40.36,40.23,40.06
2013-08-07,40.33,40.15,40.31,40.06
2013-08-08,40.36,40.2,40.29,40.02
2013-08-09,40.32,40.15,40.22,40.05
2013-08-12,40.09,39.84,40.02,39.71
2013-08-13,40.05,39.66,39.93,39.5
2013-08-14,39.68,39.54,39.62,39.35
2013-08-15,39.4,39.09,39.32,39.02
2013-08-16,39.18,39.03,39.03,38.71
2013-08-19,39.09,38.77,39.05,38.69
2013-08-20,39.14,38.66,38.88,38.65
2013-08-21,38.7,38.27,38.63,38.25
2013-08-22,38.52,38.32,38.4,38.1
2013-08-23,38.62,38.51,38.62,38.37
2013-08-26,38.6,38.12,38.59,38.11
2013-08-27,38.24,38.16,37.97,37.8
2013-08-28,38.53,38.35,38.06,38.05
2013-08-29,38.48,38.1,38.46,38.1
2013-08-30,38.28,38.15,38.14,38.0
2013-09-02,,,,
2013-09-03,38.4,37.89,38.24,37.8
2013-09-04,38.73,38.55,37.88,37.81
2013-09-05,38.69,38.24,38.65,38.06
2013-09-06,38.62,38.36,38.38,38.1
2013-09-09,38.56,38.52,38.51,38.27
2013-09-10,38.78,38.63,38.77,38.51
2013-09-11,38.78,38.78,38.68,38.54
2013-09-12,38.61,38.44,38.59,38.28
2013-09-13,38.74,38.69,38.56,38.42
2013-09-16,39.2,38.86,39.02,38.74
2013-09-17,39.1,38.8,38.81,38.79
2013-09-18,39.6,39.59,38.81,38.58
2013-09-19,39.67,39.31,39.64,39.15
2013-09-20,39.33,39.01,39.33,38.78
2013-09-23,39.19,38.64,39.13,38.44
2013-09-24,38.87,38.53,38.71,38.52
2013-09-25,38.69,38.33,38.69,38.3
2013-09-26,38.74,38.74,38.48,38.39
2013-09-27,38.58,38.38,38.53,38.15
2013-09-30,38.3,37.89,38.19,37.73
2013-10-01,38.09,37.95,38.05,37.62
2013-10-02,37.87,37.42,37.81,37.21
2013-10-03,37.46,37.16,37.43,37.13
2013-10-04,37.27,37.19,37.25,36.91
