,HIGH,CLOSE,OPEN,LOW
2013-05-31,97.71,96.67,96.89,96.62
2013-06-03,97.99,97.95,96.77,96.57
2013-06-04,98.68,98.34,98.01,97.64
2013-06-05,98.16,96.42,98.1,96.12
2013-06-06,96.83,96.67,96.39,95.16
2013-06-07,98.69,98.24,97.06,97.0
2013-06-10,100.18,99.53,99.75,99.12
2013-06-11,99.49,98.22,99.02,98.07
2013-06-12,99.1,98.24,98.74,98.07
2013-06-13,99.07,98.87,98.1,97.87
2013-06-14,99.42,98.39,98.83,98.23
2013-06-17,99.69,98.72,99.29,98.3
2013-06-18,100.04,99.74,99.05,98.95
2013-06-19,100.07,98.79,99.71,98.53
2013-06-20,98.68,96.79,98.37,96.62
2013-06-21,97.75,97.25,97.36,96.89
2013-06-24,97.71,97.29,96.54,96.02
2013-06-25,97.99,97.54,97.89,97.14
2013-06-26,99.14,98.83,98.39,98.04
2013-06-27,99.82,99.64,99.45,99.13
2013-06-28,100.11,98.96,99.51,98.96
2013-07-01,100.3,99.79,99.35,99.26
2013-07-02,100.5,99.92,99.82,99.39
2013-07-03,100.56,100.16,99.95,99.71
2013-07-04,,,,
2013-07-05,100.84,99.82,100.69,99.25
2013-07-08,100.5,99.89,100.28,99.55
2013-07-09,100.37,99.99,100.24,99.2
2013-07-10,100.36,100.0,100.18,99.4
2013-07-11,100.96,100.78,100.75,99.76
2013-07-12,101.81,101.59,100.59,100.5
2013-07-15,101.73,100.74,101.61,100.7
2013-07-16,101.12,100.88,100.18,99.47
2013-07-17,100.35,100.1,100.0,99.3
2013-07-18,100.77,100.16,100.48,99.99
2013-07-19,100.41,100.22,100.2,99.53
2013-07-22,97.93,97.58,97.75,97.06
2013-07-23,97.72,96.78,97.55,96.68
2013-07-24,97.4,96.69,97.21,96.3
2013-07-25,97.59,97.48,96.72,96.56
2013-07-26,98.08,98.04,97.26,96.92
2013-07-29,98.03,97.89,97.92,97.39
2013-07-30,98.54,98.42,97.99,97.85
2013-07-31,98.54,98.08,98.38,97.63
2013-08-01,99.24,98.98,98.64,98.32
2013-08-02,99.18,99.17,98.81,98.45
2013-08-05,99.43,99.31,99.01,98.83
2013-08-06,99.4,98.68,99.33,98.37
2013-08-07,98.99,98.32,98.66,98.27
2013-08-08,98.99,98.03,98.61,97.44
2013-08-09,98.4,97.58,97.9,97.07
2013-08-12,97.8,97.05,97.54,97.0
2013-08-13,97.1,96.45,97.02,96.11
2013-08-14,96.37,96.11,96.24,95.64
2013-08-15,95.91,95.39,95.55,95.19
2013-08-16,95.5,95.03,95.22,95.01
2013-08-19,95.99,95.44,95.12,95.05
2013-08-20,95.9,95.5,95.48,95.36
2013-08-21,95.82,95.15,95.41,95.12
2013-08-22,95.69,95.47,95.38,95.21
2013-08-23,95.68,95.12,95.57,94.91
2013-08-26,95.94,95.33,95.38,95.1
2013-08-27,95.21,94.84,94.93,94.02
2013-08-28,96.32,96.09,95.06,95.0
2013-08-29,95.98,94.86,95.53,94.7
2013-08-30,95.11,94.3,95.0,94.14
2013-09-02,,,,
2013-09-03,95.28,94.52,95.11,94.12
2013-09-04,95.36,95.16,94.5,94.34
2013-09-05,96.46,95.65,95.33,95.08
2013-09-06,96.75,96.25,95.7,95.25
2013-09-09,96.79,96.46,96.23,96.21
2013-09-10,97.36,96.88,97.11,96.5
2013-09-11,97.44,97.44,96.65,96.37
2013-09-12,97.85,97.18,97.48,97.07
2013-09-13,97.65,97.35,97.35,97.13
2013-09-16,98.17,97.71,97.88,97.4
2013-09-17,98.36,97.92,97.51,97.42
2013-09-18,98.99,98.72,97.87,97.64
2013-09-19,98.5,97.93,98.5,97.0
2013-09-20,98.05,97.04,97.73,97.02
2013-09-23,97.58,97.31,96.97,96.82
2013-09-24,98.6,97.81,97.14,96.86
2013-09-25,97.99,97.63,97.8,97.41
2013-09-26,98.32,98.19,97.8,97.79
2013-09-27,97.99,97.12,97.89,97.0
2013-09-30,96.69,96.23,96.45,95.11
2013-10-01,96.39,96.14,96.28,95.85
2013-10-02,95.88,95.23,95.64,94.01
2013-10-03,95.21,94.68,95.13,94.61
2013-10-04,94.8,94.7,94.61,94.4
2013-10-07,94.8,94.38,94.36,94.14
2013-10-08,94.58,93.96,94.27,93.95
2013-10-09,93.96,93.26,93.82,93.14
2013-10-10,94.44,94.44,94.22,93.5
2013-10-11,94.8,94.74,94.74,94.33
