,HIGH,CLOSE,OPEN,LOW
2013-05-31,112.21,110.31,110.79,110.3
2013-06-03,110.95,110.6,110.51,109.69
2013-06-04,111.2,110.05,110.62,109.53
2013-06-05,109.89,108.59,109.82,108.39
2013-06-06,108.78,108.67,108.31,107.64
2013-06-07,111.12,111.1,109.38,108.97
2013-06-10,111.45,110.81,111.41,110.54
2013-06-11,111.08,110.22,109.88,109.51
2013-06-12,111.06,109.0,110.99,108.95
2013-06-13,111.44,111.22,108.96,108.58
2013-06-14,112.07,111.0,111.36,110.75
2013-06-17,112.87,111.91,111.79,111.64
2013-06-18,113.23,113.0,112.04,111.9
2013-06-19,113.25,111.57,112.96,111.53
2013-06-20,110.76,108.77,110.7,108.52
2013-06-21,110.06,109.58,109.5,108.74
2013-06-24,108.78,107.49,108.78,107.15
2013-06-25,108.75,108.24,108.36,107.54
2013-06-26,109.98,109.67,109.14,108.73
2013-06-27,110.9,110.24,110.54,109.97
2013-06-28,110.47,109.35,109.82,109.14
2013-07-01,110.36,109.29,108.37,108.36
2013-07-02,109.75,108.72,109.05,108.33
2013-07-03,109.9,109.19,108.22,108.21
2013-07-04,,,,
2013-07-05,111.56,111.54,110.37,109.87
2013-07-08,112.78,112.15,112.0,111.9
2013-07-09,113.52,113.36,113.09,112.79
2013-07-10,113.88,113.47,113.37,112.91
2013-07-11,114.75,114.55,114.36,114.17
2013-07-12,115.24,115.13,114.57,114.27
2013-07-15,115.49,114.88,115.14,114.75
2013-07-16,115.44,114.34,114.99,114.06
2013-07-17,115.27,114.59,114.72,114.31
2013-07-18,115.75,115.49,114.64,114.57
2013-07-19,116.47,116.21,115.34,115.34
2013-07-22,116.82,116.32,116.0,115.66
2013-07-23,117.3,116.78,116.45,116.01
2013-07-24,117.09,116.33,116.96,116.06
2013-07-25,116.9,116.59,115.2,114.84
2013-07-26,116.93,116.86,116.21,115.34
2013-07-29,116.81,116.58,116.41,116.06
2013-07-30,117.12,116.88,116.9,116.33
2013-07-31,118.6,117.52,117.13,117.01
2013-08-01,119.26,118.33,118.38,118.27
2013-08-02,118.35,118.27,117.98,117.47
2013-08-05,118.25,117.93,118.18,117.81
2013-08-06,117.95,117.48,117.88,117.14
2013-08-07,117.95,117.8,117.3,117.04
2013-08-08,119.0,118.7,118.27,117.64
2013-08-09,119.2,118.31,118.68,117.7
2013-08-12,118.76,118.39,118.0,117.72
2013-08-13,119.18,118.69,118.52,117.19
2013-08-14,118.91,117.62,118.9,117.57
2013-08-15,116.93,115.85,116.81,115.64
2013-08-16,116.21,115.91,115.68,115.64
2013-08-19,115.96,115.56,115.83,115.47
2013-08-20,115.89,115.46,115.6,115.19
2013-08-21,114.84,113.41,114.73,113.34
2013-08-22,114.89,114.67,113.64,113.34
2013-08-23,115.0,114.39,114.8,113.59
2013-08-26,115.17,114.36,114.38,114.04
2013-08-27,113.82,112.73,113.34,112.67
2013-08-28,113.42,113.02,112.55,112.36
2013-08-29,113.83,113.3,112.87,112.58
2013-08-30,113.74,113.52,113.74,112.85
2013-09-02,,,,
2013-09-03,114.92,113.18,114.57,112.85
2013-09-04,114.86,114.52,113.08,113.08
2013-09-05,115.12,114.87,114.35,114.03
2013-09-06,115.82,115.04,115.09,113.89
2013-09-09,117.14,116.73,115.63,115.51
2013-09-10,117.87,117.59,117.31,117.07
2013-09-11,118.69,118.68,117.72,117.59
2013-09-12,118.91,118.2,118.86,118.0
2013-09-13,118.85,118.58,118.5,118.32
2013-09-16,120.0,119.23,119.79,119.06
2013-09-17,120.19,119.94,119.19,118.65
2013-09-18,121.51,121.26,120.23,119.87
2013-09-19,122.27,121.59,121.32,121.22
2013-09-20,121.93,120.42,121.5,120.36
2013-09-23,121.47,121.15,120.43,120.37
2013-09-24,121.87,120.84,121.24,120.69
2013-09-25,121.21,120.23,120.89,120.17
2013-09-26,121.0,120.63,120.36,120.11
2013-09-27,120.3,120.18,119.97,119.26
2013-09-30,119.96,119.45,119.39,118.67
2013-10-01,119.82,119.66,119.82,118.85
2013-10-02,119.59,119.15,119.12,118.44
2013-10-03,119.11,118.56,118.95,117.89
2013-10-04,119.71,119.4,118.35,118.13
2013-10-07,119.26,118.66,118.56,118.28
2013-10-08,119.22,117.19,118.67,117.1
2013-10-09,117.96,117.62,117.27,116.65
2013-10-10,119.32,119.31,118.58,118.32
2013-10-11,120.77,120.72,119.16,118.5
2013-10-14,121.7,121.4,120.26,120.0
2013-10-15,121.38,119.8,121.28,119.79
2013-10-16,120.94,120.94,120.86,120.14
2013-10-17,122.87,122.62,120.82,120.71
2013-10-18,123.45,122.84,122.87,122.4
2013-10-21,123.31,123.22,122.82,122.68
2013-10-22,124.32,123.8,123.35,123.28
2013-10-23,123.73,123.17,123.43,122.5
2013-10-24,124.96,123.37,123.03,122.7
2013-10-25,124.46,124.43,123.05,122.87
2013-10-28,125.32,124.9,123.93,123.8
2013-10-29,125.48,125.31,125.25,124.62
2013-10-30,125.98,124.8,125.5,124.76
2013-10-31,126.38,125.93,125.08,124.95
2013-11-01,126.93,125.89,126.76,125.12
2013-11-04,126.49,126.33,125.98,125.56
2013-11-05,126.46,126.11,125.73,124.86
2013-11-06,127.32,127.1,126.49,126.23
2013-11-07,127.88,126.42,127.43,126.23
2013-11-08,128.02,127.99,126.08,126.03
2013-11-11,128.17,127.95,127.54,127.25
2013-11-12,128.59,128.36,128.15,127.55
2013-11-13,128.66,128.58,127.86,127.43
2013-11-14,130.12,129.79,128.97,128.8
2013-11-15,130.0,129.86,129.15,128.98
2013-11-18,130.5,130.14,129.96,129.77
2013-11-19,130.78,130.06,130.02,129.92
2013-11-20,130.3,129.16,129.5,128.55
2013-11-21,130.41,130.32,129.69,129.59
2013-11-22,132.55,130.96,130.36,129.82
2013-11-25,131.87,131.24,131.8,130.94
2013-11-26,132.27,132.13,131.49,131.33
2013-11-27,133.65,133.51,132.63,131.94
2013-11-28,,,,
2013-11-29,134.16,133.73,133.51,133.34
2013-12-02,132.0,127.68,131.51,127.39
2013-12-03,127.39,126.6,126.07,125.15
2013-12-04,127.59,126.45,125.75,125.49
2013-12-05,127.65,126.84,126.4,126.22
2013-12-06,128.8,128.61,128.19,127.85
2013-12-09,129.18,128.54,128.73,128.39
2013-12-10,128.53,127.56,128.07,127.53
2013-12-11,129.66,126.77,128.8,126.71
2013-12-12,127.41,126.59,127.1,125.98
2013-12-13,127.35,126.43,126.58,125.97
2013-12-16,128.77,127.66,126.77,126.47
2013-12-17,131.62,131.39,130.61,129.98
2013-12-18,135.81,135.8,131.5,131.48
2013-12-19,136.52,136.38,135.0,134.73
2013-12-20,138.1,137.05,136.78,136.6
2013-12-23,137.39,136.84,137.03,136.32
2013-12-24,137.39,136.99,137.23,136.35
2013-12-25,,,,
2013-12-26,138.68,138.3,137.3,137.03
2013-12-27,139.4,139.34,138.78,138.55
2013-12-30,139.65,139.41,139.08,138.94
2013-12-31,140.43,140.24,140.0,139.48
2014-01-01,,,,
