,HIGH,CLOSE,OPEN,LOW
2013-05-31,47.67,46.74,46.92,46.71
2013-06-03,49.36,48.43,48.93,48.31
2013-06-04,50.16,49.45,48.2,48.17
2013-06-05,49.73,48.73,49.01,48.47
2013-06-06,48.72,48.6,48.64,47.75
2013-06-07,49.14,48.21,48.77,48.1
2013-06-10,48.89,48.43,48.65,48.36
2013-06-11,48.2,47.56,48.07,47.55
2013-06-12,48.1,47.25,47.89,47.23
2013-06-13,47.94,47.91,46.74,46.49
2013-06-14,48.53,47.95,47.78,47.5
2013-06-17,48.55,47.8,48.33,47.56
2013-06-18,48.05,47.78,47.88,47.66
2013-06-19,48.17,47.57,47.74,47.45
2013-06-20,47.43,46.32,47.43,46.21
2013-06-21,47.6,47.03,46.87,46.67
2013-06-24,46.86,46.42,46.44,46.06
2013-06-25,46.68,46.24,46.53,46.08
2013-06-26,46.91,46.71,46.64,46.28
2013-06-27,47.36,47.27,47.03,46.87
2013-06-28,47.47,46.46,47.46,46.45
2013-07-01,46.85,46.33,46.26,46.22
2013-07-02,46.73,46.55,46.27,46.03
2013-07-03,46.73,46.55,46.51,46.16
2013-07-04,,,,
2013-07-05,47.3,47.17,46.89,46.61
2013-07-08,47.63,47.4,47.41,47.24
2013-07-09,48.0,47.62,47.72,47.61
2013-07-10,48.18,47.96,47.62,47.61
2013-07-11,48.5,48.32,48.44,48.13
2013-07-12,48.66,48.51,48.44,48.19
2013-07-15,48.89,48.53,48.51,48.26
2013-07-16,48.83,48.25,48.56,48.03
2013-07-17,48.77,48.15,48.28,48.13
2013-07-18,48.11,47.4,48.04,47.35
2013-07-19,47.92,47.78,47.5,47.32
2013-07-22,48.25,47.7,47.86,47.55
2013-07-23,48.22,47.94,47.81,47.54
2013-07-24,48.04,47.76,47.91,47.51
2013-07-25,48.17,48.16,47.52,47.35
2013-07-26,48.48,48.47,48.15,47.78
2013-07-29,48.79,48.35,48.27,48.17
2013-07-30,49.08,48.07,48.2,47.84
2013-07-31,48.72,48.12,48.53,47.97
2013-08-01,48.68,48.57,48.43,48.04
2013-08-02,48.54,48.52,48.44,48.18
2013-08-05,48.66,48.54,48.39,48.07
2013-08-06,48.59,48.43,48.49,48.1
2013-08-07,48.75,48.56,48.35,48.35
2013-08-08,48.84,48.47,48.72,48.19
2013-08-09,48.78,48.39,48.51,48.26
2013-08-12,48.81,48.47,48.19,48.09
2013-08-13,48.85,48.44,48.52,48.08
2013-08-14,48.76,48.56,48.55,48.41
2013-08-15,48.36,47.98,48.28,47.85
2013-08-16,48.0,47.69,47.79,47.48
2013-08-19,47.81,47.56,47.45,47.45
2013-08-20,48.38,47.58,47.65,47.57
2013-08-21,48.04,47.46,47.55,47.3
2013-08-22,47.98,47.81,47.63,47.4
2013-08-23,47.99,47.73,47.99,47.45
2013-08-26,47.9,47.63,47.78,47.53
2013-08-27,47.51,47.12,47.25,46.93
2013-08-28,47.4,47.1,46.75,46.47
2013-08-29,47.4,47.12,46.97,46.79
2013-08-30,47.47,47.27,47.09,47.02
2013-09-02,,,,
2013-09-03,47.66,47.2,47.52,47.01
2013-09-04,47.88,47.69,47.09,47.09
2013-09-05,47.79,47.5,47.79,47.26
2013-09-06,47.82,47.48,47.57,47.06
2013-09-09,47.85,47.75,47.61,47.48
2013-09-10,48.4,47.99,47.95,47.9
2013-09-11,48.51,48.14,48.06,47.96
2013-09-12,47.98,47.86,47.8,47.65
2013-09-13,47.99,47.8,47.85,47.67
2013-09-16,48.44,48.2,48.18,48.1
2013-09-17,48.23,48.0,48.11,47.94
2013-09-18,48.71,48.43,47.79,47.63
2013-09-19,48.49,48.26,48.47,48.1
2013-09-20,48.41,48.01,48.33,47.87
2013-09-23,48.06,47.7,47.79,47.54
2013-09-24,48.22,47.54,47.59,47.52
2013-09-25,47.99,47.68,47.64,47.42
2013-09-26,48.0,47.69,47.86,47.51
2013-09-27,47.91,47.77,47.57,47.29
2013-09-30,47.87,47.61,47.64,47.29
2013-10-01,49.23,48.75,48.96,48.15
2013-10-02,48.55,48.34,48.42,48.12
2013-10-03,48.75,48.36,48.22,48.0
2013-10-04,48.36,48.23,48.27,47.94
2013-10-07,48.23,47.88,47.92,47.68
2013-10-08,48.15,47.76,47.84,47.64
2013-10-09,47.82,47.28,47.69,47.14
2013-10-10,47.63,47.5,47.58,46.96
2013-10-11,47.49,47.29,47.45,47.15
2013-10-14,47.08,46.76,46.81,46.44
2013-10-15,46.83,46.57,46.49,46.42
2013-10-16,47.17,47.16,46.72,46.57
2013-10-17,47.28,47.12,47.14,46.89
2013-10-18,47.44,46.61,47.37,46.47
2013-10-21,46.72,46.52,46.67,46.08
2013-10-22,46.72,46.46,46.31,46.14
2013-10-23,46.72,46.57,46.61,46.48
2013-10-24,46.86,46.22,46.66,46.19
2013-10-25,46.63,46.56,46.17,45.85
2013-10-28,45.82,45.39,45.57,45.21
2013-10-29,45.67,45.57,45.41,45.08
2013-10-30,45.76,45.25,45.69,45.11
2013-10-31,45.46,45.1,45.31,45.09
2013-11-01,45.36,45.21,44.83,44.62
2013-11-04,46.27,45.72,45.95,45.66
2013-11-05,45.78,45.34,45.6,45.32
2013-11-06,46.02,45.95,45.55,45.34
2013-11-07,46.24,45.81,46.17,45.78
2013-11-08,46.87,46.82,45.93,45.86
2013-11-11,47.15,46.99,46.91,46.88
2013-11-12,47.63,47.61,46.95,46.8
2013-11-13,47.37,47.32,46.74,46.65
2013-11-14,47.87,47.81,47.52,47.5
2013-11-15,48.28,48.07,47.63,47.63
2013-11-18,48.26,48.01,48.04,47.78
2013-11-19,48.17,48.07,48.05,47.65
2013-11-20,48.42,48.14,47.98,47.75
2013-11-21,48.7,48.62,48.22,48.16
2013-11-22,49.04,48.95,48.45,48.44
2013-11-25,49.84,49.69,48.92,48.92
2013-11-26,49.75,49.57,49.66,49.16
2013-11-27,49.9,49.84,49.59,49.56
2013-11-28,,,,
2013-11-29,49.95,49.87,49.71,49.48
2013-12-02,50.42,50.19,49.7,49.65
2013-12-03,50.06,49.74,49.82,49.38
2013-12-04,49.65,49.3,49.61,48.82
2013-12-05,49.25,48.81,48.91,48.77
2013-12-06,49.57,49.4,49.12,48.96
2013-12-09,49.85,49.58,49.36,49.2
2013-12-10,49.55,49.43,49.28,49.1
2013-12-11,49.53,48.93,49.48,48.75
2013-12-12,48.78,48.32,48.58,48.01
2013-12-13,48.9,48.36,48.82,48.06
2013-12-16,48.59,48.08,48.3,47.89
2013-12-17,48.0,47.89,47.96,47.61
2013-12-18,48.93,48.92,47.9,47.65
2013-12-19,48.95,48.78,48.73,48.53
2013-12-20,49.44,49.35,48.88,48.63
2013-12-23,49.7,49.37,49.44,49.25
2013-12-24,49.67,49.41,49.36,49.23
2013-12-25,,,,
2013-12-26,49.75,49.72,49.44,49.36
2013-12-27,49.9,49.79,49.77,49.53
2013-12-30,49.94,49.94,49.74,49.33
2013-12-31,50.08,50.07,49.74,49.53
2014-01-01,,,,
2014-01-02,50.04,49.49,49.88,49.3
2014-01-03,50.0,49.73,49.49,49.46
2014-01-06,50.14,49.74,49.81,49.51
2014-01-07,50.4,50.09,49.96,49.94
2014-01-08,50.14,49.79,50.1,49.6
2014-01-09,50.0,49.52,49.82,49.34
2014-01-10,50.07,49.88,49.83,49.5
2014-01-13,53.44,53.11,50.9,50.79
2014-01-14,53.1,53.0,52.46,52.17
2014-01-15,52.9,52.51,52.61,52.35
2014-01-16,52.98,52.51,52.1,52.1
2014-01-17,52.65,51.92,52.48,51.72
2014-01-20,,,,
2014-01-21,52.25,51.83,52.03,51.71
2014-01-22,51.98,51.36,51.85,51.28
2014-01-23,51.75,51.62,51.21,50.86
2014-01-24,52.17,52.06,51.27,51.13
2014-01-27,54.1,52.54,52.85,52.53
2014-01-28,53.09,52.86,52.34,52.22
2014-01-29,52.84,52.21,52.7,51.78
2014-01-30,53.67,53.53,52.46,52.38
2014-01-31,53.48,52.95,53.31,52.76
2014-02-03,53.15,52.1,52.91,51.92
2014-02-04,53.52,53.47,52.6,52.4
2014-02-05,55.2,53.55,54.3,53.14
2014-02-06,53.87,53.79,53.26,52.8
2014-02-07,54.82,54.76,53.34,53.34
2014-02-10,55.0,54.88,54.3,54.22
2014-02-11,55.75,55.69,54.8,54.44
2014-02-12,55.69,55.0,55.44,54.85
2014-02-13,55.21,55.06,54.39,54.39
2014-02-14,55.62,55.44,54.95,54.9
2014-02-17,,,,
2014-02-18,55.93,55.7,55.27,55.13
2014-02-19,55.66,55.05,55.33,54.99
2014-02-20,56.0,55.82,55.11,55.03
2014-02-21,56.34,56.02,55.84,55.82
2014-02-24,56.75,56.2,55.87,55.87
2014-02-25,56.39,55.89,56.13,55.8
2014-02-26,56.45,56.28,56.0,55.92
2014-02-27,56.67,56.67,56.21,56.0
2014-02-28,57.46,57.0,56.73,56.65
2014-03-03,56.77,56.42,55.96,55.95
2014-03-04,57.39,57.05,57.18,56.91
2014-03-05,57.44,56.88,57.4,56.52
2014-03-06,57.65,57.28,57.06,57.01
2014-03-07,57.57,57.47,57.35,57.1
2014-03-10,57.62,57.33,57.44,57.0
2014-03-11,57.44,56.7,57.39,56.57
2014-03-12,56.93,56.81,56.39,56.26
2014-03-13,56.79,55.79,56.65,55.72
2014-03-14,56.02,55.71,55.53,55.27
2014-03-17,56.45,56.25,55.94,55.94
2014-03-18,56.56,56.35,56.38,56.16
2014-03-19,56.91,56.01,56.66,55.64
2014-03-20,55.88,55.59,55.83,55.31
2014-03-21,56.6,54.72,56.57,54.62
2014-03-24,54.76,53.78,54.58,53.57
2014-03-25,55.48,55.19,53.88,53.81
2014-03-26,56.46,56.01,55.43,55.39
2014-03-27,56.11,55.73,55.86,55.33
2014-03-28,56.96,55.97,56.21,55.77
2014-03-31,56.84,56.79,56.09,56.04
2014-04-01,56.84,56.36,56.57,56.01
2014-04-02,56.56,56.47,56.14,56.05
2014-04-03,56.75,56.22,56.53,55.94
2014-04-04,56.72,56.13,56.62,56.09
2014-04-07,56.17,55.18,55.37,55.03
2014-04-08,55.61,55.03,55.28,54.7
2014-04-09,57.15,57.12,55.22,55.2
2014-04-10,58.14,55.84,57.89,55.78
2014-04-11,56.6,55.92,55.55,55.3
2014-04-14,56.73,55.57,56.22,54.95
2014-04-15,56.31,56.05,55.79,55.11
2014-04-16,56.95,56.26,56.45,55.93
2014-04-17,57.0,56.46,56.52,56.27
2014-04-18,,,,
2014-04-21,57.3,57.23,56.55,56.4
2014-04-22,58.32,57.77,57.09,57.0
2014-04-23,57.78,57.5,57.75,57.08
2014-04-24,57.82,57.54,57.32,56.85
2014-04-25,57.68,57.25,57.53,57.02
2014-04-28,57.85,56.78,57.61,56.48
2014-04-29,58.86,58.71,57.5,57.27
2014-04-30,58.95,58.54,58.51,58.02
2014-05-01,59.84,59.62,58.55,58.55
2014-05-02,59.53,58.22,59.33,57.94
2014-05-05,58.67,58.63,58.11,57.75
2014-05-06,58.83,57.1,58.75,57.04
2014-05-07,56.85,55.82,56.19,55.52
2014-05-08,55.76,54.83,55.55,54.72
2014-05-09,55.71,55.19,55.1,54.4
2014-05-12,55.62,55.28,55.62,54.85
2014-05-13,56.06,55.75,55.31,55.2
2014-05-14,56.56,56.36,55.63,55.63
2014-05-15,56.59,55.91,55.81,55.51
2014-05-16,56.26,55.88,55.66,55.66
2014-05-19,56.37,56.34,55.74,55.62
2014-05-20,56.28,56.01,56.22,55.73
2014-05-21,56.62,56.57,56.19,56.12
2014-05-22,56.78,56.5,56.39,56.04
2014-05-23,56.98,56.82,56.63,56.45
2014-05-26,,,,
2014-05-27,57.04,56.69,56.93,56.47
2014-05-28,56.73,56.41,56.71,56.4
2014-05-29,57.79,57.67,56.91,56.6
2014-05-30,58.27,57.84,57.52,57.52
2014-06-02,58.2,57.92,57.91,57.48
2014-06-03,57.96,57.9,57.52,57.37
2014-06-04,58.01,57.92,57.78,57.51
2014-06-05,58.47,58.09,57.97,57.72
2014-06-06,58.26,57.83,58.2,57.68
2014-06-09,57.97,57.92,57.46,57.24
2014-06-10,58.5,58.49,57.92,57.92
2014-06-11,59.03,58.82,58.52,58.4
2014-06-12,58.72,58.28,58.28,58.06
2014-06-13,58.65,58.21,58.11,57.98
2014-06-16,58.39,58.06,58.06,57.73
2014-06-17,58.22,58.08,57.95,57.78
2014-06-18,58.45,58.42,58.03,57.81
2014-06-19,58.42,58.29,58.42,58.1
2014-06-20,59.28,58.92,58.61,58.44
2014-06-23,58.98,58.5,58.81,58.41
2014-06-24,58.76,57.93,58.38,57.84
2014-06-25,59.32,58.84,57.62,57.62
2014-06-26,58.77,58.54,58.45,58.25
2014-06-27,58.52,57.54,58.37,57.47
2014-06-30,58.2,57.84,57.61,57.53
2014-07-01,58.64,58.49,57.57,57.48
2014-07-02,59.1,59.05,58.47,58.37
2014-07-03,59.45,59.2,59.39,59.07
2014-07-04,,,,
2014-07-07,59.65,58.52,58.91,58.49
2014-07-08,58.67,58.17,58.64,57.91
2014-07-09,58.72,58.56,58.45,58.17
2014-07-10,58.77,58.59,58.35,57.72
2014-07-11,58.74,58.46,58.65,58.15
2014-07-14,58.67,58.18,58.62,58.06
2014-07-15,58.4,57.93,58.23,57.49
2014-07-16,58.21,58.13,57.94,57.73
2014-07-17,58.24,57.6,57.87,57.57
2014-07-18,58.43,58.33,57.92,57.62
2014-07-21,58.19,58.01,57.89,57.71
2014-07-22,58.88,58.43,58.13,58.13
2014-07-23,58.5,58.11,58.3,58.05
2014-07-24,58.5,58.21,58.32,57.91
2014-07-25,58.36,58.14,58.13,57.92
2014-07-28,58.34,57.95,58.17,57.85
2014-07-29,59.28,58.58,58.76,58.14
2014-07-30,58.85,58.11,58.58,57.6
2014-07-31,58.07,56.74,57.76,56.72
2014-08-01,57.12,56.82,56.58,56.28
2014-08-04,57.27,57.07,56.95,56.36
2014-08-05,56.97,56.01,56.69,55.83
