,HIGH,CLOSE,OPEN,LOW
2013-05-31,35.28,34.88,34.84,34.79
2013-06-03,35.63,35.59,34.93,34.83
2013-06-04,35.74,34.98,35.62,34.77
2013-06-05,34.89,34.78,34.58,34.43
2013-06-06,35.11,34.95,34.85,34.49
2013-06-07,35.7,35.66,35.25,35.06
2013-06-10,35.65,35.46,35.51,35.14
2013-06-11,35.18,34.85,35.03,34.68
2013-06-12,35.27,34.99,35.12,34.85
2013-06-13,35.02,34.72,34.99,34.59
2013-06-14,34.69,34.4,34.55,34.24
2013-06-17,35.16,34.99,34.69,34.63
2013-06-18,35.17,35.01,34.97,34.9
2013-06-19,35.09,34.6,34.96,34.6
2013-06-20,34.33,33.49,34.24,33.37
2013-06-21,33.73,33.25,33.66,33.05
2013-06-24,34.2,33.71,32.93,32.57
2013-06-25,34.38,33.65,34.1,33.46
2013-06-26,34.48,34.36,34.13,33.89
2013-06-27,34.78,34.61,34.5,34.5
2013-06-28,34.79,34.55,34.36,34.34
2013-07-01,34.99,34.36,34.75,34.33
2013-07-02,34.44,33.94,34.42,33.63
2013-07-03,34.37,34.01,33.63,33.6
2013-07-04,,,,
2013-07-05,34.24,34.2,34.09,33.58
2013-07-08,34.59,34.33,34.35,33.98
2013-07-09,34.6,34.37,34.57,34.14
2013-07-10,34.81,34.69,34.32,34.32
2013-07-11,35.77,35.68,35.0,34.9
2013-07-12,35.73,35.71,35.58,35.28
2013-07-15,36.22,36.19,35.65,35.58
2013-07-16,36.43,36.26,36.01,35.96
2013-07-17,36.39,35.72,36.34,35.49
2013-07-18,35.89,35.44,35.72,35.22
2013-07-19,32.67,31.39,32.4,31.02
2013-07-22,32.0,32.0,31.72,31.58
2013-07-23,32.04,31.83,31.91,31.71
2013-07-24,32.19,31.97,32.07,31.89
2013-07-25,31.67,31.39,31.62,31.25
2013-07-26,31.62,31.62,31.25,31.2
2013-07-29,31.6,31.56,31.43,31.4
2013-07-30,32.12,31.86,31.78,31.55
2013-07-31,32.05,31.84,31.96,31.71
2013-08-01,32.09,31.69,32.06,31.6
2013-08-02,31.89,31.88,31.7,31.57
2013-08-05,32.0,31.69,31.9,31.64
2013-08-06,31.67,31.58,31.6,31.38
2013-08-07,32.1,32.06,31.54,31.25
2013-08-08,33.07,32.9,32.24,32.05
2013-08-09,32.9,32.7,32.77,32.47
2013-08-12,32.97,32.88,32.46,32.46
2013-08-13,32.55,32.23,32.5,32.21
2013-08-14,32.48,32.33,32.14,31.7
2013-08-15,32.02,31.78,31.97,31.65
2013-08-16,31.99,31.79,31.79,31.66
2013-08-19,31.97,31.4,31.77,31.38
2013-08-20,31.9,31.63,31.47,31.37
2013-08-21,32.01,31.61,31.61,31.54
2013-08-22,32.49,32.39,32.19,32.1
2013-08-23,35.2,34.77,35.17,34.0
2013-08-26,34.65,34.16,34.41,34.03
2013-08-27,34.1,33.23,33.5,33.15
2013-08-28,33.6,33.03,33.41,33.0
2013-08-29,33.6,33.55,32.93,32.8
2013-08-30,33.48,33.4,33.35,33.09
2013-09-02,,,,
2013-09-03,32.07,31.88,31.75,31.29
2013-09-04,31.47,31.18,31.4,31.11
2013-09-05,31.44,31.23,31.11,30.95
2013-09-06,31.39,31.16,31.3,31.13
2013-09-09,31.79,31.65,31.22,31.2
2013-09-10,32.4,32.38,31.89,31.79
2013-09-11,32.93,32.75,32.57,32.53
2013-09-12,32.78,32.7,32.72,32.59
2013-09-13,33.07,33.03,32.77,32.51
2013-09-16,33.5,32.8,33.4,32.73
2013-09-17,33.47,32.94,33.44,32.9
2013-09-18,33.4,33.33,32.96,32.83
2013-09-19,33.68,33.63,33.48,33.32
2013-09-20,33.46,32.76,33.44,32.69
2013-09-23,32.97,32.74,32.54,32.5
2013-09-24,32.87,32.46,32.72,32.15
2013-09-25,32.8,32.49,32.52,32.4
2013-09-26,33.0,32.77,32.64,32.59
2013-09-27,33.75,33.27,32.89,32.87
2013-09-30,33.31,33.31,32.97,32.7
2013-10-01,33.62,33.58,33.35,33.3
2013-10-02,34.03,33.9,33.37,33.29
2013-10-03,34.0,33.86,33.88,33.42
2013-10-04,33.99,33.87,33.7,33.62
2013-10-07,33.71,33.32,33.6,33.2
2013-10-08,33.33,33.01,33.32,32.8
2013-10-09,33.35,33.07,33.07,32.96
2013-10-10,33.89,33.76,33.31,33.26
2013-10-11,34.14,34.13,33.71,33.68
2013-10-14,34.5,34.46,33.94,33.78
2013-10-15,34.99,34.49,34.7,34.47
2013-10-16,34.9,34.65,34.6,34.56
2013-10-17,34.99,34.92,34.47,34.37
2013-10-18,34.99,34.99,34.74,34.33
2013-10-21,35.2,34.99,34.98,34.91
2013-10-22,35.1,34.57,35.01,34.52
2013-10-23,34.49,33.76,34.32,33.67
2013-10-24,34.1,33.72,33.79,33.57
2013-10-25,36.29,35.72,35.89,35.47
2013-10-28,35.73,35.59,35.66,35.27
2013-10-29,35.72,35.53,35.64,35.26
2013-10-30,35.79,35.55,35.53,35.43
2013-10-31,35.69,35.36,35.64,35.34
2013-11-01,35.69,35.51,35.67,35.39
2013-11-04,35.98,35.95,35.56,35.55
2013-11-05,36.71,36.63,35.78,35.77
2013-11-06,38.22,38.16,37.19,37.06
2013-11-07,38.01,37.52,37.96,37.43
2013-11-08,37.78,37.78,37.65,37.34
2013-11-11,37.78,37.58,37.69,37.35
2013-11-12,37.6,37.36,37.38,37.21
2013-11-13,38.16,38.15,36.98,36.9
2013-11-14,38.13,38.02,37.9,37.72
2013-11-15,38.02,37.87,37.95,37.72
2013-11-18,37.58,37.2,37.37,37.07
2013-11-19,37.23,36.74,36.84,36.67
2013-11-20,37.41,37.08,36.86,36.86
2013-11-21,37.53,37.4,37.27,37.26
2013-11-22,37.68,37.56,37.53,37.33
2013-11-25,37.95,37.65,37.93,37.57
2013-11-26,37.65,37.4,37.57,37.37
2013-11-27,37.76,37.62,37.56,37.49
2013-11-28,,,,
2013-11-29,38.29,38.14,37.81,37.8
2013-12-02,38.78,38.46,38.09,38.04
2013-12-03,38.49,38.31,38.12,38.08
2013-12-04,38.98,38.97,38.21,38.12
2013-12-05,38.88,38.01,38.85,37.18
2013-12-06,38.55,38.35,38.4,37.99
2013-12-09,38.88,38.69,38.55,38.37
2013-12-10,38.9,38.11,38.61,38.02
2013-12-11,38.3,37.6,38.09,37.39
2013-12-12,37.64,37.23,37.59,37.18
2013-12-13,37.46,36.69,37.42,36.62
2013-12-16,37.0,36.88,36.73,36.54
2013-12-17,37.11,36.53,36.96,36.33
2013-12-18,36.6,36.57,36.37,35.53
2013-12-19,36.55,36.26,36.51,36.08
2013-12-20,36.93,36.78,36.26,36.17
2013-12-23,36.91,36.63,36.81,36.55
2013-12-24,37.17,37.08,36.72,36.64
2013-12-25,,,,
2013-12-26,37.49,37.43,37.23,37.17
2013-12-27,37.62,37.29,37.58,37.17
2013-12-30,37.38,37.28,37.21,36.9
2013-12-31,37.58,37.42,37.37,37.22
2014-01-01,,,,
2014-01-02,37.4,37.15,37.35,37.1
2014-01-03,37.22,36.92,37.19,36.6
2014-01-06,36.89,36.14,36.85,36.11
2014-01-07,36.49,36.4,36.33,36.21
2014-01-08,36.14,35.75,36.03,35.58
2014-01-09,35.91,35.53,35.88,35.4
2014-01-10,36.15,36.04,35.9,35.75
2014-01-13,36.03,34.98,35.97,34.83
2014-01-14,35.88,35.77,34.7,34.63
2014-01-15,36.79,36.76,35.88,35.85
2014-01-16,37.0,36.88,36.69,36.31
2014-01-17,36.83,36.36,36.79,36.15
2014-01-20,,,,
2014-01-21,36.82,36.15,36.8,36.06
2014-01-22,36.32,35.93,36.27,35.75
2014-01-23,36.13,36.06,36.09,35.52
2014-01-24,37.55,36.81,37.45,36.53
2014-01-27,36.89,36.03,36.86,35.98
2014-01-28,36.39,36.27,36.1,35.75
2014-01-29,36.88,36.65,35.98,35.9
2014-01-30,36.88,36.86,36.75,36.23
2014-01-31,37.89,37.85,36.95,36.56
2014-02-03,37.99,36.47,37.73,36.43
2014-02-04,37.19,36.34,36.99,36.25
2014-02-05,36.47,35.83,36.29,35.8
2014-02-06,36.26,36.18,35.83,35.69
2014-02-07,36.59,36.56,36.28,36.01
2014-02-10,36.8,36.78,36.6,36.29
2014-02-11,37.26,37.2,36.88,36.86
