,HIGH,CLOSE,OPEN,LOW
2013-05-31,28.28,27.25,28.27,27.23
2013-06-03,27.77,27.74,27.29,27.12
2013-06-04,28.05,27.67,27.83,27.33
2013-06-05,27.97,27.49,27.73,27.38
2013-06-06,28.15,28.1,27.48,27.39
2013-06-07,28.62,28.26,28.21,28.03
2013-06-10,28.59,28.38,28.38,28.27
2013-06-11,28.64,28.42,28.03,27.95
2013-06-12,28.96,28.44,28.64,28.4
2013-06-13,29.15,29.09,28.37,28.35
2013-06-14,29.36,29.08,29.02,28.94
2013-06-17,29.4,29.16,29.38,28.88
2013-06-18,29.4,29.39,29.14,29.03
2013-06-19,29.81,29.1,29.38,28.9
2013-06-20,29.23,28.62,29.03,28.45
2013-06-21,29.11,28.56,28.89,28.5
2013-06-24,28.38,27.72,28.16,27.52
2013-06-25,28.15,28.02,28.09,27.58
2013-06-26,28.36,28.1,28.08,27.85
2013-06-27,28.66,28.18,28.34,28.11
2013-06-28,28.72,28.05,28.58,28.04
2013-07-01,28.3,27.77,27.97,27.71
2013-07-02,27.92,27.7,27.72,27.42
2013-07-03,27.81,27.64,27.49,27.33
2013-07-04,,,,
2013-07-05,28.1,27.98,28.06,27.78
2013-07-08,28.3,28.14,28.22,28.08
2013-07-09,28.47,28.35,28.31,28.27
2013-07-10,28.51,28.44,28.45,28.31
2013-07-11,28.9,28.81,28.84,28.61
2013-07-12,28.81,28.79,28.51,28.46
2013-07-15,28.89,28.8,28.79,28.52
2013-07-16,28.95,28.68,28.84,28.61
2013-07-17,28.94,28.68,28.83,28.64
2013-07-18,28.79,28.49,28.66,28.47
2013-07-19,29.24,29.1,28.51,28.36
2013-07-22,29.41,29.35,29.0,29.0
2013-07-23,29.53,29.43,29.35,29.32
2013-07-24,29.55,29.29,29.44,29.18
2013-07-25,29.25,29.19,29.03,28.68
2013-07-26,29.41,29.37,28.92,28.91
2013-07-29,29.91,29.55,29.4,29.3
2013-07-30,30.2,29.7,29.87,29.64
2013-07-31,29.76,29.24,29.43,29.21
2013-08-01,29.45,29.1,29.42,28.98
2013-08-02,29.41,29.35,28.95,28.95
2013-08-05,29.36,29.19,29.26,29.13
2013-08-06,29.42,29.35,29.24,29.18
2013-08-07,29.45,29.27,29.27,29.19
2013-08-08,29.3,29.12,29.18,29.02
2013-08-09,29.26,29.2,29.13,29.01
2013-08-12,29.23,29.19,29.07,29.03
2013-08-13,29.41,29.28,29.25,29.1
2013-08-14,29.44,29.03,29.23,29.0
2013-08-15,29.09,28.79,28.94,28.76
2013-08-16,28.68,28.38,28.65,28.29
2013-08-19,28.49,28.47,28.26,28.23
2013-08-20,28.75,28.55,28.56,28.52
2013-08-21,28.58,28.24,28.5,28.22
2013-08-22,28.33,28.15,28.33,28.11
2013-08-23,28.36,28.32,28.14,28.09
2013-08-26,28.37,28.03,28.36,28.02
2013-08-27,28.28,27.99,27.92,27.76
2013-08-28,28.49,28.22,27.95,27.81
2013-08-29,28.48,28.11,28.11,28.07
2013-08-30,28.4,28.2,28.05,28.01
2013-09-02,,,,
2013-09-03,28.45,28.0,28.35,27.86
2013-09-04,28.54,28.37,28.18,28.07
2013-09-05,28.52,28.27,28.51,28.16
2013-09-06,28.54,28.28,28.24,28.07
2013-09-09,28.36,28.3,28.24,28.1
2013-09-10,28.52,28.46,28.37,28.28
2013-09-11,28.74,28.66,28.53,28.48
2013-09-12,28.75,28.31,28.64,28.27
2013-09-13,28.65,28.51,28.39,28.32
2013-09-16,28.85,28.7,28.77,28.6
2013-09-17,28.84,28.65,28.66,28.57
2013-09-18,29.27,29.04,28.73,28.65
2013-09-19,29.15,28.84,29.04,28.65
2013-09-20,29.13,28.97,28.96,28.92
2013-09-23,29.04,28.79,28.78,28.7
2013-09-24,28.94,28.71,28.72,28.61
2013-09-25,28.88,28.49,28.75,28.49
2013-09-26,28.7,28.53,28.63,28.35
2013-09-27,29.0,28.89,28.48,28.36
2013-09-30,28.8,28.72,28.71,28.61
2013-10-01,28.95,28.88,28.58,28.52
2013-10-02,29.0,28.99,28.68,28.64
2013-10-03,29.01,28.77,29.01,28.69
2013-10-04,29.04,28.98,28.85,28.6
2013-10-07,28.83,28.63,28.74,28.62
2013-10-08,28.69,28.25,28.6,28.23
2013-10-09,28.44,28.3,28.27,28.02
2013-10-10,28.77,28.75,28.62,28.29
2013-10-11,28.93,28.71,28.92,28.63
2013-10-14,29.36,29.34,28.56,28.55
2013-10-15,29.28,29.16,29.2,29.01
2013-10-16,29.81,29.78,29.23,29.19
2013-10-17,30.26,30.26,29.82,29.69
2013-10-18,30.74,30.49,30.17,30.08
2013-10-21,30.64,30.39,30.47,30.35
2013-10-22,30.94,30.67,30.33,30.33
2013-10-23,30.86,30.59,30.65,30.58
2013-10-24,30.91,30.59,30.68,30.56
2013-10-25,30.69,30.61,30.48,30.42
2013-10-28,30.81,30.76,30.45,30.45
2013-10-29,31.35,31.27,30.84,30.82
2013-10-30,31.28,30.95,31.24,30.8
2013-10-31,31.07,30.68,30.78,30.65
2013-11-01,31.26,31.18,30.7,30.69
2013-11-04,31.4,31.27,31.13,31.12
2013-11-05,31.34,31.25,31.19,31.02
2013-11-06,31.33,30.96,31.23,30.86
2013-11-07,31.24,30.92,31.02,30.91
2013-11-08,31.35,31.32,30.91,30.73
2013-11-11,31.3,31.24,31.22,31.16
2013-11-12,31.6,31.39,31.18,31.12
2013-11-13,31.87,31.87,31.28,31.28
2013-11-14,32.21,31.99,31.95,31.78
2013-11-15,32.2,32.2,31.83,31.71
2013-11-18,32.15,32.01,32.1,31.91
2013-11-19,32.02,31.67,31.98,31.61
2013-11-20,32.1,31.93,31.76,31.65
2013-11-21,32.16,31.98,31.82,31.78
2013-11-22,32.16,32.11,31.9,31.8
2013-11-25,32.5,32.15,32.1,32.08
2013-11-26,32.27,31.9,32.27,31.88
2013-11-27,32.08,31.89,32.03,31.8
2013-11-28,,,,
2013-11-29,32.02,31.74,31.87,31.7
2013-12-02,31.92,31.83,31.61,31.61
2013-12-03,31.71,31.21,31.69,31.17
2013-12-04,31.43,31.27,31.16,31.0
2013-12-05,31.4,31.26,31.12,31.12
2013-12-06,31.61,31.53,31.55,31.33
2013-12-09,31.69,31.58,31.53,31.41
2013-12-10,31.49,31.35,31.44,31.2
2013-12-11,31.34,30.64,31.33,30.52
2013-12-12,30.77,30.25,30.55,30.2
2013-12-13,30.48,30.23,30.44,29.95
2013-12-16,30.63,30.24,30.3,30.15
2013-12-17,30.31,30.13,30.21,30.0
2013-12-18,30.78,30.77,30.3,30.01
2013-12-19,31.01,30.71,30.78,30.61
2013-12-20,30.95,30.33,30.69,30.26
2013-12-23,30.5,30.35,30.46,30.17
2013-12-24,30.45,30.3,30.44,30.22
2013-12-25,,,,
2013-12-26,30.56,30.54,30.38,30.32
2013-12-27,30.85,30.63,30.76,30.53
2013-12-30,30.7,30.69,30.54,30.39
2013-12-31,30.81,30.62,30.62,30.49
2014-01-01,,,,
2014-01-02,30.6,30.46,30.47,30.33
2014-01-03,30.83,30.52,30.39,30.38
2014-01-06,30.95,30.54,30.75,30.53
2014-01-07,31.02,30.75,30.86,30.74
2014-01-08,30.99,30.95,30.78,30.65
2014-01-09,31.12,30.93,31.08,30.6
2014-01-10,30.95,30.7,30.89,30.5
2014-01-13,31.03,30.52,30.86,30.44
2014-01-14,31.05,30.98,30.58,30.55
