,HIGH,CLOSE,OPEN,LOW
2013-05-31,78.81,76.81,78.79,76.77
2013-06-03,77.7,77.65,76.87,76.12
2013-06-04,78.47,77.38,77.71,76.75
2013-06-05,77.21,76.67,77.08,76.63
2013-06-06,76.97,76.81,76.56,75.83
2013-06-07,78.28,77.73,77.45,77.27
2013-06-10,78.22,78.05,77.69,77.26
2013-06-11,78.75,78.1,77.68,77.45
2013-06-12,78.89,77.59,78.6,77.48
2013-06-13,78.69,78.45,77.52,77.14
2013-06-14,78.79,78.02,78.49,77.67
2013-06-17,79.47,78.97,78.3,78.25
2013-06-18,79.23,79.05,78.95,78.7
2013-06-19,79.47,77.6,79.15,77.59
2013-06-20,77.33,75.25,77.24,75.1
2013-06-21,77.53,77.37,76.23,75.69
2013-06-24,77.43,76.61,76.95,75.63
2013-06-25,77.24,76.69,77.06,76.29
2013-06-26,77.59,77.41,77.23,77.02
2013-06-27,78.38,77.67,77.87,77.57
2013-06-28,77.94,77.0,77.62,76.9
2013-07-01,78.45,77.99,77.0,77.0
2013-07-02,78.61,78.45,77.95,77.71
2013-07-03,78.75,78.57,78.31,77.43
2013-07-04,,,,
2013-07-05,79.02,78.3,79.0,77.78
2013-07-08,79.08,78.77,78.52,78.52
2013-07-09,79.91,79.61,79.12,79.12
2013-07-10,80.1,79.81,79.7,79.3
2013-07-11,80.99,80.81,80.55,80.29
2013-07-12,81.64,81.48,80.67,80.67
2013-07-15,81.59,81.52,81.29,80.85
2013-07-16,81.37,80.99,81.22,80.91
2013-07-17,80.92,80.09,80.49,80.01
2013-07-18,80.75,80.32,80.03,80.03
2013-07-19,81.41,81.37,80.51,80.05
2013-07-22,81.45,81.2,81.15,80.9
2013-07-23,81.4,80.97,81.22,80.78
2013-07-24,81.0,80.26,80.95,80.13
2013-07-25,80.57,80.41,80.01,79.84
2013-07-26,80.42,80.38,80.02,79.39
2013-07-29,80.45,80.09,80.1,80.05
2013-07-30,80.9,80.46,80.49,80.15
2013-07-31,81.41,80.75,80.42,80.16
2013-08-01,82.23,81.62,81.71,81.21
2013-08-02,81.5,81.26,81.42,80.56
2013-08-05,81.65,81.42,80.94,80.94
2013-08-06,81.97,81.75,81.34,81.3
2013-08-07,82.21,81.95,81.41,81.38
2013-08-08,82.4,82.19,82.11,81.51
2013-08-09,82.06,81.63,81.92,81.19
2013-08-12,81.73,81.63,81.2,81.04
