,HIGH,CLOSE,OPEN,LOW
2013-05-31,35.5,35.02,35.33,35.01
2013-06-03,35.21,35.07,34.99,34.58
2013-06-04,35.87,35.66,35.19,35.15
2013-06-05,35.72,35.27,35.67,35.25
2013-06-06,35.86,35.8,35.22,35.1
2013-06-07,36.05,35.44,35.97,35.38
2013-06-10,36.11,35.99,35.91,35.69
2013-06-11,36.2,35.77,35.86,35.72
2013-06-12,36.14,35.63,36.0,35.57
2013-06-13,36.39,36.31,35.61,35.61
2013-06-14,36.31,35.89,36.13,35.89
2013-06-17,36.14,35.75,36.07,35.48
2013-06-18,36.35,36.18,35.81,35.79
2013-06-19,36.14,35.26,36.07,35.25
2013-06-20,35.2,34.34,35.02,34.32
2013-06-21,34.73,34.51,34.4,34.1
2013-06-24,34.85,34.46,34.32,34.13
2013-06-25,35.21,35.04,34.72,34.54
2013-06-26,35.49,35.33,35.42,35.09
2013-06-27,35.95,35.64,35.52,35.5
2013-06-28,35.69,35.38,35.56,35.31
2013-07-01,35.68,35.27,35.4,35.19
2013-07-02,35.8,35.5,35.28,35.15
2013-07-03,35.74,35.47,35.47,35.2
2013-07-04,,,,
2013-07-05,35.9,35.82,35.8,35.25
2013-07-08,35.69,35.57,35.62,35.39
2013-07-09,35.83,35.6,35.77,35.54
2013-07-10,35.68,35.39,35.6,35.25
2013-07-11,36.01,35.89,35.75,35.68
2013-07-12,35.91,35.77,35.88,35.56
2013-07-15,35.76,35.56,35.68,35.26
2013-07-16,35.9,35.89,35.6,35.6
2013-07-17,36.31,35.93,35.96,35.9
2013-07-18,35.99,35.74,35.86,35.61
2013-07-19,35.85,35.8,35.85,35.52
2013-07-22,35.89,35.56,35.77,35.54
2013-07-23,35.95,35.82,35.75,35.5
2013-07-24,35.5,35.38,35.37,34.93
2013-07-25,35.57,35.46,35.18,35.16
2013-07-26,35.7,35.6,35.42,35.31
2013-07-29,36.0,35.88,35.6,35.57
2013-07-30,36.07,35.45,36.0,35.41
2013-07-31,35.58,35.28,35.43,35.22
2013-08-01,35.82,35.71,35.64,35.37
2013-08-02,35.78,35.76,35.6,35.51
2013-08-05,35.85,35.66,35.68,35.57
2013-08-06,35.66,35.49,35.62,35.42
2013-08-07,35.73,35.6,35.43,35.43
2013-08-08,35.72,35.29,35.66,35.12
2013-08-09,35.31,34.79,35.26,34.75
2013-08-12,34.97,34.91,34.75,34.73
2013-08-13,34.99,34.73,34.95,34.57
2013-08-14,34.79,34.76,34.67,34.51
2013-08-15,34.71,34.35,34.6,34.35
2013-08-16,34.38,34.18,34.27,33.91
2013-08-19,34.18,33.78,34.1,33.63
2013-08-20,34.09,33.88,33.92,33.78
2013-08-21,33.85,33.49,33.83,33.46
2013-08-22,34.0,33.83,33.5,33.19
2013-08-23,34.33,34.28,33.81,33.75
2013-08-26,34.41,33.82,34.33,33.8
2013-08-27,34.06,33.69,33.58,33.53
2013-08-28,33.84,33.58,33.7,33.58
2013-08-29,34.06,33.65,33.64,33.61
2013-08-30,33.89,33.81,33.62,33.57
2013-09-02,,,,
2013-09-03,34.11,33.31,34.01,33.24
2013-09-04,33.75,33.72,33.25,33.21
2013-09-05,33.92,33.34,33.74,33.27
2013-09-06,33.58,33.41,33.5,33.22
2013-09-09,33.72,33.62,33.42,33.25
2013-09-10,34.1,33.97,33.89,33.75
2013-09-11,34.25,33.99,33.98,33.87
2013-09-12,34.45,34.38,33.94,33.94
2013-09-13,34.73,34.32,34.51,34.21
2013-09-16,34.73,34.57,34.57,34.36
2013-09-17,34.88,34.76,34.59,34.55
2013-09-18,35.01,34.94,34.73,34.31
2013-09-19,34.96,34.8,34.92,34.68
2013-09-20,34.94,34.32,34.94,34.2
2013-09-23,34.4,34.21,34.4,33.71
2013-09-24,34.29,34.09,34.06,34.01
2013-09-25,34.37,34.05,34.1,33.95
2013-09-26,34.43,34.23,34.17,34.09
2013-09-27,34.15,33.97,34.11,33.82
2013-09-30,33.89,33.84,33.77,33.68
2013-10-01,34.24,34.07,33.79,33.76
2013-10-02,34.06,33.92,33.99,33.75
2013-10-03,33.93,33.64,33.91,33.63
2013-10-04,33.79,33.73,33.68,33.6
2013-10-07,34.13,34.0,33.69,33.63
2013-10-08,33.65,33.11,33.57,33.09
