,HIGH,CLOSE,OPEN,LOW
2013-05-31,85.09,83.75,84.42,83.73
2013-06-03,84.08,83.75,83.78,82.96
2013-06-04,84.32,83.8,83.83,83.43
2013-06-05,83.9,82.25,83.51,82.2
2013-06-06,81.95,81.74,81.86,80.84
2013-06-07,83.72,83.44,82.12,81.5
2013-06-10,83.62,83.29,83.61,82.52
2013-06-11,82.9,82.08,82.51,81.88
2013-06-12,82.84,81.46,82.56,81.44
2013-06-13,82.83,82.8,81.5,80.91
2013-06-14,83.08,82.13,82.75,81.97
2013-06-17,83.79,83.26,82.48,82.48
2013-06-18,84.27,84.11,83.44,83.41
2013-06-19,84.08,82.28,83.86,82.28
2013-06-20,81.7,79.82,81.55,79.68
2013-06-21,80.31,79.06,80.11,78.57
2013-06-24,78.5,77.85,78.14,77.38
2013-06-25,79.15,78.43,78.3,78.19
2013-06-26,80.02,79.79,78.93,78.9
2013-06-27,80.38,80.34,80.08,79.81
2013-06-28,80.64,79.92,80.05,79.49
2013-07-01,81.5,81.12,80.44,80.44
2013-07-02,81.31,79.83,80.99,79.52
2013-07-03,80.64,80.13,79.54,79.35
2013-07-04,,,,
2013-07-05,81.35,81.32,80.93,80.0
2013-07-08,82.31,81.76,81.61,81.6
2013-07-09,82.57,82.06,82.14,81.69
2013-07-10,82.08,81.57,82.04,81.09
2013-07-11,82.86,82.74,82.54,82.14
2013-07-12,84.24,84.17,82.52,82.52
2013-07-15,84.18,83.28,83.91,83.05
2013-07-16,83.76,83.23,83.46,82.96
2013-07-17,84.13,83.99,83.43,83.43
2013-07-18,84.7,84.55,84.39,84.26
2013-07-19,84.8,84.67,84.59,84.19
2013-07-22,85.53,85.46,84.84,84.57
2013-07-23,85.08,82.21,84.78,82.1
2013-07-24,82.83,82.16,82.25,81.64
2013-07-25,82.95,82.83,82.05,81.51
2013-07-26,83.57,83.51,82.55,82.12
2013-07-29,83.6,83.4,83.53,82.87
2013-07-30,83.93,83.41,83.58,82.97
2013-07-31,84.15,83.54,83.5,83.25
2013-08-01,84.77,84.39,84.25,84.1
2013-08-02,84.3,83.97,84.29,83.51
2013-08-05,84.0,83.17,83.94,83.0
2013-08-06,83.24,82.34,83.0,82.01
2013-08-07,82.23,81.85,82.16,81.47
2013-08-08,82.71,82.03,82.08,81.51
2013-08-09,82.18,82.1,82.02,81.49
2013-08-12,82.54,82.33,81.59,81.47
2013-08-13,82.43,81.96,82.39,81.14
2013-08-14,82.42,82.19,81.55,81.55
2013-08-15,81.92,81.09,81.52,80.83
2013-08-16,81.79,81.06,81.17,81.02
2013-08-19,81.19,80.21,81.07,80.19
2013-08-20,80.71,80.28,80.21,80.13
2013-08-21,80.08,79.43,80.08,79.13
2013-08-22,80.69,80.58,79.47,79.38
2013-08-23,80.6,80.19,80.55,79.93
2013-08-26,80.56,80.13,80.24,79.89
2013-08-27,79.99,79.75,79.23,79.16
2013-08-28,80.27,79.89,79.66,79.38
2013-08-29,80.75,80.24,79.65,79.5
2013-08-30,80.25,79.87,80.14,79.41
2013-09-02,,,,
2013-09-03,81.3,80.54,80.71,80.06
2013-09-04,81.32,81.06,80.55,80.26
2013-09-05,81.1,80.67,80.82,80.59
2013-09-06,81.05,80.49,80.4,79.12
2013-09-09,82.31,82.19,80.59,80.54
2013-09-10,82.85,82.54,82.59,81.69
2013-09-11,83.88,83.74,82.5,82.42
2013-09-12,83.6,83.14,83.14,82.92
2013-09-13,83.91,83.56,83.4,83.23
2013-09-16,84.98,84.57,84.35,84.25
2013-09-17,85.12,84.88,84.69,84.69
2013-09-18,86.0,85.92,84.1,84.09
2013-09-19,87.53,86.9,86.45,86.05
2013-09-20,87.42,86.53,86.95,86.44
2013-09-23,87.2,86.39,86.62,86.34
2013-09-24,86.76,85.91,86.32,85.76
2013-09-25,86.45,86.01,85.99,85.78
2013-09-26,86.44,85.84,85.92,85.56
2013-09-27,85.59,85.39,85.56,85.11
2013-09-30,85.15,84.76,84.89,84.36
2013-10-01,84.98,84.64,84.97,84.38
2013-10-02,84.48,84.44,84.42,83.7
2013-10-03,84.35,84.05,84.26,83.78
2013-10-04,84.74,84.67,84.07,83.94
2013-10-07,84.5,84.08,84.05,83.77
2013-10-08,84.17,82.98,84.06,82.93
2013-10-09,83.2,82.33,83.1,82.24
2013-10-10,84.3,84.16,83.02,83.02
2013-10-11,84.78,84.65,83.97,83.8
2013-10-14,85.28,85.21,84.2,84.2
2013-10-15,85.08,84.45,84.92,84.37
2013-10-16,86.29,86.08,85.16,85.05
2013-10-17,86.12,86.02,85.18,84.87
2013-10-18,86.76,86.58,86.55,86.13
2013-10-21,86.93,86.75,86.69,86.35
2013-10-22,88.03,86.71,88.0,86.26
2013-10-23,86.45,86.27,86.21,85.62
2013-10-24,87.34,87.05,86.42,86.17
2013-10-25,87.15,86.65,86.68,86.53
2013-10-28,87.46,87.12,86.66,86.64
2013-10-29,87.5,87.27,87.11,86.89
