,HIGH,CLOSE,OPEN,LOW
2013-05-31,64.85,62.65,64.42,62.6
2013-06-03,63.0,62.8,62.78,62.09
2013-06-04,62.99,62.37,62.56,61.92
2013-06-05,63.11,61.76,63.0,61.65
2013-06-06,61.92,61.91,61.78,60.95
2013-06-07,62.93,62.57,62.27,61.7
2013-06-10,63.9,63.68,62.58,62.57
2013-06-11,64.56,63.94,63.15,62.76
2013-06-12,64.51,63.84,64.24,63.62
2013-06-13,64.21,64.14,63.71,63.15
2013-06-14,64.45,63.8,64.1,63.59
2013-06-17,65.24,64.38,64.16,64.1
2013-06-18,65.71,65.65,64.9,64.46
2013-06-19,66.16,65.26,65.7,65.23
2013-06-20,64.82,63.83,64.8,63.65
2013-06-21,64.83,63.9,64.19,63.43
2013-06-24,65.04,64.66,63.52,63.46
2013-06-25,65.54,63.72,65.0,63.66
2013-06-26,65.06,64.79,64.03,64.02
2013-06-27,66.19,66.1,65.06,64.96
2013-06-28,66.13,65.49,65.57,65.04
2013-07-01,66.36,65.65,65.89,65.52
2013-07-02,65.66,65.27,65.44,65.05
2013-07-03,65.84,65.56,64.9,64.65
2013-07-04,,,,
2013-07-05,66.19,66.17,65.97,65.27
2013-07-08,67.58,67.55,66.95,66.36
2013-07-09,68.45,67.97,68.02,67.29
2013-07-10,68.75,67.69,67.99,67.61
2013-07-11,68.55,68.37,68.21,67.65
2013-07-12,68.74,67.98,68.6,67.69
2013-07-15,68.19,67.64,68.1,67.46
2013-07-16,67.35,66.91,67.1,66.56
2013-07-17,67.44,66.15,66.91,65.92
2013-07-18,70.85,70.55,69.35,68.91
2013-07-19,72.09,71.46,70.61,70.16
2013-07-22,72.54,72.17,71.56,71.4
2013-07-23,72.74,72.68,72.21,71.82
2013-07-24,73.15,72.52,72.81,72.18
2013-07-25,72.62,72.6,72.15,71.7
2013-07-26,72.59,72.23,72.18,71.55
2013-07-29,72.86,72.78,72.08,71.96
2013-07-30,73.22,72.31,72.88,71.98
2013-07-31,73.66,72.85,72.49,72.47
2013-08-01,73.52,73.17,73.36,72.9
2013-08-02,73.03,72.23,73.03,71.93
2013-08-05,73.57,73.35,72.36,72.3
2013-08-06,73.37,73.23,73.17,72.53
2013-08-07,73.4,72.91,73.2,72.62
2013-08-08,73.67,73.17,73.15,72.86
2013-08-09,73.59,72.92,73.11,72.27
2013-08-12,72.59,72.4,72.43,72.01
2013-08-13,73.39,73.36,72.43,72.31
2013-08-14,73.3,72.5,73.19,72.31
2013-08-15,72.62,71.41,72.1,71.37
2013-08-16,71.98,71.43,71.13,71.0
2013-08-19,72.2,71.7,71.53,71.46
2013-08-20,72.84,72.46,71.84,71.61
2013-08-21,72.34,71.86,72.26,71.47
2013-08-22,72.74,71.98,72.16,71.83
2013-08-23,72.72,72.54,72.01,71.91
2013-08-26,72.92,72.39,72.64,72.28
2013-08-27,72.14,71.5,71.82,71.32
2013-08-28,72.16,71.55,71.43,71.35
2013-08-29,72.83,72.44,71.43,71.15
2013-08-30,72.81,71.68,72.58,71.49
2013-09-02,,,,
2013-09-03,72.77,72.54,71.81,71.79
2013-09-04,73.35,73.32,72.46,72.2
2013-09-05,74.23,74.03,73.34,73.14
2013-09-06,74.79,74.07,74.21,72.55
2013-09-09,74.55,74.26,74.11,73.78
2013-09-10,74.64,74.63,74.58,73.84
2013-09-11,75.19,75.17,74.58,74.33
2013-09-12,75.5,74.75,75.32,74.7
2013-09-13,75.25,74.49,74.93,74.12
2013-09-16,75.88,75.13,75.09,74.97
2013-09-17,75.35,74.31,75.11,73.93
2013-09-18,74.19,73.04,74.09,72.44
2013-09-19,73.12,70.85,73.09,70.62
2013-09-20,71.75,70.71,70.54,70.4
2013-09-23,71.94,71.82,70.83,70.62
2013-09-24,72.94,72.32,72.18,71.63
2013-09-25,72.66,71.98,72.27,71.86
2013-09-26,72.81,72.17,71.96,71.92
2013-09-27,72.11,71.99,71.7,71.5
2013-09-30,71.67,71.57,71.39,71.01
2013-10-01,72.94,72.58,71.74,71.65
2013-10-02,72.63,72.54,72.24,72.07
2013-10-03,72.98,72.52,72.5,72.26
2013-10-04,73.14,73.0,72.52,72.23
2013-10-07,72.7,72.18,72.5,72.16
2013-10-08,72.42,71.47,72.0,71.43
2013-10-09,71.88,71.38,71.71,71.18
2013-10-10,73.97,73.97,72.09,71.84
2013-10-11,74.27,74.26,73.92,73.5
2013-10-14,74.81,74.7,73.86,73.52
2013-10-15,74.93,73.87,74.51,73.76
2013-10-16,75.49,75.17,74.5,74.38
2013-10-17,72.88,71.36,71.77,71.05
2013-10-18,71.35,68.73,71.15,67.54
2013-10-21,68.77,68.19,68.62,67.09
2013-10-22,69.63,68.85,68.36,68.3
2013-10-23,68.61,68.0,68.51,67.65
2013-10-24,68.39,67.61,68.01,67.18
2013-10-25,68.18,67.63,67.5,67.28
2013-10-28,67.8,66.95,67.55,66.72
2013-10-29,68.14,68.07,66.88,66.85
2013-10-30,68.67,68.0,68.12,67.77
2013-10-31,68.71,68.27,68.33,67.86
2013-11-01,68.7,68.65,68.26,67.95
2013-11-04,69.26,68.94,68.8,68.36
2013-11-05,68.94,68.72,68.5,68.27
2013-11-06,71.02,70.28,68.87,68.8
2013-11-07,70.98,69.77,70.9,69.66
2013-11-08,70.53,70.51,69.7,69.64
2013-11-11,70.95,70.5,70.73,70.29
2013-11-12,70.9,69.96,70.48,69.87
2013-11-13,71.13,71.0,69.95,69.81
2013-11-14,71.6,71.43,71.35,70.94
2013-11-15,71.96,71.86,71.13,71.09
2013-11-18,72.1,71.67,71.98,71.5
2013-11-19,71.91,71.6,71.66,71.26
2013-11-20,72.86,71.98,71.88,71.66
2013-11-21,73.68,72.91,72.39,72.37
2013-11-22,73.75,73.73,72.91,72.8
2013-11-25,74.66,74.08,74.0,73.79
2013-11-26,74.99,74.54,74.31,74.05
2013-11-27,74.93,74.37,74.67,74.08
2013-11-28,,,,
2013-11-29,74.93,74.48,74.59,74.23
2013-12-02,74.45,74.15,73.7,73.52
2013-12-03,74.14,73.73,74.14,72.92
2013-12-04,74.41,73.64,72.92,72.54
2013-12-05,73.68,72.75,73.32,72.54
2013-12-06,73.72,73.51,73.23,72.84
2013-12-09,74.31,73.73,73.5,73.49
2013-12-10,74.41,74.02,73.7,73.68
2013-12-11,74.15,72.08,74.15,71.9
2013-12-12,72.57,71.02,72.19,70.91
2013-12-13,71.87,70.48,71.2,70.46
2013-12-16,71.38,71.06,70.73,70.53
2013-12-17,71.22,70.72,71.22,70.2
2013-12-18,72.46,72.4,71.03,70.7
2013-12-19,72.53,72.38,72.17,71.66
2013-12-20,73.73,73.44,72.63,72.57
2013-12-23,74.59,74.36,73.84,73.71
2013-12-24,74.43,74.13,74.2,73.92
2013-12-25,,,,
2013-12-26,74.97,74.85,74.44,74.28
2013-12-27,75.33,74.7,75.0,74.58
2013-12-30,75.04,74.77,74.85,74.31
2013-12-31,75.54,75.3,75.0,74.62
2014-01-01,,,,
2014-01-02,75.3,74.58,74.89,74.51
2014-01-03,75.76,75.1,74.8,74.6
2014-01-06,75.5,74.24,75.42,74.12
2014-01-07,77.33,76.51,74.94,74.94
2014-01-08,76.46,75.62,76.32,75.48
2014-01-09,76.24,76.08,75.65,75.65
2014-01-10,76.3,74.7,76.2,74.55
2014-01-13,75.0,73.92,74.67,73.68
2014-01-14,74.34,74.01,74.05,73.69
2014-01-15,74.86,74.84,73.99,73.99
2014-01-16,74.33,72.77,74.13,72.15
2014-01-17,73.12,72.51,72.91,72.3
2014-01-20,,,,
2014-01-21,73.62,73.17,72.56,72.41
2014-01-22,73.94,73.4,73.83,73.24
2014-01-23,73.69,73.22,72.7,72.49
2014-01-24,72.92,71.6,72.83,71.38
2014-01-27,72.2,71.66,71.24,71.15
2014-01-28,72.36,71.72,71.65,71.47
2014-01-29,72.96,71.27,71.39,70.84
2014-01-30,73.04,72.79,71.7,71.53
2014-01-31,72.35,72.27,71.87,71.45
2014-02-03,72.21,70.75,72.14,70.64
2014-02-04,71.03,70.51,70.8,69.8
2014-02-05,71.2,70.82,69.94,69.83
2014-02-06,71.08,70.87,70.77,70.09
2014-02-07,71.65,71.3,70.5,70.11
2014-02-10,71.07,69.75,70.91,69.57
2014-02-11,70.87,70.61,69.76,69.58
2014-02-12,71.3,70.25,70.91,69.98
