,HIGH,CLOSE,OPEN,LOW
2013-05-31,96.61,94.96,95.54,94.95
2013-06-03,95.75,95.22,95.18,94.01
2013-06-04,95.42,94.25,94.89,93.64
2013-06-05,94.03,93.0,93.79,92.87
2013-06-06,93.14,92.74,92.86,91.84
2013-06-07,94.62,94.51,93.72,92.84
2013-06-10,94.82,94.12,94.59,93.95
2013-06-11,94.63,93.68,93.32,92.88
2013-06-12,94.84,92.68,94.6,92.47
2013-06-13,94.46,94.31,92.9,92.19
2013-06-14,94.85,94.02,94.34,93.65
2013-06-17,95.84,95.01,94.97,94.68
2013-06-18,96.42,96.18,95.01,94.95
2013-06-19,96.4,94.18,96.05,94.18
2013-06-20,93.47,92.36,93.27,92.2
2013-06-21,93.05,92.17,92.92,91.36
2013-06-24,92.47,91.49,91.3,90.3
2013-06-25,92.44,91.82,92.28,91.33
2013-06-26,93.38,92.99,92.63,92.39
2013-06-27,93.59,93.53,93.38,92.71
2013-06-28,93.84,92.93,93.22,92.42
2013-07-01,95.23,94.76,93.41,93.31
2013-07-02,95.11,93.79,94.71,93.49
2013-07-03,95.11,94.48,93.55,93.12
2013-07-04,,,,
2013-07-05,96.63,96.54,95.57,95.42
2013-07-08,97.77,96.98,97.04,96.8
2013-07-09,98.53,98.02,97.62,97.56
2013-07-10,98.1,97.78,98.01,97.38
2013-07-11,99.78,99.73,98.93,98.82
2013-07-12,100.7,99.81,99.64,99.02
2013-07-15,100.5,100.22,100.24,99.72
2013-07-16,100.66,99.98,100.2,99.85
2013-07-17,101.0,100.88,100.82,100.41
2013-07-18,101.48,101.36,100.94,100.74
2013-07-19,102.5,102.46,101.21,101.2
2013-07-22,103.53,102.12,103.53,102.02
2013-07-23,105.66,105.16,103.3,103.03
2013-07-24,105.5,105.03,105.5,103.76
2013-07-25,105.09,104.77,105.08,103.89
2013-07-26,105.06,104.99,104.38,103.98
2013-07-29,105.21,105.1,104.42,104.33
2013-07-30,106.01,105.64,105.5,104.97
2013-07-31,106.55,105.62,105.77,105.33
2013-08-01,107.85,107.18,106.42,106.42
2013-08-02,107.86,107.75,107.06,106.59
2013-08-05,107.38,106.65,107.34,106.6
2013-08-06,106.45,105.19,106.45,104.77
2013-08-07,106.21,106.02,104.7,104.7
2013-08-08,107.16,106.25,106.57,105.61
2013-08-09,106.49,105.62,106.06,104.98
2013-08-12,105.72,105.54,105.13,104.91
2013-08-13,107.39,106.8,105.83,105.35
2013-08-14,106.86,105.03,106.28,104.93
2013-08-15,104.18,102.96,103.96,102.68
2013-08-16,103.72,103.13,102.96,102.72
2013-08-19,103.43,102.59,102.8,102.53
2013-08-20,102.94,102.41,102.78,101.9
2013-08-21,102.48,101.68,102.05,101.21
2013-08-22,103.15,103.01,102.09,101.65
2013-08-23,103.75,102.8,102.97,102.65
2013-08-26,103.48,102.31,103.0,102.3
2013-08-27,101.82,99.92,101.33,99.7
2013-08-28,100.38,100.0,99.78,99.71
2013-08-29,100.89,100.45,99.84,99.5
2013-08-30,100.79,100.0,100.64,99.73
2013-09-02,,,,
2013-09-03,103.13,102.65,101.1,101.09
2013-09-04,103.41,103.34,102.3,102.06
2013-09-05,104.13,103.66,103.24,102.84
2013-09-06,104.4,103.22,104.12,102.18
2013-09-09,104.8,104.48,103.59,103.58
2013-09-10,106.41,106.26,105.25,105.0
2013-09-11,107.83,107.83,106.77,106.42
2013-09-12,109.13,107.84,107.8,107.65
2013-09-13,108.38,108.34,108.11,107.4
2013-09-16,110.0,109.7,109.53,109.05
2013-09-17,111.47,110.4,109.6,109.49
2013-09-18,111.09,110.99,110.03,108.91
2013-09-19,112.46,111.99,111.51,111.34
2013-09-20,112.19,109.89,111.94,109.8
2013-09-23,110.84,109.43,109.68,109.1
2013-09-24,110.6,110.1,109.55,109.1
2013-09-25,110.89,109.28,109.66,109.23
2013-09-26,110.38,109.73,109.67,109.11
2013-09-27,109.57,109.35,109.04,108.3
2013-09-30,109.01,107.79,108.87,107.5
2013-10-01,108.48,107.37,108.12,106.35
2013-10-02,106.76,104.95,106.74,104.55
2013-10-03,104.97,103.67,104.82,102.73
2013-10-04,104.62,104.26,103.77,103.3
2013-10-07,104.75,104.03,103.44,103.0
2013-10-08,104.47,102.76,104.01,102.73
2013-10-09,103.39,102.88,103.0,102.21
2013-10-10,105.91,105.9,104.37,103.98
2013-10-11,107.03,107.01,105.74,105.36
2013-10-14,107.07,106.87,106.03,105.68
2013-10-15,106.91,105.8,106.82,105.79
2013-10-16,107.14,106.37,106.51,105.97
2013-10-17,108.16,107.99,106.03,105.97
2013-10-18,108.44,107.73,108.1,107.06
2013-10-21,107.94,107.57,107.9,106.95
2013-10-22,108.56,106.13,107.75,105.07
2013-10-23,106.92,106.39,106.19,105.66
2013-10-24,107.49,107.06,107.35,106.21
2013-10-25,107.53,107.53,106.92,106.53
2013-10-28,107.24,106.0,107.14,105.91
2013-10-29,106.45,106.45,106.04,105.76
2013-10-30,107.23,105.92,106.59,105.68
2013-10-31,107.24,106.28,105.9,105.73
2013-11-01,107.73,107.52,106.45,106.4
2013-11-04,108.44,107.97,108.37,107.48
2013-11-05,108.26,107.65,107.57,106.71
2013-11-06,108.98,108.72,108.28,108.1
2013-11-07,109.27,107.29,108.78,107.09
2013-11-08,108.59,108.55,107.16,106.79
2013-11-11,108.73,108.08,108.73,107.78
2013-11-12,107.97,107.44,107.81,107.15
2013-11-13,107.54,107.45,106.55,106.02
2013-11-14,108.97,108.7,108.47,107.48
2013-11-15,109.0,108.59,108.82,108.19
2013-11-18,109.91,109.14,108.6,108.6
2013-11-19,109.49,109.14,108.92,108.8
2013-11-20,109.67,108.81,109.3,108.6
2013-11-21,109.85,109.77,109.12,108.99
2013-11-22,110.33,110.2,109.74,109.23
2013-11-25,111.0,110.33,110.95,110.09
2013-11-26,111.5,110.95,110.41,110.25
2013-11-27,111.9,111.51,111.23,111.08
2013-11-28,,,,
2013-11-29,111.61,110.86,111.3,110.7
2013-12-02,111.4,110.3,111.17,110.11
2013-12-03,110.53,109.69,109.92,109.26
2013-12-04,109.56,108.92,109.34,107.99
2013-12-05,109.58,109.04,108.09,108.09
2013-12-06,111.2,111.13,110.24,110.07
2013-12-09,111.55,111.2,111.1,110.55
2013-12-10,111.61,110.97,110.53,110.09
2013-12-11,111.25,108.66,110.85,108.64
2013-12-12,108.93,108.08,108.44,107.36
2013-12-13,107.89,107.35,106.1,105.9
2013-12-16,109.12,108.52,107.81,107.47
2013-12-17,109.13,107.6,109.13,107.38
2013-12-18,109.85,109.81,108.0,106.95
2013-12-19,109.99,109.5,109.53,109.18
2013-12-20,111.13,110.66,109.22,109.07
2013-12-23,111.48,110.83,111.47,110.57
2013-12-24,111.6,111.47,110.8,110.68
2013-12-25,,,,
2013-12-26,112.76,112.68,111.61,111.56
2013-12-27,113.11,112.8,112.86,112.44
2013-12-30,112.9,112.73,112.9,112.1
2013-12-31,113.94,113.8,113.16,113.07
2014-01-01,,,,
2014-01-02,113.21,112.51,112.95,112.3
2014-01-03,113.51,112.89,112.95,112.73
2014-01-06,113.86,112.79,113.37,112.16
2014-01-07,113.98,113.5,113.12,112.89
2014-01-08,113.94,113.61,112.94,112.56
2014-01-09,114.23,113.71,114.07,113.05
2014-01-10,114.71,113.84,114.25,113.0
