,HIGH,CLOSE,OPEN,LOW
2013-05-31,181.4,178.17,180.57,178.1
2013-06-03,180.68,180.31,178.75,177.51
2013-06-04,181.75,180.1,179.3,178.7
2013-06-05,180.19,177.24,180.01,176.86
2013-06-06,179.42,179.39,176.69,176.4
2013-06-07,181.0,179.78,180.65,179.55
2013-06-10,183.14,182.31,180.4,179.63
2013-06-11,181.95,179.66,181.14,179.56
2013-06-12,180.64,179.16,180.64,178.71
2013-06-13,182.76,182.45,179.15,178.71
2013-06-14,182.48,180.85,182.01,180.11
2013-06-17,183.72,182.44,182.25,181.5
2013-06-18,185.23,184.02,181.72,181.72
2013-06-19,185.13,182.67,184.16,182.53
2013-06-20,182.48,178.51,181.53,178.46
2013-06-21,181.5,179.75,179.93,178.8
2013-06-24,179.48,178.33,178.03,175.68
2013-06-25,181.38,180.5,179.8,178.5
2013-06-26,183.14,182.68,181.89,180.48
2013-06-27,185.0,184.32,183.44,182.5
2013-06-28,184.72,182.58,184.39,182.22
2013-07-01,187.46,185.27,183.9,183.63
2013-07-02,187.04,185.24,184.67,184.26
2013-07-03,187.44,187.04,184.18,183.93
2013-07-04,,,,
2013-07-05,190.86,190.84,188.87,187.5
2013-07-08,192.77,188.19,191.5,188.06
2013-07-09,189.53,187.14,188.77,186.6
2013-07-10,187.81,186.78,187.35,185.81
2013-07-11,190.06,189.88,189.29,187.52
2013-07-12,190.73,190.61,189.9,189.15
2013-07-15,191.55,190.29,191.5,189.8
2013-07-16,190.73,189.4,190.19,188.7
2013-07-17,189.95,189.68,188.44,188.14
2013-07-18,191.4,190.91,190.21,189.95
2013-07-19,191.31,190.05,191.08,189.4
2013-07-22,191.31,191.15,190.21,189.25
2013-07-23,191.47,188.68,190.73,188.54
2013-07-24,189.85,186.77,189.44,185.66
2013-07-25,196.0,194.58,191.0,191.0
2013-07-26,194.6,193.24,194.58,191.83
2013-07-29,193.49,192.08,192.83,191.25
2013-07-30,193.2,191.51,192.7,191.15
2013-07-31,194.9,178.01,193.74,171.0
2013-08-01,181.76,179.16,181.69,173.28
2013-08-02,184.09,183.81,181.62,180.84
2013-08-05,185.14,184.61,184.12,182.8
2013-08-06,184.31,182.94,184.21,180.85
2013-08-07,182.0,181.35,181.41,179.9
2013-08-08,182.56,180.77,182.41,179.95
2013-08-09,181.35,179.72,180.8,179.56
2013-08-12,179.98,179.73,179.35,178.4
2013-08-13,180.64,179.26,180.51,178.68
2013-08-14,181.49,178.35,179.51,178.35
2013-08-15,177.49,173.87,177.45,173.45
2013-08-16,174.73,173.17,173.65,172.36
