,HIGH,CLOSE,OPEN,LOW
2013-05-31,49.94,48.5,48.89,48.5
2013-06-03,48.71,48.65,48.42,47.77
2013-06-04,49.46,48.84,48.67,48.39
2013-06-05,48.93,48.3,48.91,48.23
2013-06-06,50.09,49.96,48.28,48.15
2013-06-07,50.31,50.24,50.17,49.77
2013-06-10,50.97,50.53,50.97,50.12
2013-06-11,50.79,50.19,50.19,49.93
2013-06-12,50.56,49.89,50.45,49.74
2013-06-13,50.71,50.63,49.89,49.8
2013-06-14,51.27,51.07,50.59,50.55
2013-06-17,51.63,50.71,51.45,50.35
2013-06-18,51.69,51.56,50.83,50.76
2013-06-19,51.45,50.05,51.31,50.04
2013-06-20,49.86,48.96,49.76,48.85
2013-06-21,49.78,49.53,49.45,49.1
2013-06-24,49.41,49.1,49.05,48.81
2013-06-25,50.68,50.43,49.4,49.4
2013-06-26,50.84,50.67,50.8,50.24
2013-06-27,51.5,51.01,50.96,50.93
2013-06-28,51.23,50.34,50.93,50.34
2013-07-01,50.65,50.37,50.17,50.17
2013-07-02,51.07,50.62,50.36,50.19
2013-07-03,51.29,50.9,50.56,50.45
2013-07-04,,,,
2013-07-05,51.3,51.28,51.29,50.34
2013-07-08,51.41,51.17,51.15,50.8
2013-07-09,51.58,50.95,51.5,50.87
2013-07-10,51.09,50.55,50.94,50.42
2013-07-11,51.29,51.2,51.0,50.77
2013-07-12,51.3,50.41,51.25,50.21
2013-07-15,50.22,49.96,50.2,49.4
2013-07-16,50.45,50.28,49.75,49.71
2013-07-17,51.26,50.7,50.66,50.57
2013-07-18,50.33,49.96,50.14,49.19
2013-07-19,50.27,49.94,50.18,49.71
2013-07-22,50.31,50.28,49.84,49.63
2013-07-23,50.46,50.38,50.33,50.03
2013-07-24,50.53,50.39,50.07,49.94
2013-07-25,50.8,50.71,50.29,50.1
2013-07-26,51.08,51.03,50.74,50.51
2013-07-29,51.74,51.5,51.04,50.92
2013-07-30,51.89,50.43,51.89,50.3
2013-07-31,50.46,49.5,50.28,49.45
2013-08-01,50.19,50.02,50.14,49.63
2013-08-02,50.44,50.27,49.83,49.81
2013-08-05,50.35,50.2,50.11,49.95
2013-08-06,50.22,50.1,50.18,49.81
2013-08-07,50.25,49.93,49.98,49.85
2013-08-08,50.07,49.62,50.06,49.46
2013-08-09,49.8,49.33,49.76,49.02
2013-08-12,49.76,49.66,49.28,49.17
2013-08-13,49.68,49.15,49.64,49.03
2013-08-14,49.27,48.9,49.12,48.72
2013-08-15,48.98,48.54,48.66,48.42
2013-08-16,48.53,47.73,48.27,47.33
2013-08-19,48.09,47.5,47.55,47.45
2013-08-20,48.18,47.92,47.54,47.5
2013-08-21,47.8,47.28,47.79,47.24
2013-08-22,47.45,47.02,47.44,46.74
2013-08-23,47.7,47.6,47.02,46.95
2013-08-26,47.52,46.94,47.52,46.94
2013-08-27,47.0,46.95,46.62,46.25
2013-08-28,46.92,46.57,46.85,46.54
2013-08-29,48.65,47.82,48.65,47.57
2013-08-30,47.97,47.34,47.83,47.1
2013-09-02,,,,
2013-09-03,46.45,46.02,45.52,45.08
2013-09-04,47.07,46.79,45.71,45.7
2013-09-05,47.58,46.63,47.07,46.33
2013-09-06,47.04,46.33,47.01,46.04
2013-09-09,46.4,45.89,46.4,45.82
2013-09-10,46.6,46.47,45.96,45.47
2013-09-11,46.9,46.52,46.49,46.32
2013-09-12,47.52,47.36,46.6,46.44
2013-09-13,48.36,47.76,47.9,47.56
2013-09-16,48.5,48.29,48.31,48.06
2013-09-17,48.7,48.58,48.47,48.27
2013-09-18,48.83,48.72,48.5,47.87
2013-09-19,48.89,48.51,48.67,48.22
2013-09-20,48.64,47.77,48.61,47.54
2013-09-23,48.0,47.99,47.71,47.37
2013-09-24,47.7,47.28,47.69,46.88
2013-09-25,47.35,46.96,47.28,46.76
2013-09-26,47.71,47.68,47.05,47.05
2013-09-27,47.45,46.98,47.41,46.69
2013-09-30,46.92,46.66,46.57,46.32
2013-10-01,47.0,46.99,46.56,46.53
2013-10-02,46.98,46.74,46.84,46.33
2013-10-03,47.18,47.0,46.75,46.52
2013-10-04,47.12,47.09,47.05,46.65
2013-10-07,47.65,47.3,46.91,46.76
2013-10-08,46.73,46.07,46.72,46.03
2013-10-09,46.78,46.21,46.19,46.06
2013-10-10,46.86,46.85,46.69,46.2
2013-10-11,47.09,47.08,46.85,46.66
2013-10-14,47.1,46.81,46.79,46.68
2013-10-15,46.94,46.31,46.8,46.27
2013-10-16,47.35,47.25,46.6,46.4
2013-10-17,49.24,48.9,48.57,48.12
2013-10-18,50.06,50.0,49.23,49.17
2013-10-21,50.61,50.56,50.01,50.0
2013-10-22,51.3,51.15,50.56,50.15
2013-10-23,51.38,50.83,51.03,50.77
2013-10-24,51.19,50.42,51.04,50.32
2013-10-25,50.78,50.72,50.31,50.11
2013-10-28,50.72,50.57,50.69,50.28
2013-10-29,51.49,51.1,50.6,50.58
2013-10-30,51.4,50.54,51.4,50.39
2013-10-31,50.91,50.52,50.49,50.05
2013-11-01,51.46,50.5,50.89,50.33
2013-11-04,51.09,51.08,50.91,50.53
2013-11-05,50.87,50.09,50.81,50.08
2013-11-06,50.85,50.62,50.4,50.35
2013-11-07,51.0,50.18,50.55,50.05
2013-11-08,50.24,50.2,50.06,49.52
2013-11-11,50.25,49.97,50.12,49.77
2013-11-12,50.47,50.16,50.0,49.78
2013-11-13,50.0,49.99,49.88,49.36
2013-11-14,50.43,50.27,50.09,50.09
2013-11-15,50.42,50.32,50.16,49.87
2013-11-18,50.81,50.77,50.35,50.34
2013-11-19,51.05,50.78,50.83,50.5
2013-11-20,51.25,50.39,50.79,50.31
2013-11-21,50.8,50.38,50.6,50.35
2013-11-22,50.4,50.2,50.3,50.01
2013-11-25,50.34,50.02,50.29,49.92
2013-11-26,50.36,50.06,50.08,49.91
2013-11-27,50.2,49.93,50.14,49.64
2013-11-28,,,,
2013-11-29,50.07,49.63,50.04,49.54
2013-12-02,49.7,49.26,49.68,49.14
2013-12-03,49.6,49.57,49.27,49.13
2013-12-04,49.79,49.36,49.32,49.1
2013-12-05,49.18,48.92,49.18,48.43
2013-12-06,49.6,49.48,49.25,48.95
2013-12-09,49.63,49.58,49.07,48.79
2013-12-10,49.5,49.06,49.49,48.85
2013-12-11,49.01,48.47,49.01,48.04
2013-12-12,48.65,48.13,48.65,47.87
2013-12-13,48.17,47.85,48.11,47.52
2013-12-16,49.41,48.27,48.57,48.2
2013-12-17,48.07,47.55,48.07,47.45
2013-12-18,48.53,48.49,47.83,47.46
2013-12-19,48.65,48.43,48.18,48.02
2013-12-20,48.75,48.24,48.44,48.09
2013-12-23,48.74,48.62,48.44,48.36
2013-12-24,49.08,48.98,48.61,48.61
2013-12-25,,,,
2013-12-26,49.33,49.18,49.02,48.92
2013-12-27,49.35,49.18,49.29,48.99
2013-12-30,49.28,49.15,49.05,48.99
2013-12-31,49.22,49.13,48.98,48.78
2014-01-01,,,,
2014-01-02,49.22,49.01,49.05,48.95
2014-01-03,49.33,48.41,49.33,48.22
2014-01-06,49.07,48.7,48.75,48.2
2014-01-07,49.4,49.3,49.1,48.58
2014-01-08,49.07,48.49,48.73,48.35
2014-01-09,48.51,47.51,48.43,47.49
2014-01-10,48.09,47.75,47.84,47.42
2014-01-13,47.75,47.01,47.65,46.95
2014-01-14,47.23,47.06,47.02,46.58
2014-01-15,48.38,48.26,47.36,47.28
2014-01-16,48.66,48.53,48.26,47.95
2014-01-17,48.7,48.37,48.66,48.0
2014-01-20,,,,
2014-01-21,48.9,47.67,48.84,46.76
2014-01-22,47.53,47.34,47.44,47.09
2014-01-23,47.84,47.83,47.06,46.94
2014-01-24,48.51,47.63,47.61,47.51
2014-01-27,48.36,47.7,47.71,47.41
2014-01-28,47.87,47.35,47.67,47.33
2014-01-29,47.98,47.69,47.0,46.69
2014-01-30,48.09,47.62,47.77,47.55
2014-01-31,48.5,48.01,47.07,47.02
2014-02-03,47.49,46.42,47.25,46.22
2014-02-04,46.83,46.8,46.36,46.11
2014-02-05,46.9,46.7,46.73,46.31
2014-02-06,46.88,46.68,46.62,46.38
2014-02-07,46.98,46.81,46.9,46.58
2014-02-10,46.94,46.91,46.86,46.57
2014-02-11,47.37,47.21,47.04,46.91
2014-02-12,47.44,47.38,47.44,47.06
2014-02-13,47.46,47.3,47.24,47.0
2014-02-14,47.14,46.49,47.14,46.42
2014-02-17,,,,
2014-02-18,46.5,45.97,46.47,45.45
2014-02-19,46.84,46.54,45.7,45.56
2014-02-20,48.34,48.11,46.81,46.75
2014-02-21,48.25,47.28,47.49,47.18
2014-02-24,47.2,46.55,47.01,46.52
2014-02-25,46.76,46.31,46.42,46.19
2014-02-26,46.5,46.36,46.09,45.88
2014-02-27,47.78,47.53,46.34,46.28
2014-02-28,47.76,47.58,47.44,47.21
2014-03-03,47.68,47.31,47.3,46.82
2014-03-04,48.39,47.9,47.53,47.47
2014-03-05,47.87,47.38,47.81,47.34
2014-03-06,47.53,47.46,47.46,47.33
2014-03-07,47.46,47.14,47.41,46.86
2014-03-10,47.06,47.04,46.8,46.5
2014-03-11,46.79,46.69,46.72,46.36
2014-03-12,46.61,46.34,46.57,46.13
2014-03-13,46.56,46.04,46.35,45.96
2014-03-14,46.27,46.07,45.84,45.83
2014-03-17,46.52,46.3,46.21,46.1
2014-03-18,46.75,46.69,46.32,46.2
2014-03-19,46.99,46.37,46.63,46.19
2014-03-20,47.25,47.22,46.42,46.26
2014-03-21,47.41,46.86,47.3,46.7
2014-03-24,47.1,47.0,46.81,46.38
2014-03-25,47.37,47.23,47.02,46.77
2014-03-26,47.66,47.02,47.4,47.02
2014-03-27,47.7,47.68,46.98,46.97
2014-03-28,47.93,47.41,47.63,47.15
2014-03-31,47.83,47.57,47.66,47.5
2014-04-01,47.78,47.73,47.54,47.2
2014-04-02,48.18,47.83,47.66,47.63
2014-04-03,48.17,48.1,47.94,47.61
2014-04-04,48.35,48.04,48.26,47.96
2014-04-07,48.33,48.12,47.7,47.69
2014-04-08,48.23,48.21,47.67,47.53
2014-04-09,48.18,47.98,48.17,47.52
2014-04-10,48.46,47.45,47.71,47.42
2014-04-11,47.44,47.08,47.35,47.02
2014-04-14,47.33,47.28,47.26,46.83
2014-04-15,47.31,46.91,47.27,46.76
2014-04-16,47.18,47.08,47.02,46.7
2014-04-17,47.7,47.58,46.84,46.84
2014-04-18,,,,
2014-04-21,48.0,47.99,47.76,47.75
2014-04-22,48.37,47.94,48.01,47.75
2014-04-23,47.67,47.42,47.3,46.75
2014-04-24,47.49,46.28,47.4,46.07
2014-04-25,46.25,45.96,46.08,45.85
2014-04-28,46.69,46.58,46.25,46.15
2014-04-29,46.9,46.76,46.67,46.31
2014-04-30,46.86,46.73,46.7,46.6
2014-05-01,47.23,47.21,46.63,46.59
2014-05-02,47.41,47.11,46.96,46.81
2014-05-05,47.43,47.38,47.21,47.03
2014-05-06,47.48,47.46,47.36,47.25
2014-05-07,48.43,48.11,47.52,47.45
2014-05-08,48.63,48.49,48.07,48.07
2014-05-09,48.68,48.47,48.36,48.25
2014-05-12,48.63,48.15,48.62,48.02
2014-05-13,48.34,47.85,48.32,47.64
2014-05-14,48.32,47.99,48.0,47.8
2014-05-15,48.24,47.97,47.85,47.84
2014-05-16,49.3,49.08,48.75,48.54
2014-05-19,49.5,49.16,49.13,49.06
2014-05-20,49.39,48.66,49.36,48.62
2014-05-21,49.36,49.16,48.9,48.85
2014-05-22,49.51,49.45,49.31,49.25
2014-05-23,49.74,49.73,49.47,49.38
2014-05-26,,,,
2014-05-27,50.01,49.61,49.97,49.43
2014-05-28,49.9,49.75,49.49,49.45
2014-05-29,49.9,49.71,49.8,49.49
2014-05-30,50.0,49.97,49.55,49.55
2014-06-02,50.34,50.05,50.02,49.96
2014-06-03,49.88,49.28,49.75,49.19
2014-06-04,49.37,49.13,49.32,49.07
2014-06-05,49.5,49.26,49.21,49.02
2014-06-06,49.48,49.41,49.43,48.83
2014-06-09,49.64,49.57,49.23,49.21
2014-06-10,49.55,49.51,49.44,49.29
2014-06-11,49.57,49.38,49.37,49.32
2014-06-12,49.35,49.03,49.27,48.75
2014-06-13,49.31,49.16,48.93,48.81
2014-06-16,49.42,49.32,49.23,49.05
2014-06-17,49.36,49.22,49.19,48.95
2014-06-18,49.42,49.41,49.01,48.8
2014-06-19,49.77,49.45,49.42,49.29
2014-06-20,49.81,49.38,49.81,49.2
2014-06-23,49.76,49.72,49.36,49.12
2014-06-24,49.79,49.29,49.74,49.19
2014-06-25,49.49,49.4,49.13,49.11
2014-06-26,49.41,49.21,49.36,48.87
2014-06-27,49.33,49.32,49.17,48.88
2014-06-30,49.45,48.9,49.27,48.81
2014-07-01,49.55,49.36,48.88,48.82
2014-07-02,49.73,49.65,49.53,49.32
2014-07-03,49.94,49.54,49.93,49.35
2014-07-04,,,,
2014-07-07,49.88,49.74,49.6,49.55
2014-07-08,49.09,48.77,49.0,48.76
2014-07-09,49.11,48.89,48.99,48.72
2014-07-10,49.77,49.64,48.59,48.54
2014-07-11,50.43,50.33,49.85,49.67
2014-07-14,50.6,50.53,50.44,50.15
2014-07-15,50.82,50.72,50.57,50.37
2014-07-16,51.02,50.95,50.86,50.67
2014-07-17,50.98,50.33,50.79,50.24
2014-07-18,50.85,50.75,50.62,50.44
2014-07-21,51.0,50.7,50.82,50.54
2014-07-22,51.14,50.98,50.98,50.4
2014-07-23,51.2,50.92,51.03,50.78
2014-07-24,51.45,51.03,50.96,50.71
2014-07-25,51.48,51.29,51.07,51.07
2014-07-28,51.58,51.57,51.26,51.18
2014-07-29,53.66,51.97,53.19,51.88
2014-07-30,52.15,51.76,51.94,51.41
2014-07-31,51.38,50.42,51.26,50.35
2014-08-01,50.55,49.84,50.52,49.83
2014-08-04,50.3,50.21,50.04,49.64
2014-08-05,50.2,49.65,50.15,49.5
2014-08-06,49.45,49.12,49.4,48.36
2014-08-07,49.32,48.63,49.16,48.45
2014-08-08,49.1,48.69,48.73,48.2
2014-08-11,49.04,48.66,48.89,48.61
2014-08-12,48.95,48.83,48.79,48.56
2014-08-13,49.02,48.91,48.99,48.76
2014-08-14,49.02,49.0,48.98,48.81
2014-08-15,49.05,48.81,48.9,48.5
2014-08-18,49.14,48.78,49.05,48.64
2014-08-19,49.04,48.7,49.03,48.27
2014-08-20,48.97,48.81,48.82,48.6
2014-08-21,49.15,48.87,48.86,48.73
2014-08-22,48.98,48.65,48.83,48.52
2014-08-25,49.16,49.16,48.64,48.64
2014-08-26,49.29,49.27,49.19,49.02
2014-08-27,49.46,49.4,49.29,49.21
2014-08-28,49.5,49.42,49.38,49.2
2014-08-29,49.82,49.81,49.43,49.4
2014-09-01,,,,
2014-09-02,50.0,49.77,49.82,49.5
2014-09-03,50.0,49.87,49.94,49.69
2014-09-04,49.94,49.71,49.93,49.51
2014-09-05,50.03,49.92,49.73,49.56
2014-09-08,49.9,49.53,49.9,49.35
2014-09-09,49.52,48.92,49.44,48.8
2014-09-10,49.07,48.73,48.99,48.37
2014-09-11,49.08,49.0,48.65,48.33
2014-09-12,49.0,48.4,48.98,48.26
2014-09-15,48.6,48.55,48.55,48.3
2014-09-16,49.14,48.96,48.54,48.52
2014-09-17,49.48,49.2,49.07,48.95
2014-09-18,49.72,49.7,49.45,49.37
