,HIGH,CLOSE,OPEN,LOW
2013-05-31,75.63,74.84,75.41,74.82
2013-06-03,75.8,75.68,75.06,74.64
2013-06-04,76.38,75.92,75.77,75.47
2013-06-05,75.95,75.25,75.72,75.07
2013-06-06,75.74,75.58,75.27,74.83
2013-06-07,76.87,76.33,76.38,76.19
2013-06-10,76.65,75.74,76.3,75.66
2013-06-11,75.83,75.27,75.42,74.99
2013-06-12,75.71,74.84,75.41,74.63
2013-06-13,75.33,74.99,74.75,74.56
2013-06-14,75.27,74.87,74.83,74.8
2013-06-17,75.44,74.95,75.0,74.51
2013-06-18,75.88,75.73,74.97,74.8
2013-06-19,75.96,74.45,75.74,74.34
2013-06-20,74.66,73.02,74.5,73.01
2013-06-21,74.2,73.51,73.52,73.25
2013-06-24,74.79,74.2,73.05,72.9
2013-06-25,74.75,74.3,74.27,73.84
2013-06-26,75.18,75.0,74.62,74.54
2013-06-27,76.11,75.26,75.53,75.24
2013-06-28,75.66,74.48,75.11,74.45
2013-07-01,75.28,74.59,74.99,74.1
2013-07-02,75.68,74.7,74.31,74.21
2013-07-03,75.12,74.76,74.41,74.09
2013-07-04,,,,
2013-07-05,75.26,75.21,75.13,74.41
2013-07-08,76.77,76.7,75.68,75.68
2013-07-09,77.44,77.04,76.96,76.74
2013-07-10,77.5,76.78,76.96,76.45
2013-07-11,77.75,77.63,77.45,77.33
2013-07-12,77.67,77.59,77.61,77.33
2013-07-15,77.3,77.07,77.28,76.7
2013-07-16,77.45,77.37,76.98,76.9
2013-07-17,77.79,77.21,77.62,77.09
2013-07-18,77.55,77.32,77.22,77.01
2013-07-19,78.17,78.09,77.45,77.34
2013-07-22,78.25,77.88,77.85,77.73
2013-07-23,78.63,78.56,77.96,77.8
2013-07-24,78.72,78.22,78.72,77.72
2013-07-25,78.46,78.0,78.05,77.63
2013-07-26,78.03,78.0,77.93,77.1
2013-07-29,78.25,78.0,77.83,77.79
2013-07-30,78.36,77.9,78.21,77.69
2013-07-31,78.48,78.03,77.92,77.73
2013-08-01,78.67,78.21,78.42,78.11
2013-08-02,78.73,78.73,78.26,78.0
2013-08-05,79.0,78.76,78.55,78.43
2013-08-06,78.57,77.88,78.56,77.56
2013-08-07,77.63,77.38,77.16,76.62
2013-08-08,77.89,77.25,77.45,76.93
2013-08-09,77.32,76.88,77.21,76.77
2013-08-12,77.39,77.1,76.55,76.49
2013-08-13,77.25,76.87,77.17,76.22
2013-08-14,77.22,76.37,76.89,76.24
2013-08-15,75.08,74.41,74.46,74.03
2013-08-16,74.5,74.11,74.12,73.7
2013-08-19,73.93,73.57,73.88,73.21
2013-08-20,73.62,73.23,73.5,73.2
2013-08-21,74.13,73.56,73.14,72.93
2013-08-22,74.04,73.47,73.8,73.24
2013-08-23,73.75,73.43,73.69,73.03
2013-08-26,73.75,73.03,73.74,73.03
2013-08-27,73.11,72.86,72.68,72.51
2013-08-28,72.86,72.39,72.66,72.27
2013-08-29,72.88,72.44,72.35,72.23
2013-08-30,73.07,72.93,72.67,72.58
2013-09-02,,,,
2013-09-03,73.58,72.65,73.48,72.54
2013-09-04,73.12,72.9,72.7,72.45
2013-09-05,73.48,72.63,72.84,72.62
2013-09-06,73.16,72.6,72.7,72.19
2013-09-09,73.65,73.49,72.85,72.7
2013-09-10,74.21,73.97,73.66,73.59
2013-09-11,74.24,74.06,74.04,73.66
2013-09-12,74.52,73.91,74.18,73.77
2013-09-13,74.4,74.37,74.13,73.98
2013-09-16,75.19,74.79,74.9,74.69
2013-09-17,75.47,75.17,74.84,74.79
2013-09-18,76.53,76.41,75.16,74.9
2013-09-19,76.53,76.2,76.5,75.62
2013-09-20,76.45,75.91,76.34,75.91
2013-09-23,76.43,76.43,75.34,75.25
2013-09-24,76.73,75.76,76.4,75.68
2013-09-25,75.94,74.65,75.93,73.56
2013-09-26,74.98,74.62,74.86,74.22
2013-09-27,74.46,74.35,74.35,74.07
2013-09-30,74.6,73.96,74.28,73.74
2013-10-01,73.89,73.57,73.87,73.32
2013-10-02,73.72,73.7,73.39,73.04
2013-10-03,73.53,73.16,73.51,72.95
2013-10-04,73.38,72.79,73.08,72.79
2013-10-07,72.42,71.88,72.42,71.51
2013-10-08,73.19,72.89,71.86,71.8
2013-10-09,73.34,73.03,72.83,72.57
2013-10-10,74.87,74.78,73.48,73.27
2013-10-11,74.83,74.82,74.6,73.83
2013-10-14,74.71,74.68,74.34,73.75
2013-10-15,75.37,74.37,74.43,73.99
2013-10-16,75.62,75.6,74.78,74.57
2013-10-17,76.12,75.77,75.49,75.38
2013-10-18,75.93,75.68,75.8,75.48
2013-10-21,75.82,75.16,75.65,74.82
2013-10-22,76.49,76.33,75.43,75.21
2013-10-23,76.35,75.89,76.18,75.81
2013-10-24,76.51,76.42,76.03,75.82
2013-10-25,76.76,76.07,76.37,75.78
2013-10-28,77.21,77.17,76.16,76.05
2013-10-29,77.63,77.07,77.25,76.75
2013-10-30,77.53,76.93,77.28,76.56
2013-10-31,77.15,76.78,76.88,76.6
2013-11-01,77.4,77.07,76.97,76.59
2013-11-04,77.65,77.32,77.22,77.2
2013-11-05,77.61,77.43,76.88,76.72
2013-11-06,78.28,78.16,77.64,77.3
2013-11-07,78.22,77.51,78.19,77.24
2013-11-08,77.96,77.95,77.49,76.79
2013-11-11,79.07,79.0,77.86,77.79
2013-11-12,78.97,78.71,78.85,78.25
2013-11-13,78.99,78.89,78.42,78.35
2013-11-14,79.53,79.09,77.75,77.68
2013-11-15,79.29,79.25,78.82,78.75
2013-11-18,79.32,79.21,79.23,78.91
2013-11-19,79.35,79.25,79.3,78.88
2013-11-20,79.39,78.91,79.31,78.49
2013-11-21,79.2,78.86,78.74,78.55
2013-11-22,79.87,79.81,78.87,78.75
2013-11-25,80.57,80.44,80.06,79.91
2013-11-26,80.68,80.68,80.44,80.11
2013-11-27,81.0,80.93,80.55,80.38
2013-11-28,,,,
2013-11-29,81.35,81.02,81.2,80.82
2013-12-02,81.28,81.11,80.82,80.37
2013-12-03,81.33,81.21,81.23,80.7
2013-12-04,81.37,80.22,80.64,79.91
2013-12-05,79.77,79.44,79.72,78.87
2013-12-06,80.23,79.94,79.71,79.64
2013-12-09,80.43,79.96,80.26,79.8
2013-12-10,79.8,79.08,79.72,79.05
2013-12-11,79.72,79.1,79.1,79.05
2013-12-12,79.26,78.5,79.11,78.4
2013-12-13,78.77,78.07,78.68,77.93
2013-12-16,78.5,77.73,78.2,77.6
2013-12-17,77.89,77.24,77.75,77.22
2013-12-18,77.98,77.95,77.36,76.81
2013-12-19,77.83,77.24,77.75,77.2
2013-12-20,77.88,77.5,77.33,77.25
2013-12-23,77.99,77.87,77.66,77.37
2013-12-24,78.24,78.01,77.9,77.63
2013-12-25,,,,
2013-12-26,78.52,78.39,78.06,77.97
2013-12-27,78.93,78.49,78.6,78.3
2013-12-30,78.88,78.63,78.61,78.43
2013-12-31,78.87,78.69,78.66,78.35
2014-01-01,,,,
2014-01-02,79.48,78.92,78.69,78.48
2014-01-03,79.13,78.64,78.81,78.52
2014-01-06,78.91,78.18,78.86,77.79
2014-01-07,78.85,78.44,78.17,77.92
2014-01-08,78.51,77.81,78.51,77.6
2014-01-09,78.4,78.1,78.39,77.81
2014-01-10,78.72,78.04,78.31,77.54
2014-01-13,77.97,77.47,77.6,77.24
2014-01-14,78.0,77.94,77.46,77.38
2014-01-15,78.1,77.66,77.96,77.57
2014-01-16,77.47,76.76,77.36,76.35
2014-01-17,76.82,76.15,76.73,76.03
2014-01-20,,,,
2014-01-21,76.39,75.85,76.28,74.86
2014-01-22,76.08,75.36,76.08,75.03
2014-01-23,75.12,74.95,74.84,74.47
2014-01-24,75.12,74.44,74.73,74.23
2014-01-27,74.37,74.13,74.13,73.83
2014-01-28,75.4,74.67,74.26,74.1
2014-01-29,75.47,74.11,75.47,74.07
2014-01-30,75.09,74.74,74.54,74.36
2014-01-31,75.19,74.69,73.92,73.64
2014-02-03,74.5,72.66,74.19,72.54
2014-02-04,73.11,72.74,72.66,72.3
2014-02-05,73.16,72.88,72.27,72.27
2014-02-06,73.21,72.82,72.97,72.5
2014-02-07,73.8,73.76,73.05,72.5
2014-02-10,73.75,73.74,73.59,72.96
2014-02-11,74.85,74.79,73.9,73.67
2014-02-12,75.18,74.97,74.22,74.21
2014-02-13,75.49,75.36,74.68,74.56
2014-02-14,75.99,75.8,75.34,75.1
2014-02-17,,,,
2014-02-18,75.65,75.35,75.63,74.86
2014-02-19,75.33,74.86,75.01,74.4
2014-02-20,74.01,73.53,73.05,72.81
2014-02-21,73.4,73.12,73.19,72.82
2014-02-24,73.82,73.35,73.24,73.14
2014-02-25,73.74,73.35,73.18,73.09
2014-02-26,74.97,74.79,73.94,73.79
2014-02-27,74.78,74.56,74.67,74.09
2014-02-28,75.19,74.72,74.48,74.2
2014-03-03,74.68,74.11,74.49,73.82
2014-03-04,75.49,75.1,74.77,74.66
2014-03-05,75.37,74.81,75.32,74.58
2014-03-06,75.11,74.9,74.86,74.51
2014-03-07,74.96,74.56,74.93,74.36
2014-03-10,74.6,74.42,74.52,74.05
2014-03-11,74.97,74.91,74.68,74.2
2014-03-12,75.75,75.52,74.84,74.74
2014-03-13,76.18,74.95,75.97,74.91
2014-03-14,75.07,74.29,74.69,74.27
2014-03-17,74.85,74.68,74.3,74.0
2014-03-18,74.99,74.76,74.65,74.45
2014-03-19,75.11,74.38,74.59,74.02
2014-03-20,75.68,75.38,74.06,73.85
2014-03-21,77.02,76.47,75.89,75.45
2014-03-24,76.8,76.76,76.21,76.11
2014-03-25,77.14,76.88,76.83,76.16
2014-03-26,77.53,76.23,77.08,76.23
2014-03-27,76.82,76.14,76.7,76.04
2014-03-28,76.6,76.0,76.33,75.77
2014-03-31,76.78,76.43,76.35,76.02
2014-04-01,77.25,76.77,76.76,76.54
2014-04-02,77.19,77.18,77.02,76.34
2014-04-03,77.55,77.44,77.2,77.0
2014-04-04,77.9,77.31,77.58,77.25
2014-04-07,77.71,77.32,77.23,77.09
2014-04-08,78.31,78.19,77.09,76.8
2014-04-09,78.23,77.96,78.2,77.28
2014-04-10,78.14,76.88,77.95,76.64
2014-04-11,77.23,76.51,76.67,76.29
2014-04-14,77.56,77.38,76.94,76.79
2014-04-15,77.31,76.88,77.0,76.44
2014-04-16,77.46,77.21,77.31,77.03
2014-04-17,77.75,77.65,77.06,77.06
2014-04-18,,,,
2014-04-21,77.73,77.59,77.41,77.18
2014-04-22,77.83,77.58,77.53,77.39
2014-04-23,78.28,78.05,77.82,77.69
2014-04-24,78.47,78.31,78.17,77.7
2014-04-25,78.78,78.65,78.31,78.02
2014-04-28,79.99,79.76,78.86,78.83
2014-04-29,79.87,79.66,79.84,79.57
2014-04-30,79.93,79.7,79.59,79.51
2014-05-01,79.73,79.68,79.73,79.16
2014-05-02,79.76,79.18,79.57,79.0
2014-05-05,78.99,78.65,78.86,78.5
2014-05-06,78.44,78.03,78.32,78.0
2014-05-07,78.1,78.0,77.85,77.53
2014-05-08,78.83,78.7,78.0,78.0
2014-05-09,79.28,79.18,78.52,78.52
2014-05-12,79.23,79.16,78.35,78.35
2014-05-13,79.38,79.15,79.17,78.99
2014-05-14,79.06,78.73,79.06,78.2
2014-05-15,77.44,76.84,76.28,76.25
2014-05-16,77.38,77.02,77.0,76.83
2014-05-19,77.13,76.61,77.11,76.5
2014-05-20,76.46,75.7,76.46,75.52
2014-05-21,75.96,75.66,75.72,75.27
2014-05-22,75.92,75.39,75.79,75.24
2014-05-23,75.75,75.62,75.56,75.43
2014-05-26,,,,
2014-05-27,75.81,75.57,75.71,75.29
2014-05-28,75.94,75.53,75.21,75.21
2014-05-29,76.19,75.98,75.67,75.57
2014-05-30,76.82,76.76,76.06,76.01
2014-06-02,77.11,76.76,76.54,76.47
2014-06-03,76.97,76.72,76.74,76.36
2014-06-04,77.3,77.12,76.6,76.52
2014-06-05,77.44,77.33,77.05,76.87
2014-06-06,77.6,77.21,77.46,77.07
2014-06-09,77.76,77.01,77.08,76.7
