,HIGH,CLOSE,OPEN,LOW
2013-05-31,92.37,90.49,91.95,90.46
2013-06-03,91.51,91.42,90.53,90.48
2013-06-04,91.49,90.77,91.11,90.22
2013-06-05,91.12,89.65,90.68,89.61
2013-06-06,90.22,90.18,89.45,89.0
2013-06-07,91.5,91.43,90.88,90.49
2013-06-10,91.94,91.12,91.85,90.87
2013-06-11,91.04,90.47,90.38,90.23
2013-06-12,91.32,89.74,91.12,89.59
2013-06-13,91.71,91.33,89.63,89.61
2013-06-14,91.3,90.57,91.13,90.29
2013-06-17,91.77,91.48,90.97,90.77
2013-06-18,92.06,91.92,91.56,91.26
2013-06-19,92.27,91.04,91.79,91.02
2013-06-20,90.52,89.04,90.2,88.79
2013-06-21,90.14,89.55,89.92,88.85
2013-06-24,89.5,88.48,88.94,88.02
2013-06-25,89.58,89.11,89.58,88.48
2013-06-26,89.97,89.8,89.35,88.73
2013-06-27,90.67,90.05,90.11,90.03
2013-06-28,90.75,89.97,89.85,89.56
2013-07-01,91.13,90.26,90.39,89.96
2013-07-02,91.1,90.62,90.33,90.12
2013-07-03,90.87,90.55,90.63,90.14
2013-07-04,,,,
2013-07-05,91.61,91.55,91.1,90.57
2013-07-08,92.53,92.24,91.96,91.9
2013-07-09,93.44,93.3,92.64,92.25
2013-07-10,93.39,92.83,93.19,92.38
2013-07-11,93.81,93.31,93.78,93.04
2013-07-12,93.45,93.3,93.22,92.72
2013-07-15,93.5,93.25,93.21,93.09
2013-07-16,93.47,93.33,93.19,92.77
2013-07-17,93.74,93.42,93.56,93.14
2013-07-18,94.84,94.38,93.72,93.71
2013-07-19,95.25,95.18,94.64,94.41
2013-07-22,95.2,94.85,94.7,94.7
2013-07-23,95.49,95.25,94.86,94.84
2013-07-24,95.28,94.99,95.28,94.42
2013-07-25,95.31,94.99,94.64,94.42
2013-07-26,94.86,94.76,94.65,93.84
2013-07-29,94.52,94.06,94.51,93.61
2013-07-30,94.33,93.87,94.3,93.46
2013-07-31,94.6,93.75,93.98,93.38
2013-08-01,93.1,92.71,92.69,91.25
2013-08-02,92.53,91.95,92.47,91.34
2013-08-05,91.76,91.6,91.42,91.01
2013-08-06,91.91,91.46,91.34,91.28
2013-08-07,91.55,91.38,91.18,91.15
2013-08-08,91.97,91.76,91.92,91.28
2013-08-09,91.36,90.69,91.18,90.43
2013-08-12,90.43,89.89,90.42,89.69
2013-08-13,89.92,89.43,89.85,89.14
2013-08-14,89.48,88.98,89.35,88.85
2013-08-15,88.87,88.14,88.66,88.06
2013-08-16,88.49,87.9,88.01,87.65
2013-08-19,87.87,86.87,87.8,86.78
2013-08-20,87.87,86.84,87.21,86.83
2013-08-21,87.35,86.42,86.96,86.39
2013-08-22,87.42,87.0,86.58,86.45
2013-08-23,87.69,87.52,87.11,86.76
2013-08-26,87.7,87.12,87.5,86.82
2013-08-27,87.49,86.83,86.68,86.58
2013-08-28,88.99,88.86,87.31,87.28
2013-08-29,88.63,87.25,88.58,87.23
2013-08-30,87.55,87.03,87.39,86.79
2013-09-02,,,,
2013-09-03,88.0,87.1,87.69,86.83
2013-09-04,87.98,87.83,87.01,86.9
2013-09-05,88.3,87.35,88.06,87.33
2013-09-06,87.73,87.22,87.67,86.8
2013-09-09,88.19,88.04,87.39,87.31
2013-09-10,88.28,87.86,88.23,87.28
2013-09-11,88.84,88.84,87.88,87.88
2013-09-12,88.8,87.98,88.52,87.86
2013-09-13,88.88,88.41,88.26,88.22
2013-09-16,89.18,88.67,88.88,88.49
2013-09-17,89.35,88.99,88.7,88.65
2013-09-18,89.87,89.54,88.91,88.37
2013-09-19,89.74,89.25,89.64,88.98
2013-09-20,89.75,88.75,89.58,88.59
2013-09-23,88.91,87.77,88.3,87.64
2013-09-24,88.07,87.36,87.52,87.28
2013-09-25,87.6,87.14,87.59,86.93
2013-09-26,87.45,87.08,87.4,86.81
2013-09-27,87.01,86.89,86.79,86.61
2013-09-30,86.7,86.05,86.08,85.61
2013-10-01,86.34,86.01,85.91,85.78
2013-10-02,86.11,86.05,85.75,85.28
2013-10-03,86.05,85.51,86.04,85.34
2013-10-04,86.44,86.3,86.44,85.68
2013-10-07,86.29,85.99,85.55,85.27
2013-10-08,85.95,85.52,85.86,85.47
2013-10-09,85.59,85.17,85.35,84.83
2013-10-10,86.01,85.98,85.52,84.79
2013-10-11,86.94,86.93,85.78,85.5
2013-10-14,87.74,87.61,86.51,86.51
2013-10-15,87.58,86.79,87.47,86.64
2013-10-16,87.86,87.3,87.5,86.72
2013-10-17,87.5,87.45,87.17,87.01
2013-10-18,87.74,87.54,87.69,87.3
2013-10-21,87.65,87.2,87.5,86.84
2013-10-22,88.15,87.95,87.19,87.13
2013-10-23,87.65,87.61,87.57,86.95
2013-10-24,88.73,88.44,87.9,87.9
2013-10-25,88.65,87.97,88.09,87.82
2013-10-28,88.46,88.22,87.77,87.61
2013-10-29,89.03,88.93,88.45,88.43
2013-10-30,89.48,88.82,89.08,88.69
2013-10-31,90.56,89.68,89.25,89.2
2013-11-01,90.04,89.94,89.85,88.27
2013-11-04,92.27,92.12,90.05,90.0
2013-11-05,93.25,91.92,91.31,91.24
2013-11-06,93.28,93.21,92.39,92.12
2013-11-07,92.98,92.04,92.64,91.76
2013-11-08,92.82,92.7,91.81,91.47
2013-11-11,93.23,92.95,92.86,92.5
2013-11-12,93.32,92.68,92.68,92.5
2013-11-13,92.74,92.59,92.21,92.07
2013-11-14,93.42,93.22,92.68,92.68
2013-11-15,95.29,95.26,94.15,94.03
2013-11-18,96.0,95.41,95.98,95.06
2013-11-19,95.79,95.41,95.4,95.16
2013-11-20,95.95,94.68,95.68,94.37
2013-11-21,95.39,94.69,94.85,94.63
2013-11-22,95.09,94.99,95.09,94.29
2013-11-25,95.75,95.13,95.21,94.83
2013-11-26,94.88,94.26,94.79,94.15
2013-11-27,94.42,93.8,94.32,93.48
2013-11-28,,,,
2013-11-29,94.22,93.48,93.68,93.3
2013-12-02,94.04,93.52,93.27,92.92
2013-12-03,94.48,94.38,93.6,93.23
2013-12-04,94.9,94.65,94.18,93.92
2013-12-05,94.65,94.13,94.15,93.92
2013-12-06,95.71,95.64,94.93,94.59
2013-12-09,96.25,95.86,95.85,95.6
2013-12-10,95.98,95.76,95.9,95.39
2013-12-11,95.54,94.24,95.31,94.16
2013-12-12,95.88,95.36,94.62,94.28
2013-12-13,95.92,95.31,95.13,94.65
2013-12-16,98.88,97.22,96.25,96.13
2013-12-17,97.13,96.76,97.02,96.03
2013-12-18,99.95,99.8,97.43,97.06
2013-12-19,99.6,99.41,99.56,99.0
2013-12-20,99.6,98.81,99.21,98.6
2013-12-23,99.29,98.52,99.1,98.39
2013-12-24,99.44,99.22,98.33,98.31
2013-12-25,,,,
2013-12-26,101.03,100.91,99.4,99.38
2013-12-27,101.74,101.51,101.17,100.99
2013-12-30,101.55,100.36,101.5,100.35
2013-12-31,101.39,101.21,100.5,100.43
2014-01-01,,,,
2014-01-02,100.76,99.77,100.24,99.39
2014-01-03,100.17,99.48,99.77,99.14
2014-01-06,100.15,99.66,99.95,98.9
2014-01-07,101.21,101.03,99.61,99.41
2014-01-08,101.2,100.75,101.14,100.15
2014-01-09,100.39,99.77,100.33,99.03
