,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,,,,
2013-06-01,0.0,5.0,0.0,5.0
2013-06-02,1.0,5.0,0.0,6.0
2013-06-03,0.0,10.0,1.0,11.0
2013-06-04,2.0,12.0,6.0,20.0
2013-06-05,0.0,4.0,2.0,6.0
2013-06-06,1.0,9.0,0.0,10.0
2013-06-07,2.0,4.0,11.0,17.0
2013-06-08,0.0,3.0,3.0,6.0
2013-06-09,0.0,1.0,2.0,3.0
2013-06-10,0.0,6.0,7.0,13.0
2013-06-11,2.0,9.0,8.0,19.0
2013-06-12,6.0,5.0,2.0,13.0
2013-06-13,2.0,21.0,2.0,25.0
2013-06-14,11.0,20.0,4.0,35.0
2013-06-15,0.0,2.0,0.0,2.0
2013-06-16,1.0,1.0,3.0,5.0
2013-06-17,2.0,14.0,0.0,16.0
2013-06-18,2.0,6.0,7.0,15.0
2013-06-19,1.0,7.0,2.0,10.0
2013-06-20,4.0,47.0,2.0,53.0
2013-06-21,1.0,27.0,0.0,28.0
2013-06-22,0.0,11.0,0.0,11.0
2013-06-23,1.0,2.0,1.0,4.0
2013-06-24,6.0,11.0,5.0,22.0
2013-06-25,0.0,7.0,7.0,14.0
2013-06-26,0.0,12.0,4.0,16.0
2013-06-27,0.0,13.0,2.0,15.0
2013-06-28,0.0,5.0,0.0,5.0
2013-06-29,1.0,2.0,1.0,4.0
2013-06-30,0.0,1.0,0.0,1.0
2013-07-01,2.0,9.0,3.0,14.0
2013-07-02,0.0,2.0,1.0,3.0
2013-07-03,0.0,7.0,0.0,7.0
2013-07-04,2.0,7.0,1.0,10.0
2013-07-05,1.0,3.0,2.0,6.0
2013-07-06,0.0,1.0,3.0,4.0
2013-07-07,0.0,5.0,6.0,11.0
2013-07-08,0.0,12.0,9.0,21.0
2013-07-09,1.0,4.0,5.0,10.0
2013-07-10,2.0,19.0,7.0,28.0
2013-07-11,0.0,10.0,4.0,14.0
2013-07-12,0.0,13.0,9.0,22.0
2013-07-13,0.0,6.0,0.0,6.0
2013-07-14,0.0,8.0,1.0,9.0
2013-07-15,1.0,13.0,12.0,26.0
2013-07-16,6.0,31.0,2.0,39.0
2013-07-17,27.0,146.0,44.0,217.0
2013-07-18,19.0,38.0,17.0,74.0
2013-07-19,8.0,14.0,3.0,25.0
2013-07-20,0.0,3.0,3.0,6.0
2013-07-21,0.0,1.0,5.0,6.0
2013-07-22,4.0,15.0,10.0,29.0
2013-07-23,2.0,4.0,4.0,10.0
2013-07-24,2.0,31.0,8.0,41.0
2013-07-25,1.0,10.0,4.0,15.0
2013-07-26,4.0,16.0,2.0,22.0
2013-07-27,0.0,4.0,1.0,5.0
2013-07-28,0.0,3.0,0.0,3.0
2013-07-29,3.0,15.0,2.0,20.0
2013-07-30,3.0,15.0,2.0,20.0
2013-07-31,11.0,50.0,10.0,71.0
2013-08-01,6.0,38.0,3.0,47.0
2013-08-02,1.0,5.0,1.0,7.0
2013-08-03,1.0,2.0,0.0,3.0
2013-08-04,0.0,1.0,0.0,1.0
2013-08-05,0.0,22.0,6.0,28.0
2013-08-06,2.0,12.0,4.0,18.0
2013-08-07,2.0,29.0,3.0,34.0
2013-08-08,5.0,28.0,15.0,48.0
2013-08-09,4.0,22.0,2.0,28.0
2013-08-10,0.0,2.0,0.0,2.0
2013-08-11,1.0,6.0,0.0,7.0
2013-08-12,0.0,19.0,2.0,21.0
2013-08-13,0.0,14.0,6.0,20.0
2013-08-14,1.0,19.0,5.0,25.0
2013-08-15,2.0,25.0,5.0,32.0
2013-08-16,0.0,19.0,1.0,20.0
2013-08-17,0.0,4.0,1.0,5.0
2013-08-18,1.0,5.0,0.0,6.0
2013-08-19,3.0,4.0,1.0,8.0
2013-08-20,0.0,9.0,4.0,13.0
2013-08-21,2.0,17.0,3.0,22.0
2013-08-22,0.0,10.0,4.0,14.0
2013-08-23,0.0,18.0,4.0,22.0
2013-08-24,0.0,0.0,0.0,0.0
2013-08-25,0.0,3.0,0.0,3.0
2013-08-26,2.0,6.0,4.0,12.0
2013-08-27,2.0,21.0,3.0,26.0
2013-08-28,4.0,5.0,0.0,9.0
2013-08-29,3.0,17.0,3.0,23.0
2013-08-30,4.0,23.0,2.0,29.0
2013-08-31,2.0,1.0,0.0,3.0
2013-09-01,2.0,1.0,0.0,3.0
2013-09-02,3.0,9.0,1.0,13.0
2013-09-03,2.0,12.0,2.0,16.0
2013-09-04,2.0,15.0,3.0,20.0
2013-09-05,1.0,11.0,4.0,16.0
2013-09-06,1.0,5.0,1.0,7.0
2013-09-07,2.0,2.0,2.0,6.0
2013-09-08,2.0,3.0,3.0,8.0
2013-09-09,1.0,11.0,1.0,13.0
2013-09-10,0.0,39.0,11.0,50.0
2013-09-11,0.0,11.0,9.0,20.0
2013-09-12,1.0,10.0,2.0,13.0
2013-09-13,0.0,9.0,2.0,11.0
2013-09-14,0.0,0.0,0.0,0.0
2013-09-15,2.0,2.0,4.0,8.0
2013-09-16,0.0,12.0,2.0,14.0
2013-09-17,0.0,23.0,3.0,26.0
2013-09-18,1.0,12.0,4.0,17.0
2013-09-19,0.0,16.0,4.0,20.0
2013-09-20,1.0,13.0,3.0,17.0
2013-09-21,0.0,6.0,2.0,8.0
2013-09-22,1.0,9.0,1.0,11.0
2013-09-23,1.0,14.0,2.0,17.0
2013-09-24,1.0,16.0,3.0,20.0
2013-09-25,4.0,39.0,1.0,44.0
2013-09-26,0.0,34.0,4.0,38.0
2013-09-27,0.0,12.0,0.0,12.0
2013-09-28,0.0,4.0,0.0,4.0
2013-09-29,0.0,9.0,1.0,10.0
2013-09-30,2.0,26.0,1.0,29.0
2013-10-01,2.0,39.0,4.0,45.0
2013-10-02,4.0,16.0,12.0,32.0
2013-10-03,1.0,14.0,2.0,17.0
2013-10-04,0.0,14.0,8.0,22.0
2013-10-05,1.0,9.0,1.0,11.0
2013-10-06,0.0,12.0,1.0,13.0
2013-10-07,9.0,24.0,3.0,36.0
2013-10-08,4.0,30.0,12.0,46.0
2013-10-09,3.0,23.0,4.0,30.0
2013-10-10,2.0,23.0,4.0,29.0
2013-10-11,0.0,33.0,5.0,38.0
2013-10-12,0.0,12.0,0.0,12.0
2013-10-13,0.0,26.0,0.0,26.0
2013-10-14,0.0,38.0,7.0,45.0
2013-10-15,2.0,49.0,0.0,51.0
2013-10-16,3.0,138.0,59.0,200.0
2013-10-17,7.0,94.0,38.0,139.0
2013-10-18,5.0,33.0,8.0,46.0
2013-10-19,1.0,2.0,3.0,6.0
2013-10-20,0.0,2.0,0.0,2.0
2013-10-21,5.0,40.0,11.0,56.0
2013-10-22,1.0,26.0,6.0,33.0
2013-10-23,1.0,10.0,2.0,13.0
2013-10-24,4.0,24.0,6.0,34.0
2013-10-25,0.0,20.0,13.0,33.0
2013-10-26,1.0,3.0,4.0,8.0
2013-10-27,0.0,11.0,4.0,15.0
2013-10-28,0.0,21.0,5.0,26.0
2013-10-29,0.0,17.0,13.0,30.0
2013-10-30,2.0,16.0,4.0,22.0
2013-10-31,0.0,7.0,5.0,12.0
2013-11-01,0.0,5.0,2.0,7.0
2013-11-02,1.0,2.0,0.0,3.0
2013-11-03,1.0,9.0,1.0,11.0
2013-11-04,1.0,27.0,2.0,30.0
2013-11-05,2.0,14.0,4.0,20.0
2013-11-06,1.0,23.0,4.0,28.0
2013-11-07,2.0,19.0,3.0,24.0
2013-11-08,0.0,11.0,1.0,12.0
2013-11-09,0.0,3.0,0.0,3.0
2013-11-10,1.0,7.0,2.0,10.0
2013-11-11,2.0,11.0,3.0,16.0
2013-11-12,3.0,12.0,11.0,26.0
2013-11-13,0.0,9.0,4.0,13.0
2013-11-14,0.0,29.0,80.0,109.0
2013-11-15,1.0,43.0,18.0,62.0
2013-11-16,0.0,9.0,1.0,10.0
2013-11-17,0.0,17.0,7.0,24.0
2013-11-18,0.0,33.0,8.0,41.0
2013-11-19,2.0,32.0,5.0,39.0
2013-11-20,0.0,17.0,4.0,21.0
2013-11-21,2.0,45.0,37.0,84.0
2013-11-22,1.0,35.0,21.0,57.0
2013-11-23,0.0,14.0,6.0,20.0
2013-11-24,0.0,6.0,2.0,8.0
2013-11-25,1.0,47.0,26.0,74.0
2013-11-26,0.0,33.0,15.0,48.0
2013-11-27,1.0,39.0,20.0,60.0
2013-11-28,1.0,16.0,4.0,21.0
2013-11-29,6.0,30.0,11.0,47.0
2013-11-30,0.0,11.0,9.0,20.0
2013-12-01,0.0,12.0,3.0,15.0
2013-12-02,6.0,51.0,21.0,78.0
2013-12-03,2.0,25.0,18.0,45.0
2013-12-04,2.0,30.0,11.0,43.0
2013-12-05,2.0,31.0,5.0,38.0
2013-12-06,4.0,18.0,5.0,27.0
2013-12-07,0.0,14.0,1.0,15.0
2013-12-08,0.0,16.0,3.0,19.0
2013-12-09,5.0,40.0,3.0,48.0
2013-12-10,4.0,38.0,5.0,47.0
2013-12-11,0.0,49.0,9.0,58.0
2013-12-12,1.0,31.0,9.0,41.0
2013-12-13,0.0,24.0,18.0,42.0
2013-12-14,0.0,12.0,4.0,16.0
2013-12-15,1.0,7.0,1.0,9.0
2013-12-16,6.0,25.0,4.0,35.0
2013-12-17,1.0,32.0,4.0,37.0
2013-12-18,2.0,28.0,13.0,43.0
2013-12-19,6.0,58.0,7.0,71.0
2013-12-20,5.0,53.0,23.0,81.0
2013-12-21,3.0,14.0,4.0,21.0
2013-12-22,1.0,12.0,3.0,16.0
2013-12-23,1.0,24.0,14.0,39.0
2013-12-24,58.0,59.0,28.0,145.0
2013-12-25,15.0,24.0,2.0,41.0
2013-12-26,8.0,17.0,2.0,27.0
2013-12-27,13.0,43.0,6.0,62.0
2013-12-28,1.0,12.0,3.0,16.0
2013-12-29,0.0,14.0,1.0,15.0
2013-12-30,2.0,34.0,6.0,42.0
2013-12-31,0.0,23.0,22.0,45.0
2014-01-01,2.0,34.0,8.0,44.0
2014-01-02,0.0,29.0,7.0,36.0
2014-01-03,3.0,22.0,9.0,34.0
2014-01-04,0.0,7.0,3.0,10.0
2014-01-05,2.0,26.0,2.0,30.0
2014-01-06,5.0,19.0,4.0,28.0
2014-01-07,2.0,25.0,1.0,28.0
2014-01-08,3.0,22.0,3.0,28.0
2014-01-09,6.0,23.0,3.0,32.0
2014-01-10,4.0,57.0,9.0,70.0
2014-01-11,10.0,24.0,6.0,40.0
2014-01-12,9.0,26.0,6.0,41.0
2014-01-13,4.0,54.0,9.0,67.0
2014-01-14,5.0,30.0,9.0,44.0
2014-01-15,6.0,48.0,20.0,74.0
2014-01-16,75.0,245.0,88.0,408.0
2014-01-17,33.0,235.0,166.0,434.0
2014-01-18,2.0,34.0,15.0,51.0
2014-01-19,3.0,33.0,16.0,52.0
2014-01-20,5.0,31.0,22.0,58.0
2014-01-21,1.0,39.0,19.0,59.0
2014-01-22,2.0,43.0,17.0,62.0
2014-01-23,17.0,29.0,10.0,56.0
2014-01-24,4.0,39.0,11.0,54.0
2014-01-25,6.0,19.0,3.0,28.0
2014-01-26,5.0,17.0,1.0,23.0
2014-01-27,4.0,38.0,4.0,46.0
2014-01-28,0.0,52.0,5.0,57.0
2014-01-29,3.0,36.0,4.0,43.0
2014-01-30,6.0,39.0,1.0,46.0
2014-01-31,11.0,43.0,8.0,62.0
2014-02-01,0.0,10.0,10.0,20.0
2014-02-02,1.0,7.0,0.0,8.0
2014-02-03,3.0,45.0,3.0,51.0
2014-02-04,3.0,24.0,7.0,34.0
2014-02-05,1.0,19.0,6.0,26.0
2014-02-06,8.0,25.0,32.0,65.0
2014-02-07,3.0,34.0,10.0,47.0
2014-02-08,0.0,10.0,4.0,14.0
2014-02-09,0.0,14.0,4.0,18.0
2014-02-10,2.0,73.0,48.0,123.0
2014-02-11,0.0,51.0,20.0,71.0
2014-02-12,0.0,38.0,9.0,47.0
2014-02-13,4.0,36.0,8.0,48.0
2014-02-14,1.0,52.0,2.0,55.0
2014-02-15,2.0,30.0,6.0,38.0
2014-02-16,3.0,21.0,5.0,29.0
2014-02-17,1.0,22.0,2.0,25.0
2014-02-18,5.0,47.0,9.0,61.0
2014-02-19,2.0,41.0,11.0,54.0
2014-02-20,3.0,29.0,6.0,38.0
2014-02-21,2.0,26.0,8.0,36.0
2014-02-22,2.0,27.0,8.0,37.0
2014-02-23,0.0,19.0,3.0,22.0
2014-02-24,5.0,29.0,10.0,44.0
2014-02-25,2.0,48.0,5.0,55.0
2014-02-26,8.0,49.0,2.0,59.0
2014-02-27,3.0,20.0,5.0,28.0
2014-02-28,7.0,39.0,13.0,59.0
2014-03-01,3.0,27.0,13.0,43.0
2014-03-02,2.0,55.0,6.0,63.0
2014-03-03,8.0,89.0,22.0,119.0
2014-03-04,4.0,65.0,15.0,84.0
2014-03-05,2.0,56.0,7.0,65.0
2014-03-06,4.0,68.0,65.0,137.0
2014-03-07,3.0,51.0,44.0,98.0
2014-03-08,2.0,26.0,8.0,36.0
2014-03-09,2.0,36.0,4.0,42.0
2014-03-10,2.0,62.0,12.0,76.0
2014-03-11,2.0,65.0,5.0,72.0
2014-03-12,16.0,62.0,13.0,91.0
2014-03-13,12.0,70.0,20.0,102.0
2014-03-14,5.0,60.0,4.0,69.0
2014-03-15,6.0,26.0,6.0,38.0
2014-03-16,2.0,23.0,2.0,27.0
2014-03-17,5.0,152.0,5.0,162.0
2014-03-18,1.0,146.0,20.0,167.0
2014-03-19,6.0,28.0,16.0,50.0
2014-03-20,3.0,60.0,8.0,71.0
2014-03-21,6.0,87.0,7.0,100.0
2014-03-22,0.0,28.0,11.0,39.0
2014-03-23,0.0,32.0,2.0,34.0
2014-03-24,6.0,59.0,9.0,74.0
2014-03-25,1.0,35.0,12.0,48.0
2014-03-26,8.0,80.0,47.0,135.0
2014-03-27,5.0,79.0,14.0,98.0
2014-03-28,11.0,39.0,6.0,56.0
2014-03-29,0.0,15.0,14.0,29.0
2014-03-30,0.0,7.0,11.0,18.0
2014-03-31,2.0,16.0,2.0,20.0
2014-04-01,4.0,31.0,4.0,39.0
2014-04-02,3.0,13.0,7.0,23.0
2014-04-03,1.0,43.0,19.0,63.0
2014-04-04,6.0,63.0,8.0,77.0
2014-04-05,2.0,44.0,7.0,53.0
2014-04-06,3.0,32.0,2.0,37.0
2014-04-07,11.0,56.0,4.0,71.0
2014-04-08,5.0,50.0,9.0,64.0
2014-04-09,24.0,45.0,13.0,82.0
2014-04-10,13.0,114.0,11.0,138.0
2014-04-11,5.0,79.0,5.0,89.0
2014-04-12,3.0,43.0,7.0,53.0
2014-04-13,1.0,46.0,4.0,51.0
2014-04-14,6.0,65.0,10.0,81.0
2014-04-15,7.0,129.0,6.0,142.0
2014-04-16,67.0,247.0,87.0,401.0
2014-04-17,25.0,117.0,58.0,200.0
2014-04-18,4.0,28.0,9.0,41.0
2014-04-19,3.0,40.0,8.0,51.0
2014-04-20,0.0,19.0,4.0,23.0
2014-04-21,2.0,53.0,8.0,63.0
2014-04-22,3.0,16.0,1.0,20.0
2014-04-23,2.0,22.0,4.0,28.0
2014-04-24,3.0,36.0,8.0,47.0
2014-04-25,5.0,41.0,2.0,48.0
2014-04-26,1.0,16.0,7.0,24.0
2014-04-27,2.0,8.0,2.0,12.0
2014-04-28,1.0,31.0,8.0,40.0
2014-04-29,1.0,31.0,9.0,41.0
2014-04-30,1.0,28.0,2.0,31.0
2014-05-01,4.0,63.0,10.0,77.0
2014-05-02,17.0,34.0,11.0,62.0
2014-05-03,2.0,53.0,5.0,60.0
2014-05-04,1.0,25.0,1.0,27.0
2014-05-05,1.0,64.0,11.0,76.0
2014-05-06,1.0,59.0,14.0,74.0
2014-05-07,3.0,75.0,6.0,84.0
2014-05-08,1.0,50.0,13.0,64.0
2014-05-09,0.0,49.0,6.0,55.0
2014-05-10,0.0,9.0,0.0,9.0
2014-05-11,0.0,6.0,1.0,7.0
2014-05-12,0.0,21.0,8.0,29.0
2014-05-13,4.0,64.0,38.0,106.0
2014-05-14,2.0,43.0,14.0,59.0
2014-05-15,4.0,58.0,3.0,65.0
2014-05-16,6.0,29.0,6.0,41.0
2014-05-17,5.0,6.0,0.0,11.0
2014-05-18,1.0,9.0,7.0,17.0
2014-05-19,0.0,58.0,2.0,60.0
2014-05-20,2.0,21.0,5.0,28.0
2014-05-21,1.0,34.0,5.0,40.0
2014-05-22,1.0,27.0,8.0,36.0
2014-05-23,0.0,33.0,4.0,37.0
2014-05-24,0.0,31.0,1.0,32.0
2014-05-25,0.0,9.0,0.0,9.0
2014-05-26,0.0,8.0,1.0,9.0
2014-05-27,4.0,78.0,35.0,117.0
2014-05-28,3.0,40.0,7.0,50.0
2014-05-29,3.0,15.0,4.0,22.0
2014-05-30,6.0,18.0,4.0,28.0
2014-05-31,4.0,17.0,0.0,21.0
2014-06-01,2.0,6.0,5.0,13.0
2014-06-02,0.0,35.0,14.0,49.0
2014-06-03,1.0,19.0,10.0,30.0
2014-06-04,1.0,34.0,7.0,42.0
2014-06-05,0.0,35.0,7.0,42.0
2014-06-06,2.0,49.0,21.0,72.0
2014-06-07,1.0,20.0,5.0,26.0
2014-06-08,0.0,14.0,1.0,15.0
2014-06-09,1.0,86.0,16.0,103.0
2014-06-10,4.0,74.0,16.0,94.0
2014-06-11,1.0,30.0,6.0,37.0
2014-06-12,0.0,21.0,12.0,33.0
2014-06-13,0.0,36.0,3.0,39.0
2014-06-14,0.0,20.0,1.0,21.0
2014-06-15,0.0,21.0,3.0,24.0
2014-06-16,5.0,53.0,2.0,60.0
2014-06-17,5.0,41.0,17.0,63.0
2014-06-18,0.0,25.0,4.0,29.0
2014-06-19,3.0,17.0,6.0,26.0
2014-06-20,1.0,20.0,8.0,29.0
2014-06-21,3.0,11.0,2.0,16.0
2014-06-22,0.0,4.0,0.0,4.0
2014-06-23,2.0,25.0,3.0,30.0
2014-06-24,3.0,33.0,5.0,41.0
2014-06-25,3.0,32.0,4.0,39.0
2014-06-26,0.0,17.0,4.0,21.0
2014-06-27,2.0,9.0,3.0,14.0
2014-06-28,3.0,11.0,3.0,17.0
2014-06-29,2.0,4.0,3.0,9.0
2014-06-30,3.0,31.0,5.0,39.0
2014-07-01,0.0,41.0,11.0,52.0
2014-07-02,5.0,36.0,7.0,48.0
2014-07-03,5.0,33.0,5.0,43.0
2014-07-04,0.0,21.0,0.0,21.0
2014-07-05,0.0,25.0,3.0,28.0
2014-07-06,2.0,44.0,15.0,61.0
2014-07-07,6.0,63.0,9.0,78.0
2014-07-08,7.0,50.0,5.0,62.0
2014-07-09,6.0,65.0,23.0,94.0
