,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,7.0,0.0,7.0
2013-06-01,0.0,7.0,1.0,8.0
2013-06-02,0.0,12.0,3.0,15.0
2013-06-03,0.0,34.0,6.0,40.0
2013-06-04,2.0,26.0,11.0,39.0
2013-06-05,1.0,12.0,4.0,17.0
2013-06-06,1.0,14.0,5.0,20.0
2013-06-07,3.0,33.0,18.0,54.0
2013-06-08,0.0,13.0,1.0,14.0
2013-06-09,0.0,3.0,3.0,6.0
2013-06-10,3.0,22.0,10.0,35.0
2013-06-11,1.0,45.0,29.0,75.0
2013-06-12,1.0,32.0,6.0,39.0
2013-06-13,0.0,28.0,9.0,37.0
2013-06-14,0.0,37.0,11.0,48.0
2013-06-15,0.0,16.0,5.0,21.0
2013-06-16,1.0,9.0,2.0,12.0
2013-06-17,0.0,82.0,27.0,109.0
2013-06-18,4.0,64.0,39.0,107.0
2013-06-19,5.0,55.0,25.0,85.0
2013-06-20,5.0,37.0,9.0,51.0
2013-06-21,4.0,17.0,5.0,26.0
2013-06-22,1.0,9.0,3.0,13.0
2013-06-23,0.0,3.0,2.0,5.0
2013-06-24,14.0,52.0,3.0,69.0
2013-06-25,0.0,40.0,8.0,48.0
2013-06-26,1.0,62.0,14.0,77.0
2013-06-27,0.0,55.0,26.0,81.0
2013-06-28,1.0,28.0,8.0,37.0
2013-06-29,0.0,10.0,1.0,11.0
2013-06-30,0.0,13.0,1.0,14.0
2013-07-01,0.0,22.0,17.0,39.0
2013-07-02,4.0,22.0,6.0,32.0
2013-07-03,1.0,28.0,3.0,32.0
2013-07-04,2.0,21.0,5.0,28.0
2013-07-05,3.0,18.0,12.0,33.0
2013-07-06,12.0,68.0,101.0,181.0
2013-07-07,4.0,29.0,22.0,55.0
2013-07-08,8.0,99.0,37.0,144.0
2013-07-09,1.0,35.0,11.0,47.0
2013-07-10,1.0,30.0,6.0,37.0
2013-07-11,2.0,21.0,16.0,39.0
2013-07-12,316.0,808.0,229.0,1353.0
2013-07-13,33.0,91.0,11.0,135.0
2013-07-14,5.0,24.0,3.0,32.0
2013-07-15,29.0,153.0,100.0,282.0
2013-07-16,12.0,42.0,10.0,64.0
2013-07-17,5.0,30.0,12.0,47.0
