,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,1.0,0.0,1.0
2013-06-01,0.0,16.0,2.0,18.0
2013-06-02,3.0,5.0,0.0,8.0
2013-06-03,7.0,22.0,5.0,34.0
2013-06-04,3.0,33.0,12.0,48.0
2013-06-05,23.0,29.0,13.0,65.0
2013-06-06,4.0,22.0,8.0,34.0
2013-06-07,11.0,21.0,9.0,41.0
2013-06-08,2.0,11.0,2.0,15.0
2013-06-09,0.0,15.0,0.0,15.0
2013-06-10,6.0,25.0,3.0,34.0
2013-06-11,7.0,26.0,16.0,49.0
2013-06-12,4.0,26.0,33.0,63.0
2013-06-13,10.0,31.0,20.0,61.0
2013-06-14,13.0,24.0,9.0,46.0
2013-06-15,3.0,21.0,1.0,25.0
2013-06-16,4.0,6.0,9.0,19.0
2013-06-17,9.0,21.0,7.0,37.0
2013-06-18,2.0,36.0,7.0,45.0
2013-06-19,4.0,18.0,11.0,33.0
2013-06-20,18.0,37.0,1.0,56.0
2013-06-21,2.0,46.0,10.0,58.0
2013-06-22,0.0,8.0,2.0,10.0
2013-06-23,3.0,6.0,0.0,9.0
2013-06-24,10.0,44.0,6.0,60.0
2013-06-25,7.0,27.0,1.0,35.0
2013-06-26,7.0,15.0,7.0,29.0
2013-06-27,5.0,18.0,3.0,26.0
2013-06-28,1.0,36.0,3.0,40.0
2013-06-29,2.0,12.0,0.0,14.0
2013-06-30,1.0,36.0,2.0,39.0
2013-07-01,1.0,23.0,9.0,33.0
2013-07-02,3.0,27.0,8.0,38.0
2013-07-03,0.0,22.0,3.0,25.0
2013-07-04,0.0,9.0,2.0,11.0
2013-07-05,3.0,20.0,3.0,26.0
2013-07-06,0.0,16.0,0.0,16.0
2013-07-07,2.0,14.0,4.0,20.0
2013-07-08,5.0,28.0,8.0,41.0
2013-07-09,9.0,43.0,21.0,73.0
2013-07-10,9.0,24.0,9.0,42.0
2013-07-11,12.0,33.0,10.0,55.0
2013-07-12,13.0,29.0,8.0,50.0
2013-07-13,5.0,15.0,2.0,22.0
2013-07-14,8.0,23.0,2.0,33.0
2013-07-15,11.0,36.0,14.0,61.0
2013-07-16,11.0,23.0,4.0,38.0
2013-07-17,224.0,217.0,34.0,475.0
2013-07-18,27.0,54.0,9.0,90.0
2013-07-19,7.0,28.0,2.0,37.0
2013-07-20,3.0,7.0,1.0,11.0
2013-07-21,1.0,29.0,0.0,30.0
2013-07-22,14.0,61.0,4.0,79.0
2013-07-23,58.0,81.0,12.0,151.0
2013-07-24,342.0,518.0,87.0,947.0
2013-07-25,56.0,69.0,12.0,137.0
2013-07-26,11.0,32.0,13.0,56.0
2013-07-27,5.0,7.0,0.0,12.0
2013-07-28,9.0,5.0,1.0,15.0
2013-07-29,27.0,124.0,69.0,220.0
2013-07-30,7.0,41.0,14.0,62.0
2013-07-31,12.0,36.0,7.0,55.0
2013-08-01,7.0,39.0,7.0,53.0
2013-08-02,3.0,15.0,0.0,18.0
2013-08-03,0.0,9.0,3.0,12.0
2013-08-04,2.0,9.0,1.0,12.0
2013-08-05,18.0,38.0,5.0,61.0
2013-08-06,12.0,27.0,7.0,46.0
2013-08-07,14.0,30.0,6.0,50.0
2013-08-08,7.0,38.0,7.0,52.0
2013-08-09,7.0,36.0,9.0,52.0
2013-08-10,0.0,6.0,2.0,8.0
2013-08-11,2.0,6.0,4.0,12.0
2013-08-12,12.0,47.0,20.0,79.0
2013-08-13,19.0,54.0,14.0,87.0
2013-08-14,15.0,36.0,5.0,56.0
2013-08-15,7.0,40.0,27.0,74.0
2013-08-16,8.0,23.0,3.0,34.0
2013-08-17,3.0,12.0,3.0,18.0
2013-08-18,2.0,18.0,0.0,20.0
2013-08-19,19.0,17.0,4.0,40.0
2013-08-20,16.0,42.0,9.0,67.0
2013-08-21,8.0,17.0,9.0,34.0
2013-08-22,4.0,18.0,7.0,29.0
2013-08-23,7.0,10.0,3.0,20.0
2013-08-24,0.0,3.0,0.0,3.0
2013-08-25,3.0,2.0,0.0,5.0
2013-08-26,7.0,8.0,5.0,20.0
2013-08-27,10.0,16.0,6.0,32.0
2013-08-28,17.0,34.0,9.0,60.0
