,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,1.0,0.0,1.0
2013-06-01,0.0,16.0,2.0,18.0
2013-06-02,2.0,31.0,2.0,35.0
2013-06-03,2.0,35.0,20.0,57.0
2013-06-04,2.0,46.0,9.0,57.0
2013-06-05,5.0,54.0,32.0,91.0
2013-06-06,0.0,42.0,30.0,72.0
2013-06-07,17.0,54.0,17.0,88.0
2013-06-08,4.0,11.0,7.0,22.0
2013-06-09,0.0,13.0,3.0,16.0
2013-06-10,1.0,31.0,8.0,40.0
2013-06-11,2.0,13.0,2.0,17.0
2013-06-12,1.0,38.0,5.0,44.0
2013-06-13,1.0,39.0,3.0,43.0
2013-06-14,0.0,14.0,3.0,17.0
2013-06-15,0.0,12.0,0.0,12.0
2013-06-16,0.0,6.0,5.0,11.0
2013-06-17,7.0,43.0,39.0,89.0
2013-06-18,3.0,45.0,11.0,59.0
2013-06-19,1.0,40.0,8.0,49.0
2013-06-20,2.0,45.0,25.0,72.0
2013-06-21,1.0,61.0,11.0,73.0
2013-06-22,0.0,29.0,2.0,31.0
2013-06-23,0.0,15.0,1.0,16.0
2013-06-24,5.0,32.0,7.0,44.0
2013-06-25,8.0,31.0,9.0,48.0
2013-06-26,2.0,28.0,7.0,37.0
2013-06-27,3.0,31.0,15.0,49.0
2013-06-28,6.0,31.0,16.0,53.0
2013-06-29,0.0,7.0,2.0,9.0
2013-06-30,0.0,11.0,3.0,14.0
2013-07-01,1.0,26.0,20.0,47.0
2013-07-02,5.0,23.0,13.0,41.0
2013-07-03,3.0,23.0,27.0,53.0
2013-07-04,2.0,21.0,12.0,35.0
2013-07-05,2.0,11.0,4.0,17.0
2013-07-06,0.0,14.0,2.0,16.0
2013-07-07,0.0,12.0,5.0,17.0
2013-07-08,4.0,20.0,9.0,33.0
2013-07-09,4.0,51.0,41.0,96.0
2013-07-10,1.0,37.0,26.0,64.0
2013-07-11,4.0,41.0,21.0,66.0
2013-07-12,4.0,23.0,5.0,32.0
2013-07-13,0.0,10.0,0.0,10.0
2013-07-14,0.0,16.0,0.0,16.0
2013-07-15,0.0,14.0,7.0,21.0
2013-07-16,1.0,21.0,3.0,25.0
2013-07-17,0.0,24.0,8.0,32.0
2013-07-18,2.0,27.0,40.0,69.0
2013-07-19,3.0,16.0,8.0,27.0
2013-07-20,0.0,2.0,5.0,7.0
2013-07-21,0.0,4.0,0.0,4.0
2013-07-22,2.0,25.0,6.0,33.0
2013-07-23,9.0,196.0,203.0,408.0
2013-07-24,8.0,46.0,18.0,72.0
2013-07-25,3.0,30.0,12.0,45.0
2013-07-26,3.0,19.0,11.0,33.0
2013-07-27,0.0,14.0,1.0,15.0
2013-07-28,0.0,1.0,0.0,1.0
2013-07-29,2.0,26.0,8.0,36.0
2013-07-30,4.0,46.0,28.0,78.0
2013-07-31,1.0,19.0,7.0,27.0
2013-08-01,4.0,18.0,6.0,28.0
2013-08-02,2.0,27.0,8.0,37.0
2013-08-03,1.0,10.0,1.0,12.0
2013-08-04,0.0,12.0,2.0,14.0
2013-08-05,4.0,69.0,34.0,107.0
2013-08-06,0.0,22.0,16.0,38.0
2013-08-07,2.0,45.0,27.0,74.0
2013-08-08,0.0,36.0,10.0,46.0
2013-08-09,3.0,57.0,28.0,88.0
2013-08-10,0.0,3.0,5.0,8.0
2013-08-11,1.0,30.0,6.0,37.0
2013-08-12,8.0,81.0,16.0,105.0
2013-08-13,4.0,49.0,23.0,76.0
2013-08-14,182.0,661.0,164.0,1007.0
2013-08-15,232.0,519.0,133.0,884.0
2013-08-16,16.0,105.0,55.0,176.0
2013-08-17,1.0,26.0,15.0,42.0
2013-08-18,0.0,19.0,4.0,23.0
2013-08-19,8.0,57.0,23.0,88.0
2013-08-20,4.0,47.0,18.0,69.0
2013-08-21,8.0,47.0,8.0,63.0
2013-08-22,7.0,57.0,11.0,75.0
2013-08-23,1.0,68.0,16.0,85.0
2013-08-24,1.0,12.0,6.0,19.0
2013-08-25,2.0,22.0,10.0,34.0
2013-08-26,5.0,53.0,20.0,78.0
2013-08-27,10.0,40.0,19.0,69.0
2013-08-28,7.0,43.0,11.0,61.0
