,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,,,,
2013-06-01,0.0,8.0,2.0,10.0
2013-06-02,1.0,3.0,0.0,4.0
2013-06-03,2.0,9.0,4.0,15.0
2013-06-04,0.0,16.0,5.0,21.0
2013-06-05,9.0,64.0,7.0,80.0
2013-06-06,13.0,43.0,5.0,61.0
2013-06-07,0.0,23.0,5.0,28.0
2013-06-08,0.0,5.0,0.0,5.0
2013-06-09,0.0,2.0,2.0,4.0
2013-06-10,2.0,9.0,3.0,14.0
2013-06-11,5.0,12.0,4.0,21.0
2013-06-12,1.0,11.0,4.0,16.0
2013-06-13,4.0,14.0,3.0,21.0
2013-06-14,0.0,23.0,4.0,27.0
2013-06-15,0.0,6.0,2.0,8.0
2013-06-16,1.0,5.0,0.0,6.0
2013-06-17,2.0,20.0,6.0,28.0
2013-06-18,2.0,23.0,2.0,27.0
2013-06-19,2.0,17.0,9.0,28.0
2013-06-20,1.0,43.0,12.0,56.0
2013-06-21,1.0,23.0,4.0,28.0
2013-06-22,0.0,8.0,1.0,9.0
2013-06-23,5.0,5.0,0.0,10.0
2013-06-24,1.0,17.0,19.0,37.0
2013-06-25,0.0,20.0,12.0,32.0
2013-06-26,1.0,26.0,14.0,41.0
2013-06-27,2.0,18.0,2.0,22.0
2013-06-28,0.0,14.0,14.0,28.0
2013-06-29,0.0,6.0,0.0,6.0
2013-06-30,0.0,12.0,3.0,15.0
2013-07-01,0.0,18.0,4.0,22.0
2013-07-02,0.0,19.0,14.0,33.0
2013-07-03,0.0,19.0,5.0,24.0
2013-07-04,0.0,16.0,2.0,18.0
2013-07-05,1.0,7.0,2.0,10.0
2013-07-06,0.0,5.0,5.0,10.0
2013-07-07,0.0,6.0,2.0,8.0
2013-07-08,0.0,30.0,8.0,38.0
2013-07-09,0.0,27.0,4.0,31.0
2013-07-10,4.0,42.0,12.0,58.0
2013-07-11,5.0,29.0,5.0,39.0
2013-07-12,0.0,12.0,4.0,16.0
2013-07-13,0.0,1.0,2.0,3.0
2013-07-14,0.0,2.0,3.0,5.0
2013-07-15,1.0,11.0,6.0,18.0
2013-07-16,1.0,23.0,13.0,37.0
2013-07-17,0.0,22.0,4.0,26.0
2013-07-18,0.0,15.0,5.0,20.0
2013-07-19,0.0,44.0,3.0,47.0
2013-07-20,0.0,3.0,0.0,3.0
2013-07-21,1.0,6.0,3.0,10.0
2013-07-22,3.0,17.0,14.0,34.0
2013-07-23,5.0,19.0,11.0,35.0
2013-07-24,5.0,24.0,4.0,33.0
2013-07-25,3.0,34.0,11.0,48.0
2013-07-26,0.0,16.0,1.0,17.0
2013-07-27,0.0,7.0,0.0,7.0
2013-07-28,0.0,8.0,0.0,8.0
2013-07-29,0.0,29.0,7.0,36.0
2013-07-30,0.0,17.0,3.0,20.0
2013-07-31,2.0,35.0,5.0,42.0
2013-08-01,2.0,44.0,7.0,53.0
2013-08-02,23.0,94.0,25.0,142.0
2013-08-03,3.0,4.0,1.0,8.0
2013-08-04,4.0,18.0,2.0,24.0
2013-08-05,10.0,29.0,7.0,46.0
2013-08-06,9.0,18.0,3.0,30.0
2013-08-07,8.0,38.0,4.0,50.0
2013-08-08,2.0,26.0,4.0,32.0
2013-08-09,5.0,16.0,9.0,30.0
2013-08-10,0.0,8.0,2.0,10.0
2013-08-11,1.0,2.0,3.0,6.0
2013-08-12,1.0,21.0,2.0,24.0
2013-08-13,1.0,25.0,7.0,33.0
2013-08-14,3.0,14.0,8.0,25.0
2013-08-15,0.0,18.0,7.0,25.0
2013-08-16,0.0,14.0,1.0,15.0
2013-08-17,2.0,4.0,0.0,6.0
2013-08-18,0.0,8.0,0.0,8.0
