,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,3.0,0.0,3.0
2013-06-01,1.0,12.0,1.0,14.0
2013-06-02,1.0,5.0,2.0,8.0
2013-06-03,1.0,41.0,9.0,51.0
2013-06-04,1.0,46.0,18.0,65.0
2013-06-05,0.0,37.0,4.0,41.0
2013-06-06,2.0,29.0,3.0,34.0
2013-06-07,6.0,75.0,14.0,95.0
2013-06-08,2.0,14.0,1.0,17.0
2013-06-09,0.0,12.0,3.0,15.0
2013-06-10,0.0,39.0,12.0,51.0
2013-06-11,1.0,43.0,18.0,62.0
2013-06-12,0.0,33.0,3.0,36.0
2013-06-13,0.0,37.0,2.0,39.0
2013-06-14,1.0,56.0,6.0,63.0
2013-06-15,0.0,20.0,4.0,24.0
2013-06-16,0.0,17.0,6.0,23.0
2013-06-17,4.0,43.0,10.0,57.0
2013-06-18,3.0,143.0,93.0,239.0
2013-06-19,2.0,89.0,18.0,109.0
2013-06-20,3.0,47.0,6.0,56.0
2013-06-21,3.0,46.0,21.0,70.0
2013-06-22,1.0,8.0,1.0,10.0
2013-06-23,0.0,6.0,1.0,7.0
2013-06-24,1.0,51.0,7.0,59.0
2013-06-25,0.0,38.0,11.0,49.0
2013-06-26,4.0,57.0,5.0,66.0
2013-06-27,2.0,49.0,9.0,60.0
2013-06-28,6.0,67.0,8.0,81.0
2013-06-29,0.0,6.0,1.0,7.0
2013-06-30,0.0,12.0,7.0,19.0
2013-07-01,1.0,25.0,9.0,35.0
2013-07-02,7.0,85.0,13.0,105.0
2013-07-03,2.0,56.0,11.0,69.0
2013-07-04,3.0,33.0,10.0,46.0
2013-07-05,4.0,26.0,3.0,33.0
2013-07-06,0.0,20.0,4.0,24.0
2013-07-07,0.0,25.0,10.0,35.0
2013-07-08,3.0,61.0,4.0,68.0
2013-07-09,5.0,134.0,19.0,158.0
2013-07-10,1.0,69.0,4.0,74.0
2013-07-11,0.0,56.0,5.0,61.0
2013-07-12,7.0,95.0,9.0,111.0
2013-07-13,0.0,11.0,0.0,11.0
2013-07-14,0.0,21.0,5.0,26.0
2013-07-15,3.0,47.0,5.0,55.0
2013-07-16,0.0,43.0,13.0,56.0
2013-07-17,2.0,35.0,9.0,46.0
2013-07-18,4.0,60.0,7.0,71.0
2013-07-19,76.0,317.0,221.0,614.0
2013-07-20,3.0,43.0,12.0,58.0
2013-07-21,0.0,19.0,11.0,30.0
2013-07-22,3.0,71.0,19.0,93.0
2013-07-23,4.0,43.0,12.0,59.0
2013-07-24,2.0,42.0,6.0,50.0
2013-07-25,5.0,22.0,14.0,41.0
2013-07-26,0.0,44.0,13.0,57.0
2013-07-27,0.0,11.0,1.0,12.0
2013-07-28,3.0,9.0,3.0,15.0
2013-07-29,8.0,45.0,13.0,66.0
2013-07-30,1.0,35.0,20.0,56.0
2013-07-31,5.0,43.0,12.0,60.0
2013-08-01,1.0,35.0,15.0,51.0
2013-08-02,0.0,27.0,11.0,38.0
2013-08-03,0.0,11.0,1.0,12.0
2013-08-04,1.0,13.0,8.0,22.0
2013-08-05,0.0,40.0,9.0,49.0
2013-08-06,10.0,95.0,28.0,133.0
2013-08-07,7.0,46.0,19.0,72.0
