,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,1.0,7.0,0.0,8.0
2013-06-01,2.0,68.0,2.0,72.0
2013-06-02,0.0,31.0,3.0,34.0
2013-06-03,29.0,92.0,29.0,150.0
2013-06-04,42.0,111.0,50.0,203.0
2013-06-05,51.0,123.0,58.0,232.0
2013-06-06,27.0,82.0,47.0,156.0
2013-06-07,17.0,129.0,81.0,227.0
2013-06-08,0.0,48.0,6.0,54.0
2013-06-09,5.0,43.0,10.0,58.0
2013-06-10,19.0,97.0,71.0,187.0
2013-06-11,63.0,167.0,38.0,268.0
2013-06-12,43.0,95.0,29.0,167.0
2013-06-13,30.0,195.0,63.0,288.0
2013-06-14,23.0,90.0,34.0,147.0
2013-06-15,1.0,30.0,1.0,32.0
2013-06-16,0.0,11.0,5.0,16.0
2013-06-17,29.0,60.0,17.0,106.0
2013-06-18,26.0,114.0,44.0,184.0
2013-06-19,36.0,141.0,65.0,242.0
2013-06-20,62.0,117.0,32.0,211.0
2013-06-21,46.0,105.0,31.0,182.0
2013-06-22,4.0,23.0,1.0,28.0
2013-06-23,5.0,11.0,10.0,26.0
2013-06-24,32.0,125.0,23.0,180.0
2013-06-25,38.0,77.0,30.0,145.0
2013-06-26,66.0,151.0,34.0,251.0
2013-06-27,22.0,97.0,35.0,154.0
2013-06-28,28.0,63.0,8.0,99.0
2013-06-29,0.0,10.0,1.0,11.0
2013-06-30,9.0,14.0,3.0,26.0
2013-07-01,43.0,91.0,20.0,154.0
2013-07-02,55.0,118.0,29.0,202.0
2013-07-03,20.0,88.0,25.0,133.0
2013-07-04,2.0,15.0,2.0,19.0
2013-07-05,9.0,58.0,12.0,79.0
2013-07-06,3.0,38.0,6.0,47.0
2013-07-07,1.0,13.0,3.0,17.0
2013-07-08,21.0,111.0,41.0,173.0
2013-07-09,63.0,121.0,73.0,257.0
2013-07-10,28.0,105.0,23.0,156.0
2013-07-11,15.0,105.0,50.0,170.0
2013-07-12,13.0,111.0,30.0,154.0
2013-07-13,3.0,41.0,2.0,46.0
2013-07-14,9.0,52.0,10.0,71.0
2013-07-15,45.0,243.0,77.0,365.0
2013-07-16,192.0,673.0,342.0,1207.0
2013-07-17,41.0,159.0,60.0,260.0
2013-07-18,17.0,89.0,43.0,149.0
2013-07-19,22.0,106.0,35.0,163.0
2013-07-20,4.0,24.0,1.0,29.0
2013-07-21,7.0,55.0,10.0,72.0
2013-07-22,62.0,161.0,68.0,291.0
2013-07-23,17.0,118.0,17.0,152.0
2013-07-24,39.0,98.0,50.0,187.0
2013-07-25,24.0,102.0,25.0,151.0
2013-07-26,28.0,60.0,21.0,109.0
2013-07-27,8.0,80.0,1.0,89.0
2013-07-28,1.0,26.0,0.0,27.0
2013-07-29,41.0,98.0,16.0,155.0
2013-07-30,62.0,106.0,17.0,185.0
2013-07-31,24.0,191.0,50.0,265.0
2013-08-01,106.0,172.0,47.0,325.0
2013-08-02,20.0,108.0,19.0,147.0
2013-08-03,6.0,32.0,5.0,43.0
2013-08-04,6.0,43.0,3.0,52.0
2013-08-05,37.0,188.0,63.0,288.0
2013-08-06,30.0,101.0,35.0,166.0
2013-08-07,23.0,105.0,30.0,158.0
2013-08-08,34.0,109.0,34.0,177.0
2013-08-09,15.0,69.0,13.0,97.0
2013-08-10,3.0,31.0,2.0,36.0
2013-08-11,0.0,47.0,11.0,58.0
2013-08-12,16.0,104.0,31.0,151.0
2013-08-13,7.0,90.0,24.0,121.0
2013-08-14,6.0,44.0,22.0,72.0
2013-08-15,14.0,43.0,15.0,72.0
2013-08-16,8.0,36.0,45.0,89.0
2013-08-17,0.0,7.0,2.0,9.0
2013-08-18,4.0,17.0,5.0,26.0
2013-08-19,27.0,61.0,25.0,113.0
2013-08-20,29.0,129.0,21.0,179.0
2013-08-21,60.0,222.0,34.0,316.0
2013-08-22,73.0,223.0,46.0,342.0
2013-08-23,30.0,157.0,12.0,199.0
2013-08-24,7.0,17.0,4.0,28.0
2013-08-25,23.0,18.0,2.0,43.0
2013-08-26,121.0,89.0,36.0,246.0
2013-08-27,46.0,98.0,14.0,158.0
2013-08-28,43.0,73.0,23.0,139.0
2013-08-29,11.0,51.0,29.0,91.0
2013-08-30,21.0,61.0,11.0,93.0
2013-08-31,1.0,24.0,4.0,29.0
2013-09-01,0.0,12.0,2.0,14.0
2013-09-02,6.0,32.0,4.0,42.0
2013-09-03,14.0,92.0,27.0,133.0
2013-09-04,15.0,97.0,27.0,139.0
2013-09-05,6.0,51.0,13.0,70.0
2013-09-06,17.0,83.0,18.0,118.0
2013-09-07,3.0,16.0,6.0,25.0
2013-09-08,0.0,19.0,1.0,20.0
2013-09-09,6.0,91.0,34.0,131.0
2013-09-10,273.0,649.0,142.0,1064.0
2013-09-11,17.0,120.0,38.0,175.0
2013-09-12,24.0,200.0,110.0,334.0
2013-09-13,12.0,185.0,31.0,228.0
2013-09-14,2.0,60.0,2.0,64.0
2013-09-15,2.0,62.0,62.0,126.0
2013-09-16,15.0,170.0,57.0,242.0
2013-09-17,40.0,150.0,76.0,266.0
2013-09-18,30.0,212.0,47.0,289.0
2013-09-19,46.0,158.0,25.0,229.0
2013-09-20,50.0,146.0,59.0,255.0
2013-09-21,0.0,47.0,12.0,59.0
2013-09-22,3.0,43.0,4.0,50.0
2013-09-23,46.0,181.0,38.0,265.0
2013-09-24,40.0,160.0,79.0,279.0
2013-09-25,58.0,191.0,68.0,317.0
2013-09-26,32.0,171.0,44.0,247.0
2013-09-27,53.0,146.0,51.0,250.0
2013-09-28,9.0,35.0,8.0,52.0
2013-09-29,6.0,75.0,6.0,87.0
2013-09-30,31.0,170.0,37.0,238.0
