,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,,,,
2013-06-01,0.0,5.0,1.0,6.0
2013-06-02,0.0,5.0,1.0,6.0
2013-06-03,0.0,7.0,3.0,10.0
2013-06-04,13.0,29.0,11.0,53.0
2013-06-05,9.0,25.0,7.0,41.0
2013-06-06,9.0,51.0,45.0,105.0
2013-06-07,2.0,13.0,15.0,30.0
2013-06-08,1.0,1.0,4.0,6.0
2013-06-09,0.0,4.0,0.0,4.0
2013-06-10,0.0,19.0,5.0,24.0
2013-06-11,4.0,12.0,10.0,26.0
2013-06-12,4.0,10.0,5.0,19.0
2013-06-13,3.0,8.0,5.0,16.0
2013-06-14,3.0,17.0,7.0,27.0
2013-06-15,0.0,7.0,2.0,9.0
2013-06-16,0.0,2.0,0.0,2.0
2013-06-17,3.0,18.0,7.0,28.0
2013-06-18,0.0,9.0,6.0,15.0
2013-06-19,3.0,12.0,3.0,18.0
2013-06-20,7.0,12.0,5.0,24.0
2013-06-21,3.0,23.0,0.0,26.0
2013-06-22,0.0,2.0,2.0,4.0
2013-06-23,1.0,0.0,1.0,2.0
2013-06-24,4.0,12.0,6.0,22.0
2013-06-25,3.0,6.0,7.0,16.0
2013-06-26,1.0,133.0,4.0,138.0
2013-06-27,1.0,31.0,5.0,37.0
2013-06-28,0.0,21.0,11.0,32.0
2013-06-29,0.0,7.0,0.0,7.0
2013-06-30,1.0,3.0,0.0,4.0
2013-07-01,3.0,18.0,7.0,28.0
2013-07-02,1.0,11.0,7.0,19.0
2013-07-03,4.0,8.0,3.0,15.0
2013-07-04,0.0,4.0,1.0,5.0
2013-07-05,0.0,4.0,7.0,11.0
2013-07-06,1.0,1.0,1.0,3.0
2013-07-07,1.0,2.0,0.0,3.0
2013-07-08,3.0,5.0,4.0,12.0
2013-07-09,2.0,7.0,3.0,12.0
2013-07-10,3.0,8.0,3.0,14.0
2013-07-11,2.0,3.0,3.0,8.0
2013-07-12,0.0,13.0,0.0,13.0
2013-07-13,1.0,3.0,2.0,6.0
2013-07-14,0.0,1.0,0.0,1.0
2013-07-15,1.0,11.0,11.0,23.0
2013-07-16,0.0,12.0,2.0,14.0
2013-07-17,2.0,11.0,6.0,19.0
2013-07-18,5.0,18.0,6.0,29.0
2013-07-19,2.0,17.0,8.0,27.0
2013-07-20,0.0,3.0,0.0,3.0
2013-07-21,0.0,2.0,0.0,2.0
2013-07-22,3.0,6.0,0.0,9.0
2013-07-23,1.0,7.0,6.0,14.0
2013-07-24,1.0,7.0,3.0,11.0
2013-07-25,22.0,23.0,11.0,56.0
2013-07-26,5.0,8.0,3.0,16.0
2013-07-27,0.0,2.0,1.0,3.0
2013-07-28,1.0,2.0,0.0,3.0
2013-07-29,7.0,8.0,0.0,15.0
2013-07-30,2.0,8.0,1.0,11.0
2013-07-31,6.0,12.0,3.0,21.0
2013-08-01,4.0,18.0,2.0,24.0
2013-08-02,2.0,14.0,9.0,25.0
2013-08-03,1.0,2.0,0.0,3.0
2013-08-04,0.0,8.0,3.0,11.0
2013-08-05,0.0,12.0,5.0,17.0
2013-08-06,1.0,10.0,3.0,14.0
2013-08-07,1.0,12.0,1.0,14.0
2013-08-08,0.0,23.0,4.0,27.0
2013-08-09,0.0,7.0,1.0,8.0
2013-08-10,2.0,3.0,0.0,5.0
2013-08-11,0.0,7.0,0.0,7.0
2013-08-12,1.0,7.0,8.0,16.0
2013-08-13,0.0,11.0,8.0,19.0
2013-08-14,4.0,50.0,7.0,61.0
2013-08-15,12.0,32.0,7.0,51.0
2013-08-16,6.0,30.0,7.0,43.0
2013-08-17,1.0,12.0,1.0,14.0
2013-08-18,1.0,12.0,0.0,13.0
2013-08-19,11.0,78.0,16.0,105.0
2013-08-20,39.0,240.0,313.0,592.0
2013-08-21,14.0,102.0,57.0,173.0
2013-08-22,11.0,42.0,36.0,89.0
2013-08-23,2.0,29.0,6.0,37.0
2013-08-24,0.0,7.0,3.0,10.0
2013-08-25,5.0,17.0,7.0,29.0
2013-08-26,6.0,25.0,20.0,51.0
2013-08-27,3.0,20.0,3.0,26.0
2013-08-28,1.0,37.0,9.0,47.0
2013-08-29,1.0,15.0,4.0,20.0
2013-08-30,11.0,29.0,3.0,43.0
2013-08-31,0.0,6.0,0.0,6.0
2013-09-01,0.0,5.0,1.0,6.0
2013-09-02,0.0,10.0,1.0,11.0
2013-09-03,7.0,28.0,8.0,43.0
2013-09-04,1.0,22.0,4.0,27.0
2013-09-05,10.0,40.0,17.0,67.0
2013-09-06,11.0,25.0,14.0,50.0
2013-09-07,9.0,8.0,1.0,18.0
2013-09-08,1.0,4.0,0.0,5.0
2013-09-09,3.0,15.0,12.0,30.0
2013-09-10,3.0,17.0,5.0,25.0
2013-09-11,2.0,14.0,12.0,28.0
2013-09-12,1.0,19.0,7.0,27.0
2013-09-13,1.0,13.0,7.0,21.0
2013-09-14,1.0,0.0,0.0,1.0
2013-09-15,0.0,4.0,1.0,5.0
2013-09-16,2.0,14.0,4.0,20.0
2013-09-17,1.0,18.0,3.0,22.0
2013-09-18,3.0,16.0,14.0,33.0
2013-09-19,5.0,50.0,8.0,63.0
2013-09-20,1.0,48.0,6.0,55.0
2013-09-21,2.0,6.0,1.0,9.0
2013-09-22,1.0,10.0,1.0,12.0
2013-09-23,1.0,13.0,5.0,19.0
2013-09-24,2.0,20.0,6.0,28.0
2013-09-25,3.0,42.0,2.0,47.0
2013-09-26,3.0,20.0,5.0,28.0
2013-09-27,2.0,23.0,2.0,27.0
2013-09-28,0.0,12.0,0.0,12.0
2013-09-29,0.0,4.0,1.0,5.0
2013-09-30,2.0,26.0,3.0,31.0
2013-10-01,4.0,32.0,9.0,45.0
2013-10-02,1.0,18.0,1.0,20.0
2013-10-03,1.0,25.0,6.0,32.0
2013-10-04,0.0,24.0,10.0,34.0
2013-10-05,1.0,5.0,0.0,6.0
2013-10-06,1.0,4.0,6.0,11.0
2013-10-07,1.0,25.0,6.0,32.0
2013-10-08,9.0,26.0,2.0,37.0
2013-10-09,2.0,22.0,6.0,30.0
2013-10-10,1.0,30.0,5.0,36.0
2013-10-11,2.0,28.0,14.0,44.0
2013-10-12,2.0,9.0,2.0,13.0
2013-10-13,0.0,12.0,3.0,15.0
2013-10-14,0.0,24.0,13.0,37.0
2013-10-15,4.0,21.0,8.0,33.0
2013-10-16,6.0,34.0,12.0,52.0
2013-10-17,3.0,18.0,5.0,26.0
2013-10-18,7.0,29.0,4.0,40.0
2013-10-19,1.0,2.0,0.0,3.0
2013-10-20,2.0,8.0,1.0,11.0
2013-10-21,8.0,24.0,5.0,37.0
2013-10-22,2.0,15.0,4.0,21.0
2013-10-23,2.0,16.0,6.0,24.0
2013-10-24,1.0,23.0,19.0,43.0
2013-10-25,4.0,27.0,9.0,40.0
2013-10-26,0.0,4.0,1.0,5.0
2013-10-27,0.0,22.0,0.0,22.0
2013-10-28,3.0,21.0,4.0,28.0
2013-10-29,2.0,25.0,13.0,40.0
2013-10-30,1.0,46.0,10.0,57.0
2013-10-31,1.0,27.0,3.0,31.0
2013-11-01,1.0,11.0,4.0,16.0
2013-11-02,0.0,9.0,0.0,9.0
2013-11-03,2.0,10.0,2.0,14.0
2013-11-04,0.0,16.0,4.0,20.0
2013-11-05,0.0,26.0,6.0,32.0
2013-11-06,0.0,16.0,5.0,21.0
2013-11-07,8.0,10.0,1.0,19.0
2013-11-08,2.0,33.0,27.0,62.0
2013-11-09,1.0,11.0,2.0,14.0
2013-11-10,0.0,8.0,2.0,10.0
2013-11-11,2.0,46.0,4.0,52.0
2013-11-12,5.0,34.0,10.0,49.0
2013-11-13,2.0,39.0,14.0,55.0
2013-11-14,2.0,50.0,19.0,71.0
2013-11-15,1.0,95.0,19.0,115.0
2013-11-16,1.0,37.0,8.0,46.0
2013-11-17,1.0,47.0,16.0,64.0
2013-11-18,4.0,112.0,39.0,155.0
2013-11-19,37.0,381.0,354.0,772.0
2013-11-20,33.0,143.0,68.0,244.0
2013-11-21,14.0,80.0,41.0,135.0
2013-11-22,12.0,41.0,20.0,73.0
2013-11-23,2.0,17.0,9.0,28.0
2013-11-24,0.0,14.0,5.0,19.0
2013-11-25,3.0,37.0,8.0,48.0
2013-11-26,3.0,44.0,29.0,76.0
2013-11-27,2.0,38.0,7.0,47.0
2013-11-28,1.0,12.0,3.0,16.0
2013-11-29,0.0,39.0,10.0,49.0
2013-11-30,1.0,10.0,6.0,17.0
2013-12-01,2.0,14.0,0.0,16.0
2013-12-02,6.0,56.0,7.0,69.0
2013-12-03,5.0,16.0,4.0,25.0
2013-12-04,3.0,25.0,18.0,46.0
2013-12-05,0.0,26.0,10.0,36.0
2013-12-06,4.0,35.0,7.0,46.0
2013-12-07,0.0,8.0,0.0,8.0
2013-12-08,0.0,12.0,9.0,21.0
2013-12-09,2.0,25.0,18.0,45.0
2013-12-10,4.0,45.0,8.0,57.0
2013-12-11,4.0,102.0,70.0,176.0
2013-12-12,8.0,47.0,40.0,95.0
2013-12-13,11.0,46.0,32.0,89.0
2013-12-14,2.0,17.0,11.0,30.0
2013-12-15,7.0,21.0,8.0,36.0
2013-12-16,1.0,53.0,16.0,70.0
2013-12-17,0.0,38.0,9.0,47.0
2013-12-18,6.0,34.0,11.0,51.0
2013-12-19,2.0,29.0,12.0,43.0
2013-12-20,2.0,36.0,9.0,47.0
2013-12-21,2.0,18.0,1.0,21.0
2013-12-22,0.0,20.0,7.0,27.0
2013-12-23,3.0,23.0,6.0,32.0
2013-12-24,3.0,20.0,15.0,38.0
2013-12-25,0.0,8.0,1.0,9.0
2013-12-26,0.0,36.0,21.0,57.0
2013-12-27,0.0,28.0,3.0,31.0
2013-12-28,2.0,11.0,0.0,13.0
2013-12-29,0.0,17.0,2.0,19.0
2013-12-30,5.0,33.0,5.0,43.0
2013-12-31,0.0,34.0,8.0,42.0
2014-01-01,4.0,47.0,4.0,55.0
2014-01-02,0.0,27.0,14.0,41.0
2014-01-03,0.0,36.0,4.0,40.0
2014-01-04,1.0,14.0,2.0,17.0
2014-01-05,0.0,14.0,0.0,14.0
2014-01-06,5.0,51.0,11.0,67.0
2014-01-07,1.0,28.0,12.0,41.0
2014-01-08,1.0,43.0,5.0,49.0
2014-01-09,2.0,57.0,4.0,63.0
2014-01-10,0.0,38.0,7.0,45.0
2014-01-11,0.0,19.0,4.0,23.0
2014-01-12,0.0,15.0,5.0,20.0
2014-01-13,1.0,29.0,6.0,36.0
2014-01-14,1.0,34.0,5.0,40.0
2014-01-15,0.0,26.0,8.0,34.0
2014-01-16,4.0,38.0,5.0,47.0
2014-01-17,1.0,48.0,2.0,51.0
2014-01-18,1.0,15.0,3.0,19.0
2014-01-19,12.0,17.0,2.0,31.0
2014-01-20,0.0,11.0,1.0,12.0
2014-01-21,7.0,56.0,1.0,64.0
2014-01-22,1.0,40.0,5.0,46.0
2014-01-23,3.0,43.0,9.0,55.0
2014-01-24,8.0,33.0,6.0,47.0
2014-01-25,0.0,9.0,4.0,13.0
2014-01-26,2.0,20.0,2.0,24.0
2014-01-27,1.0,30.0,3.0,34.0
2014-01-28,7.0,43.0,12.0,62.0
2014-01-29,4.0,52.0,19.0,75.0
2014-01-30,5.0,36.0,16.0,57.0
2014-01-31,2.0,37.0,6.0,45.0
2014-02-01,0.0,13.0,2.0,15.0
2014-02-02,3.0,11.0,1.0,15.0
2014-02-03,4.0,19.0,5.0,28.0
2014-02-04,3.0,19.0,5.0,27.0
2014-02-05,5.0,23.0,19.0,47.0
2014-02-06,1.0,15.0,4.0,20.0
2014-02-07,2.0,42.0,7.0,51.0
2014-02-08,0.0,13.0,5.0,18.0
2014-02-09,0.0,27.0,3.0,30.0
2014-02-10,0.0,44.0,30.0,74.0
2014-02-11,4.0,55.0,11.0,70.0
2014-02-12,5.0,115.0,38.0,158.0
2014-02-13,3.0,88.0,24.0,115.0
2014-02-14,1.0,66.0,19.0,86.0
2014-02-15,3.0,36.0,7.0,46.0
2014-02-16,3.0,21.0,7.0,31.0
