,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,5.0,0.0,5.0
2013-06-01,0.0,6.0,1.0,7.0
2013-06-02,1.0,8.0,4.0,13.0
2013-06-03,5.0,59.0,21.0,85.0
2013-06-04,19.0,147.0,69.0,235.0
2013-06-05,31.0,50.0,17.0,98.0
2013-06-06,6.0,45.0,14.0,65.0
2013-06-07,2.0,44.0,11.0,57.0
2013-06-08,2.0,15.0,2.0,19.0
2013-06-09,0.0,16.0,13.0,29.0
2013-06-10,12.0,47.0,12.0,71.0
2013-06-11,8.0,24.0,13.0,45.0
2013-06-12,23.0,95.0,10.0,128.0
2013-06-13,9.0,54.0,15.0,78.0
2013-06-14,6.0,27.0,7.0,40.0
2013-06-15,0.0,10.0,3.0,13.0
2013-06-16,0.0,10.0,2.0,12.0
2013-06-17,2.0,17.0,5.0,24.0
2013-06-18,1.0,46.0,12.0,59.0
2013-06-19,3.0,38.0,10.0,51.0
2013-06-20,13.0,47.0,8.0,68.0
2013-06-21,13.0,27.0,20.0,60.0
2013-06-22,2.0,15.0,1.0,18.0
2013-06-23,0.0,6.0,2.0,8.0
2013-06-24,3.0,31.0,12.0,46.0
2013-06-25,5.0,33.0,10.0,48.0
2013-06-26,1.0,28.0,7.0,36.0
2013-06-27,11.0,40.0,8.0,59.0
2013-06-28,66.0,69.0,15.0,150.0
2013-06-29,7.0,12.0,4.0,23.0
2013-06-30,25.0,9.0,6.0,40.0
2013-07-01,10.0,86.0,18.0,114.0
2013-07-02,10.0,44.0,24.0,78.0
2013-07-03,5.0,34.0,11.0,50.0
2013-07-04,1.0,14.0,1.0,16.0
2013-07-05,4.0,29.0,8.0,41.0
2013-07-06,0.0,6.0,2.0,8.0
2013-07-07,5.0,9.0,1.0,15.0
2013-07-08,8.0,72.0,12.0,92.0
2013-07-09,104.0,107.0,33.0,244.0
2013-07-10,10.0,48.0,13.0,71.0
2013-07-11,9.0,49.0,20.0,78.0
2013-07-12,12.0,42.0,8.0,62.0
2013-07-13,4.0,12.0,10.0,26.0
2013-07-14,4.0,20.0,3.0,27.0
2013-07-15,5.0,55.0,17.0,77.0
2013-07-16,9.0,62.0,2.0,73.0
2013-07-17,101.0,342.0,123.0,566.0
2013-07-18,75.0,175.0,69.0,319.0
2013-07-19,70.0,64.0,24.0,158.0
2013-07-20,2.0,11.0,5.0,18.0
2013-07-21,4.0,29.0,7.0,40.0
2013-07-22,5.0,65.0,8.0,78.0
2013-07-23,8.0,52.0,11.0,71.0
2013-07-24,5.0,67.0,22.0,94.0
2013-07-25,7.0,31.0,15.0,53.0
2013-07-26,5.0,33.0,8.0,46.0
2013-07-27,0.0,4.0,0.0,4.0
2013-07-28,0.0,9.0,1.0,10.0
2013-07-29,5.0,49.0,15.0,69.0
2013-07-30,1.0,45.0,24.0,70.0
2013-07-31,27.0,70.0,8.0,105.0
2013-08-01,6.0,29.0,12.0,47.0
2013-08-02,11.0,16.0,4.0,31.0
2013-08-03,0.0,6.0,2.0,8.0
2013-08-04,1.0,10.0,1.0,12.0
2013-08-05,7.0,51.0,11.0,69.0
2013-08-06,165.0,155.0,35.0,355.0
2013-08-07,68.0,76.0,19.0,163.0
2013-08-08,48.0,53.0,13.0,114.0
2013-08-09,17.0,46.0,7.0,70.0
2013-08-10,7.0,7.0,1.0,15.0
2013-08-11,2.0,14.0,9.0,25.0
2013-08-12,21.0,60.0,30.0,111.0
2013-08-13,28.0,49.0,18.0,95.0
2013-08-14,36.0,63.0,15.0,114.0
2013-08-15,47.0,99.0,45.0,191.0
2013-08-16,27.0,68.0,11.0,106.0
2013-08-17,3.0,12.0,2.0,17.0
2013-08-18,5.0,12.0,1.0,18.0
2013-08-19,46.0,43.0,21.0,110.0
2013-08-20,46.0,54.0,31.0,131.0
2013-08-21,29.0,52.0,33.0,114.0
2013-08-22,14.0,34.0,19.0,67.0
2013-08-23,10.0,31.0,13.0,54.0
2013-08-24,1.0,12.0,5.0,18.0
2013-08-25,1.0,9.0,5.0,15.0
2013-08-26,12.0,33.0,17.0,62.0
2013-08-27,55.0,62.0,5.0,122.0
2013-08-28,41.0,63.0,17.0,121.0
2013-08-29,27.0,44.0,19.0,90.0
2013-08-30,20.0,52.0,23.0,95.0
2013-08-31,0.0,11.0,3.0,14.0
2013-09-01,3.0,6.0,5.0,14.0
2013-09-02,2.0,17.0,10.0,29.0
2013-09-03,11.0,62.0,18.0,91.0
2013-09-04,5.0,35.0,23.0,63.0
2013-09-05,8.0,39.0,16.0,63.0
2013-09-06,6.0,27.0,10.0,43.0
2013-09-07,2.0,14.0,5.0,21.0
2013-09-08,1.0,17.0,0.0,18.0
2013-09-09,7.0,60.0,33.0,100.0
2013-09-10,8.0,84.0,64.0,156.0
2013-09-11,25.0,86.0,56.0,167.0
2013-09-12,10.0,69.0,102.0,181.0
2013-09-13,12.0,56.0,19.0,87.0
2013-09-14,3.0,12.0,2.0,17.0
2013-09-15,2.0,23.0,49.0,74.0
2013-09-16,23.0,59.0,13.0,95.0
2013-09-17,19.0,87.0,18.0,124.0
2013-09-18,6.0,62.0,12.0,80.0
2013-09-19,6.0,65.0,19.0,90.0
