,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,3.0,2.0,5.0
2013-06-01,1.0,21.0,10.0,32.0
2013-06-02,0.0,21.0,14.0,35.0
2013-06-03,17.0,124.0,154.0,295.0
2013-06-04,6.0,105.0,61.0,172.0
2013-06-05,16.0,65.0,35.0,116.0
2013-06-06,12.0,53.0,20.0,85.0
2013-06-07,45.0,50.0,15.0,110.0
2013-06-08,0.0,31.0,23.0,54.0
2013-06-09,1.0,21.0,4.0,26.0
2013-06-10,5.0,73.0,34.0,112.0
2013-06-11,1.0,31.0,14.0,46.0
2013-06-12,3.0,24.0,27.0,54.0
2013-06-13,2.0,27.0,23.0,52.0
2013-06-14,4.0,37.0,21.0,62.0
2013-06-15,1.0,49.0,21.0,71.0
2013-06-16,2.0,14.0,15.0,31.0
2013-06-17,3.0,42.0,17.0,62.0
2013-06-18,2.0,64.0,20.0,86.0
2013-06-19,2.0,38.0,11.0,51.0
2013-06-20,3.0,50.0,12.0,65.0
2013-06-21,5.0,56.0,55.0,116.0
2013-06-22,1.0,8.0,10.0,19.0
2013-06-23,8.0,10.0,9.0,27.0
2013-06-24,16.0,49.0,12.0,77.0
2013-06-25,7.0,30.0,20.0,57.0
2013-06-26,1.0,18.0,18.0,37.0
2013-06-27,3.0,41.0,18.0,62.0
2013-06-28,4.0,48.0,24.0,76.0
2013-06-29,0.0,19.0,2.0,21.0
2013-06-30,0.0,92.0,181.0,273.0
2013-07-01,6.0,38.0,5.0,49.0
2013-07-02,8.0,52.0,11.0,71.0
2013-07-03,13.0,20.0,8.0,41.0
2013-07-04,4.0,18.0,3.0,25.0
2013-07-05,2.0,20.0,9.0,31.0
2013-07-06,1.0,13.0,11.0,25.0
2013-07-07,2.0,118.0,219.0,339.0
2013-07-08,77.0,116.0,37.0,230.0
2013-07-09,15.0,38.0,11.0,64.0
2013-07-10,26.0,83.0,31.0,140.0
2013-07-11,18.0,93.0,53.0,164.0
2013-07-12,10.0,29.0,25.0,64.0
2013-07-13,0.0,5.0,3.0,8.0
2013-07-14,1.0,33.0,2.0,36.0
2013-07-15,7.0,51.0,10.0,68.0
2013-07-16,6.0,76.0,23.0,105.0
2013-07-17,136.0,243.0,61.0,440.0
2013-07-18,127.0,139.0,26.0,292.0
2013-07-19,60.0,102.0,33.0,195.0
2013-07-20,5.0,9.0,2.0,16.0
2013-07-21,2.0,16.0,2.0,20.0
2013-07-22,9.0,32.0,40.0,81.0
2013-07-23,20.0,59.0,7.0,86.0
2013-07-24,12.0,37.0,7.0,56.0
2013-07-25,5.0,29.0,10.0,44.0
2013-07-26,5.0,51.0,26.0,82.0
2013-07-27,0.0,8.0,10.0,18.0
2013-07-28,0.0,15.0,1.0,16.0
2013-07-29,4.0,35.0,14.0,53.0
2013-07-30,9.0,53.0,16.0,78.0
2013-07-31,2.0,41.0,7.0,50.0
2013-08-01,5.0,40.0,13.0,58.0
2013-08-02,7.0,42.0,7.0,56.0
2013-08-03,1.0,7.0,6.0,14.0
2013-08-04,5.0,28.0,7.0,40.0
2013-08-05,13.0,56.0,8.0,77.0
2013-08-06,7.0,53.0,5.0,65.0
2013-08-07,10.0,45.0,6.0,61.0
2013-08-08,12.0,43.0,11.0,66.0
2013-08-09,3.0,19.0,19.0,41.0
2013-08-10,0.0,6.0,2.0,8.0
2013-08-11,3.0,25.0,2.0,30.0
2013-08-12,4.0,25.0,5.0,34.0
2013-08-13,1.0,13.0,12.0,26.0
2013-08-14,11.0,41.0,15.0,67.0
2013-08-15,22.0,42.0,12.0,76.0
2013-08-16,6.0,33.0,17.0,56.0
2013-08-17,1.0,18.0,16.0,35.0
2013-08-18,6.0,13.0,9.0,28.0
2013-08-19,17.0,104.0,77.0,198.0
2013-08-20,9.0,82.0,20.0,111.0
2013-08-21,4.0,62.0,12.0,78.0
2013-08-22,9.0,34.0,8.0,51.0
2013-08-23,10.0,49.0,9.0,68.0
2013-08-24,1.0,11.0,12.0,24.0
2013-08-25,0.0,9.0,7.0,16.0
2013-08-26,6.0,54.0,11.0,71.0
2013-08-27,14.0,53.0,16.0,83.0
2013-08-28,8.0,30.0,11.0,49.0
2013-08-29,9.0,42.0,11.0,62.0
2013-08-30,9.0,30.0,41.0,80.0
2013-08-31,1.0,11.0,10.0,22.0
2013-09-01,1.0,10.0,7.0,18.0
2013-09-02,1.0,9.0,9.0,19.0
2013-09-03,6.0,25.0,14.0,45.0
2013-09-04,7.0,80.0,61.0,148.0
2013-09-05,5.0,39.0,20.0,64.0
2013-09-06,2.0,23.0,21.0,46.0
2013-09-07,0.0,16.0,1.0,17.0
2013-09-08,6.0,5.0,7.0,18.0
