,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,2.0,0.0,2.0
2013-06-01,4.0,30.0,0.0,34.0
2013-06-02,3.0,8.0,1.0,12.0
2013-06-03,10.0,56.0,11.0,77.0
2013-06-04,15.0,67.0,8.0,90.0
2013-06-05,10.0,69.0,8.0,87.0
2013-06-06,2.0,39.0,12.0,53.0
2013-06-07,8.0,52.0,8.0,68.0
2013-06-08,2.0,11.0,2.0,15.0
2013-06-09,1.0,7.0,3.0,11.0
2013-06-10,3.0,24.0,3.0,30.0
2013-06-11,6.0,26.0,12.0,44.0
2013-06-12,4.0,23.0,1.0,28.0
2013-06-13,10.0,41.0,4.0,55.0
2013-06-14,4.0,34.0,5.0,43.0
2013-06-15,1.0,14.0,2.0,17.0
2013-06-16,1.0,14.0,2.0,17.0
2013-06-17,10.0,104.0,47.0,161.0
2013-06-18,4.0,51.0,10.0,65.0
2013-06-19,4.0,36.0,5.0,45.0
2013-06-20,9.0,40.0,12.0,61.0
2013-06-21,3.0,25.0,4.0,32.0
2013-06-22,0.0,5.0,0.0,5.0
2013-06-23,1.0,8.0,12.0,21.0
2013-06-24,6.0,50.0,33.0,89.0
2013-06-25,8.0,36.0,6.0,50.0
2013-06-26,1.0,55.0,21.0,77.0
2013-06-27,2.0,48.0,15.0,65.0
2013-06-28,4.0,69.0,12.0,85.0
2013-06-29,1.0,3.0,2.0,6.0
2013-06-30,0.0,9.0,3.0,12.0
2013-07-01,2.0,33.0,12.0,47.0
2013-07-02,0.0,35.0,4.0,39.0
2013-07-03,3.0,18.0,9.0,30.0
2013-07-04,0.0,11.0,0.0,11.0
2013-07-05,1.0,19.0,5.0,25.0
2013-07-06,0.0,5.0,1.0,6.0
2013-07-07,0.0,3.0,2.0,5.0
2013-07-08,2.0,11.0,4.0,17.0
2013-07-09,0.0,14.0,9.0,23.0
2013-07-10,3.0,67.0,20.0,90.0
2013-07-11,0.0,30.0,17.0,47.0
2013-07-12,5.0,40.0,8.0,53.0
2013-07-13,0.0,6.0,0.0,6.0
2013-07-14,0.0,21.0,2.0,23.0
2013-07-15,3.0,97.0,31.0,131.0
2013-07-16,15.0,179.0,236.0,430.0
2013-07-17,15.0,60.0,34.0,109.0
2013-07-18,24.0,58.0,20.0,102.0
2013-07-19,8.0,90.0,30.0,128.0
2013-07-20,0.0,6.0,5.0,11.0
2013-07-21,2.0,18.0,9.0,29.0
2013-07-22,1.0,62.0,34.0,97.0
2013-07-23,2.0,49.0,11.0,62.0
2013-07-24,6.0,60.0,11.0,77.0
2013-07-25,4.0,58.0,14.0,76.0
2013-07-26,5.0,44.0,8.0,57.0
2013-07-27,0.0,16.0,1.0,17.0
