,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,1.0,14.0,1.0,16.0
2013-06-01,4.0,41.0,2.0,47.0
2013-06-02,0.0,16.0,3.0,19.0
2013-06-03,33.0,113.0,41.0,187.0
2013-06-04,67.0,98.0,19.0,184.0
2013-06-05,53.0,92.0,10.0,155.0
2013-06-06,38.0,116.0,16.0,170.0
2013-06-07,34.0,80.0,9.0,123.0
2013-06-08,3.0,28.0,2.0,33.0
2013-06-09,3.0,19.0,5.0,27.0
2013-06-10,12.0,62.0,17.0,91.0
2013-06-11,63.0,144.0,25.0,232.0
2013-06-12,25.0,77.0,11.0,113.0
2013-06-13,19.0,54.0,12.0,85.0
2013-06-14,44.0,90.0,21.0,155.0
2013-06-15,5.0,27.0,4.0,36.0
2013-06-16,4.0,37.0,8.0,49.0
2013-06-17,13.0,71.0,13.0,97.0
2013-06-18,11.0,73.0,17.0,101.0
2013-06-19,16.0,73.0,21.0,110.0
2013-06-20,17.0,62.0,16.0,95.0
2013-06-21,29.0,62.0,14.0,105.0
2013-06-22,3.0,9.0,0.0,12.0
2013-06-23,0.0,5.0,5.0,10.0
2013-06-24,19.0,92.0,20.0,131.0
2013-06-25,31.0,66.0,20.0,117.0
2013-06-26,12.0,92.0,35.0,139.0
2013-06-27,10.0,51.0,18.0,79.0
2013-06-28,4.0,36.0,7.0,47.0
2013-06-29,1.0,11.0,0.0,12.0
2013-06-30,2.0,12.0,2.0,16.0
2013-07-01,17.0,73.0,18.0,108.0
2013-07-02,11.0,106.0,44.0,161.0
2013-07-03,9.0,66.0,16.0,91.0
2013-07-04,3.0,15.0,5.0,23.0
2013-07-05,8.0,50.0,20.0,78.0
2013-07-06,5.0,25.0,2.0,32.0
2013-07-07,0.0,22.0,5.0,27.0
2013-07-08,5.0,154.0,39.0,198.0
2013-07-09,17.0,97.0,29.0,143.0
2013-07-10,20.0,147.0,46.0,213.0
2013-07-11,26.0,246.0,32.0,304.0
2013-07-12,144.0,700.0,1227.0,2071.0
2013-07-13,10.0,58.0,50.0,118.0
2013-07-14,4.0,34.0,30.0,68.0
2013-07-15,25.0,91.0,41.0,157.0
2013-07-16,11.0,94.0,41.0,146.0
2013-07-17,30.0,105.0,47.0,182.0
2013-07-18,28.0,111.0,62.0,201.0
2013-07-19,20.0,106.0,24.0,150.0
2013-07-20,4.0,28.0,1.0,33.0
2013-07-21,8.0,62.0,4.0,74.0
2013-07-22,31.0,101.0,27.0,159.0
2013-07-23,11.0,93.0,22.0,126.0
2013-07-24,13.0,63.0,17.0,93.0
2013-07-25,12.0,57.0,12.0,81.0
2013-07-26,19.0,204.0,50.0,273.0
2013-07-27,5.0,129.0,8.0,142.0
2013-07-28,0.0,27.0,3.0,30.0
2013-07-29,254.0,127.0,14.0,395.0
2013-07-30,345.0,170.0,5.0,520.0
2013-07-31,36.0,154.0,16.0,206.0
2013-08-01,15.0,57.0,20.0,92.0
2013-08-02,14.0,41.0,7.0,62.0
2013-08-03,4.0,12.0,3.0,19.0
2013-08-04,1.0,15.0,1.0,17.0
2013-08-05,19.0,70.0,17.0,106.0
2013-08-06,12.0,48.0,10.0,70.0
2013-08-07,192.0,98.0,13.0,303.0
2013-08-08,182.0,153.0,15.0,350.0
2013-08-09,73.0,128.0,16.0,217.0
2013-08-10,26.0,41.0,4.0,71.0
2013-08-11,17.0,42.0,7.0,66.0
2013-08-12,42.0,138.0,11.0,191.0
2013-08-13,21.0,136.0,13.0,170.0
2013-08-14,157.0,236.0,19.0,412.0
2013-08-15,70.0,91.0,16.0,177.0
2013-08-16,27.0,106.0,22.0,155.0
2013-08-17,12.0,81.0,3.0,96.0
2013-08-18,54.0,36.0,1.0,91.0
2013-08-19,198.0,212.0,42.0,452.0
2013-08-20,73.0,131.0,21.0,225.0
2013-08-21,71.0,132.0,40.0,243.0
2013-08-22,62.0,103.0,29.0,194.0
2013-08-23,19.0,132.0,16.0,167.0
2013-08-24,3.0,78.0,0.0,81.0
2013-08-25,6.0,19.0,0.0,25.0
2013-08-26,78.0,81.0,16.0,175.0
2013-08-27,153.0,193.0,17.0,363.0
2013-08-28,159.0,140.0,19.0,318.0
2013-08-29,46.0,133.0,16.0,195.0
2013-08-30,40.0,71.0,16.0,127.0
2013-08-31,5.0,18.0,4.0,27.0
2013-09-01,2.0,21.0,4.0,27.0
2013-09-02,5.0,30.0,3.0,38.0
2013-09-03,27.0,73.0,25.0,125.0
2013-09-04,39.0,96.0,28.0,163.0
2013-09-05,41.0,283.0,25.0,349.0
2013-09-06,14.0,108.0,18.0,140.0
2013-09-07,1.0,31.0,1.0,33.0
2013-09-08,3.0,24.0,15.0,42.0
2013-09-09,34.0,93.0,19.0,146.0
2013-09-10,28.0,116.0,26.0,170.0
2013-09-11,24.0,76.0,11.0,111.0
2013-09-12,25.0,85.0,15.0,125.0
2013-09-13,29.0,106.0,22.0,157.0
2013-09-14,1.0,23.0,7.0,31.0
2013-09-15,3.0,35.0,1.0,39.0
2013-09-16,208.0,145.0,31.0,384.0
2013-09-17,157.0,191.0,53.0,401.0
2013-09-18,79.0,85.0,56.0,220.0
2013-09-19,641.0,328.0,51.0,1020.0
2013-09-20,197.0,120.0,12.0,329.0
2013-09-21,12.0,32.0,2.0,46.0
2013-09-22,6.0,48.0,2.0,56.0
2013-09-23,196.0,206.0,110.0,512.0
2013-09-24,206.0,339.0,32.0,577.0
2013-09-25,224.0,337.0,96.0,657.0
