,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,,,,
2013-06-01,1.0,7.0,1.0,9.0
2013-06-02,1.0,7.0,0.0,8.0
2013-06-03,2.0,16.0,10.0,28.0
2013-06-04,14.0,32.0,17.0,63.0
2013-06-05,2.0,29.0,58.0,89.0
2013-06-06,1.0,87.0,12.0,100.0
2013-06-07,3.0,25.0,7.0,35.0
2013-06-08,1.0,5.0,4.0,10.0
2013-06-09,0.0,7.0,2.0,9.0
2013-06-10,0.0,19.0,7.0,26.0
2013-06-11,2.0,21.0,4.0,27.0
2013-06-12,1.0,19.0,4.0,24.0
2013-06-13,2.0,28.0,6.0,36.0
2013-06-14,1.0,13.0,1.0,15.0
2013-06-15,0.0,1.0,1.0,2.0
2013-06-16,0.0,9.0,1.0,10.0
2013-06-17,0.0,20.0,3.0,23.0
2013-06-18,0.0,46.0,7.0,53.0
2013-06-19,4.0,21.0,12.0,37.0
2013-06-20,7.0,38.0,6.0,51.0
2013-06-21,2.0,16.0,9.0,27.0
2013-06-22,0.0,8.0,2.0,10.0
2013-06-23,1.0,5.0,0.0,6.0
2013-06-24,2.0,20.0,19.0,41.0
2013-06-25,4.0,19.0,4.0,27.0
2013-06-26,2.0,34.0,5.0,41.0
2013-06-27,3.0,24.0,3.0,30.0
2013-06-28,1.0,22.0,3.0,26.0
2013-06-29,0.0,11.0,0.0,11.0
2013-06-30,1.0,6.0,1.0,8.0
2013-07-01,2.0,19.0,10.0,31.0
2013-07-02,5.0,18.0,6.0,29.0
2013-07-03,3.0,11.0,7.0,21.0
2013-07-04,0.0,17.0,5.0,22.0
2013-07-05,1.0,22.0,2.0,25.0
2013-07-06,0.0,7.0,0.0,7.0
2013-07-07,0.0,3.0,3.0,6.0
2013-07-08,0.0,11.0,2.0,13.0
2013-07-09,0.0,19.0,5.0,24.0
2013-07-10,3.0,23.0,2.0,28.0
2013-07-11,0.0,24.0,13.0,37.0
2013-07-12,4.0,25.0,7.0,36.0
2013-07-13,0.0,8.0,1.0,9.0
2013-07-14,0.0,10.0,4.0,14.0
2013-07-15,3.0,85.0,9.0,97.0
2013-07-16,172.0,347.0,83.0,602.0
2013-07-17,28.0,71.0,31.0,130.0
2013-07-18,14.0,54.0,11.0,79.0
2013-07-19,19.0,68.0,5.0,92.0
2013-07-20,1.0,7.0,3.0,11.0
2013-07-21,0.0,11.0,1.0,12.0
2013-07-22,4.0,33.0,7.0,44.0
2013-07-23,9.0,24.0,6.0,39.0
2013-07-24,2.0,33.0,8.0,43.0
2013-07-25,6.0,25.0,9.0,40.0
2013-07-26,0.0,17.0,3.0,20.0
2013-07-27,0.0,6.0,2.0,8.0
2013-07-28,0.0,4.0,1.0,5.0
2013-07-29,1.0,21.0,12.0,34.0
2013-07-30,4.0,12.0,7.0,23.0
2013-07-31,2.0,18.0,7.0,27.0
2013-08-01,2.0,21.0,2.0,25.0
2013-08-02,1.0,10.0,2.0,13.0
2013-08-03,0.0,22.0,5.0,27.0
2013-08-04,0.0,8.0,3.0,11.0
2013-08-05,2.0,18.0,2.0,22.0
2013-08-06,5.0,17.0,0.0,22.0
2013-08-07,1.0,19.0,1.0,21.0
2013-08-08,3.0,21.0,2.0,26.0
2013-08-09,0.0,22.0,2.0,24.0
2013-08-10,0.0,1.0,1.0,2.0
2013-08-11,0.0,5.0,1.0,6.0
2013-08-12,2.0,15.0,0.0,17.0
2013-08-13,4.0,13.0,3.0,20.0
2013-08-14,3.0,22.0,3.0,28.0
2013-08-15,4.0,26.0,15.0,45.0
2013-08-16,2.0,20.0,3.0,25.0
2013-08-17,0.0,10.0,7.0,17.0
2013-08-18,0.0,9.0,3.0,12.0
2013-08-19,6.0,15.0,8.0,29.0
2013-08-20,3.0,25.0,12.0,40.0
2013-08-21,4.0,17.0,6.0,27.0
2013-08-22,3.0,21.0,4.0,28.0
2013-08-23,1.0,24.0,8.0,33.0
2013-08-24,4.0,0.0,1.0,5.0
2013-08-25,0.0,2.0,1.0,3.0
2013-08-26,12.0,22.0,2.0,36.0
2013-08-27,18.0,20.0,15.0,53.0
