,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,1.0,0.0,1.0
2013-06-01,1.0,7.0,1.0,9.0
2013-06-02,2.0,11.0,4.0,17.0
2013-06-03,4.0,15.0,5.0,24.0
2013-06-04,3.0,28.0,8.0,39.0
2013-06-05,9.0,35.0,9.0,53.0
2013-06-06,3.0,126.0,12.0,141.0
2013-06-07,3.0,44.0,5.0,52.0
2013-06-08,3.0,15.0,3.0,21.0
2013-06-09,0.0,14.0,0.0,14.0
2013-06-10,54.0,120.0,103.0,277.0
2013-06-11,8.0,82.0,11.0,101.0
2013-06-12,1.0,31.0,8.0,40.0
2013-06-13,6.0,28.0,4.0,38.0
2013-06-14,0.0,22.0,5.0,27.0
2013-06-15,0.0,17.0,0.0,17.0
2013-06-16,2.0,5.0,5.0,12.0
2013-06-17,5.0,26.0,2.0,33.0
2013-06-18,3.0,38.0,4.0,45.0
2013-06-19,0.0,27.0,3.0,30.0
2013-06-20,3.0,19.0,6.0,28.0
2013-06-21,1.0,16.0,4.0,21.0
2013-06-22,2.0,7.0,0.0,9.0
2013-06-23,1.0,8.0,0.0,9.0
2013-06-24,6.0,25.0,13.0,44.0
2013-06-25,2.0,78.0,1.0,81.0
2013-06-26,6.0,35.0,0.0,41.0
2013-06-27,1.0,38.0,5.0,44.0
2013-06-28,0.0,21.0,5.0,26.0
2013-06-29,0.0,11.0,0.0,11.0
2013-06-30,3.0,6.0,1.0,10.0
2013-07-01,3.0,10.0,12.0,25.0
2013-07-02,1.0,24.0,11.0,36.0
2013-07-03,4.0,18.0,2.0,24.0
2013-07-04,3.0,20.0,2.0,25.0
2013-07-05,1.0,18.0,1.0,20.0
2013-07-06,3.0,18.0,2.0,23.0
2013-07-07,1.0,26.0,0.0,27.0
2013-07-08,2.0,35.0,4.0,41.0
2013-07-09,1.0,23.0,1.0,25.0
2013-07-10,0.0,38.0,4.0,42.0
2013-07-11,1.0,27.0,11.0,39.0
2013-07-12,2.0,15.0,8.0,25.0
2013-07-13,1.0,8.0,0.0,9.0
2013-07-14,1.0,6.0,3.0,10.0
2013-07-15,1.0,36.0,7.0,44.0
2013-07-16,1.0,36.0,6.0,43.0
2013-07-17,29.0,98.0,6.0,133.0
2013-07-18,6.0,58.0,8.0,72.0
2013-07-19,12.0,66.0,10.0,88.0
2013-07-20,2.0,14.0,0.0,16.0
2013-07-21,10.0,35.0,7.0,52.0
2013-07-22,261.0,463.0,179.0,903.0
2013-07-23,41.0,118.0,20.0,179.0
2013-07-24,19.0,120.0,8.0,147.0
2013-07-25,3.0,60.0,32.0,95.0
2013-07-26,6.0,35.0,9.0,50.0
2013-07-27,2.0,11.0,1.0,14.0
2013-07-28,0.0,7.0,5.0,12.0
2013-07-29,12.0,60.0,8.0,80.0
2013-07-30,10.0,66.0,1.0,77.0
2013-07-31,1.0,50.0,4.0,55.0
2013-08-01,4.0,36.0,5.0,45.0
2013-08-02,1.0,25.0,5.0,31.0
2013-08-03,2.0,5.0,1.0,8.0
2013-08-04,0.0,5.0,3.0,8.0
2013-08-05,2.0,24.0,5.0,31.0
2013-08-06,4.0,55.0,5.0,64.0
2013-08-07,7.0,36.0,7.0,50.0
2013-08-08,11.0,123.0,29.0,163.0
2013-08-09,1.0,69.0,1.0,71.0
2013-08-10,0.0,7.0,0.0,7.0
2013-08-11,0.0,7.0,0.0,7.0
2013-08-12,3.0,19.0,2.0,24.0
2013-08-13,4.0,14.0,4.0,22.0
2013-08-14,5.0,28.0,7.0,40.0
2013-08-15,10.0,33.0,17.0,60.0
2013-08-16,4.0,27.0,7.0,38.0
2013-08-17,3.0,9.0,4.0,16.0
2013-08-18,0.0,11.0,0.0,11.0
2013-08-19,1.0,21.0,11.0,33.0
2013-08-20,2.0,30.0,7.0,39.0
2013-08-21,2.0,48.0,4.0,54.0
2013-08-22,1.0,31.0,8.0,40.0
2013-08-23,0.0,24.0,10.0,34.0
2013-08-24,4.0,5.0,3.0,12.0
2013-08-25,4.0,6.0,1.0,11.0
2013-08-26,12.0,95.0,12.0,119.0
2013-08-27,4.0,180.0,19.0,203.0
2013-08-28,8.0,141.0,16.0,165.0
2013-08-29,11.0,174.0,9.0,194.0
2013-08-30,4.0,47.0,5.0,56.0
2013-08-31,0.0,7.0,2.0,9.0
2013-09-01,1.0,8.0,0.0,9.0
2013-09-02,2.0,11.0,1.0,14.0
2013-09-03,5.0,16.0,2.0,23.0
2013-09-04,0.0,52.0,7.0,59.0
2013-09-05,6.0,66.0,5.0,77.0
2013-09-06,3.0,50.0,8.0,61.0
2013-09-07,0.0,28.0,1.0,29.0
2013-09-08,0.0,5.0,0.0,5.0
2013-09-09,15.0,50.0,3.0,68.0
2013-09-10,6.0,88.0,76.0,170.0
2013-09-11,5.0,89.0,2.0,96.0
2013-09-12,5.0,45.0,4.0,54.0
2013-09-13,1.0,30.0,4.0,35.0
2013-09-14,1.0,51.0,0.0,52.0
2013-09-15,0.0,9.0,7.0,16.0
2013-09-16,3.0,18.0,6.0,27.0
2013-09-17,6.0,85.0,11.0,102.0
2013-09-18,21.0,40.0,51.0,112.0
2013-09-19,10.0,38.0,30.0,78.0
2013-09-20,2.0,27.0,21.0,50.0
2013-09-21,1.0,11.0,1.0,13.0
2013-09-22,5.0,11.0,4.0,20.0
2013-09-23,4.0,31.0,10.0,45.0
2013-09-24,1.0,49.0,7.0,57.0
2013-09-25,2.0,34.0,8.0,44.0
2013-09-26,2.0,70.0,5.0,77.0
2013-09-27,6.0,178.0,16.0,200.0
2013-09-28,0.0,23.0,6.0,29.0
2013-09-29,5.0,15.0,0.0,20.0
2013-09-30,5.0,40.0,4.0,49.0
2013-10-01,1.0,42.0,8.0,51.0
2013-10-02,14.0,93.0,4.0,111.0
2013-10-03,1.0,49.0,3.0,53.0
2013-10-04,2.0,28.0,0.0,30.0
2013-10-05,0.0,8.0,0.0,8.0
2013-10-06,0.0,6.0,2.0,8.0
2013-10-07,0.0,37.0,2.0,39.0
2013-10-08,6.0,38.0,4.0,48.0
2013-10-09,11.0,34.0,5.0,50.0
2013-10-10,5.0,54.0,1.0,60.0
2013-10-11,8.0,32.0,9.0,49.0
2013-10-12,2.0,18.0,1.0,21.0
2013-10-13,0.0,4.0,0.0,4.0
2013-10-14,2.0,25.0,6.0,33.0
2013-10-15,7.0,46.0,9.0,62.0
2013-10-16,1.0,60.0,5.0,66.0
2013-10-17,8.0,60.0,6.0,74.0
2013-10-18,10.0,88.0,2.0,100.0
2013-10-19,3.0,32.0,0.0,35.0
2013-10-20,3.0,42.0,1.0,46.0
2013-10-21,119.0,362.0,80.0,561.0
2013-10-22,23.0,90.0,6.0,119.0
2013-10-23,10.0,88.0,9.0,107.0
2013-10-24,10.0,98.0,4.0,112.0
2013-10-25,4.0,85.0,4.0,93.0
