,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,3.0,0.0,3.0
2013-06-01,0.0,26.0,0.0,26.0
2013-06-02,3.0,190.0,51.0,244.0
2013-06-03,14.0,222.0,104.0,340.0
2013-06-04,5.0,101.0,36.0,142.0
2013-06-05,1.0,26.0,12.0,39.0
2013-06-06,0.0,29.0,11.0,40.0
2013-06-07,2.0,25.0,5.0,32.0
2013-06-08,0.0,5.0,0.0,5.0
2013-06-09,0.0,2.0,0.0,2.0
2013-06-10,0.0,16.0,7.0,23.0
2013-06-11,3.0,10.0,5.0,18.0
2013-06-12,3.0,31.0,7.0,41.0
2013-06-13,4.0,26.0,13.0,43.0
2013-06-14,4.0,90.0,9.0,103.0
2013-06-15,2.0,19.0,0.0,21.0
2013-06-16,0.0,12.0,0.0,12.0
2013-06-17,4.0,29.0,2.0,35.0
2013-06-18,2.0,30.0,18.0,50.0
2013-06-19,0.0,32.0,8.0,40.0
2013-06-20,4.0,31.0,8.0,43.0
2013-06-21,2.0,12.0,6.0,20.0
2013-06-22,1.0,10.0,0.0,11.0
2013-06-23,0.0,2.0,11.0,13.0
2013-06-24,3.0,7.0,3.0,13.0
2013-06-25,0.0,11.0,1.0,12.0
2013-06-26,2.0,9.0,5.0,16.0
2013-06-27,1.0,29.0,5.0,35.0
2013-06-28,1.0,18.0,2.0,21.0
2013-06-29,0.0,2.0,0.0,2.0
2013-06-30,0.0,9.0,0.0,9.0
2013-07-01,4.0,56.0,17.0,77.0
2013-07-02,2.0,34.0,3.0,39.0
2013-07-03,0.0,10.0,2.0,12.0
2013-07-04,0.0,5.0,3.0,8.0
2013-07-05,1.0,9.0,1.0,11.0
2013-07-06,0.0,7.0,0.0,7.0
2013-07-07,0.0,6.0,5.0,11.0
2013-07-08,5.0,46.0,2.0,53.0
2013-07-09,2.0,26.0,1.0,29.0
2013-07-10,2.0,23.0,4.0,29.0
2013-07-11,0.0,24.0,6.0,30.0
2013-07-12,0.0,22.0,4.0,26.0
2013-07-13,1.0,10.0,1.0,12.0
2013-07-14,0.0,27.0,9.0,36.0
2013-07-15,4.0,34.0,16.0,54.0
2013-07-16,4.0,63.0,5.0,72.0
2013-07-17,0.0,12.0,4.0,16.0
2013-07-18,3.0,17.0,2.0,22.0
2013-07-19,2.0,18.0,4.0,24.0
2013-07-20,0.0,2.0,1.0,3.0
2013-07-21,2.0,0.0,1.0,3.0
2013-07-22,4.0,22.0,0.0,26.0
2013-07-23,1.0,22.0,4.0,27.0
2013-07-24,2.0,51.0,8.0,61.0
2013-07-25,2.0,26.0,3.0,31.0
2013-07-26,2.0,58.0,8.0,68.0
2013-07-27,0.0,22.0,1.0,23.0
2013-07-28,0.0,13.0,0.0,13.0
2013-07-29,1.0,46.0,8.0,55.0
2013-07-30,34.0,141.0,36.0,211.0
2013-07-31,2.0,47.0,13.0,62.0
2013-08-01,4.0,33.0,8.0,45.0
2013-08-02,3.0,13.0,2.0,18.0
2013-08-03,0.0,2.0,1.0,3.0
2013-08-04,0.0,1.0,3.0,4.0
2013-08-05,0.0,25.0,2.0,27.0
2013-08-06,0.0,9.0,1.0,10.0
2013-08-07,2.0,24.0,8.0,34.0
2013-08-08,4.0,24.0,17.0,45.0
2013-08-09,2.0,17.0,1.0,20.0
2013-08-10,0.0,2.0,0.0,2.0
2013-08-11,0.0,8.0,2.0,10.0
2013-08-12,2.0,32.0,6.0,40.0
2013-08-13,3.0,25.0,7.0,35.0
2013-08-14,1.0,19.0,5.0,25.0
2013-08-15,0.0,22.0,1.0,23.0
2013-08-16,3.0,34.0,2.0,39.0
2013-08-17,0.0,5.0,0.0,5.0
2013-08-18,2.0,2.0,0.0,4.0
2013-08-19,6.0,22.0,2.0,30.0
2013-08-20,1.0,43.0,5.0,49.0
2013-08-21,0.0,27.0,6.0,33.0
2013-08-22,2.0,8.0,3.0,13.0
2013-08-23,0.0,9.0,2.0,11.0
2013-08-24,0.0,2.0,3.0,5.0
2013-08-25,0.0,1.0,0.0,1.0
2013-08-26,4.0,7.0,3.0,14.0
2013-08-27,3.0,11.0,3.0,17.0
2013-08-28,1.0,9.0,2.0,12.0
2013-08-29,0.0,15.0,6.0,21.0
2013-08-30,2.0,18.0,5.0,25.0
2013-08-31,0.0,26.0,4.0,30.0
2013-09-01,0.0,10.0,0.0,10.0
2013-09-02,2.0,18.0,2.0,22.0
2013-09-03,3.0,32.0,10.0,45.0
2013-09-04,4.0,31.0,8.0,43.0
2013-09-05,2.0,15.0,10.0,27.0
2013-09-06,3.0,12.0,2.0,17.0
2013-09-07,0.0,2.0,0.0,2.0
2013-09-08,0.0,2.0,0.0,2.0
2013-09-09,1.0,15.0,7.0,23.0
2013-09-10,4.0,61.0,9.0,74.0
2013-09-11,1.0,88.0,13.0,102.0
2013-09-12,2.0,15.0,7.0,24.0
2013-09-13,1.0,15.0,1.0,17.0
2013-09-14,0.0,1.0,1.0,2.0
2013-09-15,0.0,8.0,1.0,9.0
2013-09-16,1.0,22.0,4.0,27.0
2013-09-17,0.0,12.0,4.0,16.0
2013-09-18,0.0,14.0,2.0,16.0
2013-09-19,1.0,15.0,5.0,21.0
2013-09-20,0.0,24.0,3.0,27.0
2013-09-21,0.0,6.0,4.0,10.0
2013-09-22,0.0,11.0,5.0,16.0
2013-09-23,5.0,60.0,2.0,67.0
2013-09-24,2.0,40.0,6.0,48.0
2013-09-25,3.0,53.0,12.0,68.0
2013-09-26,10.0,45.0,11.0,66.0
2013-09-27,0.0,43.0,6.0,49.0
2013-09-28,0.0,15.0,3.0,18.0
2013-09-29,0.0,17.0,1.0,18.0
2013-09-30,1.0,58.0,6.0,65.0
2013-10-01,34.0,552.0,116.0,702.0
2013-10-02,5.0,104.0,27.0,136.0
2013-10-03,6.0,35.0,11.0,52.0
2013-10-04,3.0,61.0,7.0,71.0
2013-10-05,0.0,13.0,0.0,13.0
2013-10-06,0.0,20.0,2.0,22.0
2013-10-07,1.0,42.0,21.0,64.0
2013-10-08,8.0,65.0,12.0,85.0
2013-10-09,3.0,58.0,8.0,69.0
2013-10-10,16.0,53.0,8.0,77.0
2013-10-11,16.0,26.0,2.0,44.0
2013-10-12,3.0,9.0,1.0,13.0
2013-10-13,0.0,7.0,1.0,8.0
2013-10-14,42.0,222.0,15.0,279.0
2013-10-15,9.0,661.0,10.0,680.0
2013-10-16,2.0,2300.0,14.0,2316.0
2013-10-17,5.0,752.0,2.0,759.0
2013-10-18,4.0,431.0,4.0,439.0
2013-10-19,0.0,221.0,0.0,221.0
2013-10-20,1.0,337.0,11.0,349.0
