,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,5.0,0.0,5.0
2013-06-01,6.0,67.0,3.0,76.0
2013-06-02,1.0,42.0,7.0,50.0
2013-06-03,31.0,273.0,220.0,524.0
2013-06-04,20.0,162.0,99.0,281.0
2013-06-05,26.0,224.0,33.0,283.0
2013-06-06,22.0,407.0,40.0,469.0
2013-06-07,16.0,253.0,40.0,309.0
2013-06-08,4.0,88.0,21.0,113.0
2013-06-09,3.0,49.0,8.0,60.0
2013-06-10,28.0,379.0,42.0,449.0
2013-06-11,26.0,285.0,21.0,332.0
2013-06-12,11.0,239.0,31.0,281.0
2013-06-13,20.0,148.0,124.0,292.0
2013-06-14,14.0,166.0,44.0,224.0
2013-06-15,7.0,68.0,12.0,87.0
2013-06-16,0.0,25.0,16.0,41.0
2013-06-17,7.0,130.0,28.0,165.0
2013-06-18,12.0,144.0,24.0,180.0
2013-06-19,20.0,547.0,43.0,610.0
2013-06-20,21.0,289.0,36.0,346.0
2013-06-21,14.0,142.0,27.0,183.0
2013-06-22,2.0,32.0,7.0,41.0
2013-06-23,2.0,36.0,8.0,46.0
2013-06-24,6.0,302.0,94.0,402.0
2013-06-25,21.0,151.0,83.0,255.0
2013-06-26,16.0,318.0,61.0,395.0
2013-06-27,6.0,204.0,31.0,241.0
2013-06-28,12.0,142.0,27.0,181.0
2013-06-29,2.0,53.0,9.0,64.0
2013-06-30,4.0,37.0,14.0,55.0
2013-07-01,8.0,382.0,53.0,443.0
2013-07-02,9.0,197.0,34.0,240.0
2013-07-03,5.0,74.0,15.0,94.0
2013-07-04,2.0,36.0,8.0,46.0
2013-07-05,11.0,74.0,9.0,94.0
2013-07-06,2.0,32.0,4.0,38.0
2013-07-07,2.0,31.0,14.0,47.0
2013-07-08,12.0,176.0,15.0,203.0
2013-07-09,4.0,192.0,52.0,248.0
2013-07-10,26.0,160.0,29.0,215.0
2013-07-11,42.0,560.0,303.0,905.0
2013-07-12,34.0,268.0,65.0,367.0
2013-07-13,2.0,45.0,15.0,62.0
2013-07-14,30.0,56.0,22.0,108.0
2013-07-15,16.0,185.0,75.0,276.0
2013-07-16,29.0,176.0,65.0,270.0
2013-07-17,56.0,163.0,26.0,245.0
2013-07-18,587.0,685.0,128.0,1400.0
2013-07-19,894.0,852.0,246.0,1992.0
2013-07-20,51.0,107.0,10.0,168.0
2013-07-21,38.0,90.0,5.0,133.0
2013-07-22,42.0,225.0,67.0,334.0
2013-07-23,34.0,195.0,42.0,271.0
2013-07-24,13.0,123.0,15.0,151.0
2013-07-25,326.0,132.0,19.0,477.0
2013-07-26,32.0,209.0,42.0,283.0
2013-07-27,5.0,36.0,6.0,47.0
2013-07-28,4.0,43.0,1.0,48.0
2013-07-29,31.0,156.0,17.0,204.0
2013-07-30,78.0,145.0,21.0,244.0
2013-07-31,48.0,117.0,17.0,182.0
2013-08-01,17.0,109.0,11.0,137.0
2013-08-02,11.0,104.0,16.0,131.0
2013-08-03,4.0,36.0,6.0,46.0
2013-08-04,6.0,62.0,25.0,93.0
2013-08-05,21.0,154.0,16.0,191.0
2013-08-06,14.0,76.0,12.0,102.0
2013-08-07,14.0,179.0,73.0,266.0
2013-08-08,21.0,217.0,141.0,379.0
2013-08-09,6.0,122.0,34.0,162.0
2013-08-10,7.0,50.0,5.0,62.0
2013-08-11,18.0,33.0,7.0,58.0
2013-08-12,11.0,195.0,43.0,249.0
2013-08-13,47.0,205.0,41.0,293.0
2013-08-14,35.0,201.0,83.0,319.0
2013-08-15,17.0,127.0,30.0,174.0
2013-08-16,12.0,144.0,27.0,183.0
2013-08-17,10.0,84.0,8.0,102.0
2013-08-18,4.0,57.0,12.0,73.0
2013-08-19,20.0,143.0,37.0,200.0
2013-08-20,11.0,136.0,34.0,181.0
2013-08-21,8.0,126.0,36.0,170.0
2013-08-22,49.0,273.0,97.0,419.0
2013-08-23,222.0,2046.0,1172.0,3440.0
2013-08-24,45.0,306.0,136.0,487.0
2013-08-25,21.0,259.0,41.0,321.0
2013-08-26,71.0,595.0,108.0,774.0
2013-08-27,59.0,400.0,56.0,515.0
2013-08-28,25.0,307.0,66.0,398.0
2013-08-29,14.0,349.0,150.0,513.0
2013-08-30,50.0,335.0,94.0,479.0
2013-08-31,6.0,97.0,25.0,128.0
2013-09-01,7.0,86.0,33.0,126.0
2013-09-02,9.0,135.0,33.0,177.0
2013-09-03,609.0,4083.0,691.0,5383.0
2013-09-04,98.0,801.0,187.0,1086.0
2013-09-05,41.0,478.0,102.0,621.0
2013-09-06,29.0,234.0,69.0,332.0
2013-09-07,2.0,125.0,53.0,180.0
2013-09-08,15.0,93.0,42.0,150.0
2013-09-09,26.0,334.0,107.0,467.0
2013-09-10,21.0,345.0,134.0,500.0
2013-09-11,25.0,253.0,79.0,357.0
2013-09-12,27.0,235.0,73.0,335.0
2013-09-13,61.0,304.0,71.0,436.0
2013-09-14,10.0,94.0,65.0,169.0
2013-09-15,14.0,123.0,19.0,156.0
