,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,2.0,0.0,2.0
2013-06-01,2.0,21.0,9.0,32.0
2013-06-02,2.0,12.0,5.0,19.0
2013-06-03,1.0,21.0,5.0,27.0
2013-06-04,4.0,32.0,8.0,44.0
2013-06-05,1.0,32.0,12.0,45.0
2013-06-06,8.0,57.0,17.0,82.0
2013-06-07,2.0,20.0,16.0,38.0
2013-06-08,0.0,13.0,1.0,14.0
2013-06-09,0.0,9.0,1.0,10.0
2013-06-10,2.0,18.0,0.0,20.0
2013-06-11,1.0,22.0,11.0,34.0
2013-06-12,44.0,65.0,14.0,123.0
2013-06-13,8.0,43.0,5.0,56.0
2013-06-14,2.0,38.0,15.0,55.0
2013-06-15,1.0,25.0,2.0,28.0
2013-06-16,1.0,3.0,3.0,7.0
2013-06-17,3.0,30.0,4.0,37.0
2013-06-18,7.0,24.0,9.0,40.0
2013-06-19,4.0,42.0,21.0,67.0
2013-06-20,4.0,19.0,10.0,33.0
2013-06-21,2.0,27.0,7.0,36.0
2013-06-22,0.0,10.0,0.0,10.0
2013-06-23,0.0,6.0,13.0,19.0
2013-06-24,6.0,30.0,20.0,56.0
2013-06-25,2.0,34.0,6.0,42.0
2013-06-26,3.0,24.0,11.0,38.0
2013-06-27,1.0,48.0,67.0,116.0
2013-06-28,5.0,43.0,19.0,67.0
2013-06-29,0.0,13.0,1.0,14.0
2013-06-30,1.0,18.0,2.0,21.0
2013-07-01,0.0,63.0,14.0,77.0
2013-07-02,9.0,56.0,7.0,72.0
2013-07-03,0.0,11.0,7.0,18.0
2013-07-04,0.0,10.0,0.0,10.0
2013-07-05,0.0,8.0,4.0,12.0
2013-07-06,0.0,6.0,4.0,10.0
2013-07-07,0.0,9.0,1.0,10.0
2013-07-08,0.0,17.0,1.0,18.0
2013-07-09,0.0,35.0,4.0,39.0
2013-07-10,1.0,38.0,20.0,59.0
2013-07-11,3.0,41.0,22.0,66.0
2013-07-12,35.0,26.0,4.0,65.0
2013-07-13,0.0,5.0,1.0,6.0
2013-07-14,1.0,7.0,0.0,8.0
2013-07-15,3.0,37.0,13.0,53.0
2013-07-16,3.0,61.0,9.0,73.0
2013-07-17,0.0,32.0,6.0,38.0
2013-07-18,6.0,48.0,6.0,60.0
2013-07-19,3.0,50.0,9.0,62.0
2013-07-20,0.0,2.0,0.0,2.0
2013-07-21,1.0,8.0,3.0,12.0
2013-07-22,1.0,39.0,4.0,44.0
2013-07-23,7.0,36.0,7.0,50.0
2013-07-24,0.0,24.0,7.0,31.0
2013-07-25,2.0,30.0,6.0,38.0
2013-07-26,2.0,28.0,6.0,36.0
2013-07-27,0.0,9.0,3.0,12.0
2013-07-28,0.0,10.0,1.0,11.0
2013-07-29,6.0,181.0,39.0,226.0
2013-07-30,64.0,177.0,92.0,333.0
2013-07-31,14.0,58.0,7.0,79.0
2013-08-01,13.0,29.0,7.0,49.0
2013-08-02,2.0,41.0,2.0,45.0
2013-08-03,0.0,3.0,2.0,5.0
2013-08-04,0.0,1.0,0.0,1.0
2013-08-05,1.0,37.0,2.0,40.0
2013-08-06,0.0,66.0,10.0,76.0
2013-08-07,0.0,13.0,6.0,19.0
2013-08-08,2.0,30.0,5.0,37.0
2013-08-09,0.0,17.0,6.0,23.0
2013-08-10,0.0,0.0,2.0,2.0
2013-08-11,0.0,7.0,1.0,8.0
2013-08-12,7.0,29.0,2.0,38.0
2013-08-13,0.0,47.0,10.0,57.0
2013-08-14,1.0,36.0,3.0,40.0
2013-08-15,1.0,16.0,5.0,22.0
2013-08-16,1.0,43.0,19.0,63.0
2013-08-17,1.0,6.0,1.0,8.0
2013-08-18,1.0,2.0,1.0,4.0
2013-08-19,7.0,29.0,14.0,50.0
2013-08-20,1.0,27.0,2.0,30.0
2013-08-21,1.0,13.0,6.0,20.0
2013-08-22,1.0,16.0,5.0,22.0
2013-08-23,0.0,18.0,1.0,19.0
2013-08-24,0.0,1.0,0.0,1.0
2013-08-25,0.0,3.0,1.0,4.0
2013-08-26,7.0,19.0,3.0,29.0
2013-08-27,0.0,29.0,4.0,33.0
2013-08-28,2.0,22.0,2.0,26.0
2013-08-29,4.0,27.0,3.0,34.0
2013-08-30,3.0,30.0,1.0,34.0
2013-08-31,1.0,4.0,2.0,7.0
2013-09-01,0.0,10.0,0.0,10.0
2013-09-02,0.0,8.0,6.0,14.0
2013-09-03,5.0,22.0,8.0,35.0
2013-09-04,0.0,14.0,3.0,17.0
2013-09-05,2.0,15.0,6.0,23.0
2013-09-06,4.0,18.0,7.0,29.0
2013-09-07,0.0,1.0,2.0,3.0
2013-09-08,2.0,9.0,0.0,11.0
2013-09-09,1.0,14.0,2.0,17.0
2013-09-10,0.0,22.0,3.0,25.0
2013-09-11,2.0,28.0,5.0,35.0
2013-09-12,2.0,15.0,3.0,20.0
2013-09-13,1.0,19.0,5.0,25.0
2013-09-14,1.0,5.0,0.0,6.0
2013-09-15,0.0,6.0,2.0,8.0
2013-09-16,0.0,29.0,2.0,31.0
2013-09-17,3.0,57.0,14.0,74.0
2013-09-18,5.0,24.0,1.0,30.0
2013-09-19,1.0,24.0,2.0,27.0
2013-09-20,6.0,29.0,5.0,40.0
2013-09-21,1.0,6.0,0.0,7.0
2013-09-22,0.0,6.0,0.0,6.0
2013-09-23,0.0,20.0,1.0,21.0
2013-09-24,1.0,47.0,22.0,70.0
2013-09-25,9.0,40.0,18.0,67.0
2013-09-26,0.0,32.0,8.0,40.0
2013-09-27,2.0,29.0,20.0,51.0
2013-09-28,2.0,6.0,3.0,11.0
2013-09-29,0.0,7.0,5.0,12.0
2013-09-30,1.0,60.0,16.0,77.0
2013-10-01,1.0,37.0,13.0,51.0
2013-10-02,0.0,42.0,4.0,46.0
2013-10-03,2.0,33.0,26.0,61.0
2013-10-04,3.0,43.0,16.0,62.0
2013-10-05,0.0,5.0,1.0,6.0
2013-10-06,0.0,4.0,3.0,7.0
2013-10-07,0.0,17.0,3.0,20.0
2013-10-08,3.0,47.0,9.0,59.0
2013-10-09,3.0,59.0,17.0,79.0
2013-10-10,2.0,34.0,7.0,43.0
2013-10-11,1.0,30.0,2.0,33.0
2013-10-12,0.0,2.0,1.0,3.0
2013-10-13,0.0,3.0,0.0,3.0
2013-10-14,2.0,36.0,24.0,62.0
2013-10-15,1.0,35.0,5.0,41.0
2013-10-16,0.0,52.0,14.0,66.0
2013-10-17,3.0,50.0,15.0,68.0
2013-10-18,5.0,37.0,15.0,57.0
