,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,3.0,0.0,3.0
2013-06-01,2.0,10.0,1.0,13.0
2013-06-02,0.0,8.0,1.0,9.0
2013-06-03,2.0,31.0,7.0,40.0
2013-06-04,9.0,25.0,7.0,41.0
2013-06-05,5.0,45.0,6.0,56.0
2013-06-06,2.0,52.0,11.0,65.0
2013-06-07,0.0,18.0,5.0,23.0
2013-06-08,0.0,9.0,0.0,9.0
2013-06-09,0.0,9.0,2.0,11.0
2013-06-10,3.0,25.0,0.0,28.0
2013-06-11,2.0,24.0,4.0,30.0
2013-06-12,0.0,34.0,2.0,36.0
2013-06-13,3.0,18.0,3.0,24.0
2013-06-14,0.0,15.0,1.0,16.0
2013-06-15,0.0,15.0,1.0,16.0
2013-06-16,0.0,7.0,0.0,7.0
2013-06-17,2.0,18.0,4.0,24.0
2013-06-18,1.0,36.0,8.0,45.0
2013-06-19,1.0,39.0,3.0,43.0
2013-06-20,2.0,22.0,0.0,24.0
2013-06-21,5.0,18.0,10.0,33.0
2013-06-22,0.0,8.0,1.0,9.0
2013-06-23,0.0,8.0,1.0,9.0
2013-06-24,4.0,13.0,1.0,18.0
2013-06-25,1.0,22.0,1.0,24.0
2013-06-26,2.0,13.0,0.0,15.0
2013-06-27,1.0,29.0,7.0,37.0
2013-06-28,1.0,28.0,2.0,31.0
2013-06-29,0.0,2.0,0.0,2.0
2013-06-30,0.0,10.0,0.0,10.0
2013-07-01,1.0,10.0,11.0,22.0
2013-07-02,0.0,26.0,2.0,28.0
2013-07-03,2.0,19.0,2.0,23.0
2013-07-04,0.0,9.0,0.0,9.0
2013-07-05,0.0,14.0,1.0,15.0
2013-07-06,0.0,2.0,1.0,3.0
2013-07-07,0.0,4.0,0.0,4.0
2013-07-08,0.0,16.0,11.0,27.0
2013-07-09,0.0,25.0,18.0,43.0
2013-07-10,2.0,14.0,6.0,22.0
2013-07-11,3.0,26.0,9.0,38.0
2013-07-12,4.0,18.0,5.0,27.0
2013-07-13,0.0,1.0,0.0,1.0
2013-07-14,0.0,4.0,0.0,4.0
2013-07-15,3.0,13.0,2.0,18.0
2013-07-16,4.0,29.0,3.0,36.0
2013-07-17,3.0,5.0,0.0,8.0
2013-07-18,1.0,10.0,1.0,12.0
2013-07-19,1.0,15.0,4.0,20.0
2013-07-20,0.0,1.0,0.0,1.0
2013-07-21,0.0,2.0,1.0,3.0
2013-07-22,0.0,14.0,1.0,15.0
2013-07-23,0.0,33.0,3.0,36.0
2013-07-24,1.0,10.0,1.0,12.0
2013-07-25,2.0,17.0,4.0,23.0
2013-07-26,0.0,16.0,0.0,16.0
2013-07-27,0.0,5.0,0.0,5.0
2013-07-28,0.0,12.0,0.0,12.0
2013-07-29,0.0,8.0,3.0,11.0
2013-07-30,0.0,8.0,2.0,10.0
2013-07-31,2.0,55.0,7.0,64.0
2013-08-01,11.0,171.0,75.0,257.0
2013-08-02,7.0,26.0,4.0,37.0
2013-08-03,2.0,6.0,2.0,10.0
2013-08-04,1.0,10.0,0.0,11.0
2013-08-05,0.0,44.0,1.0,45.0
2013-08-06,1.0,21.0,3.0,25.0
2013-08-07,2.0,19.0,8.0,29.0
2013-08-08,3.0,34.0,5.0,42.0
2013-08-09,2.0,11.0,4.0,17.0
2013-08-10,1.0,2.0,0.0,3.0
2013-08-11,0.0,8.0,0.0,8.0
2013-08-12,2.0,13.0,0.0,15.0
2013-08-13,5.0,22.0,1.0,28.0
2013-08-14,4.0,18.0,2.0,24.0
2013-08-15,7.0,28.0,6.0,41.0
2013-08-16,1.0,32.0,7.0,40.0
2013-08-17,1.0,4.0,1.0,6.0
2013-08-18,0.0,5.0,2.0,7.0
2013-08-19,0.0,30.0,0.0,30.0
2013-08-20,1.0,21.0,1.0,23.0
2013-08-21,3.0,24.0,2.0,29.0
2013-08-22,2.0,11.0,3.0,16.0
2013-08-23,2.0,55.0,0.0,57.0
2013-08-24,4.0,6.0,2.0,12.0
2013-08-25,0.0,3.0,2.0,5.0
2013-08-26,3.0,20.0,2.0,25.0
2013-08-27,4.0,20.0,10.0,34.0
2013-08-28,6.0,19.0,6.0,31.0
2013-08-29,1.0,38.0,5.0,44.0
2013-08-30,10.0,95.0,17.0,122.0
2013-08-31,2.0,16.0,1.0,19.0
2013-09-01,0.0,12.0,0.0,12.0
2013-09-02,0.0,10.0,0.0,10.0
2013-09-03,0.0,33.0,2.0,35.0
2013-09-04,12.0,42.0,10.0,64.0
2013-09-05,2.0,28.0,3.0,33.0
2013-09-06,1.0,19.0,3.0,23.0
2013-09-07,0.0,8.0,4.0,12.0
2013-09-08,0.0,6.0,3.0,9.0
2013-09-09,1.0,28.0,13.0,42.0
2013-09-10,0.0,15.0,2.0,17.0
2013-09-11,9.0,19.0,0.0,28.0
2013-09-12,3.0,15.0,0.0,18.0
2013-09-13,0.0,17.0,3.0,20.0
2013-09-14,0.0,3.0,1.0,4.0
2013-09-15,0.0,7.0,6.0,13.0
2013-09-16,1.0,25.0,4.0,30.0
2013-09-17,5.0,33.0,8.0,46.0
2013-09-18,14.0,31.0,5.0,50.0
2013-09-19,0.0,17.0,8.0,25.0
2013-09-20,2.0,30.0,7.0,39.0
2013-09-21,0.0,9.0,1.0,10.0
2013-09-22,0.0,7.0,0.0,7.0
2013-09-23,0.0,5.0,4.0,9.0
2013-09-24,1.0,27.0,4.0,32.0
2013-09-25,2.0,16.0,2.0,20.0
2013-09-26,2.0,24.0,2.0,28.0
2013-09-27,2.0,15.0,2.0,19.0
2013-09-28,0.0,10.0,2.0,12.0
2013-09-29,1.0,9.0,0.0,10.0
2013-09-30,7.0,39.0,5.0,51.0
2013-10-01,5.0,22.0,2.0,29.0
2013-10-02,5.0,18.0,2.0,25.0
2013-10-03,3.0,10.0,2.0,15.0
2013-10-04,2.0,25.0,2.0,29.0
2013-10-05,2.0,4.0,2.0,8.0
2013-10-06,2.0,4.0,0.0,6.0
2013-10-07,2.0,13.0,4.0,19.0
2013-10-08,3.0,125.0,21.0,149.0
2013-10-09,0.0,60.0,9.0,69.0
2013-10-10,0.0,22.0,6.0,28.0
2013-10-11,0.0,15.0,1.0,16.0
2013-10-12,0.0,6.0,0.0,6.0
2013-10-13,0.0,3.0,1.0,4.0
2013-10-14,0.0,33.0,2.0,35.0
2013-10-15,3.0,42.0,3.0,48.0
2013-10-16,1.0,20.0,6.0,27.0
2013-10-17,0.0,25.0,2.0,27.0
2013-10-18,0.0,21.0,5.0,26.0
2013-10-19,0.0,20.0,0.0,20.0
2013-10-20,0.0,6.0,1.0,7.0
2013-10-21,2.0,21.0,2.0,25.0
2013-10-22,1.0,31.0,6.0,38.0
2013-10-23,1.0,44.0,8.0,53.0
2013-10-24,2.0,69.0,2.0,73.0
2013-10-25,7.0,245.0,73.0,325.0
2013-10-26,1.0,16.0,5.0,22.0
2013-10-27,0.0,16.0,2.0,18.0
2013-10-28,0.0,77.0,17.0,94.0
2013-10-29,1.0,40.0,29.0,70.0
2013-10-30,3.0,39.0,6.0,48.0
2013-10-31,3.0,48.0,13.0,64.0
2013-11-01,2.0,23.0,13.0,38.0
2013-11-02,0.0,14.0,5.0,19.0
2013-11-03,0.0,5.0,2.0,7.0
2013-11-04,0.0,36.0,6.0,42.0
2013-11-05,1.0,28.0,5.0,34.0
2013-11-06,2.0,37.0,19.0,58.0
2013-11-07,0.0,17.0,4.0,21.0
2013-11-08,0.0,32.0,2.0,34.0
2013-11-09,0.0,15.0,3.0,18.0
2013-11-10,0.0,8.0,3.0,11.0
2013-11-11,0.0,38.0,5.0,43.0
2013-11-12,1.0,47.0,5.0,53.0
2013-11-13,0.0,41.0,15.0,56.0
2013-11-14,4.0,47.0,90.0,141.0
2013-11-15,0.0,63.0,18.0,81.0
2013-11-16,0.0,11.0,2.0,13.0
2013-11-17,0.0,13.0,10.0,23.0
2013-11-18,0.0,30.0,14.0,44.0
2013-11-19,0.0,86.0,8.0,94.0
2013-11-20,0.0,31.0,10.0,41.0
2013-11-21,2.0,48.0,10.0,60.0
2013-11-22,0.0,45.0,8.0,53.0
2013-11-23,0.0,4.0,3.0,7.0
2013-11-24,0.0,8.0,8.0,16.0
2013-11-25,2.0,32.0,12.0,46.0
2013-11-26,2.0,27.0,3.0,32.0
2013-11-27,2.0,20.0,9.0,31.0
2013-11-28,0.0,9.0,6.0,15.0
2013-11-29,0.0,31.0,6.0,37.0
2013-11-30,0.0,25.0,1.0,26.0
2013-12-01,0.0,14.0,7.0,21.0
2013-12-02,2.0,23.0,7.0,32.0
2013-12-03,1.0,24.0,7.0,32.0
2013-12-04,0.0,12.0,3.0,15.0
2013-12-05,2.0,29.0,6.0,37.0
2013-12-06,0.0,41.0,8.0,49.0
2013-12-07,0.0,12.0,1.0,13.0
2013-12-08,0.0,4.0,1.0,5.0
2013-12-09,0.0,47.0,4.0,51.0
2013-12-10,2.0,40.0,9.0,51.0
2013-12-11,0.0,48.0,8.0,56.0
2013-12-12,23.0,61.0,7.0,91.0
2013-12-13,5.0,47.0,2.0,54.0
2013-12-14,1.0,23.0,2.0,26.0
2013-12-15,1.0,25.0,4.0,30.0
2013-12-16,3.0,44.0,0.0,47.0
2013-12-17,6.0,32.0,3.0,41.0
2013-12-18,4.0,31.0,1.0,36.0
2013-12-19,2.0,36.0,1.0,39.0
2013-12-20,0.0,24.0,4.0,28.0
2013-12-21,0.0,18.0,0.0,18.0
2013-12-22,2.0,8.0,0.0,10.0
2013-12-23,5.0,26.0,2.0,33.0
2013-12-24,0.0,10.0,0.0,10.0
2013-12-25,0.0,12.0,0.0,12.0
2013-12-26,0.0,7.0,2.0,9.0
2013-12-27,0.0,25.0,0.0,25.0
2013-12-28,1.0,18.0,7.0,26.0
2013-12-29,0.0,10.0,0.0,10.0
2013-12-30,0.0,30.0,5.0,35.0
2013-12-31,0.0,9.0,2.0,11.0
2014-01-01,0.0,14.0,4.0,18.0
2014-01-02,3.0,26.0,4.0,33.0
2014-01-03,2.0,23.0,7.0,32.0
2014-01-04,3.0,10.0,3.0,16.0
2014-01-05,0.0,11.0,2.0,13.0
2014-01-06,0.0,28.0,4.0,32.0
2014-01-07,1.0,44.0,4.0,49.0
2014-01-08,10.0,68.0,6.0,84.0
2014-01-09,3.0,52.0,3.0,58.0
2014-01-10,3.0,27.0,2.0,32.0
2014-01-11,1.0,18.0,2.0,21.0
2014-01-12,3.0,21.0,2.0,26.0
2014-01-13,2.0,22.0,8.0,32.0
2014-01-14,2.0,41.0,6.0,49.0
2014-01-15,0.0,32.0,12.0,44.0
2014-01-16,4.0,26.0,6.0,36.0
2014-01-17,5.0,45.0,13.0,63.0
2014-01-18,3.0,14.0,2.0,19.0
2014-01-19,0.0,17.0,1.0,18.0
2014-01-20,4.0,25.0,11.0,40.0
2014-01-21,2.0,53.0,6.0,61.0
2014-01-22,11.0,38.0,12.0,61.0
2014-01-23,12.0,135.0,16.0,163.0
2014-01-24,55.0,392.0,130.0,577.0
2014-01-25,12.0,114.0,50.0,176.0
2014-01-26,7.0,109.0,31.0,147.0
2014-01-27,15.0,198.0,45.0,258.0
2014-01-28,10.0,162.0,47.0,219.0
2014-01-29,13.0,133.0,40.0,186.0
2014-01-30,6.0,193.0,58.0,257.0
2014-01-31,15.0,161.0,54.0,230.0
2014-02-01,5.0,121.0,25.0,151.0
2014-02-02,3.0,96.0,29.0,128.0
2014-02-03,10.0,174.0,53.0,237.0
2014-02-04,5.0,76.0,40.0,121.0
2014-02-05,10.0,55.0,19.0,84.0
2014-02-06,3.0,65.0,12.0,80.0
2014-02-07,4.0,71.0,8.0,83.0
2014-02-08,3.0,43.0,14.0,60.0
2014-02-09,0.0,18.0,3.0,21.0
2014-02-10,2.0,68.0,19.0,89.0
2014-02-11,87.0,82.0,15.0,184.0
2014-02-12,48.0,148.0,20.0,216.0
2014-02-13,17.0,103.0,16.0,136.0
2014-02-14,5.0,121.0,18.0,144.0
2014-02-15,3.0,38.0,4.0,45.0
2014-02-16,6.0,32.0,6.0,44.0
2014-02-17,1.0,30.0,7.0,38.0
2014-02-18,22.0,48.0,15.0,85.0
2014-02-19,7.0,51.0,4.0,62.0
2014-02-20,6.0,131.0,9.0,146.0
2014-02-21,7.0,57.0,7.0,71.0
2014-02-22,2.0,37.0,8.0,47.0
2014-02-23,1.0,26.0,0.0,27.0
2014-02-24,3.0,73.0,3.0,79.0
2014-02-25,3.0,57.0,11.0,71.0
2014-02-26,4.0,55.0,4.0,63.0
2014-02-27,2.0,35.0,2.0,39.0
2014-02-28,8.0,50.0,16.0,74.0
2014-03-01,4.0,5.0,5.0,14.0
2014-03-02,1.0,19.0,17.0,37.0
2014-03-03,4.0,64.0,10.0,78.0
2014-03-04,5.0,86.0,11.0,102.0
2014-03-05,17.0,44.0,7.0,68.0
2014-03-06,11.0,77.0,10.0,98.0
2014-03-07,4.0,31.0,11.0,46.0
2014-03-08,3.0,11.0,3.0,17.0
2014-03-09,2.0,30.0,3.0,35.0
2014-03-10,0.0,40.0,17.0,57.0
2014-03-11,4.0,53.0,11.0,68.0
2014-03-12,3.0,65.0,13.0,81.0
2014-03-13,13.0,66.0,29.0,108.0
2014-03-14,9.0,63.0,10.0,82.0
2014-03-15,3.0,16.0,9.0,28.0
2014-03-16,0.0,30.0,1.0,31.0
2014-03-17,3.0,53.0,13.0,69.0
2014-03-18,2.0,43.0,10.0,55.0
2014-03-19,5.0,72.0,6.0,83.0
2014-03-20,7.0,40.0,3.0,50.0
2014-03-21,6.0,39.0,15.0,60.0
2014-03-22,5.0,40.0,4.0,49.0
2014-03-23,0.0,14.0,10.0,24.0
2014-03-24,15.0,83.0,13.0,111.0
2014-03-25,1.0,56.0,4.0,61.0
2014-03-26,6.0,60.0,16.0,82.0
2014-03-27,1.0,55.0,11.0,67.0
2014-03-28,3.0,47.0,10.0,60.0
2014-03-29,2.0,8.0,0.0,10.0
2014-03-30,2.0,7.0,6.0,15.0
2014-03-31,1.0,60.0,5.0,66.0
2014-04-01,3.0,35.0,3.0,41.0
2014-04-02,1.0,41.0,9.0,51.0
2014-04-03,1.0,63.0,10.0,74.0
2014-04-04,5.0,82.0,10.0,97.0
2014-04-05,3.0,43.0,14.0,60.0
2014-04-06,3.0,37.0,2.0,42.0
2014-04-07,3.0,89.0,87.0,179.0
2014-04-08,7.0,96.0,46.0,149.0
2014-04-09,7.0,225.0,48.0,280.0
2014-04-10,9.0,139.0,11.0,159.0
2014-04-11,0.0,98.0,38.0,136.0
2014-04-12,1.0,50.0,14.0,65.0
2014-04-13,1.0,41.0,11.0,53.0
2014-04-14,5.0,89.0,10.0,104.0
2014-04-15,3.0,61.0,10.0,74.0
2014-04-16,7.0,80.0,22.0,109.0
2014-04-17,0.0,98.0,18.0,116.0
2014-04-18,0.0,97.0,4.0,101.0
2014-04-19,0.0,57.0,4.0,61.0
2014-04-20,2.0,40.0,3.0,45.0
2014-04-21,11.0,62.0,12.0,85.0
2014-04-22,5.0,128.0,20.0,153.0
2014-04-23,51.0,313.0,123.0,487.0
2014-04-24,18.0,100.0,23.0,141.0
2014-04-25,0.0,96.0,35.0,131.0
2014-04-26,4.0,73.0,13.0,90.0
2014-04-27,2.0,40.0,4.0,46.0
2014-04-28,15.0,80.0,29.0,124.0
2014-04-29,21.0,75.0,21.0,117.0
2014-04-30,13.0,90.0,15.0,118.0
2014-05-01,5.0,66.0,11.0,82.0
2014-05-02,2.0,68.0,15.0,85.0
2014-05-03,1.0,44.0,9.0,54.0
2014-05-04,0.0,41.0,1.0,42.0
2014-05-05,2.0,42.0,6.0,50.0
2014-05-06,2.0,50.0,14.0,66.0
2014-05-07,10.0,51.0,11.0,72.0
2014-05-08,2.0,29.0,6.0,37.0
2014-05-09,0.0,32.0,14.0,46.0
2014-05-10,0.0,19.0,1.0,20.0
2014-05-11,0.0,20.0,1.0,21.0
2014-05-12,12.0,21.0,3.0,36.0
2014-05-13,9.0,38.0,11.0,58.0
2014-05-14,16.0,43.0,5.0,64.0
2014-05-15,3.0,86.0,6.0,95.0
2014-05-16,4.0,63.0,8.0,75.0
2014-05-17,5.0,21.0,2.0,28.0
2014-05-18,0.0,3.0,11.0,14.0
2014-05-19,9.0,48.0,4.0,61.0
2014-05-20,14.0,47.0,23.0,84.0
2014-05-21,3.0,30.0,6.0,39.0
2014-05-22,3.0,32.0,3.0,38.0
2014-05-23,7.0,31.0,3.0,41.0
2014-05-24,5.0,7.0,0.0,12.0
2014-05-25,0.0,4.0,0.0,4.0
2014-05-26,1.0,15.0,0.0,16.0
2014-05-27,4.0,18.0,1.0,23.0
2014-05-28,2.0,30.0,4.0,36.0
2014-05-29,1.0,18.0,5.0,24.0
2014-05-30,9.0,16.0,15.0,40.0
2014-05-31,4.0,3.0,2.0,9.0
2014-06-01,4.0,6.0,10.0,20.0
2014-06-02,3.0,22.0,6.0,31.0
2014-06-03,13.0,27.0,12.0,52.0
2014-06-04,10.0,42.0,7.0,59.0
2014-06-05,1.0,71.0,12.0,84.0
2014-06-06,6.0,58.0,3.0,67.0
2014-06-07,0.0,14.0,1.0,15.0
2014-06-08,1.0,32.0,3.0,36.0
2014-06-09,2.0,32.0,6.0,40.0
2014-06-10,1.0,39.0,4.0,44.0
2014-06-11,1.0,35.0,4.0,40.0
2014-06-12,10.0,84.0,27.0,121.0
2014-06-13,12.0,27.0,3.0,42.0
2014-06-14,2.0,8.0,1.0,11.0
2014-06-15,0.0,19.0,3.0,22.0
2014-06-16,4.0,19.0,3.0,26.0
2014-06-17,5.0,38.0,13.0,56.0
2014-06-18,1.0,24.0,7.0,32.0
2014-06-19,3.0,48.0,8.0,59.0
2014-06-20,6.0,13.0,8.0,27.0
2014-06-21,0.0,8.0,5.0,13.0
2014-06-22,0.0,4.0,2.0,6.0
2014-06-23,0.0,11.0,4.0,15.0
2014-06-24,6.0,37.0,5.0,48.0
2014-06-25,9.0,48.0,12.0,69.0
2014-06-26,6.0,115.0,20.0,141.0
2014-06-27,4.0,72.0,3.0,79.0
2014-06-28,0.0,81.0,2.0,83.0
2014-06-29,2.0,67.0,2.0,71.0
2014-06-30,4.0,56.0,7.0,67.0
2014-07-01,2.0,46.0,5.0,53.0
2014-07-02,5.0,64.0,16.0,85.0
2014-07-03,4.0,46.0,7.0,57.0
2014-07-04,0.0,25.0,6.0,31.0
2014-07-05,0.0,15.0,5.0,20.0
2014-07-06,1.0,62.0,8.0,71.0
2014-07-07,7.0,133.0,36.0,176.0
2014-07-08,2.0,83.0,35.0,120.0
2014-07-09,3.0,137.0,20.0,160.0
2014-07-10,0.0,68.0,17.0,85.0
2014-07-11,28.0,153.0,12.0,193.0
2014-07-12,4.0,24.0,2.0,30.0
2014-07-13,0.0,33.0,3.0,36.0
2014-07-14,1.0,56.0,9.0,66.0
2014-07-15,2.0,79.0,7.0,88.0
2014-07-16,2.0,65.0,4.0,71.0
2014-07-17,7.0,46.0,7.0,60.0
2014-07-18,0.0,29.0,1.0,30.0
2014-07-19,5.0,17.0,0.0,22.0
2014-07-20,7.0,17.0,3.0,27.0
2014-07-21,3.0,18.0,7.0,28.0
2014-07-22,3.0,25.0,4.0,32.0
2014-07-23,9.0,44.0,7.0,60.0
2014-07-24,3.0,53.0,7.0,63.0
2014-07-25,4.0,51.0,5.0,60.0
2014-07-26,3.0,11.0,0.0,14.0
2014-07-27,0.0,5.0,1.0,6.0
2014-07-28,1.0,33.0,6.0,40.0
2014-07-29,2.0,45.0,3.0,50.0
2014-07-30,3.0,29.0,4.0,36.0
2014-07-31,7.0,78.0,8.0,93.0
2014-08-01,43.0,508.0,105.0,656.0
2014-08-02,4.0,105.0,26.0,135.0
2014-08-03,0.0,48.0,7.0,55.0
2014-08-04,12.0,90.0,3.0,105.0
2014-08-05,2.0,97.0,6.0,105.0
2014-08-06,0.0,80.0,25.0,105.0
2014-08-07,8.0,63.0,6.0,77.0
2014-08-08,4.0,40.0,8.0,52.0
2014-08-09,2.0,21.0,2.0,25.0
2014-08-10,0.0,6.0,1.0,7.0
2014-08-11,4.0,90.0,7.0,101.0
2014-08-12,2.0,75.0,8.0,85.0
2014-08-13,3.0,74.0,4.0,81.0
2014-08-14,3.0,73.0,8.0,84.0
2014-08-15,4.0,42.0,4.0,50.0
2014-08-16,3.0,31.0,3.0,37.0
2014-08-17,0.0,25.0,2.0,27.0
2014-08-18,7.0,76.0,7.0,90.0
2014-08-19,3.0,84.0,6.0,93.0
2014-08-20,2.0,21.0,4.0,27.0
2014-08-21,3.0,49.0,16.0,68.0
2014-08-22,3.0,32.0,4.0,39.0
2014-08-23,3.0,18.0,0.0,21.0
2014-08-24,0.0,16.0,0.0,16.0
2014-08-25,10.0,49.0,3.0,62.0
2014-08-26,6.0,35.0,9.0,50.0
2014-08-27,9.0,77.0,6.0,92.0
2014-08-28,2.0,31.0,1.0,34.0
2014-08-29,13.0,100.0,5.0,118.0
2014-08-30,1.0,23.0,0.0,24.0
2014-08-31,0.0,15.0,0.0,15.0
2014-09-01,1.0,9.0,0.0,10.0
2014-09-02,8.0,18.0,2.0,28.0
2014-09-03,4.0,19.0,4.0,27.0
2014-09-04,1.0,42.0,7.0,50.0
2014-09-05,1.0,46.0,9.0,56.0
2014-09-06,4.0,41.0,6.0,51.0
2014-09-07,0.0,15.0,0.0,15.0
2014-09-08,0.0,32.0,5.0,37.0
2014-09-09,3.0,32.0,3.0,38.0
2014-09-10,5.0,58.0,5.0,68.0
2014-09-11,3.0,43.0,16.0,62.0
2014-09-12,1.0,24.0,4.0,29.0
2014-09-13,0.0,26.0,1.0,27.0
2014-09-14,1.0,11.0,0.0,12.0
2014-09-15,1.0,44.0,7.0,52.0
2014-09-16,0.0,94.0,3.0,97.0
2014-09-17,0.0,48.0,2.0,50.0
2014-09-18,0.0,8.0,3.0,11.0
