,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,1.0,4.0,0.0,5.0
2013-06-01,0.0,71.0,6.0,77.0
2013-06-02,0.0,23.0,0.0,23.0
2013-06-03,2.0,39.0,1.0,42.0
2013-06-04,2.0,91.0,8.0,101.0
2013-06-05,6.0,116.0,9.0,131.0
2013-06-06,0.0,126.0,21.0,147.0
2013-06-07,2.0,91.0,9.0,102.0
2013-06-08,3.0,65.0,1.0,69.0
2013-06-09,0.0,33.0,1.0,34.0
2013-06-10,8.0,72.0,53.0,133.0
2013-06-11,3.0,65.0,7.0,75.0
2013-06-12,3.0,85.0,8.0,96.0
2013-06-13,2.0,98.0,8.0,108.0
2013-06-14,1.0,62.0,7.0,70.0
2013-06-15,0.0,56.0,2.0,58.0
2013-06-16,1.0,40.0,2.0,43.0
2013-06-17,2.0,79.0,5.0,86.0
2013-06-18,0.0,96.0,10.0,106.0
2013-06-19,9.0,77.0,3.0,89.0
2013-06-20,2.0,84.0,19.0,105.0
2013-06-21,4.0,52.0,10.0,66.0
2013-06-22,1.0,29.0,4.0,34.0
2013-06-23,5.0,39.0,1.0,45.0
2013-06-24,3.0,82.0,8.0,93.0
2013-06-25,7.0,51.0,3.0,61.0
2013-06-26,3.0,65.0,17.0,85.0
2013-06-27,5.0,59.0,8.0,72.0
2013-06-28,0.0,45.0,5.0,50.0
2013-06-29,1.0,32.0,3.0,36.0
2013-06-30,1.0,43.0,1.0,45.0
2013-07-01,1.0,22.0,7.0,30.0
2013-07-02,1.0,98.0,10.0,109.0
2013-07-03,4.0,46.0,5.0,55.0
2013-07-04,0.0,39.0,6.0,45.0
2013-07-05,2.0,46.0,5.0,53.0
2013-07-06,0.0,37.0,3.0,40.0
2013-07-07,1.0,40.0,4.0,45.0
2013-07-08,2.0,46.0,22.0,70.0
2013-07-09,8.0,56.0,6.0,70.0
2013-07-10,0.0,56.0,8.0,64.0
2013-07-11,3.0,60.0,20.0,83.0
2013-07-12,9.0,132.0,133.0,274.0
2013-07-13,1.0,51.0,19.0,71.0
2013-07-14,1.0,46.0,9.0,56.0
2013-07-15,6.0,150.0,40.0,196.0
2013-07-16,8.0,149.0,35.0,192.0
2013-07-17,3.0,75.0,15.0,93.0
2013-07-18,1.0,156.0,20.0,177.0
2013-07-19,4.0,49.0,16.0,69.0
2013-07-20,2.0,44.0,5.0,51.0
2013-07-21,3.0,42.0,3.0,48.0
2013-07-22,0.0,69.0,7.0,76.0
2013-07-23,35.0,206.0,122.0,363.0
2013-07-24,9.0,128.0,47.0,184.0
2013-07-25,2.0,74.0,7.0,83.0
2013-07-26,5.0,48.0,6.0,59.0
2013-07-27,0.0,29.0,2.0,31.0
2013-07-28,1.0,16.0,2.0,19.0
2013-07-29,3.0,51.0,14.0,68.0
2013-07-30,2.0,45.0,10.0,57.0
2013-07-31,2.0,69.0,6.0,77.0
2013-08-01,4.0,47.0,10.0,61.0
2013-08-02,4.0,127.0,10.0,141.0
2013-08-03,0.0,26.0,4.0,30.0
2013-08-04,1.0,33.0,2.0,36.0
2013-08-05,0.0,72.0,5.0,77.0
2013-08-06,2.0,57.0,5.0,64.0
2013-08-07,1.0,51.0,11.0,63.0
2013-08-08,7.0,66.0,17.0,90.0
2013-08-09,3.0,88.0,25.0,116.0
2013-08-10,0.0,27.0,1.0,28.0
2013-08-11,1.0,26.0,1.0,28.0
2013-08-12,5.0,77.0,2.0,84.0
2013-08-13,2.0,60.0,9.0,71.0
2013-08-14,9.0,74.0,9.0,92.0
2013-08-15,4.0,38.0,11.0,53.0
2013-08-16,1.0,61.0,10.0,72.0
2013-08-17,1.0,22.0,3.0,26.0
2013-08-18,0.0,19.0,3.0,22.0
2013-08-19,8.0,52.0,24.0,84.0
2013-08-20,2.0,44.0,10.0,56.0
2013-08-21,6.0,97.0,16.0,119.0
2013-08-22,9.0,37.0,14.0,60.0
2013-08-23,5.0,64.0,18.0,87.0
2013-08-24,3.0,43.0,8.0,54.0
2013-08-25,2.0,29.0,7.0,38.0
2013-08-26,4.0,37.0,5.0,46.0
2013-08-27,3.0,56.0,21.0,80.0
2013-08-28,5.0,78.0,8.0,91.0
2013-08-29,10.0,79.0,15.0,104.0
2013-08-30,6.0,59.0,17.0,82.0
2013-08-31,2.0,61.0,1.0,64.0
2013-09-01,4.0,44.0,3.0,51.0
2013-09-02,2.0,43.0,13.0,58.0
2013-09-03,6.0,55.0,32.0,93.0
2013-09-04,6.0,91.0,20.0,117.0
2013-09-05,4.0,74.0,13.0,91.0
2013-09-06,12.0,55.0,15.0,82.0
2013-09-07,3.0,95.0,2.0,100.0
2013-09-08,0.0,32.0,1.0,33.0
2013-09-09,5.0,55.0,13.0,73.0
2013-09-10,3.0,69.0,16.0,88.0
2013-09-11,3.0,71.0,26.0,100.0
2013-09-12,11.0,85.0,8.0,104.0
2013-09-13,7.0,56.0,16.0,79.0
2013-09-14,2.0,17.0,8.0,27.0
2013-09-15,3.0,34.0,9.0,46.0
2013-09-16,5.0,64.0,9.0,78.0
2013-09-17,4.0,105.0,32.0,141.0
2013-09-18,15.0,145.0,30.0,190.0
2013-09-19,10.0,66.0,7.0,83.0
2013-09-20,8.0,94.0,21.0,123.0
2013-09-21,2.0,26.0,7.0,35.0
2013-09-22,2.0,20.0,1.0,23.0
2013-09-23,3.0,60.0,12.0,75.0
2013-09-24,5.0,82.0,6.0,93.0
2013-09-25,8.0,98.0,11.0,117.0
2013-09-26,10.0,71.0,15.0,96.0
2013-09-27,9.0,55.0,11.0,75.0
2013-09-28,7.0,159.0,6.0,172.0
2013-09-29,4.0,22.0,3.0,29.0
2013-09-30,6.0,70.0,7.0,83.0
2013-10-01,6.0,85.0,41.0,132.0
2013-10-02,1.0,100.0,7.0,108.0
2013-10-03,12.0,50.0,5.0,67.0
2013-10-04,6.0,55.0,21.0,82.0
2013-10-05,5.0,18.0,1.0,24.0
2013-10-06,4.0,50.0,5.0,59.0
2013-10-07,2.0,55.0,20.0,77.0
2013-10-08,5.0,62.0,14.0,81.0
2013-10-09,6.0,184.0,30.0,220.0
2013-10-10,2.0,60.0,15.0,77.0
2013-10-11,5.0,41.0,6.0,52.0
2013-10-12,3.0,23.0,5.0,31.0
2013-10-13,4.0,30.0,2.0,36.0
2013-10-14,7.0,83.0,6.0,96.0
2013-10-15,6.0,82.0,11.0,99.0
2013-10-16,5.0,63.0,6.0,74.0
2013-10-17,3.0,46.0,18.0,67.0
2013-10-18,3.0,55.0,13.0,71.0
2013-10-19,1.0,31.0,2.0,34.0
2013-10-20,3.0,91.0,48.0,142.0
2013-10-21,8.0,110.0,42.0,160.0
2013-10-22,2.0,71.0,17.0,90.0
2013-10-23,30.0,211.0,81.0,322.0
2013-10-24,10.0,103.0,35.0,148.0
2013-10-25,4.0,62.0,14.0,80.0
