,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,1.0,0.0,1.0
2013-06-01,0.0,10.0,1.0,11.0
2013-06-02,3.0,17.0,0.0,20.0
2013-06-03,2.0,24.0,4.0,30.0
2013-06-04,1.0,26.0,32.0,59.0
2013-06-05,3.0,26.0,10.0,39.0
2013-06-06,1.0,24.0,11.0,36.0
2013-06-07,3.0,22.0,14.0,39.0
2013-06-08,0.0,9.0,3.0,12.0
2013-06-09,0.0,7.0,2.0,9.0
2013-06-10,1.0,27.0,30.0,58.0
2013-06-11,2.0,19.0,8.0,29.0
2013-06-12,4.0,19.0,1.0,24.0
2013-06-13,2.0,23.0,4.0,29.0
2013-06-14,3.0,25.0,13.0,41.0
2013-06-15,0.0,14.0,2.0,16.0
2013-06-16,0.0,11.0,6.0,17.0
2013-06-17,1.0,24.0,16.0,41.0
2013-06-18,1.0,41.0,10.0,52.0
2013-06-19,4.0,25.0,17.0,46.0
2013-06-20,3.0,20.0,4.0,27.0
2013-06-21,1.0,23.0,5.0,29.0
2013-06-22,0.0,8.0,1.0,9.0
2013-06-23,0.0,12.0,2.0,14.0
2013-06-24,1.0,22.0,5.0,28.0
2013-06-25,1.0,21.0,17.0,39.0
2013-06-26,0.0,24.0,8.0,32.0
2013-06-27,1.0,30.0,15.0,46.0
2013-06-28,3.0,18.0,9.0,30.0
2013-06-29,0.0,14.0,2.0,16.0
2013-06-30,0.0,25.0,4.0,29.0
2013-07-01,5.0,42.0,50.0,97.0
2013-07-02,1.0,30.0,12.0,43.0
2013-07-03,0.0,28.0,8.0,36.0
2013-07-04,0.0,27.0,2.0,29.0
2013-07-05,2.0,35.0,29.0,66.0
2013-07-06,0.0,17.0,10.0,27.0
2013-07-07,0.0,29.0,6.0,35.0
2013-07-08,1.0,46.0,45.0,92.0
2013-07-09,5.0,36.0,5.0,46.0
2013-07-10,3.0,47.0,18.0,68.0
2013-07-11,2.0,30.0,17.0,49.0
2013-07-12,1.0,22.0,13.0,36.0
2013-07-13,0.0,20.0,2.0,22.0
2013-07-14,0.0,12.0,10.0,22.0
2013-07-15,1.0,42.0,9.0,52.0
2013-07-16,9.0,61.0,4.0,74.0
2013-07-17,17.0,41.0,6.0,64.0
2013-07-18,1.0,16.0,13.0,30.0
2013-07-19,1.0,28.0,3.0,32.0
2013-07-20,0.0,30.0,2.0,32.0
