,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,1.0,2.0,0.0,3.0
2013-06-01,1.0,8.0,1.0,10.0
2013-06-02,1.0,7.0,1.0,9.0
2013-06-03,1.0,39.0,15.0,55.0
2013-06-04,2.0,31.0,22.0,55.0
2013-06-05,8.0,60.0,14.0,82.0
2013-06-06,25.0,429.0,64.0,518.0
2013-06-07,3.0,149.0,22.0,174.0
2013-06-08,0.0,11.0,7.0,18.0
2013-06-09,0.0,14.0,1.0,15.0
2013-06-10,3.0,21.0,16.0,40.0
2013-06-11,0.0,15.0,8.0,23.0
2013-06-12,3.0,29.0,11.0,43.0
2013-06-13,0.0,18.0,7.0,25.0
2013-06-14,2.0,38.0,9.0,49.0
2013-06-15,0.0,27.0,6.0,33.0
2013-06-16,0.0,14.0,1.0,15.0
2013-06-17,2.0,25.0,19.0,46.0
2013-06-18,0.0,51.0,11.0,62.0
2013-06-19,9.0,40.0,5.0,54.0
2013-06-20,1.0,22.0,21.0,44.0
2013-06-21,1.0,3.0,8.0,12.0
2013-06-22,0.0,5.0,2.0,7.0
2013-06-23,1.0,13.0,0.0,14.0
2013-06-24,4.0,21.0,13.0,38.0
2013-06-25,5.0,18.0,10.0,33.0
2013-06-26,7.0,69.0,22.0,98.0
2013-06-27,2.0,51.0,14.0,67.0
2013-06-28,7.0,20.0,6.0,33.0
2013-06-29,0.0,9.0,1.0,10.0
2013-06-30,0.0,11.0,0.0,11.0
2013-07-01,2.0,16.0,5.0,23.0
2013-07-02,1.0,12.0,2.0,15.0
2013-07-03,5.0,26.0,5.0,36.0
2013-07-04,0.0,8.0,3.0,11.0
2013-07-05,0.0,12.0,9.0,21.0
2013-07-06,0.0,7.0,0.0,7.0
2013-07-07,0.0,6.0,1.0,7.0
2013-07-08,0.0,28.0,13.0,41.0
2013-07-09,5.0,13.0,1.0,19.0
2013-07-10,1.0,30.0,5.0,36.0
2013-07-11,4.0,28.0,14.0,46.0
2013-07-12,5.0,40.0,2.0,47.0
2013-07-13,0.0,19.0,1.0,20.0
2013-07-14,2.0,19.0,0.0,21.0
2013-07-15,4.0,52.0,19.0,75.0
2013-07-16,4.0,55.0,23.0,82.0
2013-07-17,1.0,257.0,14.0,272.0
2013-07-18,16.0,191.0,248.0,455.0
2013-07-19,8.0,31.0,23.0,62.0
2013-07-20,2.0,7.0,2.0,11.0
2013-07-21,0.0,11.0,3.0,14.0
2013-07-22,1.0,28.0,6.0,35.0
2013-07-23,4.0,70.0,11.0,85.0
2013-07-24,0.0,24.0,25.0,49.0
2013-07-25,0.0,31.0,1.0,32.0
2013-07-26,4.0,20.0,3.0,27.0
2013-07-27,0.0,4.0,1.0,5.0
2013-07-28,0.0,12.0,4.0,16.0
2013-07-29,2.0,40.0,11.0,53.0
2013-07-30,1.0,28.0,10.0,39.0
2013-07-31,5.0,24.0,8.0,37.0
2013-08-01,2.0,26.0,2.0,30.0
2013-08-02,0.0,62.0,15.0,77.0
2013-08-03,0.0,12.0,2.0,14.0
2013-08-04,0.0,10.0,2.0,12.0
2013-08-05,0.0,41.0,3.0,44.0
2013-08-06,0.0,27.0,2.0,29.0
2013-08-07,2.0,47.0,7.0,56.0
2013-08-08,6.0,23.0,8.0,37.0
2013-08-09,1.0,18.0,7.0,26.0
2013-08-10,0.0,2.0,0.0,2.0
2013-08-11,1.0,1.0,1.0,3.0
2013-08-12,3.0,31.0,2.0,36.0
2013-08-13,1.0,13.0,9.0,23.0
2013-08-14,1.0,55.0,12.0,68.0
2013-08-15,1.0,52.0,17.0,70.0
2013-08-16,11.0,43.0,18.0,72.0
2013-08-17,1.0,8.0,2.0,11.0
2013-08-18,1.0,6.0,3.0,10.0
2013-08-19,3.0,26.0,9.0,38.0
2013-08-20,1.0,25.0,6.0,32.0
2013-08-21,2.0,29.0,11.0,42.0
2013-08-22,4.0,30.0,1.0,35.0
2013-08-23,4.0,29.0,3.0,36.0
2013-08-24,0.0,4.0,1.0,5.0
2013-08-25,1.0,3.0,0.0,4.0
2013-08-26,4.0,20.0,1.0,25.0
2013-08-27,2.0,22.0,9.0,33.0
2013-08-28,2.0,62.0,14.0,78.0
2013-08-29,22.0,377.0,204.0,603.0
2013-08-30,6.0,90.0,34.0,130.0
2013-08-31,0.0,12.0,14.0,26.0
2013-09-01,1.0,73.0,101.0,175.0
2013-09-02,3.0,234.0,143.0,380.0
2013-09-03,76.0,330.0,146.0,552.0
2013-09-04,6.0,85.0,80.0,171.0
2013-09-05,1.0,42.0,55.0,98.0
2013-09-06,2.0,40.0,7.0,49.0
2013-09-07,0.0,16.0,6.0,22.0
2013-09-08,1.0,21.0,5.0,27.0
2013-09-09,1.0,107.0,20.0,128.0
