,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,2.0,0.0,2.0
2013-06-01,2.0,15.0,1.0,18.0
2013-06-02,1.0,0.0,3.0,4.0
2013-06-03,3.0,56.0,17.0,76.0
2013-06-04,48.0,50.0,10.0,108.0
2013-06-05,9.0,42.0,3.0,54.0
2013-06-06,7.0,55.0,8.0,70.0
2013-06-07,12.0,364.0,157.0,533.0
2013-06-08,3.0,101.0,5.0,109.0
2013-06-09,0.0,9.0,6.0,15.0
2013-06-10,6.0,46.0,15.0,67.0
2013-06-11,4.0,29.0,9.0,42.0
2013-06-12,4.0,48.0,5.0,57.0
2013-06-13,28.0,55.0,5.0,88.0
2013-06-14,28.0,62.0,4.0,94.0
2013-06-15,28.0,18.0,0.0,46.0
2013-06-16,4.0,10.0,0.0,14.0
2013-06-17,0.0,28.0,7.0,35.0
2013-06-18,1.0,22.0,9.0,32.0
2013-06-19,7.0,47.0,6.0,60.0
2013-06-20,4.0,47.0,23.0,74.0
2013-06-21,3.0,36.0,7.0,46.0
2013-06-22,2.0,22.0,1.0,25.0
2013-06-23,2.0,7.0,1.0,10.0
2013-06-24,1.0,35.0,28.0,64.0
2013-06-25,5.0,40.0,10.0,55.0
2013-06-26,5.0,185.0,17.0,207.0
2013-06-27,7.0,62.0,7.0,76.0
2013-06-28,4.0,43.0,4.0,51.0
2013-06-29,2.0,9.0,1.0,12.0
2013-06-30,3.0,7.0,0.0,10.0
2013-07-01,1.0,79.0,3.0,83.0
2013-07-02,2.0,30.0,12.0,44.0
2013-07-03,3.0,35.0,6.0,44.0
2013-07-04,6.0,39.0,4.0,49.0
2013-07-05,1.0,10.0,4.0,15.0
2013-07-06,1.0,13.0,4.0,18.0
2013-07-07,7.0,6.0,1.0,14.0
2013-07-08,7.0,37.0,16.0,60.0
2013-07-09,1.0,23.0,5.0,29.0
2013-07-10,5.0,78.0,9.0,92.0
2013-07-11,6.0,185.0,10.0,201.0
2013-07-12,6.0,114.0,100.0,220.0
2013-07-13,0.0,18.0,3.0,21.0
2013-07-14,2.0,18.0,2.0,22.0
2013-07-15,0.0,75.0,11.0,86.0
2013-07-16,4.0,35.0,7.0,46.0
2013-07-17,1.0,26.0,7.0,34.0
2013-07-18,1.0,28.0,3.0,32.0
2013-07-19,1.0,18.0,6.0,25.0
2013-07-20,2.0,9.0,2.0,13.0
2013-07-21,0.0,8.0,0.0,8.0
2013-07-22,0.0,15.0,4.0,19.0
2013-07-23,3.0,28.0,7.0,38.0
2013-07-24,4.0,25.0,8.0,37.0
2013-07-25,6.0,30.0,15.0,51.0
2013-07-26,2.0,24.0,15.0,41.0
2013-07-27,0.0,14.0,8.0,22.0
2013-07-28,0.0,4.0,3.0,7.0
2013-07-29,0.0,24.0,12.0,36.0
2013-07-30,1.0,91.0,5.0,97.0
2013-07-31,2.0,30.0,6.0,38.0
2013-08-01,5.0,58.0,4.0,67.0
2013-08-02,2.0,32.0,4.0,38.0
2013-08-03,0.0,13.0,3.0,16.0
2013-08-04,1.0,6.0,1.0,8.0
2013-08-05,1.0,32.0,2.0,35.0
2013-08-06,10.0,32.0,1.0,43.0
2013-08-07,12.0,75.0,21.0,108.0
2013-08-08,24.0,48.0,8.0,80.0
2013-08-09,4.0,52.0,10.0,66.0
2013-08-10,2.0,10.0,2.0,14.0
2013-08-11,2.0,33.0,2.0,37.0
2013-08-12,5.0,53.0,4.0,62.0
