,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,2.0,0.0,2.0
2013-06-01,2.0,13.0,0.0,15.0
2013-06-02,0.0,15.0,3.0,18.0
2013-06-03,3.0,34.0,7.0,44.0
2013-06-04,7.0,41.0,9.0,57.0
2013-06-05,3.0,41.0,6.0,50.0
2013-06-06,1.0,26.0,0.0,27.0
2013-06-07,4.0,40.0,8.0,52.0
2013-06-08,2.0,7.0,3.0,12.0
2013-06-09,2.0,14.0,2.0,18.0
2013-06-10,2.0,19.0,11.0,32.0
2013-06-11,4.0,26.0,16.0,46.0
2013-06-12,1.0,22.0,7.0,30.0
2013-06-13,6.0,31.0,11.0,48.0
2013-06-14,0.0,41.0,5.0,46.0
2013-06-15,0.0,18.0,2.0,20.0
2013-06-16,0.0,10.0,0.0,10.0
2013-06-17,3.0,19.0,7.0,29.0
2013-06-18,3.0,26.0,10.0,39.0
2013-06-19,4.0,15.0,13.0,32.0
2013-06-20,4.0,33.0,11.0,48.0
2013-06-21,0.0,49.0,13.0,62.0
2013-06-22,0.0,17.0,1.0,18.0
2013-06-23,2.0,10.0,0.0,12.0
2013-06-24,1.0,36.0,5.0,42.0
2013-06-25,0.0,25.0,6.0,31.0
2013-06-26,4.0,30.0,3.0,37.0
2013-06-27,0.0,27.0,12.0,39.0
2013-06-28,2.0,28.0,5.0,35.0
2013-06-29,0.0,6.0,1.0,7.0
2013-06-30,0.0,15.0,5.0,20.0
2013-07-01,2.0,28.0,7.0,37.0
2013-07-02,2.0,30.0,13.0,45.0
2013-07-03,1.0,26.0,6.0,33.0
2013-07-04,2.0,22.0,6.0,30.0
2013-07-05,1.0,15.0,5.0,21.0
2013-07-06,0.0,6.0,1.0,7.0
2013-07-07,0.0,5.0,1.0,6.0
2013-07-08,1.0,43.0,7.0,51.0
2013-07-09,5.0,30.0,10.0,45.0
2013-07-10,6.0,36.0,9.0,51.0
2013-07-11,5.0,36.0,23.0,64.0
2013-07-12,5.0,24.0,7.0,36.0
2013-07-13,1.0,2.0,0.0,3.0
2013-07-14,1.0,6.0,5.0,12.0
2013-07-15,2.0,24.0,3.0,29.0
2013-07-16,2.0,12.0,8.0,22.0
2013-07-17,0.0,22.0,8.0,30.0
2013-07-18,10.0,41.0,66.0,117.0
2013-07-19,4.0,32.0,15.0,51.0
2013-07-20,0.0,7.0,2.0,9.0
2013-07-21,2.0,13.0,0.0,15.0
2013-07-22,1.0,23.0,4.0,28.0
2013-07-23,1.0,45.0,11.0,57.0
2013-07-24,2.0,37.0,4.0,43.0
2013-07-25,2.0,45.0,8.0,55.0
2013-07-26,18.0,21.0,4.0,43.0
2013-07-27,1.0,9.0,2.0,12.0
2013-07-28,7.0,14.0,0.0,21.0
2013-07-29,2.0,35.0,4.0,41.0
2013-07-30,12.0,26.0,4.0,42.0
2013-07-31,4.0,56.0,6.0,66.0
2013-08-01,139.0,209.0,95.0,443.0
2013-08-02,13.0,64.0,18.0,95.0
2013-08-03,2.0,6.0,1.0,9.0
2013-08-04,1.0,16.0,5.0,22.0
2013-08-05,15.0,43.0,46.0,104.0
2013-08-06,2.0,49.0,11.0,62.0
2013-08-07,4.0,32.0,7.0,43.0
2013-08-08,6.0,51.0,9.0,66.0
2013-08-09,1.0,38.0,12.0,51.0
2013-08-10,1.0,9.0,3.0,13.0
2013-08-11,3.0,11.0,6.0,20.0
2013-08-12,3.0,58.0,4.0,65.0
2013-08-13,10.0,56.0,5.0,71.0
2013-08-14,8.0,30.0,21.0,59.0
2013-08-15,2.0,39.0,19.0,60.0
2013-08-16,11.0,71.0,8.0,90.0
2013-08-17,4.0,6.0,4.0,14.0
2013-08-18,3.0,5.0,1.0,9.0
2013-08-19,55.0,101.0,43.0,199.0
2013-08-20,26.0,77.0,33.0,136.0
2013-08-21,67.0,71.0,21.0,159.0
2013-08-22,35.0,94.0,29.0,158.0
2013-08-23,12.0,57.0,22.0,91.0
2013-08-24,3.0,14.0,7.0,24.0
2013-08-25,2.0,13.0,4.0,19.0
2013-08-26,7.0,35.0,15.0,57.0
2013-08-27,36.0,42.0,17.0,95.0
2013-08-28,12.0,92.0,59.0,163.0
2013-08-29,12.0,72.0,20.0,104.0
2013-08-30,11.0,42.0,18.0,71.0
2013-08-31,3.0,8.0,1.0,12.0
2013-09-01,0.0,19.0,0.0,19.0
2013-09-02,0.0,15.0,4.0,19.0
2013-09-03,4.0,26.0,14.0,44.0
2013-09-04,4.0,23.0,20.0,47.0
2013-09-05,3.0,39.0,7.0,49.0
2013-09-06,2.0,28.0,17.0,47.0
2013-09-07,0.0,5.0,6.0,11.0
2013-09-08,3.0,7.0,3.0,13.0
2013-09-09,6.0,30.0,11.0,47.0
2013-09-10,2.0,36.0,11.0,49.0
2013-09-11,6.0,35.0,16.0,57.0
2013-09-12,3.0,42.0,15.0,60.0
2013-09-13,17.0,34.0,22.0,73.0
2013-09-14,11.0,12.0,2.0,25.0
2013-09-15,2.0,13.0,2.0,17.0
2013-09-16,4.0,51.0,14.0,69.0
2013-09-17,2.0,40.0,12.0,54.0
2013-09-18,4.0,33.0,8.0,45.0
2013-09-19,4.0,43.0,11.0,58.0
2013-09-20,8.0,33.0,12.0,53.0
2013-09-21,3.0,12.0,4.0,19.0
2013-09-22,1.0,5.0,2.0,8.0
2013-09-23,4.0,33.0,2.0,39.0
2013-09-24,11.0,55.0,6.0,72.0
2013-09-25,8.0,20.0,6.0,34.0
2013-09-26,6.0,40.0,10.0,56.0
2013-09-27,1.0,148.0,11.0,160.0
2013-09-28,3.0,23.0,2.0,28.0
2013-09-29,5.0,11.0,3.0,19.0
2013-09-30,14.0,30.0,6.0,50.0
2013-10-01,9.0,32.0,13.0,54.0
2013-10-02,6.0,34.0,11.0,51.0
2013-10-03,6.0,42.0,19.0,67.0
2013-10-04,7.0,50.0,27.0,84.0
2013-10-05,2.0,6.0,3.0,11.0
2013-10-06,1.0,18.0,9.0,28.0
2013-10-07,5.0,49.0,12.0,66.0
2013-10-08,2.0,55.0,18.0,75.0
2013-10-09,5.0,35.0,29.0,69.0
2013-10-10,32.0,43.0,15.0,90.0
2013-10-11,4.0,37.0,8.0,49.0
2013-10-12,6.0,15.0,4.0,25.0
2013-10-13,1.0,15.0,0.0,16.0
2013-10-14,4.0,52.0,18.0,74.0
2013-10-15,6.0,51.0,3.0,60.0
2013-10-16,2.0,24.0,17.0,43.0
2013-10-17,4.0,30.0,6.0,40.0
2013-10-18,11.0,54.0,17.0,82.0
2013-10-19,0.0,9.0,4.0,13.0
2013-10-20,1.0,14.0,4.0,19.0
2013-10-21,5.0,26.0,9.0,40.0
2013-10-22,5.0,23.0,5.0,33.0
2013-10-23,2.0,35.0,9.0,46.0
2013-10-24,2.0,29.0,22.0,53.0
2013-10-25,5.0,49.0,13.0,67.0
2013-10-26,2.0,31.0,4.0,37.0
2013-10-27,2.0,26.0,12.0,40.0
2013-10-28,3.0,49.0,8.0,60.0
2013-10-29,3.0,27.0,19.0,49.0
2013-10-30,3.0,65.0,5.0,73.0
2013-10-31,76.0,202.0,78.0,356.0
2013-11-01,18.0,44.0,27.0,89.0
2013-11-02,3.0,32.0,5.0,40.0
2013-11-03,5.0,11.0,1.0,17.0
2013-11-04,6.0,90.0,30.0,126.0
2013-11-05,5.0,86.0,12.0,103.0
2013-11-06,7.0,139.0,31.0,177.0
2013-11-07,16.0,53.0,9.0,78.0
2013-11-08,3.0,57.0,27.0,87.0
2013-11-09,0.0,23.0,4.0,27.0
