Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,33,11,19,3,3.455,107.64
2/15/2018,33,11,19,3,3.455,107.64
2/14/2018,33,11,19,3,3.455,107.64
2/13/2018,33,11,19,3,3.455,107.64
2/12/2018,33,11,19,3,3.455,107.64
2/11/2018,33,10,20,3,3.394,107.96
2/10/2018,33,10,20,3,3.394,107.96
2/9/2018,33,10,20,3,3.394,107.77
2/8/2018,33,10,20,3,3.394,107.77
2/7/2018,33,10,20,3,3.394,107.77
2/6/2018,33,10,20,3,3.394,107.77
2/5/2018,33,10,20,3,3.394,107.77
2/4/2018,33,10,20,3,3.394,107.77
2/3/2018,33,10,20,3,3.394,107.77
2/2/2018,33,10,20,3,3.394,107.77
2/1/2018,33,10,20,3,3.394,107.73
1/31/2018,33,10,20,3,3.394,107.73
1/30/2018,33,10,20,3,3.394,107.73
1/29/2018,33,10,20,3,3.394,107.73
1/28/2018,33,10,20,3,3.394,107.73
1/27/2018,33,10,20,3,3.394,107.73
1/26/2018,34,10,21,3,3.382,107.73
1/25/2018,34,10,21,3,3.382,107.73
1/24/2018,34,10,21,3,3.382,107.73
1/23/2018,34,10,21,3,3.382,107.73
1/22/2018,34,10,21,3,3.382,107.73
1/21/2018,34,11,20,3,3.441,108
1/20/2018,34,11,20,3,3.441,108
1/19/2018,34,11,20,3,3.441,108
1/18/2018,34,11,21,2,3.5,108.04
1/17/2018,34,11,21,2,3.5,107.21
1/16/2018,34,11,21,2,3.5,107
1/15/2018,34,11,21,2,3.5,106.92
1/14/2018,34,11,21,2,3.5,106.92
1/13/2018,34,11,21,2,3.5,106.92
1/12/2018,34,11,21,2,3.5,106.92
1/11/2018,34,12,20,2,3.559,106.92
1/10/2018,34,12,20,2,3.559,105.96
1/9/2018,34,12,20,2,3.559,105.46
1/8/2018,34,12,20,2,3.559,104.58
1/7/2018,34,12,20,2,3.559,104.58
1/6/2018,34,12,20,2,3.559,104.13
1/5/2018,34,12,20,2,3.559,104.13
1/4/2018,34,12,20,2,3.559,103.71
1/3/2018,34,12,20,2,3.559,102.25
1/2/2018,34,12,20,2,3.559,101.17
1/1/2018,33,11,20,2,3.515,100.09
12/31/2017,33,11,20,2,3.515,100.09
12/30/2017,33,11,20,2,3.515,100.09
12/29/2017,33,11,20,2,3.515,100.09
12/28/2017,33,11,20,2,3.515,100.09
12/27/2017,33,11,20,2,3.515,99.04
12/26/2017,33,11,20,2,3.515,99.04
12/25/2017,33,11,20,2,3.515,99.04
12/24/2017,33,11,20,2,3.515,99.04
12/23/2017,33,11,20,2,3.515,99.04
12/22/2017,33,11,20,2,3.515,99.04
12/21/2017,33,11,20,2,3.515,99.04
12/20/2017,33,11,20,2,3.515,99.04
12/19/2017,33,11,20,2,3.515,99.04
12/18/2017,33,11,20,2,3.515,99.04
12/17/2017,33,11,20,2,3.515,98.39
