Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,30,17,13,0,4.133,383.54
2/15/2018,30,17,13,0,4.133,383.54
2/14/2018,30,17,13,0,4.133,383.54
2/13/2018,30,17,13,0,4.133,383.54
2/12/2018,30,17,13,0,4.133,383.54
2/11/2018,30,16,14,0,4.067,383.54
2/10/2018,30,16,14,0,4.067,383.54
2/9/2018,30,16,14,0,4.067,383.54
2/8/2018,30,16,14,0,4.067,383.54
2/7/2018,30,16,14,0,4.067,381.65
2/6/2018,30,16,14,0,4.067,378.58
2/5/2018,30,16,14,0,4.067,378.58
2/4/2018,30,16,14,0,4.067,377.81
2/3/2018,30,16,14,0,4.067,375.46
2/2/2018,30,16,14,0,4.067,375.46
2/1/2018,29,15,14,0,4.034,372.32
1/31/2018,29,15,14,0,4.034,360.83
1/30/2018,29,15,14,0,4.034,351.88
1/29/2018,29,15,14,0,4.034,351.88
1/28/2018,29,15,14,0,4.034,350.17
1/27/2018,29,15,14,0,4.034,347.76
1/26/2018,29,15,14,0,4.034,343.04
1/25/2018,29,15,14,0,4.034,344.96
1/24/2018,29,15,14,0,4.034,344.96
1/23/2018,29,15,14,0,4.034,344.96
1/22/2018,29,15,14,0,4.034,342.04
1/21/2018,29,15,14,0,4.034,338.76
1/20/2018,29,15,14,0,4.034,338.76
1/19/2018,29,15,14,0,4.034,338.76
1/18/2018,29,15,14,0,4.034,338.76
1/17/2018,29,15,14,0,4.034,338.76
1/16/2018,29,15,14,0,4.034,331.76
1/15/2018,29,14,15,0,3.966,321.29
1/14/2018,29,14,15,0,3.966,317.58
1/13/2018,30,15,15,0,4,317.58
1/12/2018,30,15,15,0,4,317.58
1/11/2018,30,15,15,0,4,314.88
1/10/2018,30,15,15,0,4,311.88
1/9/2018,30,15,15,0,4,309.83
1/8/2018,30,15,15,0,4,306.71
1/7/2018,30,15,15,0,4,300.58
1/6/2018,30,15,15,0,4,298.92
1/5/2018,30,15,15,0,4,298.92
1/4/2018,30,15,15,0,4,293.46
1/3/2018,30,15,15,0,4,293.46
1/2/2018,30,15,15,0,4,292.21
1/1/2018,30,15,15,0,4,292.21
12/31/2017,30,15,15,0,4,292.21
