Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,28,16,10,2,4,182.96
2/15/2018,28,16,10,2,4,182.96
2/14/2018,28,16,10,2,4,182.96
2/13/2018,28,16,10,2,4,182.96
2/12/2018,28,16,10,2,4,182.96
2/11/2018,28,16,10,2,4,182.96
2/10/2018,28,16,10,2,4,182.96
2/9/2018,28,16,10,2,4,182.96
2/8/2018,28,16,10,2,4,182.96
2/7/2018,28,16,10,2,4,182.52
2/6/2018,28,16,10,2,4,182.52
2/5/2018,28,16,10,2,4,182.52
2/4/2018,28,16,10,2,4,182.52
2/3/2018,28,16,10,2,4,182.52
2/2/2018,28,16,10,2,4,182.52
2/1/2018,28,16,10,2,4,182.52
1/31/2018,28,16,9,3,3.929,181.42
1/30/2018,28,16,9,3,3.929,181.42
1/29/2018,28,16,9,3,3.929,180.38
1/28/2018,28,16,9,3,3.929,180.38
1/27/2018,28,16,9,3,3.929,180.38
1/26/2018,28,16,9,3,3.929,179.36
1/25/2018,28,16,9,3,3.929,177.08
1/24/2018,28,16,10,2,4,175.57
1/23/2018,28,16,10,2,4,173.7
1/22/2018,28,15,11,2,3.929,171.3
1/21/2018,28,15,11,2,3.929,171.3
1/20/2018,28,15,11,2,3.929,171.3
1/19/2018,28,15,11,2,3.929,171.3
1/18/2018,28,15,11,2,3.929,168.61
1/17/2018,28,15,11,2,3.929,167.3
1/16/2018,27,14,11,2,3.889,164
1/15/2018,27,14,11,2,3.889,164
1/14/2018,27,14,11,2,3.889,164
1/13/2018,27,14,11,2,3.889,164
1/12/2018,27,14,11,2,3.889,164
1/11/2018,27,14,11,2,3.889,162.59
1/10/2018,27,14,11,2,3.889,161.18
1/9/2018,27,14,11,2,3.889,160.82
1/8/2018,27,14,11,2,3.889,160.82
1/7/2018,27,13,12,2,3.815,157.18
1/6/2018,27,13,12,2,3.815,157.18
1/5/2018,27,13,12,2,3.815,157.18
1/4/2018,27,13,12,2,3.815,155.36
1/3/2018,28,13,12,3,3.714,153.77
1/2/2018,28,13,12,3,3.714,153.77
1/1/2018,28,13,12,3,3.714,153.77
12/31/2017,28,13,12,3,3.714,153.77
12/30/2017,28,13,12,3,3.714,153.77
12/29/2017,28,13,12,3,3.714,153.77
12/28/2017,28,13,12,3,3.714,153.77
12/27/2017,28,13,12,3,3.714,153.77
12/26/2017,28,13,12,3,3.714,153.77
12/25/2017,28,13,12,3,3.714,153.77
12/24/2017,28,13,12,3,3.714,153.77
12/23/2017,28,13,12,3,3.714,153.77
12/22/2017,28,13,12,3,3.714,153.77
12/21/2017,28,13,12,3,3.714,153.77
12/20/2017,28,13,12,3,3.714,153.09
12/19/2017,28,13,12,3,3.714,153.09
12/18/2017,28,13,12,3,3.714,152.86
12/17/2017,28,13,12,3,3.714,152.86
12/16/2017,28,13,12,3,3.714,152.86
12/15/2017,28,13,12,3,3.714,152.86
12/14/2017,28,13,12,3,3.714,152.86
12/13/2017,28,13,12,3,3.714,152.86
12/12/2017,28,13,12,3,3.714,151.82
12/11/2017,27,12,12,3,3.667,151.33
12/10/2017,27,12,12,3,3.667,151.7
12/9/2017,27,12,12,3,3.667,151.7
12/8/2017,27,12,12,3,3.667,151.7
12/7/2017,27,12,12,3,3.667,151.7
12/6/2017,27,12,12,3,3.667,151.7
12/5/2017,27,12,12,3,3.667,151.4
12/4/2017,27,12,12,3,3.667,151.4
12/3/2017,27,12,12,3,3.667,151.4
12/2/2017,27,12,12,3,3.667,151.4
12/1/2017,27,12,12,3,3.667,151.4
11/30/2017,27,12,12,3,3.667,151.4
11/29/2017,27,12,12,3,3.667,151.4
11/28/2017,27,12,12,3,3.667,151.4
11/27/2017,27,12,12,3,3.667,151.4
11/26/2017,27,12,12,3,3.667,151.4
11/25/2017,27,12,12,3,3.667,151.4
11/24/2017,27,12,12,3,3.667,151.4
11/23/2017,27,12,12,3,3.667,151.4
11/22/2017,27,12,12,3,3.667,151.4
11/21/2017,27,12,12,3,3.667,151.4
11/20/2017,27,12,12,3,3.667,151.4
11/19/2017,27,12,12,3,3.667,151.4
11/18/2017,27,12,12,3,3.667,151.4
11/17/2017,27,12,12,3,3.667,151.4
11/16/2017,27,12,12,3,3.667,151.4
11/15/2017,27,12,12,3,3.667,151.4
11/14/2017,27,12,12,3,3.667,151.4
11/13/2017,27,12,12,3,3.667,150.65
11/12/2017,27,12,12,3,3.667,150.65
11/11/2017,27,12,12,3,3.667,150.65
11/10/2017,27,12,12,3,3.667,150.65
11/9/2017,27,12,12,3,3.667,150.65
11/8/2017,27,12,12,3,3.667,150.65
11/7/2017,27,12,12,3,3.667,150.65
11/6/2017,27,12,12,3,3.667,150.65
11/5/2017,27,12,12,3,3.667,150.65
11/4/2017,27,12,12,3,3.667,149.45
11/3/2017,27,12,12,3,3.667,149.45
11/2/2017,27,12,12,3,3.667,149.45
11/1/2017,27,12,12,3,3.667,149.45
10/31/2017,27,12,12,3,3.667,149.45
10/30/2017,27,12,12,3,3.667,149.45
10/29/2017,27,12,12,3,3.667,149.45
10/28/2017,27,12,12,3,3.667,149.45
10/27/2017,27,12,12,3,3.667,149.45
10/26/2017,27,12,12,3,3.667,147.95
10/25/2017,27,12,12,3,3.667,145.95
10/24/2017,27,12,12,3,3.667,141.7
10/23/2017,27,12,12,3,3.667,133.25
10/22/2017,27,12,12,3,3.667,132.25
10/21/2017,27,12,12,3,3.667,132.25
10/20/2017,27,12,12,3,3.667,132.25
10/19/2017,27,12,12,3,3.667,132.25
10/18/2017,27,12,12,3,3.667,132.25
10/17/2017,27,12,12,3,3.667,131.6
10/16/2017,27,12,12,3,3.667,131.6
10/15/2017,27,12,12,3,3.667,131.1
10/14/2017,27,12,12,3,3.667,131.1
10/13/2017,27,12,12,3,3.667,131.1
10/12/2017,27,12,12,3,3.667,130.7
10/11/2017,27,12,12,3,3.667,130.7
10/10/2017,27,12,12,3,3.667,130.7
10/9/2017,27,12,12,3,3.667,129.95
10/8/2017,27,12,12,3,3.667,129.15
10/7/2017,27,12,12,3,3.667,129.15
10/6/2017,27,12,12,3,3.667,129.15
10/5/2017,27,12,12,3,3.667,129.15
10/4/2017,27,12,12,3,3.667,129.15
10/3/2017,27,12,12,3,3.667,129.15
10/2/2017,27,12,12,3,3.667,129.15
10/1/2017,27,12,12,3,3.667,129.15
9/30/2017,27,12,12,3,3.667,129.15
9/29/2017,27,12,12,3,3.667,129.15
9/28/2017,26,11,12,3,3.615,127.42
9/27/2017,26,11,12,3,3.615,127.42
9/26/2017,26,11,12,3,3.615,127.42
9/25/2017,26,11,12,3,3.615,127.42
9/24/2017,26,11,12,3,3.615,127.42
9/23/2017,26,11,12,3,3.615,127.42
9/22/2017,26,11,12,3,3.615,127.42
9/21/2017,26,11,12,3,3.615,126.89
9/20/2017,26,11,12,3,3.615,126.89
9/19/2017,26,11,12,3,3.615,126.89
9/18/2017,26,11,12,3,3.615,126.89
9/17/2017,26,10,13,3,3.538,125.63
9/16/2017,26,10,13,3,3.538,125.63
9/15/2017,26,10,13,3,3.538,125.63
9/14/2017,26,10,13,3,3.538,125.63
9/13/2017,26,10,13,3,3.538,124.58
9/12/2017,26,10,13,3,3.538,124.11
9/11/2017,26,10,13,3,3.538,123.58
9/10/2017,26,10,13,3,3.538,123.58
9/9/2017,26,10,13,3,3.538,123.58
9/8/2017,26,10,13,3,3.538,123.58
9/7/2017,26,10,13,3,3.538,123.58
9/6/2017,26,10,13,3,3.538,123.58
9/5/2017,25,10,12,3,3.56,123.78
9/4/2017,25,10,12,3,3.56,123.78
9/3/2017,25,10,12,3,3.56,123.78
9/2/2017,25,10,12,3,3.56,123.78
9/1/2017,25,10,12,3,3.56,123.78
8/31/2017,25,10,12,3,3.56,123.78
8/30/2017,25,10,12,3,3.56,123.78
8/29/2017,25,10,12,3,3.56,123.78
8/28/2017,25,10,12,3,3.56,123.78
8/27/2017,25,10,12,3,3.56,123.78
8/26/2017,25,10,12,3,3.56,123.78
8/25/2017,25,10,12,3,3.56,123.78
8/24/2017,25,10,12,3,3.56,123.78
8/23/2017,25,10,12,3,3.56,123.78
8/22/2017,25,10,12,3,3.56,123.78
8/21/2017,25,10,12,3,3.56,123.78
8/20/2017,25,10,12,3,3.56,123.78
8/19/2017,25,10,12,3,3.56,123.78
8/18/2017,25,10,12,3,3.56,123.78
8/17/2017,25,10,12,3,3.56,123.78
8/16/2017,25,10,12,3,3.56,123.78
8/15/2017,25,10,12,3,3.56,123.78
8/14/2017,25,10,12,3,3.56,123.78
8/13/2017,25,10,12,3,3.56,123.78
8/12/2017,25,10,12,3,3.56,123.78
8/11/2017,25,10,12,3,3.56,123.78
8/10/2017,25,10,12,3,3.56,123.78
8/9/2017,25,10,12,3,3.56,123.78
8/8/2017,25,10,12,3,3.56,124.89
8/7/2017,25,10,12,3,3.56,124.89
8/6/2017,25,10,12,3,3.56,119.05
8/5/2017,25,10,12,3,3.56,119.05
