Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,31,20,10,1,4.226,47.48
2/15/2018,31,20,10,1,4.226,47.25
2/14/2018,31,20,11,0,4.29,43.87
2/13/2018,30,20,10,0,4.333,42.66
2/12/2018,31,20,11,0,4.29,42.1
2/11/2018,31,19,12,0,4.226,41.9
2/10/2018,31,19,12,0,4.226,41.74
2/9/2018,31,19,12,0,4.226,41.74
2/8/2018,31,19,12,0,4.226,41.74
2/7/2018,31,19,12,0,4.226,41.74
2/6/2018,31,19,12,0,4.226,41.54
2/5/2018,30,18,12,0,4.2,41.27
2/4/2018,30,18,12,0,4.2,41.27
2/3/2018,30,18,12,0,4.2,41.27
2/2/2018,30,18,12,0,4.2,41.27
2/1/2018,30,18,12,0,4.2,41.1
1/31/2018,30,18,12,0,4.2,41.1
1/30/2018,30,18,12,0,4.2,41.1
1/29/2018,30,18,12,0,4.2,41.1
1/28/2018,29,18,11,0,4.241,40.63
1/27/2018,29,18,11,0,4.241,40.63
1/26/2018,29,18,11,0,4.241,40.63
1/25/2018,30,19,11,0,4.267,40.6
1/24/2018,30,19,11,0,4.267,40.6
1/23/2018,30,19,11,0,4.267,40.6
1/22/2018,30,19,11,0,4.267,40.6
1/21/2018,30,19,11,0,4.267,40.6
1/20/2018,30,19,11,0,4.267,40.6
1/19/2018,30,19,11,0,4.267,40.6
1/18/2018,30,19,11,0,4.267,40.6
1/17/2018,30,19,11,0,4.267,40.44
1/16/2018,30,19,11,0,4.267,40.1
1/15/2018,30,19,11,0,4.267,40.1
1/14/2018,30,19,11,0,4.267,40.1
1/13/2018,30,19,11,0,4.267,40.1
1/12/2018,30,19,11,0,4.267,40.1
1/11/2018,30,19,11,0,4.267,40.1
1/10/2018,30,19,11,0,4.267,40.1
1/9/2018,30,19,11,0,4.267,39.81
1/8/2018,30,19,11,0,4.267,39.81
1/7/2018,30,19,11,0,4.267,39.67
1/6/2018,30,19,11,0,4.267,39.67
1/5/2018,30,19,11,0,4.267,39.67
1/4/2018,30,18,12,0,4.2,39.28
1/3/2018,30,18,12,0,4.2,39.28
1/2/2018,31,19,12,0,4.226,39.48
1/1/2018,31,19,12,0,4.226,39.33
12/31/2017,31,19,12,0,4.226,39.33
12/30/2017,31,19,12,0,4.226,39.33
12/29/2017,31,19,12,0,4.226,39.33
12/28/2017,31,19,12,0,4.226,39.33
12/27/2017,31,19,12,0,4.226,39.33
12/26/2017,31,19,12,0,4.226,39.33
12/25/2017,31,19,12,0,4.226,39.33
12/24/2017,31,19,12,0,4.226,39.33
