Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,28,18,10,0,4.286,134.59
2/15/2018,28,18,10,0,4.286,134.4
2/14/2018,28,18,10,0,4.286,134.71
2/13/2018,28,18,10,0,4.286,134.71
2/12/2018,28,18,10,0,4.286,134.71
2/11/2018,28,18,10,0,4.286,134.71
2/10/2018,28,18,10,0,4.286,134.71
2/9/2018,28,18,10,0,4.286,134.71
2/8/2018,28,18,9,1,4.214,134.29
2/7/2018,28,18,9,1,4.214,134.29
2/6/2018,28,18,9,1,4.214,134.63
2/5/2018,28,16,11,1,4.071,134.04
2/4/2018,28,16,11,1,4.071,134.25
2/3/2018,28,16,11,1,4.071,134.25
2/2/2018,28,16,11,1,4.071,134.25
2/1/2018,28,15,12,1,4,134.38
1/31/2018,28,15,12,1,4,134.08
1/30/2018,29,16,12,1,4.034,134.52
1/29/2018,29,16,12,1,4.034,134.32
1/28/2018,29,16,12,1,4.034,134.32
1/27/2018,29,16,12,1,4.034,134.32
1/26/2018,29,16,12,1,4.034,134.32
1/25/2018,29,16,12,1,4.034,134.32
1/24/2018,29,16,12,1,4.034,134.32
1/23/2018,29,16,12,1,4.034,133.88
1/22/2018,29,16,12,1,4.034,132.4
1/21/2018,29,16,12,1,4.034,131.84
1/20/2018,29,16,12,1,4.034,131.84
1/19/2018,29,16,12,1,4.034,131.84
1/18/2018,29,16,12,1,4.034,131.36
1/17/2018,29,17,11,1,4.103,130.48
1/16/2018,29,17,11,1,4.103,130.48
1/15/2018,29,17,11,1,4.103,130.16
1/14/2018,29,17,11,1,4.103,130.16
1/13/2018,29,17,11,1,4.103,130.16
1/12/2018,29,17,11,1,4.103,130.16
1/11/2018,29,17,11,1,4.103,130.16
1/10/2018,29,16,12,1,4.034,128.88
1/9/2018,29,16,12,1,4.034,128.88
1/8/2018,29,16,12,1,4.034,128.48
1/7/2018,29,16,12,1,4.034,128.16
1/6/2018,29,16,12,1,4.034,128.16
1/5/2018,29,16,12,1,4.034,128.16
1/4/2018,29,17,11,1,4.103,128.04
1/3/2018,29,18,10,1,4.172,128.04
1/2/2018,29,18,10,1,4.172,128.04
1/1/2018,29,18,10,1,4.172,128.04
12/31/2017,29,18,10,1,4.172,128.04
12/30/2017,29,18,10,1,4.172,128.04
12/29/2017,29,18,10,1,4.172,128.04
12/28/2017,29,18,10,1,4.172,128.04
12/27/2017,29,18,10,1,4.172,128.04
12/26/2017,29,18,10,1,4.172,128.04
12/25/2017,29,18,10,1,4.172,128.04
12/24/2017,29,18,10,1,4.172,128.04
12/23/2017,29,18,10,1,4.172,128.04
12/22/2017,29,18,10,1,4.172,128.04
12/21/2017,29,18,10,1,4.172,128.04
12/20/2017,29,18,10,1,4.172,126.2
12/19/2017,29,18,10,1,4.172,126.08
