Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,4,2,2,0,4,
2/15/2018,4,2,2,0,4,
2/14/2018,4,2,2,0,4,
2/13/2018,4,2,2,0,4,
2/12/2018,4,2,2,0,4,
2/11/2018,4,2,2,0,4,
2/10/2018,4,2,2,0,4,
2/9/2018,4,2,2,0,4,
2/8/2018,4,2,2,0,4,
2/7/2018,4,2,2,0,4,
2/6/2018,4,2,2,0,4,
2/5/2018,4,2,2,0,4,
2/4/2018,4,2,2,0,4,
2/3/2018,4,2,2,0,4,
2/2/2018,4,2,2,0,4,
2/1/2018,4,2,2,0,4,
1/31/2018,4,2,2,0,4,
1/30/2018,4,2,2,0,4,
1/29/2018,4,2,2,0,4,
1/28/2018,4,2,2,0,4,
1/27/2018,4,2,2,0,4,
1/26/2018,4,2,2,0,4,
1/25/2018,4,2,2,0,4,
1/24/2018,4,2,2,0,4,
1/23/2018,4,2,2,0,4,
1/22/2018,4,2,2,0,4,
1/21/2018,4,2,2,0,4,
1/20/2018,4,2,2,0,4,
1/19/2018,4,2,2,0,4,
1/18/2018,4,2,2,0,4,
1/17/2018,4,2,2,0,4,
1/16/2018,4,2,2,0,4,
1/15/2018,4,2,2,0,4,
1/14/2018,4,2,2,0,4,
1/13/2018,4,2,2,0,4,
1/12/2018,4,2,2,0,4,
1/11/2018,4,2,2,0,4,
1/10/2018,4,2,2,0,4,
1/9/2018,4,2,2,0,4,
1/8/2018,4,2,2,0,4,
1/7/2018,4,2,2,0,4,
1/6/2018,4,2,2,0,4,
1/5/2018,4,2,2,0,4,
1/4/2018,4,2,2,0,4,
1/3/2018,4,2,2,0,4,
1/2/2018,4,2,2,0,4,
1/1/2018,4,2,2,0,4,
12/31/2017,4,2,2,0,4,
12/30/2017,4,2,2,0,4,
12/29/2017,4,2,2,0,4,
12/28/2017,4,2,2,0,4,
12/27/2017,4,2,2,0,4,
12/26/2017,4,2,2,0,4,
12/25/2017,4,2,2,0,4,
12/24/2017,4,2,2,0,4,
12/23/2017,4,2,2,0,4,
12/22/2017,4,2,2,0,4,
12/21/2017,4,2,2,0,4,
12/20/2017,4,2,2,0,4,
12/19/2017,4,2,2,0,4,
12/18/2017,4,2,2,0,4,
12/17/2017,4,2,2,0,4,
12/16/2017,4,2,2,0,4,
12/15/2017,4,2,2,0,4,
12/14/2017,4,2,2,0,4,
12/13/2017,4,2,2,0,4,
12/12/2017,4,2,2,0,4,
