Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,27,16,9,2,4.037,121.3
2/15/2018,27,16,9,2,4.037,121.3
2/14/2018,27,16,9,2,4.037,121.3
2/13/2018,27,16,9,2,4.037,121.3
2/12/2018,27,16,9,2,4.037,121.3
2/11/2018,27,16,9,2,4.037,121.3
2/10/2018,27,16,9,2,4.037,121.3
2/9/2018,27,16,9,2,4.037,121.3
2/8/2018,27,16,9,2,4.037,121.3
2/7/2018,27,16,9,2,4.037,121.3
2/6/2018,27,15,10,2,3.963,120.05
2/5/2018,27,15,10,2,3.963,119.64
2/4/2018,27,15,10,2,3.963,119.27
2/3/2018,27,15,10,2,3.963,119.27
2/2/2018,27,15,10,2,3.963,119.27
2/1/2018,27,15,10,2,3.963,119.27
1/31/2018,27,15,10,2,3.963,119.27
1/30/2018,27,15,10,2,3.963,119.18
1/29/2018,27,15,10,2,3.963,118.73
1/28/2018,27,15,10,2,3.963,118.73
1/27/2018,27,15,10,2,3.963,118.73
1/26/2018,27,15,10,2,3.963,118.73
1/25/2018,27,15,10,2,3.963,118.73
1/24/2018,27,15,10,2,3.963,118.73
1/23/2018,27,15,10,2,3.963,118.73
1/22/2018,27,15,10,2,3.963,118.23
1/21/2018,27,15,10,2,3.963,117.32
1/20/2018,27,15,10,2,3.963,117.32
1/19/2018,27,15,10,2,3.963,117.32
1/18/2018,27,15,10,2,3.963,117.32
1/17/2018,27,15,10,2,3.963,117.32
1/16/2018,27,15,10,2,3.963,117.05
1/15/2018,27,15,10,2,3.963,116.59
1/14/2018,27,15,10,2,3.963,116.59
1/13/2018,27,15,10,2,3.963,116.59
1/12/2018,27,15,10,2,3.963,116.59
1/11/2018,27,15,10,2,3.963,116.68
1/10/2018,27,15,10,2,3.963,116.68
1/9/2018,27,15,10,2,3.963,115.73
1/8/2018,27,15,10,2,3.963,114.91
1/7/2018,27,15,10,2,3.963,114.91
1/6/2018,27,15,10,2,3.963,114.91
1/5/2018,27,15,10,2,3.963,114.91
1/4/2018,27,15,10,2,3.963,114.91
1/3/2018,27,15,10,2,3.963,114.91
1/2/2018,28,14,12,2,3.857,114.23
1/1/2018,28,13,13,2,3.786,113.18
12/31/2017,28,13,13,2,3.786,113.18
12/30/2017,28,13,13,2,3.786,113.18
12/29/2017,28,13,13,2,3.786,113.18
12/28/2017,28,13,13,2,3.786,113.18
12/27/2017,28,13,13,2,3.786,113.18
12/26/2017,28,13,13,2,3.786,113.18
12/25/2017,28,13,13,2,3.786,113.18
12/24/2017,28,13,13,2,3.786,113.18
12/23/2017,28,13,13,2,3.786,113.18
12/22/2017,28,13,13,2,3.786,113.18
12/21/2017,28,13,13,2,3.786,113.18
12/20/2017,28,13,13,2,3.786,113.18
12/19/2017,28,13,13,2,3.786,113.18
12/18/2017,28,13,13,2,3.786,113.18
12/17/2017,28,13,13,2,3.786,113.18
12/16/2017,28,13,13,2,3.786,113.18
12/15/2017,28,13,13,2,3.786,113.18
12/14/2017,28,13,13,2,3.786,111.59
12/13/2017,32,18,12,2,4,110.33
12/12/2017,32,18,12,2,4,110.33
12/11/2017,32,18,12,2,4,110.33
12/10/2017,32,18,12,2,4,110.21
12/9/2017,32,18,12,2,4,110.21
12/8/2017,32,18,12,2,4,110.21
