Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,29,12,15,2,3.69,271.38
2/15/2018,29,12,15,2,3.69,271.38
2/14/2018,29,12,15,2,3.69,271.38
2/13/2018,29,12,15,2,3.69,271.38
2/12/2018,29,12,15,2,3.69,271.38
2/11/2018,29,12,15,2,3.69,271.38
2/10/2018,29,12,15,2,3.69,271.38
2/9/2018,29,12,15,2,3.69,271.38
2/8/2018,29,12,15,2,3.69,271.38
2/7/2018,29,12,15,2,3.69,271.38
2/6/2018,29,12,15,2,3.69,271.38
2/5/2018,29,12,15,2,3.69,271.38
2/4/2018,29,12,15,2,3.69,271.38
2/3/2018,29,12,15,2,3.69,271.38
2/2/2018,29,12,15,2,3.69,271.38
2/1/2018,29,12,15,2,3.69,271.26
1/31/2018,29,12,15,2,3.69,271.26
1/30/2018,29,12,15,2,3.69,271.26
1/29/2018,29,12,15,2,3.69,271.26
1/28/2018,29,12,15,2,3.69,271.26
1/27/2018,29,12,15,2,3.69,271.26
1/26/2018,29,12,15,2,3.69,271.26
1/25/2018,29,12,15,2,3.69,271.26
1/24/2018,29,12,15,2,3.69,270.21
1/23/2018,29,12,15,2,3.69,270.21
1/22/2018,29,12,15,2,3.69,270.21
1/21/2018,29,12,15,2,3.69,270.21
1/20/2018,29,12,15,2,3.69,270.21
1/19/2018,29,12,15,2,3.69,270.21
1/18/2018,29,12,15,2,3.69,270.21
1/17/2018,29,12,15,2,3.69,269.21
1/16/2018,29,12,15,2,3.69,269.75
1/15/2018,29,12,15,2,3.69,269.75
1/14/2018,29,12,15,2,3.69,269.75
1/13/2018,29,12,15,2,3.69,269.75
1/12/2018,29,12,15,2,3.69,269.75
1/11/2018,29,12,15,2,3.69,269.75
1/10/2018,29,12,15,2,3.69,269.75
1/9/2018,29,12,15,2,3.69,268.5
1/8/2018,29,12,15,2,3.69,267.92
1/7/2018,29,12,15,2,3.69,266.61
1/6/2018,29,12,15,2,3.69,266.61
1/5/2018,29,12,15,2,3.69,266.61
1/4/2018,29,12,15,2,3.69,266.61
1/3/2018,29,12,15,2,3.69,265.13
1/2/2018,29,12,15,2,3.69,264.79
1/1/2018,29,12,15,2,3.69,262.35
12/31/2017,29,12,15,2,3.69,262.35
12/30/2017,29,12,15,2,3.69,262.35
12/29/2017,29,12,15,2,3.69,262.35
