Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,36,26,10,0,4.444,210.47
2/15/2018,36,26,10,0,4.444,210.47
2/14/2018,36,26,10,0,4.444,210.66
2/13/2018,36,26,10,0,4.444,210.66
2/12/2018,36,26,10,0,4.444,210.66
2/11/2018,36,26,10,0,4.444,210.66
2/10/2018,36,26,10,0,4.444,210.66
2/9/2018,36,26,10,0,4.444,210.66
2/8/2018,36,26,10,0,4.444,210.66
2/7/2018,36,26,10,0,4.444,210.66
2/6/2018,36,26,10,0,4.444,210.66
2/5/2018,36,26,10,0,4.444,210.66
2/4/2018,36,26,10,0,4.444,209.59
2/3/2018,36,26,10,0,4.444,209.59
2/2/2018,36,26,10,0,4.444,209.59
2/1/2018,36,26,10,0,4.444,209.59
1/31/2018,36,26,10,0,4.444,208.5
1/30/2018,36,26,10,0,4.444,208.5
1/29/2018,36,26,10,0,4.444,206.68
1/28/2018,36,26,10,0,4.444,206.68
1/27/2018,36,26,10,0,4.444,206.68
1/26/2018,36,26,10,0,4.444,206.68
1/25/2018,36,26,10,0,4.444,205.29
1/24/2018,36,26,10,0,4.444,203.94
1/23/2018,36,26,10,0,4.444,202
1/22/2018,36,26,10,0,4.444,201.16
1/21/2018,36,26,10,0,4.444,201.16
1/20/2018,36,26,10,0,4.444,201.16
1/19/2018,36,26,10,0,4.444,201.16
1/18/2018,36,26,10,0,4.444,200.22
1/17/2018,36,26,10,0,4.444,200.22
1/16/2018,36,26,10,0,4.444,199.44
1/15/2018,36,26,10,0,4.444,198.31
1/14/2018,36,26,10,0,4.444,198.31
1/13/2018,36,26,10,0,4.444,198.31
1/12/2018,36,26,10,0,4.444,198.31
1/11/2018,36,26,10,0,4.444,197
1/10/2018,36,26,10,0,4.444,197
1/9/2018,36,26,10,0,4.444,196.69
1/8/2018,36,26,10,0,4.444,196.69
1/7/2018,36,26,10,0,4.444,196.56
1/6/2018,36,26,10,0,4.444,196.56
1/5/2018,36,26,10,0,4.444,196.56
1/4/2018,36,26,10,0,4.444,193.88
