Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,27,8,17,2,3.444,171.95
2/15/2018,27,8,17,2,3.444,171.95
2/14/2018,27,8,17,2,3.444,171.95
2/13/2018,27,8,17,2,3.444,171.95
2/12/2018,27,8,17,2,3.444,171.95
2/11/2018,27,8,17,2,3.444,171.95
2/10/2018,27,8,17,2,3.444,171.95
2/9/2018,27,8,17,2,3.444,171.95
2/8/2018,27,8,17,2,3.444,171.95
2/7/2018,27,8,17,2,3.444,171.95
2/6/2018,27,8,17,2,3.444,171.95
2/5/2018,27,8,17,2,3.444,171.95
2/4/2018,27,8,17,2,3.444,171.95
2/3/2018,27,8,17,2,3.444,171.95
2/2/2018,27,8,17,2,3.444,171.95
2/1/2018,27,8,17,2,3.444,171.95
1/31/2018,27,8,17,2,3.444,171.95
1/30/2018,27,8,17,2,3.444,171.95
1/29/2018,27,8,17,2,3.444,171.95
1/28/2018,27,8,17,2,3.444,171.95
1/27/2018,27,8,17,2,3.444,171.95
1/26/2018,27,8,17,2,3.444,171.95
1/25/2018,27,8,17,2,3.444,171.95
1/24/2018,27,8,17,2,3.444,171.95
1/23/2018,27,8,17,2,3.444,171.95
1/22/2018,27,8,17,2,3.444,171.57
1/21/2018,27,8,17,2,3.444,170.65
1/20/2018,27,8,17,2,3.444,170.65
1/19/2018,27,8,17,2,3.444,170.65
1/18/2018,27,8,17,2,3.444,168.43
1/17/2018,27,8,17,2,3.444,166.95
1/16/2018,27,7,17,3,3.296,164
1/15/2018,27,7,17,3,3.296,164
1/14/2018,27,7,17,3,3.296,164
1/13/2018,27,7,17,3,3.296,164
1/12/2018,27,7,17,3,3.296,164
1/11/2018,27,7,17,3,3.296,163.4
1/10/2018,27,7,17,3,3.296,163.15
1/9/2018,27,7,17,3,3.296,163.48
1/8/2018,27,7,17,3,3.296,163.48
1/7/2018,27,7,17,3,3.296,163.48
1/6/2018,27,7,17,3,3.296,163.48
1/5/2018,27,7,17,3,3.296,163.48
1/4/2018,28,8,17,3,3.321,164.59
1/3/2018,28,8,17,3,3.321,164.45
1/2/2018,29,8,18,3,3.31,165.13
1/1/2018,29,8,18,3,3.31,165.13
12/31/2017,29,8,18,3,3.31,165.13
12/30/2017,29,8,18,3,3.31,165.13
12/29/2017,29,8,18,3,3.31,165.13
12/28/2017,29,8,18,3,3.31,165.13
12/27/2017,29,8,18,3,3.31,165.13
12/26/2017,29,8,18,3,3.31,165.13
12/25/2017,29,8,18,3,3.31,165.13
12/24/2017,29,8,18,3,3.31,165.13
12/23/2017,29,8,18,3,3.31,165.13
12/22/2017,29,8,18,3,3.31,165.13
12/21/2017,29,8,18,3,3.31,165.13
12/20/2017,29,8,18,3,3.31,165.13
12/19/2017,29,8,18,3,3.31,165.13
12/18/2017,29,8,18,3,3.31,165.13
12/17/2017,29,8,18,3,3.31,165.13
12/16/2017,29,8,18,3,3.31,165.13
12/15/2017,29,8,18,3,3.31,165.13
12/14/2017,29,8,18,3,3.31,165.13
12/13/2017,29,8,18,3,3.31,165.13
12/12/2017,29,8,18,3,3.31,165.13
12/11/2017,29,8,18,3,3.31,165.5
12/10/2017,29,8,18,3,3.31,165.5
12/9/2017,29,8,18,3,3.31,165.5
12/8/2017,29,8,18,3,3.31,165.5
12/7/2017,29,8,18,3,3.31,165.5
12/6/2017,29,8,18,3,3.31,165.5
12/5/2017,29,8,18,3,3.31,165.5
12/4/2017,29,8,18,3,3.31,165.5
12/3/2017,29,8,18,3,3.31,165.5
12/2/2017,29,8,18,3,3.31,165.5
12/1/2017,29,8,18,3,3.31,165.5
11/30/2017,29,8,18,3,3.31,165.5
11/29/2017,28,8,17,3,3.321,165.5
11/28/2017,28,8,17,3,3.321,165.5
11/27/2017,28,8,17,3,3.321,165.5
11/26/2017,28,8,17,3,3.321,165.5
11/25/2017,28,8,17,3,3.321,165.5
11/24/2017,28,8,17,3,3.321,165.5
11/23/2017,28,8,17,3,3.321,165.5
11/22/2017,28,8,17,3,3.321,165.5
11/21/2017,28,8,17,3,3.321,165.5
11/20/2017,28,8,17,3,3.321,165.5
11/19/2017,28,8,17,3,3.321,165.5
11/18/2017,28,8,17,3,3.321,165.5
11/17/2017,28,8,17,3,3.321,165.5
11/16/2017,28,8,17,3,3.321,165.5
11/15/2017,28,8,17,3,3.321,165.5
11/14/2017,28,8,17,3,3.321,165.5
11/13/2017,28,8,17,3,3.321,165.5
11/12/2017,28,8,17,3,3.321,165.5
11/11/2017,28,8,17,3,3.321,165.5
11/10/2017,28,8,17,3,3.321,165.5
11/9/2017,28,8,17,3,3.321,165.5
11/8/2017,28,8,17,3,3.321,165.5
11/7/2017,28,8,17,3,3.321,165.5
11/6/2017,28,8,17,3,3.321,165.5
11/5/2017,28,8,17,3,3.321,165.5
11/4/2017,28,8,17,3,3.321,165.5
11/3/2017,28,8,17,3,3.321,165.5
11/2/2017,28,8,17,3,3.321,165.5
11/1/2017,28,8,17,3,3.321,165.5
10/31/2017,28,8,17,3,3.321,165.5
10/30/2017,28,8,17,3,3.321,165.5
10/29/2017,28,8,17,3,3.321,165.5
10/28/2017,28,8,17,3,3.321,165.5
10/27/2017,28,8,17,3,3.321,165.5
10/26/2017,27,7,17,3,3.259,164.81
10/25/2017,27,7,17,3,3.259,164.81
10/24/2017,27,7,17,3,3.259,164.81
10/23/2017,27,7,17,3,3.259,164.81
10/22/2017,27,7,17,3,3.259,164.43
10/21/2017,27,7,17,3,3.259,164.43
10/20/2017,27,7,17,3,3.259,164.43
10/19/2017,28,7,17,4,3.179,162.64
10/18/2017,28,7,17,4,3.179,162.64
10/17/2017,27,6,17,4,3.111,161.62
10/16/2017,27,6,17,4,3.111,161.48
10/15/2017,27,6,17,4,3.111,161.48
10/14/2017,27,6,17,4,3.111,161.48
10/13/2017,27,6,17,4,3.111,161.48
10/12/2017,27,6,17,4,3.111,161.36
10/11/2017,27,6,17,4,3.111,161.36
10/10/2017,27,6,17,4,3.111,161.36
