Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,43,27,12,4,4.047,52.29
2/15/2018,43,27,12,4,4.047,52.29
2/14/2018,43,27,12,4,4.047,52.29
2/13/2018,43,27,12,4,4.047,52.29
2/12/2018,43,27,12,4,4.047,52.29
2/11/2018,43,27,12,4,4.047,52.29
2/10/2018,43,27,12,4,4.047,52.29
2/9/2018,43,27,12,4,4.047,52.29
2/8/2018,43,27,12,4,4.047,52.29
2/7/2018,43,27,12,4,4.047,52.29
2/6/2018,43,27,12,4,4.047,52.29
2/5/2018,43,27,12,4,4.047,52.29
2/4/2018,43,27,12,4,4.047,52.29
2/3/2018,43,27,12,4,4.047,52.29
2/2/2018,43,27,12,4,4.047,52.29
2/1/2018,43,27,12,4,4.047,52.29
1/31/2018,43,27,12,4,4.047,52.29
1/30/2018,43,27,12,4,4.047,52.29
1/29/2018,42,26,12,4,4.024,52.12
1/28/2018,41,25,12,4,4,51.51
1/27/2018,41,25,12,4,4,51.51
1/26/2018,41,25,12,4,4,51.51
1/25/2018,41,23,14,4,3.902,48.25
1/24/2018,42,24,14,4,3.929,47.13
1/23/2018,42,24,14,4,3.929,47.13
1/22/2018,42,24,14,4,3.929,47.13
1/21/2018,42,24,14,4,3.929,47.06
1/20/2018,42,24,14,4,3.929,47.06
1/19/2018,42,24,14,4,3.929,47.06
1/18/2018,42,24,14,4,3.929,47.06
1/17/2018,42,24,14,4,3.929,47.06
1/16/2018,42,24,14,4,3.929,47.06
1/15/2018,42,24,14,4,3.929,47.06
1/14/2018,42,24,14,4,3.929,47.06
1/13/2018,42,24,14,4,3.929,47.06
1/12/2018,42,24,14,4,3.929,47.06
1/11/2018,42,24,14,4,3.929,47.06
1/10/2018,42,24,14,4,3.929,47.06
1/9/2018,42,24,14,4,3.929,47.06
1/8/2018,42,24,14,4,3.929,47.06
1/7/2018,42,24,14,4,3.929,47.06
1/6/2018,42,24,14,4,3.929,47.06
1/5/2018,42,24,14,4,3.929,47.06
1/4/2018,42,24,14,4,3.929,47.06
1/3/2018,42,24,14,4,3.929,47.06
1/2/2018,42,24,14,4,3.929,47.42
1/1/2018,42,24,14,4,3.929,47.42
12/31/2017,42,24,14,4,3.929,47.42
12/30/2017,42,24,14,4,3.929,47.42
12/29/2017,42,24,14,4,3.929,47.42
12/28/2017,44,25,15,4,3.932,47.39
12/27/2017,44,25,15,4,3.932,47.39
12/26/2017,44,25,15,4,3.932,47.39
12/25/2017,44,25,15,4,3.932,47.39
12/24/2017,44,25,15,4,3.932,47.39
12/23/2017,44,25,15,4,3.932,47.39
12/22/2017,44,25,15,4,3.932,47.39
12/21/2017,44,25,15,4,3.932,47.39
12/20/2017,44,25,15,4,3.932,47.39
12/19/2017,44,25,15,4,3.932,47.39
12/18/2017,44,25,15,4,3.932,47.39
12/17/2017,44,25,15,4,3.932,47.39
12/16/2017,44,25,15,4,3.932,47.39
12/15/2017,44,25,15,4,3.932,47.39
12/14/2017,44,25,15,4,3.932,47.39
12/13/2017,44,25,15,4,3.932,47.39
12/12/2017,44,25,15,4,3.932,47.39
12/11/2017,44,25,15,4,3.932,47.36
12/10/2017,44,25,15,4,3.932,47.36
12/9/2017,44,25,15,4,3.932,47.21
12/8/2017,44,25,15,4,3.932,47.21
12/7/2017,44,25,15,4,3.932,47.21
12/6/2017,44,25,15,4,3.932,47.21
12/5/2017,44,25,15,4,3.932,46.97
12/4/2017,44,25,15,4,3.932,46.97
12/3/2017,44,25,15,4,3.932,46.82
12/2/2017,44,25,15,4,3.932,46.82
12/1/2017,44,25,15,4,3.932,46.82
11/30/2017,44,25,15,4,3.932,46.82
11/29/2017,44,25,15,4,3.932,46.82
11/28/2017,44,25,15,4,3.932,46.82
11/27/2017,44,25,15,4,3.932,46.82
11/26/2017,44,25,15,4,3.932,46.82
11/25/2017,44,25,15,4,3.932,46.82
11/24/2017,44,25,15,4,3.932,46.82
11/23/2017,44,25,15,4,3.932,46.82
11/22/2017,44,25,15,4,3.932,46.82
11/21/2017,44,25,15,4,3.932,46.82
11/20/2017,44,25,15,4,3.932,46.82
11/19/2017,44,25,15,4,3.932,46.82
11/18/2017,44,25,15,4,3.932,46.82
11/17/2017,44,25,15,4,3.932,46.82
11/16/2017,44,25,15,4,3.932,46.82
11/15/2017,44,24,16,4,3.886,46.45
11/14/2017,44,24,16,4,3.886,46.45
11/13/2017,44,24,16,4,3.886,46.45
11/12/2017,44,24,16,4,3.886,46.15
11/11/2017,44,24,16,4,3.886,46.15
11/10/2017,44,24,16,4,3.886,46.15
11/9/2017,44,24,16,4,3.886,46.15
11/8/2017,44,24,16,4,3.886,46
11/7/2017,44,24,16,4,3.886,46
11/6/2017,44,24,16,4,3.886,46
11/5/2017,44,24,16,4,3.886,46
11/4/2017,44,24,16,4,3.886,46
11/3/2017,44,24,16,4,3.886,46
11/2/2017,44,24,16,4,3.886,46
11/1/2017,44,24,16,4,3.886,46
10/31/2017,43,23,16,4,3.86,45.5
10/30/2017,44,24,16,4,3.886,45.55
10/29/2017,44,23,17,4,3.841,44.76
10/28/2017,44,23,17,4,3.841,44.76
10/27/2017,44,23,17,4,3.841,44.76
10/26/2017,44,22,18,4,3.795,42.3
10/25/2017,44,22,18,4,3.795,41.17
10/24/2017,44,22,18,4,3.795,41.17
10/23/2017,44,22,18,4,3.795,41.17
10/22/2017,44,22,18,4,3.795,41.17
10/21/2017,44,22,18,4,3.795,41.08
10/20/2017,44,22,18,4,3.795,41.08
10/19/2017,44,22,18,4,3.795,41.08
10/18/2017,44,22,18,4,3.795,40.92
10/17/2017,44,22,18,4,3.795,40.8
10/16/2017,44,22,18,4,3.795,40.8
10/15/2017,43,21,18,4,3.767,40.77
10/14/2017,43,21,18,4,3.767,40.77
10/13/2017,43,21,18,4,3.767,40.77
10/12/2017,43,21,18,4,3.767,40.77
10/11/2017,43,21,18,4,3.767,40.77
10/10/2017,43,21,18,4,3.767,40.77
10/9/2017,43,21,18,4,3.767,40.74
10/8/2017,43,21,18,4,3.767,40.74
10/7/2017,43,21,18,4,3.767,40.53
10/6/2017,43,21,18,4,3.767,40.53
10/5/2017,43,21,18,4,3.767,40.44
10/4/2017,43,21,18,4,3.767,40.33
10/3/2017,43,21,18,4,3.767,40.33
10/2/2017,43,21,18,4,3.767,40.33
10/1/2017,43,21,18,4,3.767,40.33
9/30/2017,43,21,18,4,3.767,40.33
9/29/2017,43,21,18,4,3.767,40.33
9/28/2017,43,21,18,4,3.767,40.33
9/27/2017,43,21,18,4,3.767,40.33
9/26/2017,43,21,18,4,3.767,40.33
9/25/2017,43,21,18,4,3.767,40.33
9/24/2017,43,21,18,4,3.767,40.33
9/23/2017,43,21,18,4,3.767,40.33
9/22/2017,43,21,18,4,3.767,40.44
9/21/2017,43,21,18,4,3.767,40.44
