Date,Total,Buys,Holds,Sells,Rating,Target Px
2/16/2018,26,13,10,3,3.769,149.48
2/15/2018,26,13,10,3,3.769,149.48
2/14/2018,26,13,10,3,3.769,149.48
2/13/2018,26,13,10,3,3.769,149.48
2/12/2018,26,13,10,3,3.769,149.48
2/11/2018,26,13,10,3,3.769,149.48
2/10/2018,26,13,10,3,3.769,149.48
2/9/2018,26,13,10,3,3.769,149.48
2/8/2018,26,13,10,3,3.769,149.59
2/7/2018,26,13,10,3,3.769,149.59
2/6/2018,27,13,11,3,3.741,149.59
2/5/2018,27,13,11,3,3.741,149.59
2/4/2018,27,13,11,3,3.741,149.59
2/3/2018,27,13,11,3,3.741,149.59
2/2/2018,27,13,11,3,3.741,149.59
2/1/2018,27,13,11,3,3.741,149.59
1/31/2018,27,13,11,3,3.741,149.59
1/30/2018,27,13,11,3,3.741,149.59
1/29/2018,27,13,11,3,3.741,149.59
1/28/2018,27,13,11,3,3.741,149.9
1/27/2018,27,13,11,3,3.741,150.59
1/26/2018,27,13,11,3,3.741,150.59
1/25/2018,27,13,11,3,3.741,150.59
1/24/2018,27,13,11,3,3.741,150.36
1/23/2018,26,12,11,3,3.692,149.9
1/22/2018,26,12,11,3,3.692,151.88
1/21/2018,26,12,11,3,3.692,151.71
1/20/2018,26,12,11,3,3.692,151.71
1/19/2018,26,12,11,3,3.692,151.71
1/18/2018,26,12,11,3,3.692,150.95
1/17/2018,26,12,11,3,3.692,148.59
1/16/2018,26,12,11,3,3.692,148.59
1/15/2018,26,12,11,3,3.692,148.23
1/14/2018,26,12,11,3,3.692,148.23
1/13/2018,26,12,11,3,3.692,148.23
1/12/2018,26,12,11,3,3.692,148.23
1/11/2018,26,12,11,3,3.692,148.23
1/10/2018,26,12,11,3,3.692,148
1/9/2018,26,12,11,3,3.692,148
1/8/2018,26,12,11,3,3.692,148
1/7/2018,26,12,11,3,3.692,148
1/6/2018,26,12,11,3,3.692,148
1/5/2018,26,12,11,3,3.692,148
1/4/2018,26,12,11,3,3.692,147.59
1/3/2018,26,12,11,3,3.692,147.59
1/2/2018,26,12,11,3,3.692,147.59
1/1/2018,26,13,10,3,3.769,146.9
12/31/2017,26,13,10,3,3.769,146.9
12/30/2017,26,13,10,3,3.769,146.9
12/29/2017,26,13,10,3,3.769,146.9
12/28/2017,26,13,10,3,3.769,146.9
12/27/2017,26,13,10,3,3.769,146.9
12/26/2017,26,13,10,3,3.769,146.9
12/25/2017,26,13,10,3,3.769,146.9
12/24/2017,26,13,10,3,3.769,146.9
12/23/2017,26,13,10,3,3.769,146.9
12/22/2017,26,13,10,3,3.769,146.9
12/21/2017,26,13,10,3,3.769,146.9
12/20/2017,26,13,10,3,3.769,146.9
12/19/2017,26,13,10,3,3.769,146.9
12/18/2017,26,13,10,3,3.769,146.9
12/17/2017,26,13,10,3,3.769,146.9
12/16/2017,26,13,10,3,3.769,146.9
12/15/2017,26,13,10,3,3.769,146.9
12/14/2017,26,13,10,3,3.769,146.9
12/13/2017,26,13,10,3,3.769,146.9
12/12/2017,26,13,10,3,3.769,146.48
12/11/2017,26,13,10,3,3.769,146.05
12/10/2017,26,13,10,3,3.769,146.05
12/9/2017,26,13,10,3,3.769,146.05
12/8/2017,26,13,10,3,3.769,146.05
12/7/2017,26,13,10,3,3.769,146.05
12/6/2017,26,13,10,3,3.769,146.05
12/5/2017,26,13,10,3,3.769,146.05
12/4/2017,26,13,10,3,3.769,146.05
12/3/2017,26,13,10,3,3.769,146.05
12/2/2017,26,13,10,3,3.769,146.05
12/1/2017,26,13,10,3,3.769,146.05
11/30/2017,26,13,10,3,3.769,146.05
11/29/2017,26,13,10,3,3.769,146.05
11/28/2017,26,13,10,3,3.769,146.05
11/27/2017,26,13,10,3,3.769,146.05
11/26/2017,26,13,10,3,3.769,146.05
11/25/2017,26,13,10,3,3.769,146.05
11/24/2017,26,13,10,3,3.769,146.05
11/23/2017,26,13,10,3,3.769,146.05
11/22/2017,26,13,10,3,3.769,146.05
11/21/2017,26,13,10,3,3.769,146.05
11/20/2017,26,13,10,3,3.769,146.05
11/19/2017,26,13,10,3,3.769,146.05
11/18/2017,26,13,10,3,3.769,146.05
11/17/2017,26,13,10,3,3.769,146.05
11/16/2017,26,13,10,3,3.769,146.05
11/15/2017,26,13,10,3,3.769,146.05
11/14/2017,26,13,10,3,3.769,146.05
11/13/2017,26,13,10,3,3.769,145.52
11/12/2017,26,13,10,3,3.769,145.52
11/11/2017,26,13,10,3,3.769,145.52
11/10/2017,26,13,10,3,3.769,145.52
11/9/2017,26,13,10,3,3.769,145.52
11/8/2017,26,13,10,3,3.769,145.52
11/7/2017,26,13,10,3,3.769,145.52
11/6/2017,26,13,10,3,3.769,145.52
11/5/2017,26,13,10,3,3.769,145.52
11/4/2017,26,13,10,3,3.769,145.52
11/3/2017,26,13,10,3,3.769,145.52
11/2/2017,26,13,10,3,3.769,145.4
11/1/2017,26,13,10,3,3.769,145.4
10/31/2017,26,13,10,3,3.769,145.4
10/30/2017,26,13,10,3,3.769,145.4
10/29/2017,26,13,10,3,3.769,145.4
10/28/2017,26,13,10,3,3.769,145.4
10/27/2017,26,13,10,3,3.769,145.4
10/26/2017,26,13,10,3,3.769,145.4
10/25/2017,26,13,10,3,3.769,145.4
10/24/2017,26,13,10,3,3.769,145.4
10/23/2017,26,13,10,3,3.769,145.4
10/22/2017,26,13,10,3,3.769,145.4
10/21/2017,26,13,10,3,3.769,145.4
10/20/2017,26,13,10,3,3.769,145.4
10/19/2017,26,13,10,3,3.769,145.1
10/18/2017,26,13,10,3,3.769,145.1
10/17/2017,26,13,10,3,3.769,142.1
10/16/2017,26,13,10,3,3.769,139.62
10/15/2017,26,13,10,3,3.769,139.62
10/14/2017,26,13,10,3,3.769,139.62
10/13/2017,26,13,10,3,3.769,139.62
10/12/2017,26,13,10,3,3.769,139.62
10/11/2017,26,13,10,3,3.769,139.62
10/10/2017,26,12,11,3,3.692,139.05
10/9/2017,26,12,11,3,3.692,139.05
10/8/2017,26,11,12,3,3.615,138.62
10/7/2017,26,11,12,3,3.615,138.62
10/6/2017,26,11,12,3,3.615,138.62
10/5/2017,26,11,12,3,3.615,138.62
10/4/2017,26,11,12,3,3.615,138.62
